年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,食,軍警人員一,7522,13131213
201401,10007000,食,軍警人員二,2367,3642636
201401,10007000,食,其他公共行政類,75393,124980277
201401,10007000,食,教育類,79892,111426165
201401,10007000,食,工商及服務類,609366,1255277152
201401,10007000,食,專業及技術服務類,172332,313004728
201401,10007000,食,其他,272061,449414775
201402,10007000,食,軍警人員一,5922,8650884
201402,10007000,食,軍警人員二,1814,2582031
201402,10007000,食,其他公共行政類,60070,80904083
201402,10007000,食,教育類,63588,75597915
201402,10007000,食,工商及服務類,469994,760767918
201402,10007000,食,專業及技術服務類,136120,199745999
201402,10007000,食,其他,206351,283341276
201403,10007000,食,軍警人員一,6270,8917838
201403,10007000,食,軍警人員二,2101,3281839
201403,10007000,食,其他公共行政類,64417,78154286
201403,10007000,食,教育類,71300,77176253
201403,10007000,食,工商及服務類,532944,795416835
201403,10007000,食,專業及技術服務類,154337,206619387
201403,10007000,食,其他,239259,298298567
201404,10007000,食,軍警人員一,6164,8022110
201404,10007000,食,軍警人員二,1919,2556776
201404,10007000,食,其他公共行政類,61528,73459905
201404,10007000,食,教育類,67447,73405222
201404,10007000,食,工商及服務類,493488,741049331
201404,10007000,食,專業及技術服務類,146247,199326777
201404,10007000,食,其他,227927,287285118
201405,10007000,食,軍警人員一,6692,10381986
201405,10007000,食,軍警人員二,2296,3539981
201405,10007000,食,其他公共行政類,67879,91813352
201405,10007000,食,教育類,75350,88935040
201405,10007000,食,工商及服務類,550328,881731939
201405,10007000,食,專業及技術服務類,164426,230756555
201405,10007000,食,其他,249639,338844554
201406,10007000,食,軍警人員一,6935,9071017
201406,10007000,食,軍警人員二,2210,2944648
201406,10007000,食,其他公共行政類,68233,81773854
201406,10007000,食,教育類,77226,88097867
201406,10007000,食,工商及服務類,556983,845091011
201406,10007000,食,專業及技術服務類,169396,224998770
201406,10007000,食,其他,253355,323244932
201407,10007000,食,軍警人員一,7759,10343839
201407,10007000,食,軍警人員二,2464,3493431
201407,10007000,食,其他公共行政類,78269,98776406
201407,10007000,食,教育類,89230,100227007
201407,10007000,食,工商及服務類,624957,948422225
201407,10007000,食,專業及技術服務類,188852,252465330
201407,10007000,食,其他,287112,370901661
201408,10007000,食,軍警人員一,8389,12686125
201408,10007000,食,軍警人員二,2686,3860742
201408,10007000,食,其他公共行政類,84964,112403025
201408,10007000,食,教育類,96568,116187466
201408,10007000,食,工商及服務類,677856,1114043655
201408,10007000,食,專業及技術服務類,205037,293764021
201408,10007000,食,其他,306634,426813972
