年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,住,軍警人員一,2425,7169061
201401,10007000,住,軍警人員二,712,2357447
201401,10007000,住,其他公共行政類,25515,69970355
201401,10007000,住,教育類,21815,65458737
201401,10007000,住,工商及服務類,165335,627285326
201401,10007000,住,專業及技術服務類,46415,176090905
201401,10007000,住,其他,61168,205433721
201402,10007000,住,軍警人員一,1946,5269173
201402,10007000,住,軍警人員二,550,1564507
201402,10007000,住,其他公共行政類,19482,53473376
201402,10007000,住,教育類,16861,45673254
201402,10007000,住,工商及服務類,126515,437274580
201402,10007000,住,專業及技術服務類,36865,133504980
201402,10007000,住,其他,45970,140049593
201403,10007000,住,軍警人員一,2008,5513161
201403,10007000,住,軍警人員二,550,1422084
201403,10007000,住,其他公共行政類,17217,45086581
201403,10007000,住,教育類,15382,42706897
201403,10007000,住,工商及服務類,130425,449686238
201403,10007000,住,專業及技術服務類,37965,143645806
201403,10007000,住,其他,46089,138249547
201404,10007000,住,軍警人員一,1740,5511931
201404,10007000,住,軍警人員二,533,1088536
201404,10007000,住,其他公共行政類,16738,45926250
201404,10007000,住,教育類,14272,41082198
201404,10007000,住,工商及服務類,118418,444598408
201404,10007000,住,專業及技術服務類,34869,130985971
201404,10007000,住,其他,43501,136804971
201405,10007000,住,軍警人員一,1955,5755119
201405,10007000,住,軍警人員二,574,1624539
201405,10007000,住,其他公共行政類,17097,47135386
201405,10007000,住,教育類,15143,44304054
201405,10007000,住,工商及服務類,128429,461465908
201405,10007000,住,專業及技術服務類,38376,144220909
201405,10007000,住,其他,47169,156670858
201406,10007000,住,軍警人員一,2029,5031606
201406,10007000,住,軍警人員二,574,1810985
201406,10007000,住,其他公共行政類,17770,48074106
201406,10007000,住,教育類,16143,46243568
201406,10007000,住,工商及服務類,133869,474604289
201406,10007000,住,專業及技術服務類,40171,145770891
201406,10007000,住,其他,49031,158763033
201407,10007000,住,軍警人員一,2196,6236208
201407,10007000,住,軍警人員二,625,1710399
201407,10007000,住,其他公共行政類,21222,64487814
201407,10007000,住,教育類,20578,59839525
201407,10007000,住,工商及服務類,142391,515933131
201407,10007000,住,專業及技術服務類,43224,160864969
201407,10007000,住,其他,53548,173840357
201408,10007000,住,軍警人員一,2320,6569694
201408,10007000,住,軍警人員二,672,1740828
201408,10007000,住,其他公共行政類,22426,64178949
201408,10007000,住,教育類,21614,61849316
201408,10007000,住,工商及服務類,145287,524320306
201408,10007000,住,專業及技術服務類,44723,161422043
201408,10007000,住,其他,55389,176299510
201409,10007000,住,軍警人員一,1929,5560444
201409,10007000,住,軍警人員二,519,1875769
201409,10007000,住,其他公共行政類,17474,49695204
201409,10007000,住,教育類,16270,45702454
201409,10007000,住,工商及服務類,130120,469972325
201409,10007000,住,專業及技術服務類,40011,157149717
201409,10007000,住,其他,49837,165613555
201410,10007000,住,軍警人員一,2158,7010804
201410,10007000,住,軍警人員二,575,1799538
201410,10007000,住,其他公共行政類,18331,48480056
201410,10007000,住,教育類,16265,44098366
201410,10007000,住,工商及服務類,134877,495476985
201410,10007000,住,專業及技術服務類,41169,158848227
201410,10007000,住,其他,49656,158965156
201411,10007000,住,軍警人員一,2157,7041659
201411,10007000,住,軍警人員二,555,1530263
201411,10007000,住,其他公共行政類,18947,57110162
201411,10007000,住,教育類,17189,50780096
201411,10007000,住,工商及服務類,144920,542967325
201411,10007000,住,專業及技術服務類,44527,178734721
201411,10007000,住,其他,53080,179452542
201412,10007000,住,軍警人員一,2288,7022350
201412,10007000,住,軍警人員二,687,2192428
201412,10007000,住,其他公共行政類,18973,58261438
201412,10007000,住,教育類,17732,54154212
201412,10007000,住,工商及服務類,152930,582605056
201412,10007000,住,專業及技術服務類,47515,184872287
201412,10007000,住,其他,57446,196450730
201501,10007000,住,軍警人員一,2330,7694343
201501,10007000,住,軍警人員二,722,1940286
201501,10007000,住,其他公共行政類,22056,64986994
201501,10007000,住,教育類,19623,60365468
201501,10007000,住,工商及服務類,157060,598481157
201501,10007000,住,專業及技術服務類,47925,187662974
201501,10007000,住,其他,58334,203728295
201502,10007000,住,軍警人員一,2270,7239831
201502,10007000,住,軍警人員二,604,1883175
201502,10007000,住,其他公共行政類,25317,65399546
201502,10007000,住,教育類,21636,60843400
201502,10007000,住,工商及服務類,149073,574578187
201502,10007000,住,專業及技術服務類,45601,174544481
201502,10007000,住,其他,55529,191592514
201503,10007000,住,軍警人員一,2024,5338989
201503,10007000,住,軍警人員二,591,1614490
201503,10007000,住,其他公共行政類,17056,45837716
201503,10007000,住,教育類,15797,41999178
201503,10007000,住,工商及服務類,133281,465595991
201503,10007000,住,專業及技術服務類,41935,152099493
201503,10007000,住,其他,48653,151520047
201504,10007000,住,軍警人員一,2013,6228236
201504,10007000,住,軍警人員二,561,2077374
201504,10007000,住,其他公共行政類,17689,52517847
201504,10007000,住,教育類,15802,44937720
201504,10007000,住,工商及服務類,128682,475800645
201504,10007000,住,專業及技術服務類,40250,151511407
201504,10007000,住,其他,46867,157330247
201505,10007000,住,軍警人員一,2091,6732646
201505,10007000,住,軍警人員二,556,1857602
201505,10007000,住,其他公共行政類,17462,50609922
201505,10007000,住,教育類,15698,47515184
201505,10007000,住,工商及服務類,134842,503313514
201505,10007000,住,專業及技術服務類,42332,155732388
201505,10007000,住,其他,48405,164668721
201506,10007000,住,軍警人員一,2307,6591676
201506,10007000,住,軍警人員二,537,1537111
201506,10007000,住,其他公共行政類,17489,51291282
201506,10007000,住,教育類,15779,48559832
201506,10007000,住,工商及服務類,134473,498350130
201506,10007000,住,專業及技術服務類,42291,156762927
201506,10007000,住,其他,49281,160489503
201507,10007000,住,軍警人員一,2205,7244189
201507,10007000,住,軍警人員二,594,1316896
201507,10007000,住,其他公共行政類,20984,61722506
201507,10007000,住,教育類,20083,57409633
201507,10007000,住,工商及服務類,141781,509512430
201507,10007000,住,專業及技術服務類,45510,164309620
201507,10007000,住,其他,53096,172059663
201508,10007000,住,軍警人員一,2226,6342147
201508,10007000,住,軍警人員二,660,1761989
201508,10007000,住,其他公共行政類,21422,58886456
201508,10007000,住,教育類,20862,58235409
201508,10007000,住,工商及服務類,147967,503992717
201508,10007000,住,專業及技術服務類,47392,164387603
201508,10007000,住,其他,54984,169723984
201509,10007000,住,軍警人員一,1825,4934194
201509,10007000,住,軍警人員二,491,1347103
201509,10007000,住,其他公共行政類,15145,42006586
201509,10007000,住,教育類,13810,38417636
201509,10007000,住,工商及服務類,120422,426312808
