年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,文教康樂,軍警人員一,424,1536514
201401,10020000,文教康樂,軍警人員二,138,442760
201401,10020000,文教康樂,其他公共行政類,5210,24217927
201401,10020000,文教康樂,教育類,3793,17044290
201401,10020000,文教康樂,工商及服務類,13851,72403940
201401,10020000,文教康樂,專業及技術服務類,5230,27263206
201401,10020000,文教康樂,其他,6097,31681527
201402,10020000,文教康樂,軍警人員一,340,1535808
201402,10020000,文教康樂,軍警人員二,115,442998
201402,10020000,文教康樂,其他公共行政類,4221,19290643
201402,10020000,文教康樂,教育類,3065,12117052
201402,10020000,文教康樂,工商及服務類,12890,80994923
201402,10020000,文教康樂,專業及技術服務類,4737,24181706
201402,10020000,文教康樂,其他,5590,30518480
201403,10020000,文教康樂,軍警人員一,396,1678207
201403,10020000,文教康樂,軍警人員二,135,471749
201403,10020000,文教康樂,其他公共行政類,4095,18990674
201403,10020000,文教康樂,教育類,3020,11605890
201403,10020000,文教康樂,工商及服務類,13116,74450228
201403,10020000,文教康樂,專業及技術服務類,5133,24552223
201403,10020000,文教康樂,其他,5699,33277472
201404,10020000,文教康樂,軍警人員一,343,1711110
201404,10020000,文教康樂,軍警人員二,117,922208
201404,10020000,文教康樂,其他公共行政類,3744,19548133
201404,10020000,文教康樂,教育類,2759,11584969
201404,10020000,文教康樂,工商及服務類,12030,82235298
201404,10020000,文教康樂,專業及技術服務類,5040,27839358
201404,10020000,文教康樂,其他,5465,34143300
201405,10020000,文教康樂,軍警人員一,367,2220950
201405,10020000,文教康樂,軍警人員二,126,464787
201405,10020000,文教康樂,其他公共行政類,3814,20141436
201405,10020000,文教康樂,教育類,2894,12880314
201405,10020000,文教康樂,工商及服務類,12194,79890436
201405,10020000,文教康樂,專業及技術服務類,5156,29960556
201405,10020000,文教康樂,其他,5592,39178527
201406,10020000,文教康樂,軍警人員一,415,2278709
201406,10020000,文教康樂,軍警人員二,119,708980
201406,10020000,文教康樂,其他公共行政類,3940,23834890
201406,10020000,文教康樂,教育類,3197,20991556
201406,10020000,文教康樂,工商及服務類,12251,84544513
201406,10020000,文教康樂,專業及技術服務類,5099,32304327
201406,10020000,文教康樂,其他,5702,41710788
201407,10020000,文教康樂,軍警人員一,359,1751703
201407,10020000,文教康樂,軍警人員二,110,327009
201407,10020000,文教康樂,其他公共行政類,4365,24980173
201407,10020000,文教康樂,教育類,3533,20115057
201407,10020000,文教康樂,工商及服務類,12052,76655033
201407,10020000,文教康樂,專業及技術服務類,4985,29549723
201407,10020000,文教康樂,其他,5963,38300674
201408,10020000,文教康樂,軍警人員一,446,2032505
201408,10020000,文教康樂,軍警人員二,96,354947
201408,10020000,文教康樂,其他公共行政類,4328,23108605
201408,10020000,文教康樂,教育類,3746,18069115
201408,10020000,文教康樂,工商及服務類,13263,84375184
201408,10020000,文教康樂,專業及技術服務類,5779,30603778
201408,10020000,文教康樂,其他,6552,40399674
201409,10020000,文教康樂,軍警人員一,346,1703706
201409,10020000,文教康樂,軍警人員二,114,466899
201409,10020000,文教康樂,其他公共行政類,3744,21592940
201409,10020000,文教康樂,教育類,2992,15421218
201409,10020000,文教康樂,工商及服務類,12747,89412062
201409,10020000,文教康樂,專業及技術服務類,5287,30840642
201409,10020000,文教康樂,其他,6243,38348376
201410,10020000,文教康樂,軍警人員一,416,1840936
201410,10020000,文教康樂,軍警人員二,115,608354
201410,10020000,文教康樂,其他公共行政類,3906,19536184
201410,10020000,文教康樂,教育類,3116,13979279
201410,10020000,文教康樂,工商及服務類,12570,80475506
201410,10020000,文教康樂,專業及技術服務類,5490,30747138
201410,10020000,文教康樂,其他,6015,39598655
201411,10020000,文教康樂,軍警人員一,450,2240754
201411,10020000,文教康樂,軍警人員二,100,358550
201411,10020000,文教康樂,其他公共行政類,3284,13249886
201411,10020000,文教康樂,教育類,2852,10715242
201411,10020000,文教康樂,工商及服務類,12054,64339689
201411,10020000,文教康樂,專業及技術服務類,5494,26701670
201411,10020000,文教康樂,其他,5705,30479604
201412,10020000,文教康樂,軍警人員一,449,2125491
201412,10020000,文教康樂,軍警人員二,113,576544
201412,10020000,文教康樂,其他公共行政類,3359,14896784
201412,10020000,文教康樂,教育類,2896,10884914
201412,10020000,文教康樂,工商及服務類,12867,69432082
201412,10020000,文教康樂,專業及技術服務類,5760,28755402
201412,10020000,文教康樂,其他,6142,33464112
201501,10020000,文教康樂,軍警人員一,481,1912084
201501,10020000,文教康樂,軍警人員二,138,470898
201501,10020000,文教康樂,其他公共行政類,4478,24098665
201501,10020000,文教康樂,教育類,3404,15445895
201501,10020000,文教康樂,工商及服務類,12962,73208998
201501,10020000,文教康樂,專業及技術服務類,5845,27963818
201501,10020000,文教康樂,其他,6249,31939872
201502,10020000,文教康樂,軍警人員一,452,2180596
201502,10020000,文教康樂,軍警人員二,126,787573
201502,10020000,文教康樂,其他公共行政類,5156,23687786
