年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,食,軍警人員一,1394,2033421
201401,10020000,食,軍警人員二,478,760221
201401,10020000,食,其他公共行政類,21277,32549681
201401,10020000,食,教育類,15437,26835435
201401,10020000,食,工商及服務類,79851,148766895
201401,10020000,食,專業及技術服務類,30755,60803946
201401,10020000,食,其他,53297,87492143
201402,10020000,食,軍警人員一,1039,1449732
201402,10020000,食,軍警人員二,333,544857
201402,10020000,食,其他公共行政類,15608,20367971
201402,10020000,食,教育類,11848,17121145
201402,10020000,食,工商及服務類,58544,92390382
201402,10020000,食,專業及技術服務類,22675,33074734
201402,10020000,食,其他,38145,51768240
201403,10020000,食,軍警人員一,1228,1552341
201403,10020000,食,軍警人員二,374,436282
201403,10020000,食,其他公共行政類,17376,20875366
201403,10020000,食,教育類,13443,19439184
201403,10020000,食,工商及服務類,68307,99335621
201403,10020000,食,專業及技術服務類,26530,38198499
201403,10020000,食,其他,46183,59869235
201404,10020000,食,軍警人員一,1096,1470538
201404,10020000,食,軍警人員二,333,451161
201404,10020000,食,其他公共行政類,16475,20713559
201404,10020000,食,教育類,12798,17845084
201404,10020000,食,工商及服務類,64096,94184242
201404,10020000,食,專業及技術服務類,25591,35392420
201404,10020000,食,其他,43712,58238078
201405,10020000,食,軍警人員一,1275,2056391
201405,10020000,食,軍警人員二,369,596332
201405,10020000,食,其他公共行政類,17092,23690706
201405,10020000,食,教育類,13515,22183106
201405,10020000,食,工商及服務類,67225,111768365
201405,10020000,食,專業及技術服務類,26619,42534849
201405,10020000,食,其他,44419,65935665
201406,10020000,食,軍警人員一,1261,1720955
201406,10020000,食,軍警人員二,385,472053
201406,10020000,食,其他公共行政類,17303,22432648
201406,10020000,食,教育類,13631,20526302
201406,10020000,食,工商及服務類,66622,105807229
201406,10020000,食,專業及技術服務類,26900,41205140
201406,10020000,食,其他,44722,62650740
201407,10020000,食,軍警人員一,1228,1760592
201407,10020000,食,軍警人員二,395,565348
201407,10020000,食,其他公共行政類,19303,25553554
201407,10020000,食,教育類,15509,22004547
201407,10020000,食,工商及服務類,72873,117156637
201407,10020000,食,專業及技術服務類,29180,44516494
201407,10020000,食,其他,49696,72021791
201408,10020000,食,軍警人員一,1445,2096607
201408,10020000,食,軍警人員二,467,728871
201408,10020000,食,其他公共行政類,20404,28987265
201408,10020000,食,教育類,16579,24883226
201408,10020000,食,工商及服務類,78904,138681316
201408,10020000,食,專業及技術服務類,31525,51483642
201408,10020000,食,其他,52484,79059602
201409,10020000,食,軍警人員一,1180,1614669
201409,10020000,食,軍警人員二,383,483416
201409,10020000,食,其他公共行政類,16838,22440098
201409,10020000,食,教育類,14222,20813845
201409,10020000,食,工商及服務類,69174,110277719
201409,10020000,食,專業及技術服務類,28428,43288367
201409,10020000,食,其他,46183,65248835
201410,10020000,食,軍警人員一,1175,1476988
201410,10020000,食,軍警人員二,348,468865
201410,10020000,食,其他公共行政類,16431,20172794
201410,10020000,食,教育類,13797,19851293
201410,10020000,食,工商及服務類,64446,97022017
201410,10020000,食,專業及技術服務類,26959,39590035
201410,10020000,食,其他,44634,60673484
201411,10020000,食,軍警人員一,1105,1429191
201411,10020000,食,軍警人員二,322,388772
201411,10020000,食,其他公共行政類,15565,20968264
201411,10020000,食,教育類,13625,21805963
201411,10020000,食,工商及服務類,63588,103406733
201411,10020000,食,專業及技術服務類,26683,41498389
201411,10020000,食,其他,42569,62434332
201412,10020000,食,軍警人員一,1232,1550152
201412,10020000,食,軍警人員二,373,554867
201412,10020000,食,其他公共行政類,16563,23740049
201412,10020000,食,教育類,14153,23017105
201412,10020000,食,工商及服務類,66598,112888386
