年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,住,軍警人員一,524,2230913
201401,10020000,住,軍警人員二,149,588072
201401,10020000,住,其他公共行政類,5196,15385822
201401,10020000,住,教育類,3090,9666410
201401,10020000,住,工商及服務類,17102,85262922
201401,10020000,住,專業及技術服務類,5732,33126486
201401,10020000,住,其他,7556,32676200
201402,10020000,住,軍警人員一,430,1334406
201402,10020000,住,軍警人員二,100,263860
201402,10020000,住,其他公共行政類,3661,9952090
201402,10020000,住,教育類,2292,6319647
201402,10020000,住,工商及服務類,13358,61837862
201402,10020000,住,專業及技術服務類,4730,22584399
201402,10020000,住,其他,5766,21479923
201403,10020000,住,軍警人員一,386,1255186
201403,10020000,住,軍警人員二,95,241824
201403,10020000,住,其他公共行政類,3221,8490797
201403,10020000,住,教育類,2059,5830811
201403,10020000,住,工商及服務類,13217,66843084
201403,10020000,住,專業及技術服務類,4743,27056301
201403,10020000,住,其他,5545,22089237
201404,10020000,住,軍警人員一,339,1107651
201404,10020000,住,軍警人員二,108,459696
201404,10020000,住,其他公共行政類,3114,9479591
201404,10020000,住,教育類,1929,6142626
201404,10020000,住,工商及服務類,12642,70549175
201404,10020000,住,專業及技術服務類,4557,26990659
201404,10020000,住,其他,5414,25122093
201405,10020000,住,軍警人員一,451,1869460
201405,10020000,住,軍警人員二,107,436031
201405,10020000,住,其他公共行政類,3516,10421984
201405,10020000,住,教育類,2098,5981740
201405,10020000,住,工商及服務類,13778,71318204
201405,10020000,住,專業及技術服務類,4978,25659710
201405,10020000,住,其他,6022,25513656
201406,10020000,住,軍警人員一,468,1476508
201406,10020000,住,軍警人員二,104,460847
201406,10020000,住,其他公共行政類,3428,10703830
201406,10020000,住,教育類,2306,7748356
201406,10020000,住,工商及服務類,13387,70113273
201406,10020000,住,專業及技術服務類,4926,25229569
201406,10020000,住,其他,5950,23904491
201407,10020000,住,軍警人員一,495,2095379
201407,10020000,住,軍警人員二,112,412503
201407,10020000,住,其他公共行政類,3924,13124359
201407,10020000,住,教育類,2713,9509961
201407,10020000,住,工商及服務類,14446,78665372
201407,10020000,住,專業及技術服務類,5235,28424603
201407,10020000,住,其他,6366,28433224
201408,10020000,住,軍警人員一,396,1613757
201408,10020000,住,軍警人員二,108,320271
201408,10020000,住,其他公共行政類,3956,11679990
201408,10020000,住,教育類,2704,8464395
201408,10020000,住,工商及服務類,14669,70927220
