年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,其他,軍警人員一,913,4013817
201401,10020000,其他,軍警人員二,234,934894
201401,10020000,其他,其他公共行政類,8454,34596239
201401,10020000,其他,教育類,6639,23021900
201401,10020000,其他,工商及服務類,40622,154064819
201401,10020000,其他,專業及技術服務類,13288,47344981
201401,10020000,其他,其他,19501,67063407
201402,10020000,其他,軍警人員一,644,2717884
201402,10020000,其他,軍警人員二,199,760042
201402,10020000,其他,其他公共行政類,6298,24172486
201402,10020000,其他,教育類,5429,17751301
201402,10020000,其他,工商及服務類,32612,119972939
201402,10020000,其他,專業及技術服務類,10467,34000491
201402,10020000,其他,其他,15290,51893037
201403,10020000,其他,軍警人員一,682,2372607
201403,10020000,其他,軍警人員二,177,887367
201403,10020000,其他,其他公共行政類,6097,24919950
201403,10020000,其他,教育類,4770,16898318
201403,10020000,其他,工商及服務類,32038,128039609
201403,10020000,其他,專業及技術服務類,10785,37871749
201403,10020000,其他,其他,15699,54948803
201404,10020000,其他,軍警人員一,644,2421155
201404,10020000,其他,軍警人員二,207,808866
201404,10020000,其他,其他公共行政類,6345,22918622
201404,10020000,其他,教育類,5199,17356527
201404,10020000,其他,工商及服務類,32783,120924386
201404,10020000,其他,專業及技術服務類,11382,37514099
201404,10020000,其他,其他,16511,54909729
201405,10020000,其他,軍警人員一,775,2893089
201405,10020000,其他,軍警人員二,240,809552
201405,10020000,其他,其他公共行政類,7316,25039050
201405,10020000,其他,教育類,5776,17476355
201405,10020000,其他,工商及服務類,37624,126941800
201405,10020000,其他,專業及技術服務類,13507,39957707
201405,10020000,其他,其他,18797,58261770
201406,10020000,其他,軍警人員一,753,2614218
201406,10020000,其他,軍警人員二,236,1012834
201406,10020000,其他,其他公共行政類,7052,26731012
201406,10020000,其他,教育類,5520,16975974
201406,10020000,其他,工商及服務類,34480,120989321
201406,10020000,其他,專業及技術服務類,12123,38346251
201406,10020000,其他,其他,17266,54265789
201407,10020000,其他,軍警人員一,896,3557922
201407,10020000,其他,軍警人員二,349,1252249
201407,10020000,其他,其他公共行政類,10954,37694830
201407,10020000,其他,教育類,7907,23927168
201407,10020000,其他,工商及服務類,49595,169618763
201407,10020000,其他,專業及技術服務類,17308,56191302
201407,10020000,其他,其他,24611,79559645
201408,10020000,其他,軍警人員一,806,4430125
201408,10020000,其他,軍警人員二,229,948571
201408,10020000,其他,其他公共行政類,7551,26389542
201408,10020000,其他,教育類,6200,17659750
201408,10020000,其他,工商及服務類,36489,125952121
201408,10020000,其他,專業及技術服務類,13188,40310815
201408,10020000,其他,其他,18445,57658587
201409,10020000,其他,軍警人員一,766,2961229
201409,10020000,其他,軍警人員二,238,854177
201409,10020000,其他,其他公共行政類,6733,24625486
201409,10020000,其他,教育類,5476,18855877
201409,10020000,其他,工商及服務類,34032,127486997
201409,10020000,其他,專業及技術服務類,12197,40824485
201409,10020000,其他,其他,17298,57792353
201410,10020000,其他,軍警人員一,797,3068537
201410,10020000,其他,軍警人員二,243,928792
201410,10020000,其他,其他公共行政類,7130,29644640
201410,10020000,其他,教育類,5706,20301831
201410,10020000,其他,工商及服務類,36014,136422094
201410,10020000,其他,專業及技術服務類,12879,43360700
201410,10020000,其他,其他,18171,63003969
201411,10020000,其他,軍警人員一,805,3439884
201411,10020000,其他,軍警人員二,202,743052
201411,10020000,其他,其他公共行政類,6594,27612199
201411,10020000,其他,教育類,5533,18584969
201411,10020000,其他,工商及服務類,33911,125514619
201411,10020000,其他,專業及技術服務類,12337,39850330
201411,10020000,其他,其他,16918,54842738
201412,10020000,其他,軍警人員一,864,3620186
201412,10020000,其他,軍警人員二,254,934837
201412,10020000,其他,其他公共行政類,7675,31148903
201412,10020000,其他,教育類,6156,19652774
201412,10020000,其他,工商及服務類,38496,145713146
201412,10020000,其他,專業及技術服務類,14020,46292443
201412,10020000,其他,其他,19388,62264764
201501,10020000,其他,軍警人員一,896,3911269
201501,10020000,其他,軍警人員二,249,758131
201501,10020000,其他,其他公共行政類,7298,32039101
201501,10020000,其他,教育類,5996,17653985
201501,10020000,其他,工商及服務類,37112,145125729
201501,10020000,其他,專業及技術服務類,13355,45942191
201501,10020000,其他,其他,18346,62515036
201502,10020000,其他,軍警人員一,804,3365081
201502,10020000,其他,軍警人員二,261,1152822
201502,10020000,其他,其他公共行政類,6763,28297388
201502,10020000,其他,教育類,5761,18781829
201502,10020000,其他,工商及服務類,33488,127548692
201502,10020000,其他,專業及技術服務類,11977,41151542
201502,10020000,其他,其他,16665,57815609
201503,10020000,其他,軍警人員一,776,2996901
201503,10020000,其他,軍警人員二,210,823331
201503,10020000,其他,其他公共行政類,6273,25102306
201503,10020000,其他,教育類,5313,16745067
201503,10020000,其他,工商及服務類,33655,124132100
201503,10020000,其他,專業及技術服務類,12104,40079142
201503,10020000,其他,其他,17023,55123348
201504,10020000,其他,軍警人員一,722,2296665
201504,10020000,其他,軍警人員二,201,757168
201504,10020000,其他,其他公共行政類,6322,26041388
201504,10020000,其他,教育類,5575,16851339
201504,10020000,其他,工商及服務類,33528,126073870
201504,10020000,其他,專業及技術服務類,12344,39273419
201504,10020000,其他,其他,17275,59450801
201505,10020000,其他,軍警人員一,801,3674198
201505,10020000,其他,軍警人員二,223,1183730
201505,10020000,其他,其他公共行政類,6353,26046560
201505,10020000,其他,教育類,5565,19824863
201505,10020000,其他,工商及服務類,34088,128872355
201505,10020000,其他,專業及技術服務類,12605,41729434
201505,10020000,其他,其他,17190,61209518
201506,10020000,其他,軍警人員一,815,3398977
201506,10020000,其他,軍警人員二,202,1015912
201506,10020000,其他,其他公共行政類,6765,27881095
201506,10020000,其他,教育類,5584,19170934
201506,10020000,其他,工商及服務類,34023,134496567
201506,10020000,其他,專業及技術服務類,12852,42204922
201506,10020000,其他,其他,17392,60993000
201507,10020000,其他,軍警人員一,1047,3827008
201507,10020000,其他,軍警人員二,454,1912769
201507,10020000,其他,其他公共行政類,11424,42690971
201507,10020000,其他,教育類,8624,26774018
201507,10020000,其他,工商及服務類,52865,182739512
201507,10020000,其他,專業及技術服務類,18448,57872950
201507,10020000,其他,其他,26423,85991816
201508,10020000,其他,軍警人員一,924,3532011
201508,10020000,其他,軍警人員二,294,967462
201508,10020000,其他,其他公共行政類,7772,29328860
201508,10020000,其他,教育類,6863,20187587
201508,10020000,其他,工商及服務類,38427,127369841
201508,10020000,其他,專業及技術服務類,14073,41971462
201508,10020000,其他,其他,19638,61743979
201509,10020000,其他,軍警人員一,826,2539746
201509,10020000,其他,軍警人員二,200,784443
201509,10020000,其他,其他公共行政類,6572,25447816
201509,10020000,其他,教育類,5594,16956545
201509,10020000,其他,工商及服務類,33483,115884820
201509,10020000,其他,專業及技術服務類,12382,37532264
201509,10020000,其他,其他,17232,55089127
201510,10020000,其他,軍警人員一,859,3414286
201510,10020000,其他,軍警人員二,253,916887
201510,10020000,其他,其他公共行政類,6973,30197773
201510,10020000,其他,教育類,5909,21394817
201510,10020000,其他,工商及服務類,35582,137626712
201510,10020000,其他,專業及技術服務類,13543,47247600
201510,10020000,其他,其他,18273,65109712
201511,10020000,其他,軍警人員一,873,3378185
201511,10020000,其他,軍警人員二,239,1044519
201511,10020000,其他,其他公共行政類,6290,28761001
201511,10020000,其他,教育類,5325,18857014
201511,10020000,其他,工商及服務類,33164,127452193
201511,10020000,其他,專業及技術服務類,12827,43997492
201511,10020000,其他,其他,17055,60722322
201512,10020000,其他,軍警人員一,821,3594499
201512,10020000,其他,軍警人員二,247,1081255
201512,10020000,其他,其他公共行政類,6628,30584062
201512,10020000,其他,教育類,5591,20627080
201512,10020000,其他,工商及服務類,35369,136783079
201512,10020000,其他,專業及技術服務類,13552,46743641
201512,10020000,其他,其他,18229,63542629
201601,10020000,其他,軍警人員一,758,3034235
201601,10020000,其他,軍警人員二,182,680879
201601,10020000,其他,其他公共行政類,5051,26281369
201601,10020000,其他,教育類,4259,17344174
201601,10020000,其他,工商及服務類,25949,110708421
201601,10020000,其他,專業及技術服務類,10177,38058685
201601,10020000,其他,其他,13092,50340508
201602,10020000,其他,軍警人員一,841,3591324
201602,10020000,其他,軍警人員二,187,613064
201602,10020000,其他,其他公共行政類,5671,24151670
201602,10020000,其他,教育類,5237,15638369
201602,10020000,其他,工商及服務類,28587,106805878
201602,10020000,其他,專業及技術服務類,12257,38504140
201602,10020000,其他,其他,13815,50035085
201603,10020000,其他,軍警人員一,723,2636871
201603,10020000,其他,軍警人員二,234,816247
201603,10020000,其他,其他公共行政類,4668,23508859
201603,10020000,其他,教育類,4345,14804046
201603,10020000,其他,工商及服務類,25700,103160326
201603,10020000,其他,專業及技術服務類,10967,34100989
201603,10020000,其他,其他,12652,45345144
201604,10020000,其他,軍警人員一,731,2421464
201604,10020000,其他,軍警人員二,194,623860
201604,10020000,其他,其他公共行政類,4861,24236915
201604,10020000,其他,教育類,4591,14733257
201604,10020000,其他,工商及服務類,25836,102435497
201604,10020000,其他,專業及技術服務類,11341,36242552
201604,10020000,其他,其他,12997,45185563
201605,10020000,其他,軍警人員一,733,2631714
201605,10020000,其他,軍警人員二,242,578159
201605,10020000,其他,其他公共行政類,5017,24886808
201605,10020000,其他,教育類,4636,17158608
201605,10020000,其他,工商及服務類,27119,103956230
201605,10020000,其他,專業及技術服務類,11482,37589822
201605,10020000,其他,其他,13525,51965177
201606,10020000,其他,軍警人員一,801,2869902
201606,10020000,其他,軍警人員二,250,921692
201606,10020000,其他,其他公共行政類,5378,27212213
201606,10020000,其他,教育類,4890,17503433
201606,10020000,其他,工商及服務類,28791,106648982
201606,10020000,其他,專業及技術服務類,12212,40093261
201606,10020000,其他,其他,14671,49645928
201607,10020000,其他,軍警人員一,1067,3541599
201607,10020000,其他,軍警人員二,362,1259490
201607,10020000,其他,其他公共行政類,10870,40839126
201607,10020000,其他,教育類,7689,24110769
201607,10020000,其他,工商及服務類,49756,167707386
201607,10020000,其他,專業及技術服務類,18216,57229496
201607,10020000,其他,其他,23968,80426470
201608,10020000,其他,軍警人員一,755,2957543
201608,10020000,其他,軍警人員二,202,614746
201608,10020000,其他,其他公共行政類,6409,33724931
201608,10020000,其他,教育類,5789,21260646
201608,10020000,其他,工商及服務類,32347,120914623
201608,10020000,其他,專業及技術服務類,12963,43026051
201608,10020000,其他,其他,16613,59725661
201609,10020000,其他,軍警人員一,716,2723863
201609,10020000,其他,軍警人員二,160,826261
201609,10020000,其他,其他公共行政類,5382,20529013
201609,10020000,其他,教育類,4778,17450990
201609,10020000,其他,工商及服務類,27618,107584492
201609,10020000,其他,專業及技術服務類,11222,38697275
201609,10020000,其他,其他,13992,51790552
201610,10020000,其他,軍警人員一,819,3754651
201610,10020000,其他,軍警人員二,228,741902
201610,10020000,其他,其他公共行政類,6096,25082620
201610,10020000,其他,教育類,5158,19037133
201610,10020000,其他,工商及服務類,30558,120454051
201610,10020000,其他,專業及技術服務類,12235,42706113
201610,10020000,其他,其他,15530,56085966
201611,10020000,其他,軍警人員一,707,3149832
201611,10020000,其他,軍警人員二,157,623934
201611,10020000,其他,其他公共行政類,5193,22329781
201611,10020000,其他,教育類,4620,18394899
201611,10020000,其他,工商及服務類,27179,111165684
201611,10020000,其他,專業及技術服務類,11114,41282507
201611,10020000,其他,其他,13787,51082583
201612,10020000,其他,軍警人員一,792,3370054
201612,10020000,其他,軍警人員二,221,834505
201612,10020000,其他,其他公共行政類,5723,24137728
201612,10020000,其他,教育類,4996,18138684
201612,10020000,其他,工商及服務類,29601,121804296
201612,10020000,其他,專業及技術服務類,12167,43949394
201612,10020000,其他,其他,14941,53450024
201701,10020000,其他,軍警人員一,792,3795665
201701,10020000,其他,軍警人員二,201,661171
201701,10020000,其他,其他公共行政類,5508,23388442
201701,10020000,其他,教育類,5169,16642894
201701,10020000,其他,工商及服務類,28922,116919169
201701,10020000,其他,專業及技術服務類,11650,40235523
201701,10020000,其他,其他,14930,57011197
201702,10020000,其他,軍警人員一,654,2788024
201702,10020000,其他,軍警人員二,156,714934
201702,10020000,其他,其他公共行政類,4510,18115243
201702,10020000,其他,教育類,4755,13690385
201702,10020000,其他,工商及服務類,25006,94620099
201702,10020000,其他,專業及技術服務類,10318,35322937
201702,10020000,其他,其他,13053,48806342
201703,10020000,其他,軍警人員一,645,2436436
201703,10020000,其他,軍警人員二,199,792957
201703,10020000,其他,其他公共行政類,4495,18412563
201703,10020000,其他,教育類,4652,14016385
201703,10020000,其他,工商及服務類,25767,99696813
201703,10020000,其他,專業及技術服務類,10732,37170250
201703,10020000,其他,其他,13410,46714407
201704,10020000,其他,軍警人員一,667,2920802
201704,10020000,其他,軍警人員二,199,807616
201704,10020000,其他,其他公共行政類,4917,18275527
201704,10020000,其他,教育類,4786,13956501
201704,10020000,其他,工商及服務類,26396,99135542
201704,10020000,其他,專業及技術服務類,11148,34520327
201704,10020000,其他,其他,13479,46122205
201705,10020000,其他,軍警人員一,694,3280191
201705,10020000,其他,軍警人員二,206,1013309
201705,10020000,其他,其他公共行政類,4908,20283154
201705,10020000,其他,教育類,4978,15987094
201705,10020000,其他,工商及服務類,27465,110009707
201705,10020000,其他,專業及技術服務類,11448,38235590
201705,10020000,其他,其他,14142,54766026
201706,10020000,其他,軍警人員一,660,2749346
201706,10020000,其他,軍警人員二,209,710239
201706,10020000,其他,其他公共行政類,4875,19588747
201706,10020000,其他,教育類,4819,14544285
201706,10020000,其他,工商及服務類,26959,104225430
201706,10020000,其他,專業及技術服務類,10959,34770332
201706,10020000,其他,其他,13890,49859700
201707,10020000,其他,軍警人員一,1190,3894805
201707,10020000,其他,軍警人員二,511,1728511
201707,10020000,其他,其他公共行政類,11160,38278701
201707,10020000,其他,教育類,9545,28922113
201707,10020000,其他,工商及服務類,56955,193057218
201707,10020000,其他,專業及技術服務類,20521,62961357
201707,10020000,其他,其他,26631,86362392
201708,10020000,其他,軍警人員一,745,3114506
201708,10020000,其他,軍警人員二,197,1054826
201708,10020000,其他,其他公共行政類,5832,21847654
201708,10020000,其他,教育類,5949,18611365
201708,10020000,其他,工商及服務類,31958,119020950
201708,10020000,其他,專業及技術服務類,13098,43623257
201708,10020000,其他,其他,15730,53683033
201709,10020000,其他,軍警人員一,720,3586667
201709,10020000,其他,軍警人員二,207,832368
201709,10020000,其他,其他公共行政類,4956,19898972
201709,10020000,其他,教育類,4970,17856041
201709,10020000,其他,工商及服務類,27622,109531691
201709,10020000,其他,專業及技術服務類,11653,41183418
201709,10020000,其他,其他,14032,54266435
