年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,百貨,軍警人員一,0,0
201401,10010000,百貨,軍警人員二,0,0
201401,10010000,百貨,其他公共行政類,4,7640
201401,10010000,百貨,教育類,2,9365
201401,10010000,百貨,工商及服務類,25,135155
201401,10010000,百貨,專業及技術服務類,7,42844
201401,10010000,百貨,其他,9,66850
201402,10010000,百貨,軍警人員一,0,0
201402,10010000,百貨,軍警人員二,0,0
201402,10010000,百貨,其他公共行政類,7,53860
201402,10010000,百貨,教育類,1,7600
201402,10010000,百貨,工商及服務類,10,65591
201402,10010000,百貨,專業及技術服務類,3,12340
201402,10010000,百貨,其他,12,63670
201403,10010000,百貨,軍警人員一,0,0
201403,10010000,百貨,軍警人員二,0,0
201403,10010000,百貨,其他公共行政類,2,16850
201403,10010000,百貨,教育類,3,26690
201403,10010000,百貨,工商及服務類,16,86825
201403,10010000,百貨,專業及技術服務類,2,18430
201403,10010000,百貨,其他,12,53260
201404,10010000,百貨,軍警人員一,0,0
201404,10010000,百貨,軍警人員二,0,0
201404,10010000,百貨,其他公共行政類,4,17797
201404,10010000,百貨,教育類,1,6760
201404,10010000,百貨,工商及服務類,9,59185
201404,10010000,百貨,專業及技術服務類,3,23600
201404,10010000,百貨,其他,8,57775
201405,10010000,百貨,軍警人員一,0,0
201405,10010000,百貨,軍警人員二,0,0
201405,10010000,百貨,其他公共行政類,30,45005
201405,10010000,百貨,教育類,1,720
201405,10010000,百貨,工商及服務類,51,101610
201405,10010000,百貨,專業及技術服務類,13,33212
201405,10010000,百貨,其他,61,140976
201406,10010000,百貨,軍警人員一,0,0
201406,10010000,百貨,軍警人員二,0,0
201406,10010000,百貨,其他公共行政類,90,87677
201406,10010000,百貨,教育類,5,6620
201406,10010000,百貨,工商及服務類,171,323060
201406,10010000,百貨,專業及技術服務類,37,32726
201406,10010000,百貨,其他,185,188803
201407,10010000,百貨,軍警人員一,0,0
201407,10010000,百貨,軍警人員二,0,0
201407,10010000,百貨,其他公共行政類,51,46571
201407,10010000,百貨,教育類,3,16680
201407,10010000,百貨,工商及服務類,141,171957
201407,10010000,百貨,專業及技術服務類,23,22249
201407,10010000,百貨,其他,118,128927
201408,10010000,百貨,軍警人員一,0,0
201408,10010000,百貨,軍警人員二,0,0
201408,10010000,百貨,其他公共行政類,53,54445
201408,10010000,百貨,教育類,5,19220
201408,10010000,百貨,工商及服務類,127,177416
201408,10010000,百貨,專業及技術服務類,35,32575
201408,10010000,百貨,其他,127,204027
201409,10010000,百貨,軍警人員一,0,0
201409,10010000,百貨,軍警人員二,0,0
201409,10010000,百貨,其他公共行政類,73,100142
201409,10010000,百貨,教育類,4,11147
201409,10010000,百貨,工商及服務類,117,148437
201409,10010000,百貨,專業及技術服務類,24,36425
201409,10010000,百貨,其他,105,101909
201410,10010000,百貨,軍警人員一,0,0
201410,10010000,百貨,軍警人員二,0,0
201410,10010000,百貨,其他公共行政類,49,30929
201410,10010000,百貨,教育類,3,10380
201410,10010000,百貨,工商及服務類,114,131637
201410,10010000,百貨,專業及技術服務類,28,21733
201410,10010000,百貨,其他,127,141897
201411,10010000,百貨,軍警人員一,0,0
201411,10010000,百貨,軍警人員二,0,0
201411,10010000,百貨,其他公共行政類,62,55968
201411,10010000,百貨,教育類,5,17532
201411,10010000,百貨,工商及服務類,88,97922
201411,10010000,百貨,專業及技術服務類,24,56397
201411,10010000,百貨,其他,108,156951
201412,10010000,百貨,軍警人員一,0,0
201412,10010000,百貨,軍警人員二,0,0
201412,10010000,百貨,其他公共行政類,71,61417
201412,10010000,百貨,教育類,4,14055
201412,10010000,百貨,工商及服務類,116,190112
201412,10010000,百貨,專業及技術服務類,24,28151
201412,10010000,百貨,其他,161,182215
201501,10010000,百貨,軍警人員一,0,0
201501,10010000,百貨,軍警人員二,0,0
201501,10010000,百貨,其他公共行政類,64,68965
201501,10010000,百貨,教育類,5,13509
201501,10010000,百貨,工商及服務類,107,176226
201501,10010000,百貨,專業及技術服務類,32,64605
