年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,行,軍警人員一,920,972708
201401,10010000,行,軍警人員二,1011,927704
201401,10010000,行,其他公共行政類,3824,4115770
201401,10010000,行,教育類,4702,4838456
201401,10010000,行,工商及服務類,36328,43325669
201401,10010000,行,專業及技術服務類,13535,15645727
201401,10010000,行,其他,11416,13552406
201402,10010000,行,軍警人員一,988,1184881
201402,10010000,行,軍警人員二,951,897343
201402,10010000,行,其他公共行政類,3660,3690901
201402,10010000,行,教育類,4342,4591487
201402,10010000,行,工商及服務類,35075,39156733
201402,10010000,行,專業及技術服務類,13227,15063599
201402,10010000,行,其他,10972,12688009
201403,10010000,行,軍警人員一,924,1030457
201403,10010000,行,軍警人員二,1002,916976
201403,10010000,行,其他公共行政類,3662,3688874
201403,10010000,行,教育類,4602,4911740
201403,10010000,行,工商及服務類,36402,41554464
201403,10010000,行,專業及技術服務類,13863,16395402
201403,10010000,行,其他,11541,12925638
201404,10010000,行,軍警人員一,932,1005509
201404,10010000,行,軍警人員二,964,843816
201404,10010000,行,其他公共行政類,3611,3720317
201404,10010000,行,教育類,4496,4446721
201404,10010000,行,工商及服務類,35419,40702685
201404,10010000,行,專業及技術服務類,13493,16185076
201404,10010000,行,其他,11164,12961556
201405,10010000,行,軍警人員一,928,964237
201405,10010000,行,軍警人員二,1005,960262
201405,10010000,行,其他公共行政類,3655,3631195
201405,10010000,行,教育類,4712,5006586
201405,10010000,行,工商及服務類,35847,41970938
201405,10010000,行,專業及技術服務類,13898,16568279
201405,10010000,行,其他,11413,13387145
201406,10010000,行,軍警人員一,984,1200370
201406,10010000,行,軍警人員二,1026,923858
201406,10010000,行,其他公共行政類,3770,4039156
201406,10010000,行,教育類,4801,5051340
201406,10010000,行,工商及服務類,36239,42041637
201406,10010000,行,專業及技術服務類,13960,16854497
201406,10010000,行,其他,11656,13606427
201407,10010000,行,軍警人員一,990,1054949
201407,10010000,行,軍警人員二,1082,1004801
201407,10010000,行,其他公共行政類,3977,4318714
201407,10010000,行,教育類,4871,5278487
201407,10010000,行,工商及服務類,37073,41535305
201407,10010000,行,專業及技術服務類,14521,17098158
201407,10010000,行,其他,11727,14296966
201408,10010000,行,軍警人員一,963,976380
201408,10010000,行,軍警人員二,1075,997556
201408,10010000,行,其他公共行政類,3997,4204589
201408,10010000,行,教育類,5061,5167491
201408,10010000,行,工商及服務類,37285,40973554
201408,10010000,行,專業及技術服務類,14258,16116844
201408,10010000,行,其他,11886,13531399
201409,10010000,行,軍警人員一,952,961618
201409,10010000,行,軍警人員二,1017,918768
201409,10010000,行,其他公共行政類,3826,3944924
201409,10010000,行,教育類,4620,4609700
201409,10010000,行,工商及服務類,35620,38236904
201409,10010000,行,專業及技術服務類,13912,15949487
201409,10010000,行,其他,11693,12441203
201410,10010000,行,軍警人員一,1027,1050761
201410,10010000,行,軍警人員二,1078,932737
201410,10010000,行,其他公共行政類,3961,3820992
201410,10010000,行,教育類,4974,4540842
201410,10010000,行,工商及服務類,37563,39245359
201410,10010000,行,專業及技術服務類,14654,15442515
201410,10010000,行,其他,12098,12915816
201411,10010000,行,軍警人員一,947,910342
