年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,住,軍警人員一,515,4317612
201401,10018000,住,軍警人員二,33,229578
201401,10018000,住,其他公共行政類,1830,9460039
201401,10018000,住,教育類,1503,9519597
201401,10018000,住,工商及服務類,11633,89929189
201401,10018000,住,專業及技術服務類,3982,31450579
201401,10018000,住,其他,4389,29637358
201402,10018000,住,軍警人員一,501,2296089
201402,10018000,住,軍警人員二,27,133458
201402,10018000,住,其他公共行政類,1457,6600743
201402,10018000,住,教育類,1238,5151358
201402,10018000,住,工商及服務類,9907,66002902
201402,10018000,住,專業及技術服務類,3460,24357586
201402,10018000,住,其他,3949,22056592
201403,10018000,住,軍警人員一,455,2295283
201403,10018000,住,軍警人員二,27,74731
201403,10018000,住,其他公共行政類,1266,5785396
201403,10018000,住,教育類,1182,6009913
201403,10018000,住,工商及服務類,10228,72355806
201403,10018000,住,專業及技術服務類,3443,23505434
201403,10018000,住,其他,3799,21467743
201404,10018000,住,軍警人員一,488,2442794
201404,10018000,住,軍警人員二,28,166394
201404,10018000,住,其他公共行政類,1266,8210349
201404,10018000,住,教育類,1174,6526145
201404,10018000,住,工商及服務類,10005,72892295
201404,10018000,住,專業及技術服務類,3508,27543806
201404,10018000,住,其他,4070,25718772
201405,10018000,住,軍警人員一,581,3352658
201405,10018000,住,軍警人員二,44,185478
201405,10018000,住,其他公共行政類,1368,7191132
201405,10018000,住,教育類,1364,7689024
201405,10018000,住,工商及服務類,10583,66992334
201405,10018000,住,專業及技術服務類,3594,24250804
201405,10018000,住,其他,4113,24036847
201406,10018000,住,軍警人員一,508,2652294
201406,10018000,住,軍警人員二,26,155127
201406,10018000,住,其他公共行政類,1431,8125379
201406,10018000,住,教育類,1523,8653695
201406,10018000,住,工商及服務類,10856,75420570
201406,10018000,住,專業及技術服務類,3856,28546414
201406,10018000,住,其他,4393,27673338
201407,10018000,住,軍警人員一,535,2990044
201407,10018000,住,軍警人員二,22,118864
201407,10018000,住,其他公共行政類,1817,9637567
201407,10018000,住,教育類,1759,11163330
201407,10018000,住,工商及服務類,11789,85842461
201407,10018000,住,專業及技術服務類,4081,29366408
201407,10018000,住,其他,4881,32266293
201408,10018000,住,軍警人員一,585,3035275
201408,10018000,住,軍警人員二,61,195682
201408,10018000,住,其他公共行政類,1758,10260382
201408,10018000,住,教育類,1650,7423143
201408,10018000,住,工商及服務類,11674,76926342
201408,10018000,住,專業及技術服務類,4207,27826074
201408,10018000,住,其他,4862,30705819
201409,10018000,住,軍警人員一,485,2441701
201409,10018000,住,軍警人員二,30,104600
201409,10018000,住,其他公共行政類,1269,7196781
