年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,行,軍警人員一,1506,1774497
201401,10018000,行,軍警人員二,319,325507
201401,10018000,行,其他公共行政類,5451,5771330
201401,10018000,行,教育類,5771,5847464
201401,10018000,行,工商及服務類,55779,61026648
201401,10018000,行,專業及技術服務類,18858,20977044
201401,10018000,行,其他,16333,18600872
201402,10018000,行,軍警人員一,1346,1504142
201402,10018000,行,軍警人員二,319,323000
201402,10018000,行,其他公共行政類,4803,5056271
201402,10018000,行,教育類,4999,5345934
201402,10018000,行,工商及服務類,49058,52502168
201402,10018000,行,專業及技術服務類,16437,18539936
201402,10018000,行,其他,14394,16803223
201403,10018000,行,軍警人員一,1448,1655111
201403,10018000,行,軍警人員二,348,366783
201403,10018000,行,其他公共行政類,5523,5662138
201403,10018000,行,教育類,5452,5489691
201403,10018000,行,工商及服務類,55615,60812230
201403,10018000,行,專業及技術服務類,18583,20542920
201403,10018000,行,其他,16427,18480185
201404,10018000,行,軍警人員一,1518,1714471
201404,10018000,行,軍警人員二,325,312887
201404,10018000,行,其他公共行政類,5254,5473297
201404,10018000,行,教育類,5508,5636270
201404,10018000,行,工商及服務類,52721,57236787
201404,10018000,行,專業及技術服務類,18499,20876741
201404,10018000,行,其他,15829,17124335
201405,10018000,行,軍警人員一,1509,1907289
201405,10018000,行,軍警人員二,345,340351
201405,10018000,行,其他公共行政類,5659,6271014
201405,10018000,行,教育類,5735,5651833
201405,10018000,行,工商及服務類,56456,62350192
201405,10018000,行,專業及技術服務類,19492,21896796
201405,10018000,行,其他,16873,18241661
201406,10018000,行,軍警人員一,1523,1722909
201406,10018000,行,軍警人員二,317,343020
201406,10018000,行,其他公共行政類,5631,6117666
201406,10018000,行,教育類,5688,5853747
201406,10018000,行,工商及服務類,55732,60020309
201406,10018000,行,專業及技術服務類,19564,22706386
201406,10018000,行,其他,16933,19503695
201407,10018000,行,軍警人員一,1654,2024178
201407,10018000,行,軍警人員二,354,348080
201407,10018000,行,其他公共行政類,5837,6014344
201407,10018000,行,教育類,5913,6245209
201407,10018000,行,工商及服務類,57603,62179191
201407,10018000,行,專業及技術服務類,20372,24522150
201407,10018000,行,其他,17195,19737357
201408,10018000,行,軍警人員一,1711,2215070
201408,10018000,行,軍警人員二,394,357428
201408,10018000,行,其他公共行政類,6017,5856321
201408,10018000,行,教育類,6023,5623418
201408,10018000,行,工商及服務類,58719,60914980
201408,10018000,行,專業及技術服務類,20790,23293090
201408,10018000,行,其他,17574,19448059
201409,10018000,行,軍警人員一,1586,1648034
201409,10018000,行,軍警人員二,420,369278
201409,10018000,行,其他公共行政類,5510,5323659
201409,10018000,行,教育類,5605,5290248
201409,10018000,行,工商及服務類,56198,58018031
201409,10018000,行,專業及技術服務類,19753,20563287
201409,10018000,行,其他,16750,18107971
201410,10018000,行,軍警人員一,1629,1969760
201410,10018000,行,軍警人員二,405,334695
201410,10018000,行,其他公共行政類,5854,5286483
201410,10018000,行,教育類,6058,5209476
201410,10018000,行,工商及服務類,57455,55113828
201410,10018000,行,專業及技術服務類,20397,20051742
201410,10018000,行,其他,17476,18162977
201411,10018000,行,軍警人員一,1588,1634400
201411,10018000,行,軍警人員二,375,314169
201411,10018000,行,其他公共行政類,5662,5218886
201411,10018000,行,教育類,5735,5092253
201411,10018000,行,工商及服務類,55616,53374217
201411,10018000,行,專業及技術服務類,19932,19146982
201411,10018000,行,其他,16829,17647956
201412,10018000,行,軍警人員一,1713,1667667
201412,10018000,行,軍警人員二,428,365180
201412,10018000,行,其他公共行政類,5816,6084488
201412,10018000,行,教育類,6077,5144488
201412,10018000,行,工商及服務類,59036,55006868
201412,10018000,行,專業及技術服務類,20681,18881852
201412,10018000,行,其他,17763,17521663
201501,10018000,行,軍警人員一,1651,1553126
201501,10018000,行,軍警人員二,415,294847
201501,10018000,行,其他公共行政類,5836,4805985
201501,10018000,行,教育類,5870,4469797
201501,10018000,行,工商及服務類,56777,48227975
201501,10018000,行,專業及技術服務類,19905,16337157
201501,10018000,行,其他,16945,14304931
201502,10018000,行,軍警人員一,1469,1291870
201502,10018000,行,軍警人員二,440,330283
201502,10018000,行,其他公共行政類,5732,4659313
201502,10018000,行,教育類,5420,3999896
201502,10018000,行,工商及服務類,54749,44274974
201502,10018000,行,專業及技術服務類,19426,16792997
201502,10018000,行,其他,16057,13900046
201503,10018000,行,軍警人員一,1669,1502820
201503,10018000,行,軍警人員二,465,341090
201503,10018000,行,其他公共行政類,5971,4562210
201503,10018000,行,教育類,6216,4689726
201503,10018000,行,工商及服務類,60694,51350118
201503,10018000,行,專業及技術服務類,21769,18994067
201503,10018000,行,其他,18329,15311715
201504,10018000,行,軍警人員一,1663,1565600
201504,10018000,行,軍警人員二,478,415824
201504,10018000,行,其他公共行政類,5828,4960187
201504,10018000,行,教育類,6082,4373579
201504,10018000,行,工商及服務類,58054,48065937
201504,10018000,行,專業及技術服務類,21040,18145965
201504,10018000,行,其他,17404,15733918
201505,10018000,行,軍警人員一,1738,1608593
201505,10018000,行,軍警人員二,406,421721
201505,10018000,行,其他公共行政類,6056,5291401
201505,10018000,行,教育類,6265,4993801
201505,10018000,行,工商及服務類,61043,52202104
201505,10018000,行,專業及技術服務類,21771,19393454
201505,10018000,行,其他,18117,17012487
201506,10018000,行,軍警人員一,1737,1733503
201506,10018000,行,軍警人員二,469,352082
201506,10018000,行,其他公共行政類,6074,5138514
201506,10018000,行,教育類,6434,5732579
201506,10018000,行,工商及服務類,61890,54288917
201506,10018000,行,專業及技術服務類,22506,20044299
201506,10018000,行,其他,18510,17530850
201507,10018000,行,軍警人員一,1733,1744376
201507,10018000,行,軍警人員二,504,358162
201507,10018000,行,其他公共行政類,6392,5843556
201507,10018000,行,教育類,6442,5625579
201507,10018000,行,工商及服務類,64088,55350293
201507,10018000,行,專業及技術服務類,23278,20998887
201507,10018000,行,其他,18940,17423446
201508,10018000,行,軍警人員一,1691,1579912
201508,10018000,行,軍警人員二,470,313580
201508,10018000,行,其他公共行政類,6372,5414466
201508,10018000,行,教育類,6124,4239130
201508,10018000,行,工商及服務類,62396,48166967
201508,10018000,行,專業及技術服務類,22542,18769678
201508,10018000,行,其他,18525,15118674
201509,10018000,行,軍警人員一,1668,1429906
201509,10018000,行,軍警人員二,490,305722
201509,10018000,行,其他公共行政類,6230,4456038
201509,10018000,行,教育類,6033,3982822
201509,10018000,行,工商及服務類,62165,47917774
201509,10018000,行,專業及技術服務類,22438,18774000
201509,10018000,行,其他,18628,15078812
201510,10018000,行,軍警人員一,1798,1594569
201510,10018000,行,軍警人員二,524,308795
201510,10018000,行,其他公共行政類,6413,5120412
201510,10018000,行,教育類,6457,4874143
201510,10018000,行,工商及服務類,64168,49783962
201510,10018000,行,專業及技術服務類,22916,19508695
201510,10018000,行,其他,19250,16036654
201511,10018000,行,軍警人員一,1762,1476851
201511,10018000,行,軍警人員二,486,320408
201511,10018000,行,其他公共行政類,6268,5021748
201511,10018000,行,教育類,6157,4685778
201511,10018000,行,工商及服務類,61975,50271883
201511,10018000,行,專業及技術服務類,22266,18399225
201511,10018000,行,其他,18397,15252556
201512,10018000,行,軍警人員一,1792,1865054
201512,10018000,行,軍警人員二,481,330029
201512,10018000,行,其他公共行政類,6433,4981497
201512,10018000,行,教育類,6670,4871486
201512,10018000,行,工商及服務類,63895,51245063
201512,10018000,行,專業及技術服務類,23124,20254655
201512,10018000,行,其他,19708,16883145
201601,10018000,行,軍警人員一,2227,1984716
201601,10018000,行,軍警人員二,494,325897
201601,10018000,行,其他公共行政類,7954,6918347
201601,10018000,行,教育類,9543,6566575
201601,10018000,行,工商及服務類,88626,71878699
201601,10018000,行,專業及技術服務類,33540,26385916
201601,10018000,行,其他,30785,23499333
