年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,衣,軍警人員一,55,287334
201401,10004000,衣,軍警人員二,14,32350
201401,10004000,衣,其他公共行政類,968,3655595
201401,10004000,衣,教育類,849,2854121
201401,10004000,衣,工商及服務類,6790,23378670
201401,10004000,衣,專業及技術服務類,2624,8617208
201401,10004000,衣,其他,3435,11667443
201402,10004000,衣,軍警人員一,35,146968
201402,10004000,衣,軍警人員二,12,59172
201402,10004000,衣,其他公共行政類,697,2104646
201402,10004000,衣,教育類,590,1805444
201402,10004000,衣,工商及服務類,4195,13184534
201402,10004000,衣,專業及技術服務類,1687,5246355
201402,10004000,衣,其他,2147,6801287
201403,10004000,衣,軍警人員一,45,188159
201403,10004000,衣,軍警人員二,14,50653
201403,10004000,衣,其他公共行政類,690,2048842
201403,10004000,衣,教育類,637,1908268
201403,10004000,衣,工商及服務類,4795,15560784
201403,10004000,衣,專業及技術服務類,1939,5565197
201403,10004000,衣,其他,2358,7215079
201404,10004000,衣,軍警人員一,54,160826
201404,10004000,衣,軍警人員二,7,22972
201404,10004000,衣,其他公共行政類,663,2267688
201404,10004000,衣,教育類,703,2225811
201404,10004000,衣,工商及服務類,4757,15296190
201404,10004000,衣,專業及技術服務類,1999,5615030
201404,10004000,衣,其他,2546,7782388
201405,10004000,衣,軍警人員一,56,252317
201405,10004000,衣,軍警人員二,12,21363
201405,10004000,衣,其他公共行政類,799,2455872
201405,10004000,衣,教育類,768,2268502
201405,10004000,衣,工商及服務類,5739,18069693
201405,10004000,衣,專業及技術服務類,2246,5951609
201405,10004000,衣,其他,2913,8715712
201406,10004000,衣,軍警人員一,43,125174
201406,10004000,衣,軍警人員二,5,8301
201406,10004000,衣,其他公共行政類,665,2087642
201406,10004000,衣,教育類,703,2051956
201406,10004000,衣,工商及服務類,5064,15704304
201406,10004000,衣,專業及技術服務類,2029,5656262
201406,10004000,衣,其他,2546,7413254
201407,10004000,衣,軍警人員一,47,183112
201407,10004000,衣,軍警人員二,8,16717
201407,10004000,衣,其他公共行政類,844,2652810
201407,10004000,衣,教育類,723,2197908
201407,10004000,衣,工商及服務類,4928,14479841
201407,10004000,衣,專業及技術服務類,2044,5532654
201407,10004000,衣,其他,2535,7074797
201408,10004000,衣,軍警人員一,43,141186
201408,10004000,衣,軍警人員二,8,18842
201408,10004000,衣,其他公共行政類,836,2295119
201408,10004000,衣,教育類,804,1969229
201408,10004000,衣,工商及服務類,5473,14852792
201408,10004000,衣,專業及技術服務類,2271,5487533
201408,10004000,衣,其他,2802,7532401
201409,10004000,衣,軍警人員一,52,182508
201409,10004000,衣,軍警人員二,8,13281
201409,10004000,衣,其他公共行政類,674,2010424
201409,10004000,衣,教育類,770,2429088
201409,10004000,衣,工商及服務類,5039,16296179
201409,10004000,衣,專業及技術服務類,2076,5819746
201409,10004000,衣,其他,2589,7930579
201410,10004000,衣,軍警人員一,44,152065
201410,10004000,衣,軍警人員二,11,21620
201410,10004000,衣,其他公共行政類,737,2166366
201410,10004000,衣,教育類,751,2298613
201410,10004000,衣,工商及服務類,4973,15206662
201410,10004000,衣,專業及技術服務類,1987,5434289
