年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,文教康樂,軍警人員一,312,1327784
201401,10004000,文教康樂,軍警人員二,38,118140
201401,10004000,文教康樂,其他公共行政類,1368,6584962
201401,10004000,文教康樂,教育類,1153,5804181
201401,10004000,文教康樂,工商及服務類,9263,49759548
201401,10004000,文教康樂,專業及技術服務類,3150,17388011
201401,10004000,文教康樂,其他,3257,19690669
201402,10004000,文教康樂,軍警人員一,329,1131279
201402,10004000,文教康樂,軍警人員二,32,61157
201402,10004000,文教康樂,其他公共行政類,1177,4641792
201402,10004000,文教康樂,教育類,970,4744524
201402,10004000,文教康樂,工商及服務類,8312,38132412
201402,10004000,文教康樂,專業及技術服務類,2808,13387802
201402,10004000,文教康樂,其他,2836,15403504
201403,10004000,文教康樂,軍警人員一,341,1179033
201403,10004000,文教康樂,軍警人員二,38,108866
201403,10004000,文教康樂,其他公共行政類,1046,4679906
201403,10004000,文教康樂,教育類,907,3588207
201403,10004000,文教康樂,工商及服務類,8771,44085583
201403,10004000,文教康樂,專業及技術服務類,2911,17305116
201403,10004000,文教康樂,其他,3065,17277612
201404,10004000,文教康樂,軍警人員一,325,1311280
201404,10004000,文教康樂,軍警人員二,29,67897
201404,10004000,文教康樂,其他公共行政類,965,5254151
201404,10004000,文教康樂,教育類,992,5328735
201404,10004000,文教康樂,工商及服務類,8542,50701875
201404,10004000,文教康樂,專業及技術服務類,2988,17059146
201404,10004000,文教康樂,其他,3195,21750593
201405,10004000,文教康樂,軍警人員一,341,1313895
201405,10004000,文教康樂,軍警人員二,39,101748
201405,10004000,文教康樂,其他公共行政類,991,5190915
201405,10004000,文教康樂,教育類,1104,5756877
201405,10004000,文教康樂,工商及服務類,9021,47274292
201405,10004000,文教康樂,專業及技術服務類,3294,18660641
201405,10004000,文教康樂,其他,3404,19304884
201406,10004000,文教康樂,軍警人員一,320,1702807
201406,10004000,文教康樂,軍警人員二,42,238249
201406,10004000,文教康樂,其他公共行政類,1150,5836994
201406,10004000,文教康樂,教育類,1305,5657321
201406,10004000,文教康樂,工商及服務類,9821,48392124
201406,10004000,文教康樂,專業及技術服務類,3469,16648109
201406,10004000,文教康樂,其他,3510,18665228
201407,10004000,文教康樂,軍警人員一,350,1421672
201407,10004000,文教康樂,軍警人員二,32,73364
201407,10004000,文教康樂,其他公共行政類,1349,6938616
201407,10004000,文教康樂,教育類,1368,6645316
201407,10004000,文教康樂,工商及服務類,10142,51598177
201407,10004000,文教康樂,專業及技術服務類,3693,18855001
201407,10004000,文教康樂,其他,3830,20170001
201408,10004000,文教康樂,軍警人員一,375,1601361
201408,10004000,文教康樂,軍警人員二,37,147794
201408,10004000,文教康樂,其他公共行政類,1496,6581677
201408,10004000,文教康樂,教育類,1468,6406878
201408,10004000,文教康樂,工商及服務類,10571,46530320
201408,10004000,文教康樂,專業及技術服務類,3980,18563562
201408,10004000,文教康樂,其他,4072,20151997
201409,10004000,文教康樂,軍警人員一,355,1596538
201409,10004000,文教康樂,軍警人員二,31,68939
201409,10004000,文教康樂,其他公共行政類,1022,4400079
201409,10004000,文教康樂,教育類,1125,4405212
201409,10004000,文教康樂,工商及服務類,9735,44702497
201409,10004000,文教康樂,專業及技術服務類,3376,16837541
201409,10004000,文教康樂,其他,3604,19407276
201410,10004000,文教康樂,軍警人員一,362,1338775
201410,10004000,文教康樂,軍警人員二,36,155660
201410,10004000,文教康樂,其他公共行政類,1139,5083964
201410,10004000,文教康樂,教育類,1157,5018719
201410,10004000,文教康樂,工商及服務類,10200,50465197
201410,10004000,文教康樂,專業及技術服務類,3655,19375070
201410,10004000,文教康樂,其他,3783,20056024
201411,10004000,文教康樂,軍警人員一,432,1687286
201411,10004000,文教康樂,軍警人員二,37,133233
201411,10004000,文教康樂,其他公共行政類,1080,5746423
201411,10004000,文教康樂,教育類,1122,4173238
201411,10004000,文教康樂,工商及服務類,9883,47702721
201411,10004000,文教康樂,專業及技術服務類,3519,16959328
201411,10004000,文教康樂,其他,3730,21279346
201412,10004000,文教康樂,軍警人員一,400,1768299
201412,10004000,文教康樂,軍警人員二,45,125741
201412,10004000,文教康樂,其他公共行政類,1190,5584006
201412,10004000,文教康樂,教育類,1278,4722145
201412,10004000,文教康樂,工商及服務類,11556,51370976
201412,10004000,文教康樂,專業及技術服務類,4199,20016559
201412,10004000,文教康樂,其他,4116,20269359
201501,10004000,文教康樂,軍警人員一,454,1930453
201501,10004000,文教康樂,軍警人員二,42,82529
201501,10004000,文教康樂,其他公共行政類,1295,7051656
201501,10004000,文教康樂,教育類,1271,5717930
201501,10004000,文教康樂,工商及服務類,10742,51532620
201501,10004000,文教康樂,專業及技術服務類,3762,18559809
201501,10004000,文教康樂,其他,3918,21106649
201502,10004000,文教康樂,軍警人員一,352,1181527
201502,10004000,文教康樂,軍警人員二,38,79892
201502,10004000,文教康樂,其他公共行政類,1223,5634910
201502,10004000,文教康樂,教育類,1233,4489753
201502,10004000,文教康樂,工商及服務類,9993,43658388
201502,10004000,文教康樂,專業及技術服務類,3559,16857352
201502,10004000,文教康樂,其他,3723,17517355
201503,10004000,文教康樂,軍警人員一,416,1837511
201503,10004000,文教康樂,軍警人員二,31,55705
201503,10004000,文教康樂,其他公共行政類,1109,5376266
201503,10004000,文教康樂,教育類,1112,4582224
201503,10004000,文教康樂,工商及服務類,9941,45897269
