年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,住,軍警人員一,281,2222083
201401,10004000,住,軍警人員二,38,154702
201401,10004000,住,其他公共行政類,854,5986901
201401,10004000,住,教育類,928,5301227
201401,10004000,住,工商及服務類,8928,55030177
201401,10004000,住,專業及技術服務類,3223,19685200
201401,10004000,住,其他,2847,24086845
201402,10004000,住,軍警人員一,196,1167866
201402,10004000,住,軍警人員二,21,43650
201402,10004000,住,其他公共行政類,585,2751643
201402,10004000,住,教育類,686,2982028
201402,10004000,住,工商及服務類,6427,32179617
201402,10004000,住,專業及技術服務類,2147,11905895
201402,10004000,住,其他,1966,10793239
201403,10004000,住,軍警人員一,213,1240305
201403,10004000,住,軍警人員二,26,134519
201403,10004000,住,其他公共行政類,564,2940282
201403,10004000,住,教育類,643,3209200
201403,10004000,住,工商及服務類,6603,35466466
201403,10004000,住,專業及技術服務類,2142,12126335
201403,10004000,住,其他,2035,14261096
201404,10004000,住,軍警人員一,216,1090108
201404,10004000,住,軍警人員二,34,184977
201404,10004000,住,其他公共行政類,604,4440841
201404,10004000,住,教育類,634,3353269
201404,10004000,住,工商及服務類,7159,44476106
201404,10004000,住,專業及技術服務類,2467,15131599
201404,10004000,住,其他,2208,17676113
201405,10004000,住,軍警人員一,265,1564089
201405,10004000,住,軍警人員二,32,80227
201405,10004000,住,其他公共行政類,622,3470283
201405,10004000,住,教育類,652,3230832
201405,10004000,住,工商及服務類,7333,42015545
201405,10004000,住,專業及技術服務類,2536,13148706
201405,10004000,住,其他,2246,16697215
201406,10004000,住,軍警人員一,232,1607081
201406,10004000,住,軍警人員二,30,139554
201406,10004000,住,其他公共行政類,617,4282841
201406,10004000,住,教育類,685,4008758
201406,10004000,住,工商及服務類,7537,46779232
201406,10004000,住,專業及技術服務類,2536,15407331
201406,10004000,住,其他,2377,18215037
201407,10004000,住,軍警人員一,252,1710375
201407,10004000,住,軍警人員二,29,196159
201407,10004000,住,其他公共行政類,744,5417728
201407,10004000,住,教育類,902,4516929
201407,10004000,住,工商及服務類,8115,50420545
201407,10004000,住,專業及技術服務類,2737,17366725
201407,10004000,住,其他,2588,19570892
201408,10004000,住,軍警人員一,260,2674783
201408,10004000,住,軍警人員二,36,139717
201408,10004000,住,其他公共行政類,724,4664243
201408,10004000,住,教育類,883,4768370
201408,10004000,住,工商及服務類,7419,42932827
201408,10004000,住,專業及技術服務類,2673,15046153
201408,10004000,住,其他,2617,19182948
201409,10004000,住,軍警人員一,238,1748171
201409,10004000,住,軍警人員二,21,219700
201409,10004000,住,其他公共行政類,652,4486140
201409,10004000,住,教育類,752,3455862
201409,10004000,住,工商及服務類,7258,37142152
201409,10004000,住,專業及技術服務類,2628,14412727
201409,10004000,住,其他,2326,17916569
201410,10004000,住,軍警人員一,224,1796168
201410,10004000,住,軍警人員二,21,34133
201410,10004000,住,其他公共行政類,596,3321770
201410,10004000,住,教育類,642,4168809
201410,10004000,住,工商及服務類,6965,34528500
201410,10004000,住,專業及技術服務類,2385,11309838
201410,10004000,住,其他,2153,14830267
