年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,其他,軍警人員一,246,1776803
201401,10004000,其他,軍警人員二,46,346553
201401,10004000,其他,其他公共行政類,1403,8764812
201401,10004000,其他,教育類,1365,7161462
201401,10004000,其他,工商及服務類,14159,83429548
201401,10004000,其他,專業及技術服務類,4171,23916136
201401,10004000,其他,其他,6071,32661325
201402,10004000,其他,軍警人員一,136,798091
201402,10004000,其他,軍警人員二,38,296263
201402,10004000,其他,其他公共行政類,1123,8121164
201402,10004000,其他,教育類,1029,4860308
201402,10004000,其他,工商及服務類,10837,70876715
201402,10004000,其他,專業及技術服務類,3098,19545368
201402,10004000,其他,其他,4517,29110503
201403,10004000,其他,軍警人員一,167,865420
201403,10004000,其他,軍警人員二,39,251063
201403,10004000,其他,其他公共行政類,1212,6372905
201403,10004000,其他,教育類,1276,5544133
201403,10004000,其他,工商及服務類,12665,69713032
201403,10004000,其他,專業及技術服務類,3613,20481616
201403,10004000,其他,其他,5313,27735635
201404,10004000,其他,軍警人員一,175,736502
201404,10004000,其他,軍警人員二,30,107998
201404,10004000,其他,其他公共行政類,1106,6210692
201404,10004000,其他,教育類,1107,5607385
201404,10004000,其他,工商及服務類,11670,69340736
201404,10004000,其他,專業及技術服務類,3478,19322432
201404,10004000,其他,其他,5084,27998294
201405,10004000,其他,軍警人員一,208,1071030
201405,10004000,其他,軍警人員二,40,217106
201405,10004000,其他,其他公共行政類,1305,7442196
201405,10004000,其他,教育類,1278,5289927
201405,10004000,其他,工商及服務類,12529,69090793
201405,10004000,其他,專業及技術服務類,3648,21447228
201405,10004000,其他,其他,5545,28773421
201406,10004000,其他,軍警人員一,219,1028549
201406,10004000,其他,軍警人員二,41,289607
201406,10004000,其他,其他公共行政類,1275,7506012
201406,10004000,其他,教育類,1290,5678927
201406,10004000,其他,工商及服務類,12674,72347302
201406,10004000,其他,專業及技術服務類,3794,21346310
201406,10004000,其他,其他,5576,27567226
201407,10004000,其他,軍警人員一,428,1964138
201407,10004000,其他,軍警人員二,136,486092
201407,10004000,其他,其他公共行政類,5671,22878400
201407,10004000,其他,教育類,2870,12129250
