年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,行,軍警人員一,1975,2284624
201401,10004000,行,軍警人員二,387,375495
201401,10004000,行,其他公共行政類,2315,2632490
201401,10004000,行,教育類,3847,4288087
201401,10004000,行,工商及服務類,48439,55457981
201401,10004000,行,專業及技術服務類,17320,21942537
201401,10004000,行,其他,9241,11689226
201402,10004000,行,軍警人員一,1705,2072873
201402,10004000,行,軍警人員二,345,376930
201402,10004000,行,其他公共行政類,2245,2616564
201402,10004000,行,教育類,3434,3610690
201402,10004000,行,工商及服務類,43698,49633663
201402,10004000,行,專業及技術服務類,15302,18935982
201402,10004000,行,其他,8520,10321529
201403,10004000,行,軍警人員一,1995,2265844
201403,10004000,行,軍警人員二,349,377568
201403,10004000,行,其他公共行政類,2177,2670784
201403,10004000,行,教育類,3696,3846706
201403,10004000,行,工商及服務類,47506,53806600
201403,10004000,行,專業及技術服務類,17258,21897088
201403,10004000,行,其他,9287,11595680
201404,10004000,行,軍警人員一,1953,2202328
201404,10004000,行,軍警人員二,343,364921
201404,10004000,行,其他公共行政類,2134,2280809
201404,10004000,行,教育類,3743,3775758
201404,10004000,行,工商及服務類,46110,51870678
201404,10004000,行,專業及技術服務類,16876,21257847
201404,10004000,行,其他,9022,10957280
201405,10004000,行,軍警人員一,1955,2166481
201405,10004000,行,軍警人員二,333,324845
201405,10004000,行,其他公共行政類,2189,2597651
201405,10004000,行,教育類,3868,3874639
201405,10004000,行,工商及服務類,49058,55668695
201405,10004000,行,專業及技術服務類,17693,22254805
201405,10004000,行,其他,9644,11856158
201406,10004000,行,軍警人員一,2066,2256136
201406,10004000,行,軍警人員二,366,365488
201406,10004000,行,其他公共行政類,2317,2766632
201406,10004000,行,教育類,3897,4054078
201406,10004000,行,工商及服務類,49146,56519157
201406,10004000,行,專業及技術服務類,17790,22514946
201406,10004000,行,其他,9728,12495106
201407,10004000,行,軍警人員一,2093,2397574
201407,10004000,行,軍警人員二,373,361719
201407,10004000,行,其他公共行政類,2567,3066594
201407,10004000,行,教育類,4281,4575213
201407,10004000,行,工商及服務類,51708,59229249
201407,10004000,行,專業及技術服務類,18931,23676357
201407,10004000,行,其他,10338,12993447
201408,10004000,行,軍警人員一,2168,2326124
201408,10004000,行,軍警人員二,417,390181
201408,10004000,行,其他公共行政類,2664,2822667
201408,10004000,行,教育類,4431,4466036
201408,10004000,行,工商及服務類,52741,57222709
201408,10004000,行,專業及技術服務類,19250,22982261
201408,10004000,行,其他,10614,12787343
201409,10004000,行,軍警人員一,1996,2209312
201409,10004000,行,軍警人員二,340,325328
201409,10004000,行,其他公共行政類,2228,2252797
201409,10004000,行,教育類,3966,4005544
201409,10004000,行,工商及服務類,50451,54118605
201409,10004000,行,專業及技術服務類,18236,21942753
201409,10004000,行,其他,9946,11734806
201410,10004000,行,軍警人員一,2197,2390535
201410,10004000,行,軍警人員二,358,314335
201410,10004000,行,其他公共行政類,2477,2515466
201410,10004000,行,教育類,3969,3800566
201410,10004000,行,工商及服務類,52306,54758164
201410,10004000,行,專業及技術服務類,18631,21450220
201410,10004000,行,其他,10109,11527172
201411,10004000,行,軍警人員一,2020,2401101
201411,10004000,行,軍警人員二,351,340932
201411,10004000,行,其他公共行政類,2225,2340755
201411,10004000,行,教育類,3822,3520395
201411,10004000,行,工商及服務類,49377,49164488
201411,10004000,行,專業及技術服務類,18002,20493777
201411,10004000,行,其他,9557,10502593
201412,10004000,行,軍警人員一,2130,2243716
201412,10004000,行,軍警人員二,389,384685
201412,10004000,行,其他公共行政類,2387,2597186
201412,10004000,行,教育類,3945,3620168
201412,10004000,行,工商及服務類,51533,48629151
201412,10004000,行,專業及技術服務類,18425,19394997
201412,10004000,行,其他,9763,10708590
201501,10004000,行,軍警人員一,2034,2150878
201501,10004000,行,軍警人員二,404,285677
201501,10004000,行,其他公共行政類,2368,2073059
201501,10004000,行,教育類,3925,2991808
201501,10004000,行,工商及服務類,49991,43242517
201501,10004000,行,專業及技術服務類,17899,16863412
201501,10004000,行,其他,9669,9214103
201502,10004000,行,軍警人員一,1859,1995935
201502,10004000,行,軍警人員二,392,279050
201502,10004000,行,其他公共行政類,2502,2183719
201502,10004000,行,教育類,3574,2770480
201502,10004000,行,工商及服務類,45585,39310788
201502,10004000,行,專業及技術服務類,16298,15257086
201502,10004000,行,其他,8971,8574972
201503,10004000,行,軍警人員一,2191,2177464
201503,10004000,行,軍警人員二,370,266536
201503,10004000,行,其他公共行政類,2465,1998836
201503,10004000,行,教育類,3887,3245732
201503,10004000,行,工商及服務類,50832,44807195
201503,10004000,行,專業及技術服務類,18308,17736964
201503,10004000,行,其他,10294,10439146
201504,10004000,行,軍警人員一,2080,2131109
201504,10004000,行,軍警人員二,347,270705
201504,10004000,行,其他公共行政類,2433,2230805
201504,10004000,行,教育類,3596,2930378
201504,10004000,行,工商及服務類,48221,43169595
201504,10004000,行,專業及技術服務類,17687,17623999
201504,10004000,行,其他,9997,10388184
201505,10004000,行,軍警人員一,2128,2208712
201505,10004000,行,軍警人員二,353,271650
201505,10004000,行,其他公共行政類,2517,2441632
201505,10004000,行,教育類,3759,3301715
201505,10004000,行,工商及服務類,50169,47129385
201505,10004000,行,專業及技術服務類,18419,18744878
201505,10004000,行,其他,10162,11083286
201506,10004000,行,軍警人員一,2189,2377845
201506,10004000,行,軍警人員二,400,342636
201506,10004000,行,其他公共行政類,2398,2296748
201506,10004000,行,教育類,3877,3338556
201506,10004000,行,工商及服務類,51364,48576888
201506,10004000,行,專業及技術服務類,19298,19723708
201506,10004000,行,其他,10451,11564590
201507,10004000,行,軍警人員一,2209,2458028
201507,10004000,行,軍警人員二,397,297389
201507,10004000,行,其他公共行政類,2878,2847043
201507,10004000,行,教育類,4351,3626864
201507,10004000,行,工商及服務類,54726,50726628
201507,10004000,行,專業及技術服務類,19950,20766554
201507,10004000,行,其他,11481,11856776
201508,10004000,行,軍警人員一,2110,2236413
201508,10004000,行,軍警人員二,415,296597
201508,10004000,行,其他公共行政類,2699,2506725
201508,10004000,行,教育類,4197,3368179
201508,10004000,行,工商及服務類,52166,44587650
201508,10004000,行,專業及技術服務類,18991,17392055
201508,10004000,行,其他,11173,10801494
201509,10004000,行,軍警人員一,2081,2052345
201509,10004000,行,軍警人員二,379,296150
201509,10004000,行,其他公共行政類,2462,2085575
201509,10004000,行,教育類,3827,3091881
