年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,食,軍警人員一,2533,3379513
201401,10015000,食,軍警人員二,641,863180
201401,10015000,食,其他公共行政類,20640,28008721
201401,10015000,食,教育類,10676,11240790
201401,10015000,食,工商及服務類,42075,61762376
201401,10015000,食,專業及技術服務類,17263,22086967
201401,10015000,食,其他,25944,35069733
201402,10015000,食,軍警人員一,1947,1942703
201402,10015000,食,軍警人員二,513,543719
201402,10015000,食,其他公共行政類,15795,15861535
201402,10015000,食,教育類,8486,7888322
201402,10015000,食,工商及服務類,36967,42718658
201402,10015000,食,專業及技術服務類,14455,15277918
201402,10015000,食,其他,21158,22036600
201403,10015000,食,軍警人員一,2210,2176510
201403,10015000,食,軍警人員二,670,711256
201403,10015000,食,其他公共行政類,17155,15887298
201403,10015000,食,教育類,8575,7442979
201403,10015000,食,工商及服務類,38275,41505408
201403,10015000,食,專業及技術服務類,15337,15199631
201403,10015000,食,其他,22486,21912200
201404,10015000,食,軍警人員一,2124,2093010
201404,10015000,食,軍警人員二,598,671640
201404,10015000,食,其他公共行政類,16246,15580611
201404,10015000,食,教育類,8475,7210123
201404,10015000,食,工商及服務類,36324,39120386
201404,10015000,食,專業及技術服務類,15334,14912069
201404,10015000,食,其他,22128,21365033
201405,10015000,食,軍警人員一,2399,2540655
201405,10015000,食,軍警人員二,681,687727
201405,10015000,食,其他公共行政類,17946,18205684
201405,10015000,食,教育類,9244,8484961
201405,10015000,食,工商及服務類,40223,45996824
201405,10015000,食,專業及技術服務類,16863,17336773
201405,10015000,食,其他,23892,24149301
201406,10015000,食,軍警人員一,2392,2365376
201406,10015000,食,軍警人員二,685,675711
201406,10015000,食,其他公共行政類,18091,16901823
201406,10015000,食,教育類,9167,8381802
201406,10015000,食,工商及服務類,41459,45598810
201406,10015000,食,專業及技術服務類,17695,17837000
201406,10015000,食,其他,23978,24114784
201407,10015000,食,軍警人員一,2846,2975432
201407,10015000,食,軍警人員二,851,856731
201407,10015000,食,其他公共行政類,23376,22935209
201407,10015000,食,教育類,12741,11693557
201407,10015000,食,工商及服務類,51058,56806356
