年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,住,軍警人員一,1149,5765534
201401,10015000,住,軍警人員二,202,957711
201401,10015000,住,其他公共行政類,7111,24761644
201401,10015000,住,教育類,3684,13817501
201401,10015000,住,工商及服務類,16287,111947321
201401,10015000,住,專業及技術服務類,6732,46471819
201401,10015000,住,其他,7114,38030472
201402,10015000,住,軍警人員一,850,4180104
201402,10015000,住,軍警人員二,161,477195
201402,10015000,住,其他公共行政類,5339,18466368
201402,10015000,住,教育類,2682,9929195
201402,10015000,住,工商及服務類,15543,96751093
201402,10015000,住,專業及技術服務類,6300,42983765
201402,10015000,住,其他,6236,30819899
201403,10015000,住,軍警人員一,960,5020471
201403,10015000,住,軍警人員二,165,500502
201403,10015000,住,其他公共行政類,5337,17058677
201403,10015000,住,教育類,2436,10292529
201403,10015000,住,工商及服務類,14920,111594118
201403,10015000,住,專業及技術服務類,6165,48651052
201403,10015000,住,其他,5630,29674847
201404,10015000,住,軍警人員一,999,5291938
201404,10015000,住,軍警人員二,141,770571
201404,10015000,住,其他公共行政類,5404,22108717
201404,10015000,住,教育類,2350,10745455
201404,10015000,住,工商及服務類,15880,123420174
201404,10015000,住,專業及技術服務類,6596,54497392
201404,10015000,住,其他,6010,35429460
201405,10015000,住,軍警人員一,1117,4941102
201405,10015000,住,軍警人員二,165,436784
201405,10015000,住,其他公共行政類,6655,24679769
201405,10015000,住,教育類,3092,12192695
201405,10015000,住,工商及服務類,18576,137230415
201405,10015000,住,專業及技術服務類,7744,60644728
201405,10015000,住,其他,7523,42507847
201406,10015000,住,軍警人員一,1307,6395304
201406,10015000,住,軍警人員二,217,820712
201406,10015000,住,其他公共行政類,6845,24163691
201406,10015000,住,教育類,3389,13704851
201406,10015000,住,工商及服務類,19584,134533872
201406,10015000,住,專業及技術服務類,8152,53990154
201406,10015000,住,其他,8046,47267169
201407,10015000,住,軍警人員一,1463,7703495
201407,10015000,住,軍警人員二,218,1036780
201407,10015000,住,其他公共行政類,9248,39592611
201407,10015000,住,教育類,5270,23711484
201407,10015000,住,工商及服務類,23697,171290970
201407,10015000,住,專業及技術服務類,9311,69788392
