年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,百貨,軍警人員一,14735,45206265
201401,64000000,百貨,軍警人員二,2462,5759897
201401,64000000,百貨,其他公共行政類,49839,118666507
201401,64000000,百貨,教育類,81826,179867446
201401,64000000,百貨,工商及服務類,389422,1092368306
201401,64000000,百貨,專業及技術服務類,158471,440637271
201401,64000000,百貨,其他,179692,462653042
201402,64000000,百貨,軍警人員一,11845,46961733
201402,64000000,百貨,軍警人員二,1969,4348772
201402,64000000,百貨,其他公共行政類,43878,99139053
201402,64000000,百貨,教育類,70081,143425731
201402,64000000,百貨,工商及服務類,339303,911901924
201402,64000000,百貨,專業及技術服務類,134963,347617446
201402,64000000,百貨,其他,157412,392287720
201403,64000000,百貨,軍警人員一,10887,33293918
201403,64000000,百貨,軍警人員二,1775,4165909
201403,64000000,百貨,其他公共行政類,37624,85548938
201403,64000000,百貨,教育類,60201,128252452
201403,64000000,百貨,工商及服務類,312822,884457321
201403,64000000,百貨,專業及技術服務類,128703,362142721
201403,64000000,百貨,其他,145406,387789167
201404,64000000,百貨,軍警人員一,12599,35146759
201404,64000000,百貨,軍警人員二,2245,5952042
201404,64000000,百貨,其他公共行政類,42439,102912614
201404,64000000,百貨,教育類,71797,167292429
201404,64000000,百貨,工商及服務類,355303,1059562040
201404,64000000,百貨,專業及技術服務類,155868,442121343
201404,64000000,百貨,其他,165778,469837475
201405,64000000,百貨,軍警人員一,13768,37706426
201405,64000000,百貨,軍警人員二,2380,5843781
201405,64000000,百貨,其他公共行政類,43846,96696621
201405,64000000,百貨,教育類,74981,156024411
201405,64000000,百貨,工商及服務類,380148,986324863
201405,64000000,百貨,專業及技術服務類,159754,423974758
201405,64000000,百貨,其他,176916,442537691
201406,64000000,百貨,軍警人員一,13064,39009794
201406,64000000,百貨,軍警人員二,2201,4581579
201406,64000000,百貨,其他公共行政類,42013,87011136
201406,64000000,百貨,教育類,70728,133432112
201406,64000000,百貨,工商及服務類,348824,844736965
201406,64000000,百貨,專業及技術服務類,146618,395496856
201406,64000000,百貨,其他,165989,383201124
201407,64000000,百貨,軍警人員一,14465,39215329
201407,64000000,百貨,軍警人員二,2489,5008941
201407,64000000,百貨,其他公共行政類,50238,103875713
201407,64000000,百貨,教育類,91522,173188848
201407,64000000,百貨,工商及服務類,394220,976710278
201407,64000000,百貨,專業及技術服務類,170381,424323409
201407,64000000,百貨,其他,192270,443328700
201408,64000000,百貨,軍警人員一,13860,36261522
201408,64000000,百貨,軍警人員二,2379,4844233
201408,64000000,百貨,其他公共行政類,47121,98148069
201408,64000000,百貨,教育類,84006,158141153
201408,64000000,百貨,工商及服務類,370684,927355885
201408,64000000,百貨,專業及技術服務類,156882,390467404
201408,64000000,百貨,其他,178123,406528680
201409,64000000,百貨,軍警人員一,11138,35442878
201409,64000000,百貨,軍警人員二,1942,3957366
