年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,食,軍警人員一,13701,25441147
201401,64000000,食,軍警人員二,3398,5291149
201401,64000000,食,其他公共行政類,92040,153015245
201401,64000000,食,教育類,90985,134986936
201401,64000000,食,工商及服務類,552205,1110019311
201401,64000000,食,專業及技術服務類,197585,362920781
201401,64000000,食,其他,349728,576164302
201402,64000000,食,軍警人員一,11196,17688976
201402,64000000,食,軍警人員二,2811,3598707
201402,64000000,食,其他公共行政類,72292,100343117
201402,64000000,食,教育類,72454,91863897
201402,64000000,食,工商及服務類,436806,741112852
201402,64000000,食,專業及技術服務類,157881,242980272
201402,64000000,食,其他,260492,361364030
201403,64000000,食,軍警人員一,12202,17900391
201403,64000000,食,軍警人員二,3030,3639022
201403,64000000,食,其他公共行政類,77084,100923524
201403,64000000,食,教育類,78677,95129291
201403,64000000,食,工商及服務類,489582,760219959
201403,64000000,食,專業及技術服務類,179503,254867088
201403,64000000,食,其他,306207,404974930
201404,64000000,食,軍警人員一,12183,18577695
201404,64000000,食,軍警人員二,3045,3573777
201404,64000000,食,其他公共行政類,75864,92939702
201404,64000000,食,教育類,79134,92431884
201404,64000000,食,工商及服務類,478300,737511967
201404,64000000,食,專業及技術服務類,179700,247279906
201404,64000000,食,其他,301260,395233352
201405,64000000,食,軍警人員一,14063,22426257
201405,64000000,食,軍警人員二,3458,4437013
201405,64000000,食,其他公共行政類,83732,113755569
201405,64000000,食,教育類,88094,110137324
201405,64000000,食,工商及服務類,533054,860543913
201405,64000000,食,專業及技術服務類,200875,290507109
201405,64000000,食,其他,332296,454522504
201406,64000000,食,軍警人員一,14426,20817385
201406,64000000,食,軍警人員二,3495,4497441
201406,64000000,食,其他公共行政類,82381,105461935
201406,64000000,食,教育類,86858,105924502
201406,64000000,食,工商及服務類,522210,806516825
201406,64000000,食,專業及技術服務類,197616,279305277
201406,64000000,食,其他,325723,429179636
201407,64000000,食,軍警人員一,15903,22658344
201407,64000000,食,軍警人員二,3913,5026625
201407,64000000,食,其他公共行政類,94288,117814360
201407,64000000,食,教育類,104228,120546402
201407,64000000,食,工商及服務類,588596,893521053
201407,64000000,食,專業及技術服務類,223005,305849601
201407,64000000,食,其他,368153,482670467
201408,64000000,食,軍警人員一,16527,24685093
201408,64000000,食,軍警人員二,4091,5384764
201408,64000000,食,其他公共行政類,98542,130367230
201408,64000000,食,教育類,106820,134330416
201408,64000000,食,工商及服務類,619063,1016221210
201408,64000000,食,專業及技術服務類,229453,341669298
201408,64000000,食,其他,382114,531243171
201409,64000000,食,軍警人員一,13711,20878840
201409,64000000,食,軍警人員二,3551,4371255
201409,64000000,食,其他公共行政類,83407,110748999
201409,64000000,食,教育類,86956,104028486
201409,64000000,食,工商及服務類,535100,836103326
201409,64000000,食,專業及技術服務類,202291,286620787
201409,64000000,食,其他,338244,444607449
201410,64000000,食,軍警人員一,13909,21452022
201410,64000000,食,軍警人員二,3543,3785555
201410,64000000,食,其他公共行政類,84274,101993165
201410,64000000,食,教育類,88941,104320436
201410,64000000,食,工商及服務類,534032,809633847
201410,64000000,食,專業及技術服務類,202794,277992447
201410,64000000,食,其他,338779,434880797
201411,64000000,食,軍警人員一,14109,19697370
201411,64000000,食,軍警人員二,3399,4145874
201411,64000000,食,其他公共行政類,81863,108395081
201411,64000000,食,教育類,89381,106719195
201411,64000000,食,工商及服務類,532374,817147063
