年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,住,軍警人員一,6240,26214336
201401,64000000,住,軍警人員二,1063,4115603
201401,64000000,住,其他公共行政類,23110,80514238
201401,64000000,住,教育類,22312,70177816
201401,64000000,住,工商及服務類,134380,670960975
201401,64000000,住,專業及技術服務類,47881,222549558
201401,64000000,住,其他,51863,237771647
201402,64000000,住,軍警人員一,4843,17105291
201402,64000000,住,軍警人員二,810,2773237
201402,64000000,住,其他公共行政類,18218,57814452
201402,64000000,住,教育類,18032,48299802
201402,64000000,住,工商及服務類,111767,487269649
201402,64000000,住,專業及技術服務類,40743,165844328
201402,64000000,住,其他,42030,172386006
201403,64000000,住,軍警人員一,4917,16627774
201403,64000000,住,軍警人員二,730,1797481
201403,64000000,住,其他公共行政類,16315,55618728
201403,64000000,住,教育類,15668,45696340
201403,64000000,住,工商及服務類,111436,485609041
201403,64000000,住,專業及技術服務類,41450,180822955
201403,64000000,住,其他,41457,171773567
201404,64000000,住,軍警人員一,4744,16509497
201404,64000000,住,軍警人員二,711,2740962
201404,64000000,住,其他公共行政類,15726,55728771
201404,64000000,住,教育類,15364,50762173
201404,64000000,住,工商及服務類,107131,504855345
201404,64000000,住,專業及技術服務類,40738,189902510
201404,64000000,住,其他,40023,190890208
201405,64000000,住,軍警人員一,5178,18852274
201405,64000000,住,軍警人員二,874,3293036
201405,64000000,住,其他公共行政類,17594,63201849
201405,64000000,住,教育類,17407,56970872
201405,64000000,住,工商及服務類,116305,546425983
201405,64000000,住,專業及技術服務類,43048,192519065
201405,64000000,住,其他,44606,195649986
201406,64000000,住,軍警人員一,5410,20134800
201406,64000000,住,軍警人員二,1026,3550503
201406,64000000,住,其他公共行政類,16823,57586289
201406,64000000,住,教育類,16900,53529040
201406,64000000,住,工商及服務類,115210,526739120
201406,64000000,住,專業及技術服務類,44556,191136204
201406,64000000,住,其他,43745,194684500
201407,64000000,住,軍警人員一,5842,22765919
201407,64000000,住,軍警人員二,953,3563329
201407,64000000,住,其他公共行政類,20510,76717005
201407,64000000,住,教育類,21548,68952867
201407,64000000,住,工商及服務類,126681,603362847
201407,64000000,住,專業及技術服務類,48734,214816955
201407,64000000,住,其他,50388,226928072
201408,64000000,住,軍警人員一,5775,19711909
201408,64000000,住,軍警人員二,1000,3361540
201408,64000000,住,其他公共行政類,19504,63869867
201408,64000000,住,教育類,20886,63106593
201408,64000000,住,工商及服務類,120498,524139246
201408,64000000,住,專業及技術服務類,46755,186335986
201408,64000000,住,其他,47185,196924758
201409,64000000,住,軍警人員一,4705,17077237
201409,64000000,住,軍警人員二,889,3086474
201409,64000000,住,其他公共行政類,16312,54309199
201409,64000000,住,教育類,16838,51565771
201409,64000000,住,工商及服務類,109689,477085348
201409,64000000,住,專業及技術服務類,42108,174689348
201409,64000000,住,其他,43625,187876415
201410,64000000,住,軍警人員一,4977,19111999
201410,64000000,住,軍警人員二,811,2582945
201410,64000000,住,其他公共行政類,16622,52239264
201410,64000000,住,教育類,16708,48654590
201410,64000000,住,工商及服務類,111035,483061023
201410,64000000,住,專業及技術服務類,41700,181180406
201410,64000000,住,其他,44065,179727876
201411,64000000,住,軍警人員一,5041,18635877
201411,64000000,住,軍警人員二,894,3176716
201411,64000000,住,其他公共行政類,16040,59103809
201411,64000000,住,教育類,16152,51354979
201411,64000000,住,工商及服務類,111926,505449236
201411,64000000,住,專業及技術服務類,41901,195742541
201411,64000000,住,其他,43254,189312726
201412,64000000,住,軍警人員一,5123,18977614
201412,64000000,住,軍警人員二,838,3796832
201412,64000000,住,其他公共行政類,15552,56364470
201412,64000000,住,教育類,16393,52789360
201412,64000000,住,工商及服務類,116972,535819518
201412,64000000,住,專業及技術服務類,43910,195974305
201412,64000000,住,其他,45536,192738472
201501,64000000,住,軍警人員一,5535,24571544
201501,64000000,住,軍警人員二,1057,3792116
201501,64000000,住,其他公共行政類,19151,70552723
201501,64000000,住,教育類,19126,65186314
201501,64000000,住,工商及服務類,122020,597743959
201501,64000000,住,專業及技術服務類,42791,201154383
201501,64000000,住,其他,49373,218563036
201502,64000000,住,軍警人員一,5440,23683148
201502,64000000,住,軍警人員二,905,3223406
201502,64000000,住,其他公共行政類,22964,71153606
201502,64000000,住,教育類,23316,67219762
201502,64000000,住,工商及服務類,122514,572030319
201502,64000000,住,專業及技術服務類,45081,195595471
201502,64000000,住,其他,48516,214044497
201503,64000000,住,軍警人員一,4969,17621284
201503,64000000,住,軍警人員二,854,2699220
201503,64000000,住,其他公共行政類,16202,54340212
201503,64000000,住,教育類,16587,47950724
201503,64000000,住,工商及服務類,109989,462887760
201503,64000000,住,專業及技術服務類,40803,176520836
201503,64000000,住,其他,44000,171706415
201504,64000000,住,軍警人員一,4822,19130823
201504,64000000,住,軍警人員二,884,3371085
201504,64000000,住,其他公共行政類,16598,60116651
201504,64000000,住,教育類,16284,52343870
201504,64000000,住,工商及服務類,108960,521928817
201504,64000000,住,專業及技術服務類,40887,187726449
201504,64000000,住,其他,42251,195492673
201505,64000000,住,軍警人員一,5049,20031289
201505,64000000,住,軍警人員二,977,3224595
201505,64000000,住,其他公共行政類,16927,58625895
201505,64000000,住,教育類,17056,54970244
201505,64000000,住,工商及服務類,116409,555037267
201505,64000000,住,專業及技術服務類,42870,205666297
201505,64000000,住,其他,44683,196178637
201506,64000000,住,軍警人員一,5284,21150758
201506,64000000,住,軍警人員二,895,3046355
201506,64000000,住,其他公共行政類,16837,61843523
201506,64000000,住,教育類,16782,55357952
201506,64000000,住,工商及服務類,116063,557360746
201506,64000000,住,專業及技術服務類,43330,203075372
201506,64000000,住,其他,46001,215111689
201507,64000000,住,軍警人員一,5540,21653500
201507,64000000,住,軍警人員二,955,3274738
201507,64000000,住,其他公共行政類,19433,70966573
201507,64000000,住,教育類,21188,67566728
201507,64000000,住,工商及服務類,122591,567838870
201507,64000000,住,專業及技術服務類,46359,209869085
201507,64000000,住,其他,49092,218919824
201508,64000000,住,軍警人員一,5643,20518168
201508,64000000,住,軍警人員二,897,2929362
201508,64000000,住,其他公共行政類,20063,67079643
201508,64000000,住,教育類,21819,64040729
201508,64000000,住,工商及服務類,125739,532864604
201508,64000000,住,專業及技術服務類,47228,192185890
201508,64000000,住,其他,49662,204533665
201509,64000000,住,軍警人員一,5133,17589179
201509,64000000,住,軍警人員二,912,3433901
201509,64000000,住,其他公共行政類,16111,55120773
