年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,百貨,軍警人員一,63,134081
201401,10017000,百貨,軍警人員二,6,9065
201401,10017000,百貨,其他公共行政類,824,2454021
201401,10017000,百貨,教育類,323,881585
201401,10017000,百貨,工商及服務類,2463,6662807
201401,10017000,百貨,專業及技術服務類,939,2573169
201401,10017000,百貨,其他,1329,4090758
201402,10017000,百貨,軍警人員一,37,55750
201402,10017000,百貨,軍警人員二,3,6045
201402,10017000,百貨,其他公共行政類,581,1245122
201402,10017000,百貨,教育類,222,459660
201402,10017000,百貨,工商及服務類,1799,4852489
201402,10017000,百貨,專業及技術服務類,622,1595666
201402,10017000,百貨,其他,841,1871696
201403,10017000,百貨,軍警人員一,43,105886
201403,10017000,百貨,軍警人員二,5,12984
201403,10017000,百貨,其他公共行政類,583,1299658
201403,10017000,百貨,教育類,247,525160
201403,10017000,百貨,工商及服務類,1655,4238234
201403,10017000,百貨,專業及技術服務類,675,1389808
201403,10017000,百貨,其他,904,2259496
201404,10017000,百貨,軍警人員一,75,211156
201404,10017000,百貨,軍警人員二,11,48753
201404,10017000,百貨,其他公共行政類,723,2116821
201404,10017000,百貨,教育類,298,749032
201404,10017000,百貨,工商及服務類,3324,9695017
201404,10017000,百貨,專業及技術服務類,1186,3219634
201404,10017000,百貨,其他,1712,5296730
201405,10017000,百貨,軍警人員一,95,239708
201405,10017000,百貨,軍警人員二,22,33091
201405,10017000,百貨,其他公共行政類,765,1942927
201405,10017000,百貨,教育類,301,595045
201405,10017000,百貨,工商及服務類,3779,9267063
201405,10017000,百貨,專業及技術服務類,1374,3124923
201405,10017000,百貨,其他,1863,4432506
201406,10017000,百貨,軍警人員一,79,239988
201406,10017000,百貨,軍警人員二,14,19154
201406,10017000,百貨,其他公共行政類,681,1467583
201406,10017000,百貨,教育類,314,720313
201406,10017000,百貨,工商及服務類,3325,7453189
201406,10017000,百貨,專業及技術服務類,1206,2508583
201406,10017000,百貨,其他,1799,4100065
201407,10017000,百貨,軍警人員一,92,176646
201407,10017000,百貨,軍警人員二,19,22331
201407,10017000,百貨,其他公共行政類,894,2104881
201407,10017000,百貨,教育類,348,656246
201407,10017000,百貨,工商及服務類,3655,7897167
201407,10017000,百貨,專業及技術服務類,1337,2823698
201407,10017000,百貨,其他,1969,4228111
201408,10017000,百貨,軍警人員一,83,172123
201408,10017000,百貨,軍警人員二,16,28985
201408,10017000,百貨,其他公共行政類,819,1628847
201408,10017000,百貨,教育類,394,820172
201408,10017000,百貨,工商及服務類,3742,7875466
201408,10017000,百貨,專業及技術服務類,1294,2575492
201408,10017000,百貨,其他,1918,3949660
201409,10017000,百貨,軍警人員一,85,198335
201409,10017000,百貨,軍警人員二,18,25513
201409,10017000,百貨,其他公共行政類,682,1471774
201409,10017000,百貨,教育類,303,607426
201409,10017000,百貨,工商及服務類,3500,7704333
201409,10017000,百貨,專業及技術服務類,1260,2447585
201409,10017000,百貨,其他,1891,4078196
201410,10017000,百貨,軍警人員一,70,200903
201410,10017000,百貨,軍警人員二,18,42018
201410,10017000,百貨,其他公共行政類,747,2495386
201410,10017000,百貨,教育類,354,1034349
201410,10017000,百貨,工商及服務類,3822,12077895
201410,10017000,百貨,專業及技術服務類,1450,4591914
201410,10017000,百貨,其他,2102,7239830
201411,10017000,百貨,軍警人員一,27,57255
201411,10017000,百貨,軍警人員二,9,21409
201411,10017000,百貨,其他公共行政類,603,1543793
201411,10017000,百貨,教育類,263,636565
201411,10017000,百貨,工商及服務類,1973,5925776
201411,10017000,百貨,專業及技術服務類,823,2425582
201411,10017000,百貨,其他,1115,3151631
201412,10017000,百貨,軍警人員一,29,55834
201412,10017000,百貨,軍警人員二,12,35246
201412,10017000,百貨,其他公共行政類,565,1314311
201412,10017000,百貨,教育類,286,634193
201412,10017000,百貨,工商及服務類,2041,7075637
201412,10017000,百貨,專業及技術服務類,775,2357034
201412,10017000,百貨,其他,1093,3736589
201501,10017000,百貨,軍警人員一,25,55938
201501,10017000,百貨,軍警人員二,10,20304
201501,10017000,百貨,其他公共行政類,603,1668302
201501,10017000,百貨,教育類,276,1217274
201501,10017000,百貨,工商及服務類,2014,7662857
201501,10017000,百貨,專業及技術服務類,785,2378653
201501,10017000,百貨,其他,1027,3715094
201502,10017000,百貨,軍警人員一,20,38461
201502,10017000,百貨,軍警人員二,4,3581
201502,10017000,百貨,其他公共行政類,541,1622943
201502,10017000,百貨,教育類,236,627401
201502,10017000,百貨,工商及服務類,1853,7024711
201502,10017000,百貨,專業及技術服務類,747,2152398
201502,10017000,百貨,其他,1018,2970785
201503,10017000,百貨,軍警人員一,35,157275
201503,10017000,百貨,軍警人員二,7,25921
201503,10017000,百貨,其他公共行政類,529,1381495
201503,10017000,百貨,教育類,234,524924
201503,10017000,百貨,工商及服務類,1951,8538972
201503,10017000,百貨,專業及技術服務類,716,2608341
201503,10017000,百貨,其他,1063,3170612
201504,10017000,百貨,軍警人員一,43,146204
201504,10017000,百貨,軍警人員二,20,63068
201504,10017000,百貨,其他公共行政類,679,1948986
201504,10017000,百貨,教育類,310,760604
201504,10017000,百貨,工商及服務類,3461,12075597
201504,10017000,百貨,專業及技術服務類,1293,4055209
201504,10017000,百貨,其他,1905,6600508
201505,10017000,百貨,軍警人員一,106,372807
201505,10017000,百貨,軍警人員二,35,82292
201505,10017000,百貨,其他公共行政類,854,2165476
201505,10017000,百貨,教育類,432,1056983
201505,10017000,百貨,工商及服務類,5244,15499894
201505,10017000,百貨,專業及技術服務類,1857,4977310
201505,10017000,百貨,其他,2728,7566261
201506,10017000,百貨,軍警人員一,66,245572
201506,10017000,百貨,軍警人員二,21,65527
201506,10017000,百貨,其他公共行政類,757,1804250
201506,10017000,百貨,教育類,380,860413
201506,10017000,百貨,工商及服務類,3875,11619418
201506,10017000,百貨,專業及技術服務類,1447,4067525
201506,10017000,百貨,其他,1924,4974243
201507,10017000,百貨,軍警人員一,47,141836
201507,10017000,百貨,軍警人員二,19,96612
201507,10017000,百貨,其他公共行政類,705,1945584
201507,10017000,百貨,教育類,399,895089
201507,10017000,百貨,工商及服務類,3497,12626801
201507,10017000,百貨,專業及技術服務類,1295,4036289
201507,10017000,百貨,其他,1840,5091375
201508,10017000,百貨,軍警人員一,51,305348
201508,10017000,百貨,軍警人員二,16,39895
201508,10017000,百貨,其他公共行政類,645,1703318
201508,10017000,百貨,教育類,342,844456
201508,10017000,百貨,工商及服務類,3371,10610840
201508,10017000,百貨,專業及技術服務類,1229,3277229
201508,10017000,百貨,其他,1852,4575897
201509,10017000,百貨,軍警人員一,54,176539
201509,10017000,百貨,軍警人員二,25,48064
201509,10017000,百貨,其他公共行政類,668,1902633
201509,10017000,百貨,教育類,374,714752
201509,10017000,百貨,工商及服務類,3885,12046518
201509,10017000,百貨,專業及技術服務類,1443,4119724
201509,10017000,百貨,其他,1956,4810094
201510,10017000,百貨,軍警人員一,69,291362
201510,10017000,百貨,軍警人員二,16,50173
201510,10017000,百貨,其他公共行政類,820,3160976
201510,10017000,百貨,教育類,432,1271678
201510,10017000,百貨,工商及服務類,4449,17684030
201510,10017000,百貨,專業及技術服務類,1683,6061591
201510,10017000,百貨,其他,2283,9266727
201511,10017000,百貨,軍警人員一,73,383827
201511,10017000,百貨,軍警人員二,22,22274
201511,10017000,百貨,其他公共行政類,708,2193445
201511,10017000,百貨,教育類,382,814280
201511,10017000,百貨,工商及服務類,4194,12070320
201511,10017000,百貨,專業及技術服務類,1587,5045086
201511,10017000,百貨,其他,2245,5703982
201512,10017000,百貨,軍警人員一,67,291287
201512,10017000,百貨,軍警人員二,25,38706
201512,10017000,百貨,其他公共行政類,684,1543968
201512,10017000,百貨,教育類,383,896218
201512,10017000,百貨,工商及服務類,3954,11747700
201512,10017000,百貨,專業及技術服務類,1493,4456769
201512,10017000,百貨,其他,2157,5038313
201601,10017000,百貨,軍警人員一,36,183072
201601,10017000,百貨,軍警人員二,11,24741
201601,10017000,百貨,其他公共行政類,604,2113187
201601,10017000,百貨,教育類,298,733662
201601,10017000,百貨,工商及服務類,2883,14167647
201601,10017000,百貨,專業及技術服務類,1071,3412935
201601,10017000,百貨,其他,1393,4844067
201602,10017000,百貨,軍警人員一,57,238620
201602,10017000,百貨,軍警人員二,14,25516
201602,10017000,百貨,其他公共行政類,565,1798233
201602,10017000,百貨,教育類,274,650310
201602,10017000,百貨,工商及服務類,2954,9150427
201602,10017000,百貨,專業及技術服務類,1144,3284063
201602,10017000,百貨,其他,1555,4350200
201603,10017000,百貨,軍警人員一,48,136203
201603,10017000,百貨,軍警人員二,25,62456
201603,10017000,百貨,其他公共行政類,558,1485558
201603,10017000,百貨,教育類,273,578486
201603,10017000,百貨,工商及服務類,3203,10215967
201603,10017000,百貨,專業及技術服務類,1188,3064434
201603,10017000,百貨,其他,1822,4935567
201604,10017000,百貨,軍警人員一,49,305860
201604,10017000,百貨,軍警人員二,34,94357
201604,10017000,百貨,其他公共行政類,733,2468453
201604,10017000,百貨,教育類,331,789618
201604,10017000,百貨,工商及服務類,4025,12374139
201604,10017000,百貨,專業及技術服務類,1443,4163128
201604,10017000,百貨,其他,2062,6143494
201605,10017000,百貨,軍警人員一,72,206495
201605,10017000,百貨,軍警人員二,36,180699
201605,10017000,百貨,其他公共行政類,803,1997240
201605,10017000,百貨,教育類,370,775875
201605,10017000,百貨,工商及服務類,4729,12865259
201605,10017000,百貨,專業及技術服務類,1829,4508382
201605,10017000,百貨,其他,2411,6578226
201606,10017000,百貨,軍警人員一,57,238406
201606,10017000,百貨,軍警人員二,33,51388
201606,10017000,百貨,其他公共行政類,683,1478139
201606,10017000,百貨,教育類,368,687141
201606,10017000,百貨,工商及服務類,4356,11881105
201606,10017000,百貨,專業及技術服務類,1655,4005085
201606,10017000,百貨,其他,2244,5425275
201607,10017000,百貨,軍警人員一,63,94699
201607,10017000,百貨,軍警人員二,27,43488
201607,10017000,百貨,其他公共行政類,681,1455723
201607,10017000,百貨,教育類,359,704674
201607,10017000,百貨,工商及服務類,3996,9198739
201607,10017000,百貨,專業及技術服務類,1471,2923582
201607,10017000,百貨,其他,2046,4334213
201608,10017000,百貨,軍警人員一,53,109054
201608,10017000,百貨,軍警人員二,37,111858
201608,10017000,百貨,其他公共行政類,717,1470572
201608,10017000,百貨,教育類,389,778997
201608,10017000,百貨,工商及服務類,4189,8983428
201608,10017000,百貨,專業及技術服務類,1630,2927919
201608,10017000,百貨,其他,2103,4662512
201609,10017000,百貨,軍警人員一,59,139256
201609,10017000,百貨,軍警人員二,23,32410
201609,10017000,百貨,其他公共行政類,568,1441085
201609,10017000,百貨,教育類,309,670974
201609,10017000,百貨,工商及服務類,4088,9572730
201609,10017000,百貨,專業及技術服務類,1436,3007543
201609,10017000,百貨,其他,2025,4572700
201610,10017000,百貨,軍警人員一,53,253859
201610,10017000,百貨,軍警人員二,36,56310
201610,10017000,百貨,其他公共行政類,719,2166594
201610,10017000,百貨,教育類,288,639478
201610,10017000,百貨,工商及服務類,4292,13123431
201610,10017000,百貨,專業及技術服務類,1503,4257267
201610,10017000,百貨,其他,2226,7238288
201611,10017000,百貨,軍警人員一,72,146001
201611,10017000,百貨,軍警人員二,33,73855
201611,10017000,百貨,其他公共行政類,725,1718451
201611,10017000,百貨,教育類,336,785990
201611,10017000,百貨,工商及服務類,3888,8732103
201611,10017000,百貨,專業及技術服務類,1461,3324901
201611,10017000,百貨,其他,2197,4908588
201612,10017000,百貨,軍警人員一,55,150926
201612,10017000,百貨,軍警人員二,33,71733
201612,10017000,百貨,其他公共行政類,629,1381733
201612,10017000,百貨,教育類,322,599365
201612,10017000,百貨,工商及服務類,3544,8048074
201612,10017000,百貨,專業及技術服務類,1374,2695463
201612,10017000,百貨,其他,1850,3783084
201701,10017000,百貨,軍警人員一,58,97559
201701,10017000,百貨,軍警人員二,22,23172
201701,10017000,百貨,其他公共行政類,611,1625596
201701,10017000,百貨,教育類,312,784734
201701,10017000,百貨,工商及服務類,3285,10629677
201701,10017000,百貨,專業及技術服務類,1109,2789082
201701,10017000,百貨,其他,1646,4359980
201702,10017000,百貨,軍警人員一,52,122373
201702,10017000,百貨,軍警人員二,19,35058
201702,10017000,百貨,其他公共行政類,505,1108864
201702,10017000,百貨,教育類,266,556453
201702,10017000,百貨,工商及服務類,3079,6606001
201702,10017000,百貨,專業及技術服務類,1222,2518156
201702,10017000,百貨,其他,1651,3470061
201703,10017000,百貨,軍警人員一,58,128840
201703,10017000,百貨,軍警人員二,28,42326
201703,10017000,百貨,其他公共行政類,585,1204443
201703,10017000,百貨,教育類,281,463011
201703,10017000,百貨,工商及服務類,3568,7407877
201703,10017000,百貨,專業及技術服務類,1434,2841661
201703,10017000,百貨,其他,1854,3589704
201704,10017000,百貨,軍警人員一,79,152381
201704,10017000,百貨,軍警人員二,13,33151
201704,10017000,百貨,其他公共行政類,729,1955534
201704,10017000,百貨,教育類,388,837774
201704,10017000,百貨,工商及服務類,4353,11173927
201704,10017000,百貨,專業及技術服務類,1614,3343269
201704,10017000,百貨,其他,2225,5367253
201705,10017000,百貨,軍警人員一,80,174223
201705,10017000,百貨,軍警人員二,30,45907
201705,10017000,百貨,其他公共行政類,571,1306375
201705,10017000,百貨,教育類,386,748585
201705,10017000,百貨,工商及服務類,5039,10833203
201705,10017000,百貨,專業及技術服務類,1590,3416630
201705,10017000,百貨,其他,2249,4743226
201706,10017000,百貨,軍警人員一,85,201641
201706,10017000,百貨,軍警人員二,20,68446
201706,10017000,百貨,其他公共行政類,722,1448481
201706,10017000,百貨,教育類,449,853546
201706,10017000,百貨,工商及服務類,5561,12529040
201706,10017000,百貨,專業及技術服務類,2106,3986538
201706,10017000,百貨,其他,2717,5771522
201707,10017000,百貨,軍警人員一,86,186583
201707,10017000,百貨,軍警人員二,16,25935
201707,10017000,百貨,其他公共行政類,724,1452153
201707,10017000,百貨,教育類,518,902998
