年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,文教康樂,軍警人員一,122,284983
201401,10017000,文教康樂,軍警人員二,42,183054
201401,10017000,文教康樂,其他公共行政類,1755,5781997
201401,10017000,文教康樂,教育類,689,2074037
201401,10017000,文教康樂,工商及服務類,4628,16060358
201401,10017000,文教康樂,專業及技術服務類,2032,6409787
201401,10017000,文教康樂,其他,1968,6603160
201402,10017000,文教康樂,軍警人員一,111,223679
201402,10017000,文教康樂,軍警人員二,30,130825
201402,10017000,文教康樂,其他公共行政類,1198,3592174
201402,10017000,文教康樂,教育類,546,1597141
201402,10017000,文教康樂,工商及服務類,4143,12229325
201402,10017000,文教康樂,專業及技術服務類,1889,4681148
201402,10017000,文教康樂,其他,1674,4652745
201403,10017000,文教康樂,軍警人員一,120,228462
201403,10017000,文教康樂,軍警人員二,37,53210
201403,10017000,文教康樂,其他公共行政類,1196,3353040
201403,10017000,文教康樂,教育類,591,1434455
201403,10017000,文教康樂,工商及服務類,4181,13103981
201403,10017000,文教康樂,專業及技術服務類,1921,4694922
201403,10017000,文教康樂,其他,1750,6335615
201404,10017000,文教康樂,軍警人員一,119,234338
201404,10017000,文教康樂,軍警人員二,41,99651
201404,10017000,文教康樂,其他公共行政類,1009,3488472
201404,10017000,文教康樂,教育類,525,1204135
201404,10017000,文教康樂,工商及服務類,3700,12782262
201404,10017000,文教康樂,專業及技術服務類,1893,5261080
201404,10017000,文教康樂,其他,1615,5440199
201405,10017000,文教康樂,軍警人員一,134,183360
201405,10017000,文教康樂,軍警人員二,31,62719
201405,10017000,文教康樂,其他公共行政類,1164,4647387
201405,10017000,文教康樂,教育類,604,1988034
201405,10017000,文教康樂,工商及服務類,4511,16151598
201405,10017000,文教康樂,專業及技術服務類,2113,5260194
201405,10017000,文教康樂,其他,1885,7109013
201406,10017000,文教康樂,軍警人員一,163,334409
201406,10017000,文教康樂,軍警人員二,37,72308
201406,10017000,文教康樂,其他公共行政類,1244,4536696
201406,10017000,文教康樂,教育類,655,2240726
201406,10017000,文教康樂,工商及服務類,4837,14853297
201406,10017000,文教康樂,專業及技術服務類,2391,5965459
201406,10017000,文教康樂,其他,2034,5814175
201407,10017000,文教康樂,軍警人員一,135,580129
201407,10017000,文教康樂,軍警人員二,38,50421
201407,10017000,文教康樂,其他公共行政類,1304,4077747
201407,10017000,文教康樂,教育類,617,1882923
201407,10017000,文教康樂,工商及服務類,4059,12158599
201407,10017000,文教康樂,專業及技術服務類,2081,5213934
201407,10017000,文教康樂,其他,1713,5554581
201408,10017000,文教康樂,軍警人員一,171,388828
201408,10017000,文教康樂,軍警人員二,31,53116
201408,10017000,文教康樂,其他公共行政類,1338,5575747
201408,10017000,文教康樂,教育類,684,1724548
201408,10017000,文教康樂,工商及服務類,4701,14492130
201408,10017000,文教康樂,專業及技術服務類,2651,6163734
201408,10017000,文教康樂,其他,2050,6254021
201409,10017000,文教康樂,軍警人員一,131,301797
201409,10017000,文教康樂,軍警人員二,29,46196
201409,10017000,文教康樂,其他公共行政類,1104,3852431
201409,10017000,文教康樂,教育類,578,1627302
201409,10017000,文教康樂,工商及服務類,4168,14752252
201409,10017000,文教康樂,專業及技術服務類,2109,5781874
201409,10017000,文教康樂,其他,1807,6833969
201410,10017000,文教康樂,軍警人員一,138,286824
201410,10017000,文教康樂,軍警人員二,32,101044
201410,10017000,文教康樂,其他公共行政類,1189,4903853
201410,10017000,文教康樂,教育類,602,1563921
201410,10017000,文教康樂,工商及服務類,4382,15728098
201410,10017000,文教康樂,專業及技術服務類,2236,6210264
201410,10017000,文教康樂,其他,1740,6847067
201411,10017000,文教康樂,軍警人員一,118,404153
201411,10017000,文教康樂,軍警人員二,29,86121
201411,10017000,文教康樂,其他公共行政類,1127,4608330
201411,10017000,文教康樂,教育類,556,1781148
201411,10017000,文教康樂,工商及服務類,4082,16011497
201411,10017000,文教康樂,專業及技術服務類,2007,6397988
201411,10017000,文教康樂,其他,1755,6795092
201412,10017000,文教康樂,軍警人員一,133,417842
201412,10017000,文教康樂,軍警人員二,35,159520
201412,10017000,文教康樂,其他公共行政類,1181,5415152
201412,10017000,文教康樂,教育類,784,2318198
201412,10017000,文教康樂,工商及服務類,4658,19587016
201412,10017000,文教康樂,專業及技術服務類,2327,6745345
201412,10017000,文教康樂,其他,2103,8422704
201501,10017000,文教康樂,軍警人員一,146,228657
201501,10017000,文教康樂,軍警人員二,39,153868
201501,10017000,文教康樂,其他公共行政類,1384,6254554
201501,10017000,文教康樂,教育類,750,2531473
201501,10017000,文教康樂,工商及服務類,4696,20005693
201501,10017000,文教康樂,專業及技術服務類,2447,7358450
201501,10017000,文教康樂,其他,2007,8075225
201502,10017000,文教康樂,軍警人員一,150,257472
201502,10017000,文教康樂,軍警人員二,28,104313
201502,10017000,文教康樂,其他公共行政類,1340,5031937
201502,10017000,文教康樂,教育類,701,2155246
201502,10017000,文教康樂,工商及服務類,4832,18481681
201502,10017000,文教康樂,專業及技術服務類,2478,7494018
201502,10017000,文教康樂,其他,2184,8537620
201503,10017000,文教康樂,軍警人員一,126,455821
201503,10017000,文教康樂,軍警人員二,34,187881
201503,10017000,文教康樂,其他公共行政類,1130,5250472
201503,10017000,文教康樂,教育類,610,2333501
201503,10017000,文教康樂,工商及服務類,4404,20145157
201503,10017000,文教康樂,專業及技術服務類,2245,6858428
201503,10017000,文教康樂,其他,1944,8224679
201504,10017000,文教康樂,軍警人員一,152,410189
201504,10017000,文教康樂,軍警人員二,41,114404
201504,10017000,文教康樂,其他公共行政類,1102,5337542
201504,10017000,文教康樂,教育類,639,2216949
201504,10017000,文教康樂,工商及服務類,4589,21688553
201504,10017000,文教康樂,專業及技術服務類,2537,7681998
201504,10017000,文教康樂,其他,2090,10321721
201505,10017000,文教康樂,軍警人員一,142,515839
201505,10017000,文教康樂,軍警人員二,28,71052
201505,10017000,文教康樂,其他公共行政類,1215,5474659
201505,10017000,文教康樂,教育類,686,2520659
201505,10017000,文教康樂,工商及服務類,4640,20005906
201505,10017000,文教康樂,專業及技術服務類,2360,7655644
201505,10017000,文教康樂,其他,2115,9585520
201506,10017000,文教康樂,軍警人員一,204,526351
201506,10017000,文教康樂,軍警人員二,43,66454
201506,10017000,文教康樂,其他公共行政類,1193,6112141
201506,10017000,文教康樂,教育類,763,3009597
201506,10017000,文教康樂,工商及服務類,4904,21399132
201506,10017000,文教康樂,專業及技術服務類,2822,7346972
201506,10017000,文教康樂,其他,2209,8621005
201507,10017000,文教康樂,軍警人員一,155,385999
201507,10017000,文教康樂,軍警人員二,41,137674
201507,10017000,文教康樂,其他公共行政類,1388,7202254
201507,10017000,文教康樂,教育類,773,2911615
201507,10017000,文教康樂,工商及服務類,5149,23587630
201507,10017000,文教康樂,專業及技術服務類,2760,8291273
201507,10017000,文教康樂,其他,2274,9516440
201508,10017000,文教康樂,軍警人員一,183,351036
201508,10017000,文教康樂,軍警人員二,41,58063
201508,10017000,文教康樂,其他公共行政類,1117,5456681
201508,10017000,文教康樂,教育類,712,2634956
201508,10017000,文教康樂,工商及服務類,4510,20193932
201508,10017000,文教康樂,專業及技術服務類,2667,8259312
201508,10017000,文教康樂,其他,2236,11748981
201509,10017000,文教康樂,軍警人員一,142,356599
201509,10017000,文教康樂,軍警人員二,26,91535
201509,10017000,文教康樂,其他公共行政類,975,4588390
201509,10017000,文教康樂,教育類,601,1891717
201509,10017000,文教康樂,工商及服務類,4324,21411304
201509,10017000,文教康樂,專業及技術服務類,2455,9054989
201509,10017000,文教康樂,其他,1967,8847415
201510,10017000,文教康樂,軍警人員一,176,458449
