年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,住,軍警人員一,216,1160399
201401,10017000,住,軍警人員二,51,168672
201401,10017000,住,其他公共行政類,1877,7979474
201401,10017000,住,教育類,630,3202215
201401,10017000,住,工商及服務類,5685,34577598
201401,10017000,住,專業及技術服務類,1835,11185520
201401,10017000,住,其他,2052,12490032
201402,10017000,住,軍警人員一,111,548196
201402,10017000,住,軍警人員二,42,199439
201402,10017000,住,其他公共行政類,1173,5073793
201402,10017000,住,教育類,477,2447381
201402,10017000,住,工商及服務類,4315,25825107
201402,10017000,住,專業及技術服務類,1388,7752641
201402,10017000,住,其他,1531,8571766
201403,10017000,住,軍警人員一,137,530792
201403,10017000,住,軍警人員二,39,185852
201403,10017000,住,其他公共行政類,1110,5159813
201403,10017000,住,教育類,441,1858614
201403,10017000,住,工商及服務類,4207,24607996
201403,10017000,住,專業及技術服務類,1446,9022148
201403,10017000,住,其他,1521,8204075
201404,10017000,住,軍警人員一,145,810209
201404,10017000,住,軍警人員二,32,207197
201404,10017000,住,其他公共行政類,1111,5459385
201404,10017000,住,教育類,452,2390024
201404,10017000,住,工商及服務類,4684,32950959
201404,10017000,住,專業及技術服務類,1467,11435385
201404,10017000,住,其他,1741,11795025
201405,10017000,住,軍警人員一,137,648074
201405,10017000,住,軍警人員二,50,236609
201405,10017000,住,其他公共行政類,1168,4923773
201405,10017000,住,教育類,453,2062990
201405,10017000,住,工商及服務類,4414,29001053
201405,10017000,住,專業及技術服務類,1453,8792701
201405,10017000,住,其他,1661,11250788
201406,10017000,住,軍警人員一,143,695494
201406,10017000,住,軍警人員二,47,258136
201406,10017000,住,其他公共行政類,1118,5194192
201406,10017000,住,教育類,475,2617494
201406,10017000,住,工商及服務類,4612,32365061
201406,10017000,住,專業及技術服務類,1535,10030416
201406,10017000,住,其他,1736,11580045
201407,10017000,住,軍警人員一,211,937911
201407,10017000,住,軍警人員二,56,345593
201407,10017000,住,其他公共行政類,1535,7715490
201407,10017000,住,教育類,815,4395960
201407,10017000,住,工商及服務類,5498,37586827
