年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,其他,軍警人員一,291,1284757
201401,10017000,其他,軍警人員二,139,499094
201401,10017000,其他,其他公共行政類,3397,15073586
201401,10017000,其他,教育類,2418,7956709
201401,10017000,其他,工商及服務類,18708,83671120
201401,10017000,其他,專業及技術服務類,5012,23526824
201401,10017000,其他,其他,6292,29622004
201402,10017000,其他,軍警人員一,267,1695446
201402,10017000,其他,軍警人員二,109,401113
201402,10017000,其他,其他公共行政類,2587,11472586
201402,10017000,其他,教育類,1964,5515044
201402,10017000,其他,工商及服務類,15015,61197441
201402,10017000,其他,專業及技術服務類,3955,19788100
201402,10017000,其他,其他,4945,22674504
201403,10017000,其他,軍警人員一,268,1029928
201403,10017000,其他,軍警人員二,120,271471
201403,10017000,其他,其他公共行政類,2847,11632789
201403,10017000,其他,教育類,2310,6057892
201403,10017000,其他,工商及服務類,17471,70226497
201403,10017000,其他,專業及技術服務類,4462,19221929
201403,10017000,其他,其他,5557,24415542
201404,10017000,其他,軍警人員一,283,1005949
201404,10017000,其他,軍警人員二,120,431995
201404,10017000,其他,其他公共行政類,2651,11168487
201404,10017000,其他,教育類,2138,5977942
201404,10017000,其他,工商及服務類,16575,62703953
201404,10017000,其他,專業及技術服務類,4433,18760142
201404,10017000,其他,其他,5471,24959642
201405,10017000,其他,軍警人員一,299,1047762
201405,10017000,其他,軍警人員二,123,417922
201405,10017000,其他,其他公共行政類,2924,12755628
201405,10017000,其他,教育類,2334,5563890
201405,10017000,其他,工商及服務類,17649,68404669
201405,10017000,其他,專業及技術服務類,4612,20229120
201405,10017000,其他,其他,5917,25931040
201406,10017000,其他,軍警人員一,306,1237302
201406,10017000,其他,軍警人員二,111,369184
201406,10017000,其他,其他公共行政類,2970,13380190
201406,10017000,其他,教育類,2292,5864970
201406,10017000,其他,工商及服務類,17426,66087991
201406,10017000,其他,專業及技術服務類,4672,19104382
201406,10017000,其他,其他,5834,26163155
201407,10017000,其他,軍警人員一,222,1159465
201407,10017000,其他,軍警人員二,80,351738
201407,10017000,其他,其他公共行政類,2571,12514950
201407,10017000,其他,教育類,1184,4966931
201407,10017000,其他,工商及服務類,11347,56994856
201407,10017000,其他,專業及技術服務類,4066,18035672
201407,10017000,其他,其他,5149,24673917
201408,10017000,其他,軍警人員一,290,1186702
201408,10017000,其他,軍警人員二,133,401714
201408,10017000,其他,其他公共行政類,2930,12032257
201408,10017000,其他,教育類,2354,6817458
201408,10017000,其他,工商及服務類,17850,70989702
201408,10017000,其他,專業及技術服務類,4892,21542527
201408,10017000,其他,其他,6123,27980310
201409,10017000,其他,軍警人員一,336,1395814
201409,10017000,其他,軍警人員二,108,403527
201409,10017000,其他,其他公共行政類,2891,12915983
201409,10017000,其他,教育類,2541,8969003
201409,10017000,其他,工商及服務類,18526,82967864
201409,10017000,其他,專業及技術服務類,5026,22133590
201409,10017000,其他,其他,6111,29673493
201410,10017000,其他,軍警人員一,365,1880270
201410,10017000,其他,軍警人員二,117,440789
201410,10017000,其他,其他公共行政類,3241,13859282
201410,10017000,其他,教育類,2591,8696542
201410,10017000,其他,工商及服務類,20435,90040636
201410,10017000,其他,專業及技術服務類,5496,24921884
201410,10017000,其他,其他,6654,33109392
201411,10017000,其他,軍警人員一,317,1190249
201411,10017000,其他,軍警人員二,114,471458
201411,10017000,其他,其他公共行政類,3043,12090307
201411,10017000,其他,教育類,2568,7671258
201411,10017000,其他,工商及服務類,19316,86852625
201411,10017000,其他,專業及技術服務類,5264,23660804
201411,10017000,其他,其他,6301,30160554
201412,10017000,其他,軍警人員一,341,1301684
201412,10017000,其他,軍警人員二,133,444650
201412,10017000,其他,其他公共行政類,3104,14568036
201412,10017000,其他,教育類,2663,8324066
201412,10017000,其他,工商及服務類,20532,84508785
201412,10017000,其他,專業及技術服務類,5710,25731942
201412,10017000,其他,其他,6636,32404556
201501,10017000,其他,軍警人員一,321,1609037
201501,10017000,其他,軍警人員二,126,609902
201501,10017000,其他,其他公共行政類,3283,15212872
201501,10017000,其他,教育類,2497,7553998
201501,10017000,其他,工商及服務類,19746,86358471
201501,10017000,其他,專業及技術服務類,5388,25476663
201501,10017000,其他,其他,6395,30131090
201502,10017000,其他,軍警人員一,311,1394863
201502,10017000,其他,軍警人員二,121,473898
201502,10017000,其他,其他公共行政類,2790,12549253
201502,10017000,其他,教育類,2178,7016924
201502,10017000,其他,工商及服務類,17024,69206033
201502,10017000,其他,專業及技術服務類,4812,21934342
201502,10017000,其他,其他,5740,28149613
201503,10017000,其他,軍警人員一,321,1817789
201503,10017000,其他,軍警人員二,126,431847
201503,10017000,其他,其他公共行政類,2922,12983868
201503,10017000,其他,教育類,2403,6230852
201503,10017000,其他,工商及服務類,18394,70497592
201503,10017000,其他,專業及技術服務類,5105,22768051
201503,10017000,其他,其他,6190,28487621
201504,10017000,其他,軍警人員一,301,1676284
201504,10017000,其他,軍警人員二,136,331624
201504,10017000,其他,其他公共行政類,2962,13385685
201504,10017000,其他,教育類,2432,6787543
201504,10017000,其他,工商及服務類,18330,74811171
201504,10017000,其他,專業及技術服務類,5113,24055738
201504,10017000,其他,其他,6096,29689694
201505,10017000,其他,軍警人員一,271,1625201
201505,10017000,其他,軍警人員二,78,391346
201505,10017000,其他,其他公共行政類,2832,13761986
201505,10017000,其他,教育類,1963,6484417
201505,10017000,其他,工商及服務類,16269,76605749
201505,10017000,其他,專業及技術服務類,5135,24395328
201505,10017000,其他,其他,6066,30920225
201506,10017000,其他,軍警人員一,347,1525331
201506,10017000,其他,軍警人員二,138,1097535
201506,10017000,其他,其他公共行政類,3147,15139359
201506,10017000,其他,教育類,2693,9130027
201506,10017000,其他,工商及服務類,20253,85983827
201506,10017000,其他,專業及技術服務類,5560,25103344
201506,10017000,其他,其他,6572,35228912
201507,10017000,其他,軍警人員一,355,1521519
201507,10017000,其他,軍警人員二,134,519524
201507,10017000,其他,其他公共行政類,3279,14892981
201507,10017000,其他,教育類,2906,8451819
201507,10017000,其他,工商及服務類,20411,87162293
201507,10017000,其他,專業及技術服務類,5713,24015357
201507,10017000,其他,其他,6672,34338817
201508,10017000,其他,軍警人員一,351,1921064
201508,10017000,其他,軍警人員二,163,814022
201508,10017000,其他,其他公共行政類,3121,13063999
201508,10017000,其他,教育類,2842,9489689
201508,10017000,其他,工商及服務類,20747,90052029
201508,10017000,其他,專業及技術服務類,5563,25274808
201508,10017000,其他,其他,6535,31770278
201509,10017000,其他,軍警人員一,343,1763392
201509,10017000,其他,軍警人員二,116,633317
201509,10017000,其他,其他公共行政類,3178,13678275
201509,10017000,其他,教育類,2766,7846065
201509,10017000,其他,工商及服務類,20069,82954472
201509,10017000,其他,專業及技術服務類,5671,26330967
201509,10017000,其他,其他,6481,30483889
201510,10017000,其他,軍警人員一,370,1778055
201510,10017000,其他,軍警人員二,149,635898
201510,10017000,其他,其他公共行政類,3345,16495056
201510,10017000,其他,教育類,2867,8459465
201510,10017000,其他,工商及服務類,22109,95883914
201510,10017000,其他,專業及技術服務類,6215,29580351
201510,10017000,其他,其他,7096,33784501
201511,10017000,其他,軍警人員一,343,1569215
201511,10017000,其他,軍警人員二,142,551013
201511,10017000,其他,其他公共行政類,3313,16754165
201511,10017000,其他,教育類,2838,8719748
201511,10017000,其他,工商及服務類,21571,102326263
201511,10017000,其他,專業及技術服務類,6220,34692034
201511,10017000,其他,其他,7084,40781848
201512,10017000,其他,軍警人員一,356,2278263
201512,10017000,其他,軍警人員二,160,927516
201512,10017000,其他,其他公共行政類,3066,14588070
201512,10017000,其他,教育類,2635,8682829
201512,10017000,其他,工商及服務類,20911,102387783
201512,10017000,其他,專業及技術服務類,6389,35811861
201512,10017000,其他,其他,7258,42688168
201601,10017000,其他,軍警人員一,360,2324868
201601,10017000,其他,軍警人員二,148,865781
201601,10017000,其他,其他公共行政類,3312,18567775
201601,10017000,其他,教育類,2853,9878104
201601,10017000,其他,工商及服務類,20606,98988639
201601,10017000,其他,專業及技術服務類,5714,31408487
201601,10017000,其他,其他,6606,39732776
201602,10017000,其他,軍警人員一,374,2506525
201602,10017000,其他,軍警人員二,145,759202
201602,10017000,其他,其他公共行政類,2908,14829446
201602,10017000,其他,教育類,2459,8256422
201602,10017000,其他,工商及服務類,18617,87415228
201602,10017000,其他,專業及技術服務類,5208,29110923
201602,10017000,其他,其他,5958,35502844
201603,10017000,其他,軍警人員一,388,3406853
201603,10017000,其他,軍警人員二,162,805394
201603,10017000,其他,其他公共行政類,3158,16533305
201603,10017000,其他,教育類,2905,9430520
201603,10017000,其他,工商及服務類,22588,123009053
201603,10017000,其他,專業及技術服務類,6282,42103028
201603,10017000,其他,其他,7014,45946344
201604,10017000,其他,軍警人員一,405,3396016
201604,10017000,其他,軍警人員二,151,461931
201604,10017000,其他,其他公共行政類,3041,17028741
201604,10017000,其他,教育類,2589,9266261
201604,10017000,其他,工商及服務類,20913,124236809
201604,10017000,其他,專業及技術服務類,5910,38548972
201604,10017000,其他,其他,6784,46044003
201605,10017000,其他,軍警人員一,263,2226498
201605,10017000,其他,軍警人員二,74,393434
201605,10017000,其他,其他公共行政類,2798,16186272
201605,10017000,其他,教育類,1587,7458756
201605,10017000,其他,工商及服務類,15145,105233314
201605,10017000,其他,專業及技術服務類,5714,35291976
201605,10017000,其他,其他,6303,42044089
201606,10017000,其他,軍警人員一,376,2589238
201606,10017000,其他,軍警人員二,132,1123198
201606,10017000,其他,其他公共行政類,3672,17730384
201606,10017000,其他,教育類,2220,8118668
201606,10017000,其他,工商及服務類,19491,107583043
201606,10017000,其他,專業及技術服務類,7945,38985751
201606,10017000,其他,其他,8534,45767594
201607,10017000,其他,軍警人員一,424,2249800
201607,10017000,其他,軍警人員二,198,765151
201607,10017000,其他,其他公共行政類,4065,17560951
201607,10017000,其他,教育類,3710,11346719
201607,10017000,其他,工商及服務類,27169,122861340
201607,10017000,其他,專業及技術服務類,8623,39759462
201607,10017000,其他,其他,9014,41703729
201608,10017000,其他,軍警人員一,415,1618866
201608,10017000,其他,軍警人員二,169,457353
201608,10017000,其他,其他公共行政類,3956,16217792
201608,10017000,其他,教育類,3362,8758148
201608,10017000,其他,工商及服務類,25179,87421204
201608,10017000,其他,專業及技術服務類,7803,26063539
201608,10017000,其他,其他,8527,33409275
201609,10017000,其他,軍警人員一,355,1578736
201609,10017000,其他,軍警人員二,137,463025
201609,10017000,其他,其他公共行政類,3531,13414746
201609,10017000,其他,教育類,3187,8534903
201609,10017000,其他,工商及服務類,23788,86889070
201609,10017000,其他,專業及技術服務類,7235,25177099
201609,10017000,其他,其他,8002,31323294
201610,10017000,其他,軍警人員一,417,2108038
201610,10017000,其他,軍警人員二,168,451367
201610,10017000,其他,其他公共行政類,4011,15855333
201610,10017000,其他,教育類,3188,8102089
201610,10017000,其他,工商及服務類,25209,90283549
201610,10017000,其他,專業及技術服務類,8262,28476757
201610,10017000,其他,其他,8623,33464229
201611,10017000,其他,軍警人員一,327,1368679
201611,10017000,其他,軍警人員二,152,530771
201611,10017000,其他,其他公共行政類,3511,14374621
201611,10017000,其他,教育類,2782,7730341
201611,10017000,其他,工商及服務類,21876,86777716
201611,10017000,其他,專業及技術服務類,7199,30025046
201611,10017000,其他,其他,7699,32965178
201612,10017000,其他,軍警人員一,391,2082793
201612,10017000,其他,軍警人員二,144,455847
201612,10017000,其他,其他公共行政類,3629,18205452
201612,10017000,其他,教育類,2794,7838206
201612,10017000,其他,工商及服務類,22227,87307437
201612,10017000,其他,專業及技術服務類,7468,29656270
201612,10017000,其他,其他,7963,33452124
201701,10017000,其他,軍警人員一,329,1177857
201701,10017000,其他,軍警人員二,135,493241
201701,10017000,其他,其他公共行政類,3405,13619480
201701,10017000,其他,教育類,2788,7445674
201701,10017000,其他,工商及服務類,20678,77022302
201701,10017000,其他,專業及技術服務類,6751,25003771
201701,10017000,其他,其他,7763,33390514
201702,10017000,其他,軍警人員一,332,1011501
