年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,百貨,軍警人員一,686,1291265
201401,09020000,百貨,軍警人員二,154,411956
201401,09020000,百貨,其他公共行政類,2061,4769743
201401,09020000,百貨,教育類,1365,4732006
201401,09020000,百貨,工商及服務類,13022,45908413
201401,09020000,百貨,專業及技術服務類,2942,9393753
201401,09020000,百貨,其他,4555,12513031
201402,09020000,百貨,軍警人員一,597,1411983
201402,09020000,百貨,軍警人員二,139,252604
201402,09020000,百貨,其他公共行政類,2102,4996744
201402,09020000,百貨,教育類,1090,2929484
201402,09020000,百貨,工商及服務類,12549,49246662
201402,09020000,百貨,專業及技術服務類,3030,10297072
201402,09020000,百貨,其他,4457,14997971
201403,09020000,百貨,軍警人員一,707,1347146
201403,09020000,百貨,軍警人員二,135,314851
201403,09020000,百貨,其他公共行政類,2216,4602180
201403,09020000,百貨,教育類,1224,3200163
201403,09020000,百貨,工商及服務類,13802,48264462
201403,09020000,百貨,專業及技術服務類,3221,10061571
201403,09020000,百貨,其他,5007,14217987
201404,09020000,百貨,軍警人員一,669,1270694
201404,09020000,百貨,軍警人員二,129,284117
201404,09020000,百貨,其他公共行政類,2110,4284119
201404,09020000,百貨,教育類,1198,3161437
201404,09020000,百貨,工商及服務類,13600,42639941
201404,09020000,百貨,專業及技術服務類,3253,8899685
201404,09020000,百貨,其他,5064,12834106
201405,09020000,百貨,軍警人員一,719,1385041
201405,09020000,百貨,軍警人員二,177,295850
201405,09020000,百貨,其他公共行政類,2582,5897777
201405,09020000,百貨,教育類,1520,3979007
201405,09020000,百貨,工商及服務類,14897,51293955
201405,09020000,百貨,專業及技術服務類,4095,12633386
201405,09020000,百貨,其他,5470,13940419
201406,09020000,百貨,軍警人員一,860,1563759
201406,09020000,百貨,軍警人員二,225,468524
201406,09020000,百貨,其他公共行政類,2947,6791637
201406,09020000,百貨,教育類,1633,4278317
201406,09020000,百貨,工商及服務類,15987,49997645
201406,09020000,百貨,專業及技術服務類,4498,14046623
201406,09020000,百貨,其他,5818,15742818
201407,09020000,百貨,軍警人員一,754,1520634
201407,09020000,百貨,軍警人員二,237,489497
201407,09020000,百貨,其他公共行政類,2886,6265700
201407,09020000,百貨,教育類,1901,4730834
201407,09020000,百貨,工商及服務類,14969,45019799
201407,09020000,百貨,專業及技術服務類,4343,11880230
201407,09020000,百貨,其他,5706,14645168
201408,09020000,百貨,軍警人員一,885,1707531
201408,09020000,百貨,軍警人員二,180,364326
201408,09020000,百貨,其他公共行政類,2734,5341597
201408,09020000,百貨,教育類,1650,3904066
201408,09020000,百貨,工商及服務類,14847,44289619
201408,09020000,百貨,專業及技術服務類,4209,11467958
201408,09020000,百貨,其他,5533,14002488
201409,09020000,百貨,軍警人員一,717,1185923
201409,09020000,百貨,軍警人員二,140,291758
201409,09020000,百貨,其他公共行政類,2394,4847648
201409,09020000,百貨,教育類,1250,3033585
201409,09020000,百貨,工商及服務類,14036,37061304
201409,09020000,百貨,專業及技術服務類,4270,10592491
201409,09020000,百貨,其他,5345,13442400
201410,09020000,百貨,軍警人員一,908,1962370
201410,09020000,百貨,軍警人員二,189,397851
201410,09020000,百貨,其他公共行政類,2870,5279397
201410,09020000,百貨,教育類,1518,3025313
201410,09020000,百貨,工商及服務類,15498,41409459
201410,09020000,百貨,專業及技術服務類,4623,11834062
201410,09020000,百貨,其他,5670,14948229
201411,09020000,百貨,軍警人員一,829,1491810
201411,09020000,百貨,軍警人員二,143,252271
201411,09020000,百貨,其他公共行政類,2726,5311975
201411,09020000,百貨,教育類,1499,3214192
201411,09020000,百貨,工商及服務類,14383,38635814
201411,09020000,百貨,專業及技術服務類,4253,10925533
201411,09020000,百貨,其他,5409,13000482
201412,09020000,百貨,軍警人員一,970,4342272
201412,09020000,百貨,軍警人員二,192,490390
201412,09020000,百貨,其他公共行政類,2647,6090859
201412,09020000,百貨,教育類,1683,4477517
201412,09020000,百貨,工商及服務類,15408,71825807
201412,09020000,百貨,專業及技術服務類,4519,14447764
201412,09020000,百貨,其他,5749,16448630
201501,09020000,百貨,軍警人員一,947,2082629
201501,09020000,百貨,軍警人員二,201,431860
201501,09020000,百貨,其他公共行政類,2813,6448216
201501,09020000,百貨,教育類,1629,4156580
201501,09020000,百貨,工商及服務類,15863,62639621
201501,09020000,百貨,專業及技術服務類,4458,13203072
201501,09020000,百貨,其他,5483,15560720
201502,09020000,百貨,軍警人員一,905,2037203
201502,09020000,百貨,軍警人員二,177,372840
201502,09020000,百貨,其他公共行政類,2751,6368594
201502,09020000,百貨,教育類,1635,4025702
201502,09020000,百貨,工商及服務類,13260,42500876
201502,09020000,百貨,專業及技術服務類,4065,11974967
201502,09020000,百貨,其他,4994,14725471
201503,09020000,百貨,軍警人員一,756,1624056
201503,09020000,百貨,軍警人員二,166,375893
201503,09020000,百貨,其他公共行政類,2347,5198542
201503,09020000,百貨,教育類,1308,3083600
201503,09020000,百貨,工商及服務類,12673,41601702
201503,09020000,百貨,專業及技術服務類,3575,10808435
201503,09020000,百貨,其他,4922,13680560
201504,09020000,百貨,軍警人員一,791,1497551
201504,09020000,百貨,軍警人員二,159,407065
201504,09020000,百貨,其他公共行政類,2525,5141538
201504,09020000,百貨,教育類,1351,3102416
201504,09020000,百貨,工商及服務類,13215,39182666
201504,09020000,百貨,專業及技術服務類,3845,10120645
201504,09020000,百貨,其他,5156,13232605
201505,09020000,百貨,軍警人員一,786,1722285
201505,09020000,百貨,軍警人員二,157,318669
201505,09020000,百貨,其他公共行政類,2586,5495025
201505,09020000,百貨,教育類,1509,3228834
201505,09020000,百貨,工商及服務類,13472,38900204
201505,09020000,百貨,專業及技術服務類,3865,10397831
201505,09020000,百貨,其他,4972,13080215
201506,09020000,百貨,軍警人員一,782,1427465
201506,09020000,百貨,軍警人員二,158,426685
201506,09020000,百貨,其他公共行政類,2614,5535763
201506,09020000,百貨,教育類,1426,3191056
201506,09020000,百貨,工商及服務類,13465,39371607
201506,09020000,百貨,專業及技術服務類,4118,10823479
201506,09020000,百貨,其他,5073,12293873
201507,09020000,百貨,軍警人員一,727,1482676
201507,09020000,百貨,軍警人員二,161,302865
201507,09020000,百貨,其他公共行政類,2486,5465081
201507,09020000,百貨,教育類,1626,3876360
201507,09020000,百貨,工商及服務類,13696,40839956
201507,09020000,百貨,專業及技術服務類,3985,10238225
201507,09020000,百貨,其他,4952,12351882
201508,09020000,百貨,軍警人員一,695,1247016
201508,09020000,百貨,軍警人員二,174,326354
201508,09020000,百貨,其他公共行政類,2367,4425675
201508,09020000,百貨,教育類,1576,3557848
201508,09020000,百貨,工商及服務類,13168,37098103
201508,09020000,百貨,專業及技術服務類,3885,10236831
201508,09020000,百貨,其他,4918,12086703
201509,09020000,百貨,軍警人員一,696,1287943
201509,09020000,百貨,軍警人員二,131,299244
201509,09020000,百貨,其他公共行政類,2338,4552871
201509,09020000,百貨,教育類,1244,2753541
201509,09020000,百貨,工商及服務類,13119,38718567
201509,09020000,百貨,專業及技術服務類,3685,8938790
201509,09020000,百貨,其他,4677,11901475
201510,09020000,百貨,軍警人員一,720,1437017
201510,09020000,百貨,軍警人員二,176,342704
201510,09020000,百貨,其他公共行政類,2608,5249324
201510,09020000,百貨,教育類,1397,3121395
201510,09020000,百貨,工商及服務類,14428,42204199
201510,09020000,百貨,專業及技術服務類,4318,10967016
201510,09020000,百貨,其他,5374,13943228
201511,09020000,百貨,軍警人員一,753,1346775
201511,09020000,百貨,軍警人員二,151,281237
201511,09020000,百貨,其他公共行政類,2433,4568162
201511,09020000,百貨,教育類,1291,3057037
201511,09020000,百貨,工商及服務類,14187,43579642
201511,09020000,百貨,專業及技術服務類,3964,10192711
201511,09020000,百貨,其他,5150,13036985
201512,09020000,百貨,軍警人員一,813,2565541
201512,09020000,百貨,軍警人員二,202,398540
201512,09020000,百貨,其他公共行政類,2482,5449052
201512,09020000,百貨,教育類,1345,3118391
201512,09020000,百貨,工商及服務類,15334,57090291
201512,09020000,百貨,專業及技術服務類,4143,11687961
201512,09020000,百貨,其他,4984,13167016
201601,09020000,百貨,軍警人員一,858,1823711
201601,09020000,百貨,軍警人員二,184,408878
201601,09020000,百貨,其他公共行政類,2415,5064638
201601,09020000,百貨,教育類,1660,3612969
201601,09020000,百貨,工商及服務類,13347,44113871
201601,09020000,百貨,專業及技術服務類,4107,11707875
201601,09020000,百貨,其他,4848,12128576
201602,09020000,百貨,軍警人員一,813,1875904
201602,09020000,百貨,軍警人員二,186,455158
201602,09020000,百貨,其他公共行政類,2374,5223299
201602,09020000,百貨,教育類,1457,3353369
201602,09020000,百貨,工商及服務類,12306,41130740
201602,09020000,百貨,專業及技術服務類,3885,10891695
201602,09020000,百貨,其他,4444,12052045
201603,09020000,百貨,軍警人員一,625,898652
201603,09020000,百貨,軍警人員二,149,235713
201603,09020000,百貨,其他公共行政類,1946,3517182
201603,09020000,百貨,教育類,999,1948979
201603,09020000,百貨,工商及服務類,10613,29635161
201603,09020000,百貨,專業及技術服務類,3094,8769002
201603,09020000,百貨,其他,4068,10555072
201604,09020000,百貨,軍警人員一,609,997914
201604,09020000,百貨,軍警人員二,129,304813
201604,09020000,百貨,其他公共行政類,2114,4548042
201604,09020000,百貨,教育類,1203,2325900
201604,09020000,百貨,工商及服務類,11092,32088553
201604,09020000,百貨,專業及技術服務類,3290,8989354
201604,09020000,百貨,其他,4370,10889085
201605,09020000,百貨,軍警人員一,606,962337
201605,09020000,百貨,軍警人員二,144,304815
201605,09020000,百貨,其他公共行政類,2182,4216405
201605,09020000,百貨,教育類,1226,2733463
201605,09020000,百貨,工商及服務類,11656,31583583
201605,09020000,百貨,專業及技術服務類,3604,8982309
201605,09020000,百貨,其他,4657,11238605
201606,09020000,百貨,軍警人員一,748,1519271
201606,09020000,百貨,軍警人員二,179,433721
201606,09020000,百貨,其他公共行政類,2768,6067707
201606,09020000,百貨,教育類,1509,3046476
201606,09020000,百貨,工商及服務類,14722,41827989
201606,09020000,百貨,專業及技術服務類,4732,12721650
201606,09020000,百貨,其他,5563,14793512
201607,09020000,百貨,軍警人員一,651,1103028
201607,09020000,百貨,軍警人員二,142,285339
201607,09020000,百貨,其他公共行政類,2407,4534332
201607,09020000,百貨,教育類,1538,3171233
201607,09020000,百貨,工商及服務類,12780,34171624
201607,09020000,百貨,專業及技術服務類,3904,9856346
201607,09020000,百貨,其他,4979,12407689
201608,09020000,百貨,軍警人員一,587,939156
201608,09020000,百貨,軍警人員二,134,509883
201608,09020000,百貨,其他公共行政類,2135,4205557
201608,09020000,百貨,教育類,1246,2711764
201608,09020000,百貨,工商及服務類,11893,36914242
201608,09020000,百貨,專業及技術服務類,3748,10704567
201608,09020000,百貨,其他,4774,12830451
201609,09020000,百貨,軍警人員一,589,1003256
201609,09020000,百貨,軍警人員二,92,160916
201609,09020000,百貨,其他公共行政類,1785,3927627
201609,09020000,百貨,教育類,965,2143055
201609,09020000,百貨,工商及服務類,10779,33158323
201609,09020000,百貨,專業及技術服務類,3351,9756822
201609,09020000,百貨,其他,4275,11588522
201610,09020000,百貨,軍警人員一,655,1148690
201610,09020000,百貨,軍警人員二,166,300501
201610,09020000,百貨,其他公共行政類,2349,4684081
201610,09020000,百貨,教育類,1271,2505928
201610,09020000,百貨,工商及服務類,13376,38318529
201610,09020000,百貨,專業及技術服務類,4108,11663651
201610,09020000,百貨,其他,5039,13350730
201611,09020000,百貨,軍警人員一,746,1442832
201611,09020000,百貨,軍警人員二,141,308551
201611,09020000,百貨,其他公共行政類,2424,4824068
201611,09020000,百貨,教育類,1278,2731097
201611,09020000,百貨,工商及服務類,12546,34991196
201611,09020000,百貨,專業及技術服務類,3986,10399979
201611,09020000,百貨,其他,4968,12667101
201612,09020000,百貨,軍警人員一,833,1646182
201612,09020000,百貨,軍警人員二,173,371551
201612,09020000,百貨,其他公共行政類,2488,5154292
201612,09020000,百貨,教育類,1453,3204687
201612,09020000,百貨,工商及服務類,13538,39208603
201612,09020000,百貨,專業及技術服務類,4117,11025920
201612,09020000,百貨,其他,5168,14350485
201701,09020000,百貨,軍警人員一,885,2063980
201701,09020000,百貨,軍警人員二,194,432746
201701,09020000,百貨,其他公共行政類,2692,5754198
201701,09020000,百貨,教育類,1665,4003673
201701,09020000,百貨,工商及服務類,13715,39048227
201701,09020000,百貨,專業及技術服務類,4236,11330621
201701,09020000,百貨,其他,5230,14276749
201702,09020000,百貨,軍警人員一,686,1425950
201702,09020000,百貨,軍警人員二,154,338458
201702,09020000,百貨,其他公共行政類,2396,5262810
201702,09020000,百貨,教育類,1528,3786568
201702,09020000,百貨,工商及服務類,12298,36208496
201702,09020000,百貨,專業及技術服務類,3675,10144190
201702,09020000,百貨,其他,4445,11966287
201703,09020000,百貨,軍警人員一,742,1587123
201703,09020000,百貨,軍警人員二,168,444503
201703,09020000,百貨,其他公共行政類,2331,4818039
201703,09020000,百貨,教育類,1252,2599713
201703,09020000,百貨,工商及服務類,12694,35306962
201703,09020000,百貨,專業及技術服務類,3834,9867735
201703,09020000,百貨,其他,4891,13133564
201704,09020000,百貨,軍警人員一,706,1267859
201704,09020000,百貨,軍警人員二,154,366642
201704,09020000,百貨,其他公共行政類,2439,4856250
201704,09020000,百貨,教育類,1436,2817646
201704,09020000,百貨,工商及服務類,13554,39431422
201704,09020000,百貨,專業及技術服務類,4035,9806053
201704,09020000,百貨,其他,5125,12967746
201705,09020000,百貨,軍警人員一,778,1563979
201705,09020000,百貨,軍警人員二,180,369629
201705,09020000,百貨,其他公共行政類,2740,5401109
201705,09020000,百貨,教育類,1570,3078261
201705,09020000,百貨,工商及服務類,14049,37461886
201705,09020000,百貨,專業及技術服務類,4524,11128556
201705,09020000,百貨,其他,5508,13882016
201706,09020000,百貨,軍警人員一,780,1319856
201706,09020000,百貨,軍警人員二,184,368678
201706,09020000,百貨,其他公共行政類,2748,5625038
201706,09020000,百貨,教育類,1548,3201467
201706,09020000,百貨,工商及服務類,13995,39311318
201706,09020000,百貨,專業及技術服務類,4369,11047247
201706,09020000,百貨,其他,5148,14464245
201707,09020000,百貨,軍警人員一,828,1547683
201707,09020000,百貨,軍警人員二,157,277663
201707,09020000,百貨,其他公共行政類,2716,5970723
201707,09020000,百貨,教育類,1825,4251023
201707,09020000,百貨,工商及服務類,14486,45767046
201707,09020000,百貨,專業及技術服務類,4431,11074224
201707,09020000,百貨,其他,5217,13810418
201708,09020000,百貨,軍警人員一,831,1369818
201708,09020000,百貨,軍警人員二,186,387312
201708,09020000,百貨,其他公共行政類,2635,5342941
201708,09020000,百貨,教育類,1696,3446436
201708,09020000,百貨,工商及服務類,13276,36144629
201708,09020000,百貨,專業及技術服務類,4387,11223015
201708,09020000,百貨,其他,5259,12952778
201709,09020000,百貨,軍警人員一,734,1273019
201709,09020000,百貨,軍警人員二,166,285394
201709,09020000,百貨,其他公共行政類,2351,4381615
201709,09020000,百貨,教育類,1199,3059061
201709,09020000,百貨,工商及服務類,12302,33436974
201709,09020000,百貨,專業及技術服務類,3775,9970589
201709,09020000,百貨,其他,4424,12395574
201710,09020000,百貨,軍警人員一,809,1496455
201710,09020000,百貨,軍警人員二,188,497705
201710,09020000,百貨,其他公共行政類,2824,5998764
201710,09020000,百貨,教育類,1613,3614630
201710,09020000,百貨,工商及服務類,15566,42888402
201710,09020000,百貨,專業及技術服務類,4947,13006951
201710,09020000,百貨,其他,5758,14733737
201711,09020000,百貨,軍警人員一,754,1388249
201711,09020000,百貨,軍警人員二,180,430732
201711,09020000,百貨,其他公共行政類,2648,5505820
201711,09020000,百貨,教育類,1469,3477025
201711,09020000,百貨,工商及服務類,14479,38558308
201711,09020000,百貨,專業及技術服務類,4565,12373481
201711,09020000,百貨,其他,5642,14463287
201712,09020000,百貨,軍警人員一,911,2054349
201712,09020000,百貨,軍警人員二,177,352527
201712,09020000,百貨,其他公共行政類,2751,5553920
201712,09020000,百貨,教育類,1706,3791867
201712,09020000,百貨,工商及服務類,14895,43355869
201712,09020000,百貨,專業及技術服務類,4730,12325927
201712,09020000,百貨,其他,5328,13309228
201801,09020000,百貨,軍警人員一,879,1771727
201801,09020000,百貨,軍警人員二,198,418699
201801,09020000,百貨,其他公共行政類,2548,6118154
201801,09020000,百貨,教育類,1655,4388250
201801,09020000,百貨,工商及服務類,13734,41853842
201801,09020000,百貨,專業及技術服務類,4333,12414767
201801,09020000,百貨,其他,4833,13722006
201802,09020000,百貨,軍警人員一,941,2052041
201802,09020000,百貨,軍警人員二,218,524245
201802,09020000,百貨,其他公共行政類,2677,6936157
201802,09020000,百貨,教育類,1731,4423479
201802,09020000,百貨,工商及服務類,14603,43620417
201802,09020000,百貨,專業及技術服務類,4592,12419195
201802,09020000,百貨,其他,5163,14931743
201803,09020000,百貨,軍警人員一,826,1747591
201803,09020000,百貨,軍警人員二,262,476263
201803,09020000,百貨,其他公共行政類,2592,5679241
201803,09020000,百貨,教育類,1546,3471280
201803,09020000,百貨,工商及服務類,14553,41187102
201803,09020000,百貨,專業及技術服務類,4602,11468535
201803,09020000,百貨,其他,5508,13412195
201804,09020000,百貨,軍警人員一,928,1641745
201804,09020000,百貨,軍警人員二,255,463652
201804,09020000,百貨,其他公共行政類,3130,6360469
201804,09020000,百貨,教育類,1866,4154830
201804,09020000,百貨,工商及服務類,16754,45934396
201804,09020000,百貨,專業及技術服務類,5443,14438205
201804,09020000,百貨,其他,6244,15378615
201805,09020000,百貨,軍警人員一,860,1554713
201805,09020000,百貨,軍警人員二,348,790471
201805,09020000,百貨,其他公共行政類,3083,6138315
201805,09020000,百貨,教育類,1617,3341208
201805,09020000,百貨,工商及服務類,16294,46156513
201805,09020000,百貨,專業及技術服務類,5219,13330620
201805,09020000,百貨,其他,6083,15335769
201806,09020000,百貨,軍警人員一,940,1915028
201806,09020000,百貨,軍警人員二,274,656351
201806,09020000,百貨,其他公共行政類,3410,7230466
201806,09020000,百貨,教育類,1848,4658800
201806,09020000,百貨,工商及服務類,17585,52168480
201806,09020000,百貨,專業及技術服務類,5793,14340248
201806,09020000,百貨,其他,6328,16102806
201807,09020000,百貨,軍警人員一,889,1752802
201807,09020000,百貨,軍警人員二,279,525528
201807,09020000,百貨,其他公共行政類,3349,7849710
201807,09020000,百貨,教育類,2248,5097161
201807,09020000,百貨,工商及服務類,17025,52794941
201807,09020000,百貨,專業及技術服務類,5551,14635400
201807,09020000,百貨,其他,6623,17589073
201808,09020000,百貨,軍警人員一,880,1597490
201808,09020000,百貨,軍警人員二,226,452470
201808,09020000,百貨,其他公共行政類,2961,6215034
201808,09020000,百貨,教育類,1868,4356375
201808,09020000,百貨,工商及服務類,15757,45382521
201808,09020000,百貨,專業及技術服務類,5036,13386473
201808,09020000,百貨,其他,6161,16537124
201809,09020000,百貨,軍警人員一,875,1858160
201809,09020000,百貨,軍警人員二,204,346539
201809,09020000,百貨,其他公共行政類,2647,5723020
201809,09020000,百貨,教育類,1553,3819495
201809,09020000,百貨,工商及服務類,15702,49255038
201809,09020000,百貨,專業及技術服務類,5070,15503729
201809,09020000,百貨,其他,5989,16069524
201810,09020000,百貨,軍警人員一,768,1854927
201810,09020000,百貨,軍警人員二,160,337957
201810,09020000,百貨,其他公共行政類,2150,5058101
201810,09020000,百貨,教育類,1328,3251748
201810,09020000,百貨,工商及服務類,13545,41048902
201810,09020000,百貨,專業及技術服務類,4534,15022335
201810,09020000,百貨,其他,5128,13067160
201811,09020000,百貨,軍警人員一,900,1934735
201811,09020000,百貨,軍警人員二,176,401990
201811,09020000,百貨,其他公共行政類,2552,5769748
201811,09020000,百貨,教育類,1481,3602427
201811,09020000,百貨,工商及服務類,15309,46215541
201811,09020000,百貨,專業及技術服務類,4932,14435759
201811,09020000,百貨,其他,6223,16315645
201812,09020000,百貨,軍警人員一,933,2134742
201812,09020000,百貨,軍警人員二,215,414466
201812,09020000,百貨,其他公共行政類,2814,7425412
201812,09020000,百貨,教育類,1724,5203263
201812,09020000,百貨,工商及服務類,15721,51611100
201812,09020000,百貨,專業及技術服務類,4981,15215843
201812,09020000,百貨,其他,6168,17771051
201901,09020000,百貨,軍警人員一,942,2274583
201901,09020000,百貨,軍警人員二,188,406709
201901,09020000,百貨,其他公共行政類,2824,6427223
201901,09020000,百貨,教育類,1984,4996088
201901,09020000,百貨,工商及服務類,14501,47501315
201901,09020000,百貨,專業及技術服務類,4602,14966598
201901,09020000,百貨,其他,6215,16136175
201902,09020000,百貨,軍警人員一,892,2000037
201902,09020000,百貨,軍警人員二,151,326423
201902,09020000,百貨,其他公共行政類,2753,6941215
201902,09020000,百貨,教育類,1496,3933856
201902,09020000,百貨,工商及服務類,12900,45312751
201902,09020000,百貨,專業及技術服務類,4436,15039788
201902,09020000,百貨,其他,5214,14654918
201903,09020000,百貨,軍警人員一,934,1743343
201903,09020000,百貨,軍警人員二,201,469126
201903,09020000,百貨,其他公共行政類,3096,7672640
201903,09020000,百貨,教育類,1829,3896699
201903,09020000,百貨,工商及服務類,16079,46222168
201903,09020000,百貨,專業及技術服務類,5287,15833550
201903,09020000,百貨,其他,6648,16021939
201904,09020000,百貨,軍警人員一,911,1616004
201904,09020000,百貨,軍警人員二,211,499361
201904,09020000,百貨,其他公共行政類,3224,6721066
201904,09020000,百貨,教育類,1723,3642444
201904,09020000,百貨,工商及服務類,16535,45405325
201904,09020000,百貨,專業及技術服務類,5167,13929530
201904,09020000,百貨,其他,7111,17437002
201905,09020000,百貨,軍警人員一,760,1460843
201905,09020000,百貨,軍警人員二,215,486869
201905,09020000,百貨,其他公共行政類,2700,6327895
201905,09020000,百貨,教育類,1724,4016472
201905,09020000,百貨,工商及服務類,15097,46221494
201905,09020000,百貨,專業及技術服務類,5185,15843154
201905,09020000,百貨,其他,6340,16399805
201906,09020000,百貨,軍警人員一,999,1824354
201906,09020000,百貨,軍警人員二,330,600610
201906,09020000,百貨,其他公共行政類,3496,8697743
201906,09020000,百貨,教育類,2050,4288449
201906,09020000,百貨,工商及服務類,17451,51028963
201906,09020000,百貨,專業及技術服務類,5868,16654334
201906,09020000,百貨,其他,7114,16932055
201907,09020000,百貨,軍警人員一,938,1534002
201907,09020000,百貨,軍警人員二,292,505860
201907,09020000,百貨,其他公共行政類,3167,6482439
201907,09020000,百貨,教育類,2300,5277438
201907,09020000,百貨,工商及服務類,16666,44539297
201907,09020000,百貨,專業及技術服務類,5573,16189140
201907,09020000,百貨,其他,7211,17107550
201908,09020000,百貨,軍警人員一,938,1884409
201908,09020000,百貨,軍警人員二,237,485740
201908,09020000,百貨,其他公共行政類,3020,6543384
201908,09020000,百貨,教育類,2123,5009282
201908,09020000,百貨,工商及服務類,15540,47420111
201908,09020000,百貨,專業及技術服務類,5164,15620171
201908,09020000,百貨,其他,6571,15803311
201909,09020000,百貨,軍警人員一,830,1608885
201909,09020000,百貨,軍警人員二,205,432245
201909,09020000,百貨,其他公共行政類,2870,8673881
201909,09020000,百貨,教育類,1590,4348432
201909,09020000,百貨,工商及服務類,15523,50163753
201909,09020000,百貨,專業及技術服務類,5364,18771226
201909,09020000,百貨,其他,6416,16821034
201910,09020000,百貨,軍警人員一,972,1977602
201910,09020000,百貨,軍警人員二,218,525675
201910,09020000,百貨,其他公共行政類,3258,9184555
201910,09020000,百貨,教育類,1976,5592275
201910,09020000,百貨,工商及服務類,18003,58361254
201910,09020000,百貨,專業及技術服務類,5850,19438146
201910,09020000,百貨,其他,8018,22239300
201911,09020000,百貨,軍警人員一,890,1820065
201911,09020000,百貨,軍警人員二,214,478632
201911,09020000,百貨,其他公共行政類,3207,8252629
201911,09020000,百貨,教育類,1852,5248858
201911,09020000,百貨,工商及服務類,17248,55487268
201911,09020000,百貨,專業及技術服務類,5804,18895046
201911,09020000,百貨,其他,8066,21923984
201912,09020000,百貨,軍警人員一,909,2404874
201912,09020000,百貨,軍警人員二,205,703579
201912,09020000,百貨,其他公共行政類,2894,7725402
201912,09020000,百貨,教育類,1628,4008095
201912,09020000,百貨,工商及服務類,15985,72222410
201912,09020000,百貨,專業及技術服務類,5199,16683879
201912,09020000,百貨,其他,6965,20814773
202001,09020000,百貨,軍警人員一,1099,2796372
202001,09020000,百貨,軍警人員二,235,758441
202001,09020000,百貨,其他公共行政類,3194,8820124
202001,09020000,百貨,教育類,1971,5178819
202001,09020000,百貨,工商及服務類,15413,49679805
202001,09020000,百貨,專業及技術服務類,5182,17165643
202001,09020000,百貨,其他,6992,22268809
202002,09020000,百貨,軍警人員一,731,1242897
202002,09020000,百貨,軍警人員二,143,174049
202002,09020000,百貨,其他公共行政類,1822,3679678
202002,09020000,百貨,教育類,956,1860756
202002,09020000,百貨,工商及服務類,4907,17478698
202002,09020000,百貨,專業及技術服務類,1909,5340378
202002,09020000,百貨,其他,2578,5682409
202003,09020000,百貨,軍警人員一,786,1753123
202003,09020000,百貨,軍警人員二,134,301750
202003,09020000,百貨,其他公共行政類,1868,4370883
202003,09020000,百貨,教育類,1013,1898290
202003,09020000,百貨,工商及服務類,4969,16709414
202003,09020000,百貨,專業及技術服務類,1907,6272399
202003,09020000,百貨,其他,2408,6518015
202004,09020000,百貨,軍警人員一,827,1734218
202004,09020000,百貨,軍警人員二,191,373995
202004,09020000,百貨,其他公共行政類,2172,4541183
202004,09020000,百貨,教育類,1208,2748725
202004,09020000,百貨,工商及服務類,7465,34277947
202004,09020000,百貨,專業及技術服務類,2671,9875034
202004,09020000,百貨,其他,3281,9686363
202005,09020000,百貨,軍警人員一,907,2050291
202005,09020000,百貨,軍警人員二,195,380854
202005,09020000,百貨,其他公共行政類,2102,4158867
202005,09020000,百貨,教育類,1181,3128221
