年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,文教康樂,軍警人員一,33,136349
201401,09020000,文教康樂,軍警人員二,6,23690
201401,09020000,文教康樂,其他公共行政類,200,1359804
201401,09020000,文教康樂,教育類,62,266306
201401,09020000,文教康樂,工商及服務類,394,2383882
201401,09020000,文教康樂,專業及技術服務類,79,513915
201401,09020000,文教康樂,其他,160,1042860
201402,09020000,文教康樂,軍警人員一,18,66455
201402,09020000,文教康樂,軍警人員二,4,9080
201402,09020000,文教康樂,其他公共行政類,141,975343
201402,09020000,文教康樂,教育類,44,135574
201402,09020000,文教康樂,工商及服務類,246,1474493
201402,09020000,文教康樂,專業及技術服務類,62,401940
201402,09020000,文教康樂,其他,107,575782
201403,09020000,文教康樂,軍警人員一,18,74927
201403,09020000,文教康樂,軍警人員二,4,8108
201403,09020000,文教康樂,其他公共行政類,146,855365
201403,09020000,文教康樂,教育類,49,174381
201403,09020000,文教康樂,工商及服務類,376,2780478
201403,09020000,文教康樂,專業及技術服務類,98,619995
201403,09020000,文教康樂,其他,145,1019880
201404,09020000,文教康樂,軍警人員一,17,64341
201404,09020000,文教康樂,軍警人員二,4,38200
201404,09020000,文教康樂,其他公共行政類,143,984442
201404,09020000,文教康樂,教育類,50,195675
201404,09020000,文教康樂,工商及服務類,328,2275608
201404,09020000,文教康樂,專業及技術服務類,87,459498
201404,09020000,文教康樂,其他,132,793702
201405,09020000,文教康樂,軍警人員一,53,114126
201405,09020000,文教康樂,軍警人員二,9,6250
201405,09020000,文教康樂,其他公共行政類,230,785196
201405,09020000,文教康樂,教育類,72,140837
201405,09020000,文教康樂,工商及服務類,625,2502073
201405,09020000,文教康樂,專業及技術服務類,165,542205
201405,09020000,文教康樂,其他,186,754130
201406,09020000,文教康樂,軍警人員一,122,161328
201406,09020000,文教康樂,軍警人員二,34,33610
201406,09020000,文教康樂,其他公共行政類,409,1113405
201406,09020000,文教康樂,教育類,192,361127
201406,09020000,文教康樂,工商及服務類,926,2480767
201406,09020000,文教康樂,專業及技術服務類,365,845563
201406,09020000,文教康樂,其他,268,1090992
201407,09020000,文教康樂,軍警人員一,148,285881
201407,09020000,文教康樂,軍警人員二,63,34600
201407,09020000,文教康樂,其他公共行政類,596,1079938
201407,09020000,文教康樂,教育類,285,356879
201407,09020000,文教康樂,工商及服務類,1419,2927200
201407,09020000,文教康樂,專業及技術服務類,487,833346
201407,09020000,文教康樂,其他,371,851529
201408,09020000,文教康樂,軍警人員一,337,240694
201408,09020000,文教康樂,軍警人員二,129,42171
201408,09020000,文教康樂,其他公共行政類,1050,1153842
201408,09020000,文教康樂,教育類,568,466772
201408,09020000,文教康樂,工商及服務類,2772,3421750
201408,09020000,文教康樂,專業及技術服務類,1145,942117
201408,09020000,文教康樂,其他,639,950259
201409,09020000,文教康樂,軍警人員一,266,159556
201409,09020000,文教康樂,軍警人員二,70,29317
201409,09020000,文教康樂,其他公共行政類,894,1065251
