年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,食,軍警人員一,258,923556
201401,09020000,食,軍警人員二,66,301503
201401,09020000,食,其他公共行政類,1616,6653841
201401,09020000,食,教育類,816,2285135
201401,09020000,食,工商及服務類,4133,16483248
201401,09020000,食,專業及技術服務類,1241,5072202
201401,09020000,食,其他,1908,6145325
201402,09020000,食,軍警人員一,150,347574
201402,09020000,食,軍警人員二,53,177061
201402,09020000,食,其他公共行政類,1268,4553891
201402,09020000,食,教育類,561,1336015
201402,09020000,食,工商及服務類,3449,12112740
201402,09020000,食,專業及技術服務類,905,3207520
201402,09020000,食,其他,1567,4455227
201403,09020000,食,軍警人員一,168,460778
201403,09020000,食,軍警人員二,63,284989
201403,09020000,食,其他公共行政類,1666,5403583
201403,09020000,食,教育類,629,1283169
201403,09020000,食,工商及服務類,4170,12686463
201403,09020000,食,專業及技術服務類,1260,3429014
201403,09020000,食,其他,2004,5918656
201404,09020000,食,軍警人員一,175,309738
201404,09020000,食,軍警人員二,50,132282
201404,09020000,食,其他公共行政類,1486,5261663
201404,09020000,食,教育類,736,1534488
201404,09020000,食,工商及服務類,4225,11472804
201404,09020000,食,專業及技術服務類,1335,3348786
201404,09020000,食,其他,2118,5211657
201405,09020000,食,軍警人員一,160,288924
201405,09020000,食,軍警人員二,67,167847
201405,09020000,食,其他公共行政類,1719,6183942
201405,09020000,食,教育類,789,1388844
201405,09020000,食,工商及服務類,5623,15061092
201405,09020000,食,專業及技術服務類,1635,3969143
201405,09020000,食,其他,2581,6118763
201406,09020000,食,軍警人員一,224,342780
201406,09020000,食,軍警人員二,115,356486
201406,09020000,食,其他公共行政類,2100,5246571
201406,09020000,食,教育類,891,1443377
201406,09020000,食,工商及服務類,6387,15709751
201406,09020000,食,專業及技術服務類,2111,4396694
201406,09020000,食,其他,2739,6437061
201407,09020000,食,軍警人員一,303,579834
201407,09020000,食,軍警人員二,125,145655
201407,09020000,食,其他公共行政類,2719,6143760
201407,09020000,食,教育類,1460,2491684
201407,09020000,食,工商及服務類,7450,16989498
201407,09020000,食,專業及技術服務類,2346,4700393
201407,09020000,食,其他,3114,6597486
201408,09020000,食,軍警人員一,276,473088
201408,09020000,食,軍警人員二,121,304562
201408,09020000,食,其他公共行政類,2428,5604117
201408,09020000,食,教育類,1349,2123933
201408,09020000,食,工商及服務類,6877,15684604
201408,09020000,食,專業及技術服務類,2436,5151633
201408,09020000,食,其他,2880,5747219
201409,09020000,食,軍警人員一,210,438172
201409,09020000,食,軍警人員二,62,98814
201409,09020000,食,其他公共行政類,1864,4755360
201409,09020000,食,教育類,914,1410271
201409,09020000,食,工商及服務類,5816,13301718
201409,09020000,食,專業及技術服務類,1950,3723991
201409,09020000,食,其他,2317,5128139
201410,09020000,食,軍警人員一,295,522314
201410,09020000,食,軍警人員二,87,209980
201410,09020000,食,其他公共行政類,2117,4923844
201410,09020000,食,教育類,978,1228174
201410,09020000,食,工商及服務類,6634,15122489
201410,09020000,食,專業及技術服務類,2215,4108693
201410,09020000,食,其他,2760,5791622
201411,09020000,食,軍警人員一,241,573780
201411,09020000,食,軍警人員二,63,84500
201411,09020000,食,其他公共行政類,1767,4084489
201411,09020000,食,教育類,966,1482367
201411,09020000,食,工商及服務類,5496,14276199
201411,09020000,食,專業及技術服務類,1888,3561761
201411,09020000,食,其他,2363,4872278
201412,09020000,食,軍警人員一,276,480970
201412,09020000,食,軍警人員二,96,184446
201412,09020000,食,其他公共行政類,1714,4236222
201412,09020000,食,教育類,967,1225530
201412,09020000,食,工商及服務類,5376,13880205
201412,09020000,食,專業及技術服務類,2034,3956723
201412,09020000,食,其他,2333,5245010
201501,09020000,食,軍警人員一,283,716578
201501,09020000,食,軍警人員二,133,243561
201501,09020000,食,其他公共行政類,1961,5094753
201501,09020000,食,教育類,1079,1761439
201501,09020000,食,工商及服務類,6021,15221247
201501,09020000,食,專業及技術服務類,2059,4543334
201501,09020000,食,其他,2304,7070936
201502,09020000,食,軍警人員一,322,688223
201502,09020000,食,軍警人員二,123,221937
201502,09020000,食,其他公共行政類,2078,4597512
201502,09020000,食,教育類,1006,1406785
201502,09020000,食,工商及服務類,4886,11590498
201502,09020000,食,專業及技術服務類,1785,3386270
201502,09020000,食,其他,2120,3951381
201503,09020000,食,軍警人員一,236,525462
201503,09020000,食,軍警人員二,90,245540
201503,09020000,食,其他公共行政類,1657,4023583
201503,09020000,食,教育類,921,1042113
201503,09020000,食,工商及服務類,4540,11138994
201503,09020000,食,專業及技術服務類,1627,3253061
201503,09020000,食,其他,1940,4200444
201504,09020000,食,軍警人員一,256,312502
201504,09020000,食,軍警人員二,90,118455
201504,09020000,食,其他公共行政類,1704,3864992
201504,09020000,食,教育類,971,1170268
201504,09020000,食,工商及服務類,4764,9799952
201504,09020000,食,專業及技術服務類,1703,2687755
201504,09020000,食,其他,2068,3759752
201505,09020000,食,軍警人員一,282,481289
201505,09020000,食,軍警人員二,104,148627
201505,09020000,食,其他公共行政類,1818,4606448
201505,09020000,食,教育類,1117,1459790
201505,09020000,食,工商及服務類,5576,12098717
201505,09020000,食,專業及技術服務類,1947,3375568
201505,09020000,食,其他,2286,4396288
201506,09020000,食,軍警人員一,260,492638
201506,09020000,食,軍警人員二,168,418352
201506,09020000,食,其他公共行政類,2177,5140911
201506,09020000,食,教育類,1148,1261303
201506,09020000,食,工商及服務類,5985,18092499
201506,09020000,食,專業及技術服務類,2279,4641823
201506,09020000,食,其他,2605,5575102
201507,09020000,食,軍警人員一,349,979201
201507,09020000,食,軍警人員二,144,603515
201507,09020000,食,其他公共行政類,2424,7964087
201507,09020000,食,教育類,1370,2628806
201507,09020000,食,工商及服務類,6762,25293949
201507,09020000,食,專業及技術服務類,2378,6723418
201507,09020000,食,其他,2739,7313610
201508,09020000,食,軍警人員一,339,482743
201508,09020000,食,軍警人員二,144,194486
201508,09020000,食,其他公共行政類,2499,4508277
201508,09020000,食,教育類,1305,1769791
201508,09020000,食,工商及服務類,6346,12212441
201508,09020000,食,專業及技術服務類,2414,4286712
201508,09020000,食,其他,2630,4625303
201509,09020000,食,軍警人員一,344,524848
201509,09020000,食,軍警人員二,105,143041
201509,09020000,食,其他公共行政類,1993,4848835
201509,09020000,食,教育類,1008,1742186
201509,09020000,食,工商及服務類,6308,19537846
201509,09020000,食,專業及技術服務類,2280,5215975
201509,09020000,食,其他,2502,5435028
201510,09020000,食,軍警人員一,329,599856
201510,09020000,食,軍警人員二,144,150976
201510,09020000,食,其他公共行政類,2241,5131323
201510,09020000,食,教育類,1097,1263715
201510,09020000,食,工商及服務類,6611,14989353
201510,09020000,食,專業及技術服務類,2565,4960438
201510,09020000,食,其他,2774,5789382
201511,09020000,食,軍警人員一,315,628861
201511,09020000,食,軍警人員二,106,154730
201511,09020000,食,其他公共行政類,1961,4758481
201511,09020000,食,教育類,975,1468675
201511,09020000,食,工商及服務類,5994,14365323
201511,09020000,食,專業及技術服務類,2111,4083733
201511,09020000,食,其他,2435,5171608
201512,09020000,食,軍警人員一,270,717515
201512,09020000,食,軍警人員二,82,126816
201512,09020000,食,其他公共行政類,1740,4103099
201512,09020000,食,教育類,884,1644972
201512,09020000,食,工商及服務類,5412,13156615
201512,09020000,食,專業及技術服務類,1764,3733969
201512,09020000,食,其他,2227,4838520
201601,09020000,食,軍警人員一,329,1007869
201601,09020000,食,軍警人員二,105,351156
201601,09020000,食,其他公共行政類,2205,8541438
201601,09020000,食,教育類,1056,2707464
201601,09020000,食,工商及服務類,5487,26385071
201601,09020000,食,專業及技術服務類,1965,6347043
201601,09020000,食,其他,2387,8040957
201602,09020000,食,軍警人員一,299,744969
201602,09020000,食,軍警人員二,74,141339
201602,09020000,食,其他公共行政類,1926,6000550
201602,09020000,食,教育類,931,2236838
201602,09020000,食,工商及服務類,5245,24700751
201602,09020000,食,專業及技術服務類,1717,6323471
201602,09020000,食,其他,2168,8118225
201603,09020000,食,軍警人員一,216,440954
201603,09020000,食,軍警人員二,75,238841
201603,09020000,食,其他公共行政類,1841,5474176
201603,09020000,食,教育類,777,1426382
201603,09020000,食,工商及服務類,4844,14923154
201603,09020000,食,專業及技術服務類,1535,3569424
201603,09020000,食,其他,2291,5247855
201604,09020000,食,軍警人員一,214,602132
201604,09020000,食,軍警人員二,51,123671
201604,09020000,食,其他公共行政類,1770,5425484
201604,09020000,食,教育類,751,1466055
201604,09020000,食,工商及服務類,4630,13585023
