年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,其他,軍警人員一,61,374780
201401,09020000,其他,軍警人員二,19,70270
201401,09020000,其他,其他公共行政類,496,2673348
201401,09020000,其他,教育類,194,1024403
201401,09020000,其他,工商及服務類,1466,7729444
201401,09020000,其他,專業及技術服務類,294,1387894
201401,09020000,其他,其他,662,3243877
201402,09020000,其他,軍警人員一,62,288850
201402,09020000,其他,軍警人員二,11,51776
201402,09020000,其他,其他公共行政類,335,1546616
201402,09020000,其他,教育類,147,802380
201402,09020000,其他,工商及服務類,969,3936410
201402,09020000,其他,專業及技術服務類,212,814827
201402,09020000,其他,其他,452,1775294
201403,09020000,其他,軍警人員一,72,309480
201403,09020000,其他,軍警人員二,18,110253
201403,09020000,其他,其他公共行政類,366,1203241
201403,09020000,其他,教育類,154,732999
201403,09020000,其他,工商及服務類,1064,3778507
201403,09020000,其他,專業及技術服務類,249,814506
201403,09020000,其他,其他,543,2106213
201404,09020000,其他,軍警人員一,48,216012
201404,09020000,其他,軍警人員二,15,51887
201404,09020000,其他,其他公共行政類,421,1817358
201404,09020000,其他,教育類,137,664834
201404,09020000,其他,工商及服務類,1007,3925127
201404,09020000,其他,專業及技術服務類,234,857495
201404,09020000,其他,其他,535,2118379
201405,09020000,其他,軍警人員一,50,198962
201405,09020000,其他,軍警人員二,19,53721
201405,09020000,其他,其他公共行政類,404,1454784
201405,09020000,其他,教育類,177,666466
201405,09020000,其他,工商及服務類,1095,4411065
201405,09020000,其他,專業及技術服務類,315,1099987
201405,09020000,其他,其他,598,1818316
201406,09020000,其他,軍警人員一,55,198143
201406,09020000,其他,軍警人員二,22,94765
201406,09020000,其他,其他公共行政類,419,1495617
201406,09020000,其他,教育類,142,495676
201406,09020000,其他,工商及服務類,1118,3995575
201406,09020000,其他,專業及技術服務類,322,1164906
201406,09020000,其他,其他,560,2069604
201407,09020000,其他,軍警人員一,68,252118
201407,09020000,其他,軍警人員二,19,69661
201407,09020000,其他,其他公共行政類,390,1521912
201407,09020000,其他,教育類,193,853281
201407,09020000,其他,工商及服務類,1085,4453007
201407,09020000,其他,專業及技術服務類,288,1075785
201407,09020000,其他,其他,549,1910697
201408,09020000,其他,軍警人員一,64,399121
201408,09020000,其他,軍警人員二,16,87876
201408,09020000,其他,其他公共行政類,392,1481287
201408,09020000,其他,教育類,164,688803
201408,09020000,其他,工商及服務類,1120,4892541
201408,09020000,其他,專業及技術服務類,321,1180867
201408,09020000,其他,其他,521,1925131
201409,09020000,其他,軍警人員一,65,231587
201409,09020000,其他,軍警人員二,18,127967
201409,09020000,其他,其他公共行政類,404,1582375
201409,09020000,其他,教育類,168,703249
201409,09020000,其他,工商及服務類,1120,4154458
201409,09020000,其他,專業及技術服務類,312,1227082
201409,09020000,其他,其他,523,2110930
201410,09020000,其他,軍警人員一,71,287705
201410,09020000,其他,軍警人員二,14,60946
201410,09020000,其他,其他公共行政類,401,1694802
201410,09020000,其他,教育類,176,670388
201410,09020000,其他,工商及服務類,1193,4532420
201410,09020000,其他,專業及技術服務類,332,1128095
201410,09020000,其他,其他,573,2075211
201411,09020000,其他,軍警人員一,62,326741
201411,09020000,其他,軍警人員二,19,111690
201411,09020000,其他,其他公共行政類,366,1609730
201411,09020000,其他,教育類,166,568046
201411,09020000,其他,工商及服務類,1147,5402121
201411,09020000,其他,專業及技術服務類,314,1237948
201411,09020000,其他,其他,491,1848970
201412,09020000,其他,軍警人員一,64,346441
201412,09020000,其他,軍警人員二,18,63721
201412,09020000,其他,其他公共行政類,385,1647135
201412,09020000,其他,教育類,132,539950
201412,09020000,其他,工商及服務類,1162,5000394
201412,09020000,其他,專業及技術服務類,317,1414986
201412,09020000,其他,其他,512,2328964
201501,09020000,其他,軍警人員一,71,308211
201501,09020000,其他,軍警人員二,22,95673
201501,09020000,其他,其他公共行政類,406,1903240
201501,09020000,其他,教育類,155,729856
201501,09020000,其他,工商及服務類,1127,5347456
201501,09020000,其他,專業及技術服務類,311,1548693
201501,09020000,其他,其他,545,2816045
201502,09020000,其他,軍警人員一,79,520129
201502,09020000,其他,軍警人員二,17,110860
201502,09020000,其他,其他公共行政類,455,1875032
201502,09020000,其他,教育類,159,608243
201502,09020000,其他,工商及服務類,1018,5197301
201502,09020000,其他,專業及技術服務類,291,1306018
201502,09020000,其他,其他,510,2665860
201503,09020000,其他,軍警人員一,66,447758
201503,09020000,其他,軍警人員二,10,55822
201503,09020000,其他,其他公共行政類,401,1571570
201503,09020000,其他,教育類,156,606875
201503,09020000,其他,工商及服務類,1056,4863229
201503,09020000,其他,專業及技術服務類,291,1087688
201503,09020000,其他,其他,458,2486555
201504,09020000,其他,軍警人員一,75,280672
201504,09020000,其他,軍警人員二,16,100302
201504,09020000,其他,其他公共行政類,375,1470956
201504,09020000,其他,教育類,142,495636
201504,09020000,其他,工商及服務類,993,5099611
201504,09020000,其他,專業及技術服務類,333,1307026
201504,09020000,其他,其他,504,2291805
201505,09020000,其他,軍警人員一,96,560871
201505,09020000,其他,軍警人員二,20,116816
201505,09020000,其他,其他公共行政類,385,2031535
201505,09020000,其他,教育類,158,619536
201505,09020000,其他,工商及服務類,1100,4658860
201505,09020000,其他,專業及技術服務類,322,1322554
201505,09020000,其他,其他,498,2369829
201506,09020000,其他,軍警人員一,76,323301
201506,09020000,其他,軍警人員二,13,167115
201506,09020000,其他,其他公共行政類,383,1561990
201506,09020000,其他,教育類,173,666324
201506,09020000,其他,工商及服務類,1156,5555556
201506,09020000,其他,專業及技術服務類,342,1370129
201506,09020000,其他,其他,543,2675712
201507,09020000,其他,軍警人員一,92,558888
201507,09020000,其他,軍警人員二,12,60027
201507,09020000,其他,其他公共行政類,390,1385976
201507,09020000,其他,教育類,191,624743
201507,09020000,其他,工商及服務類,1204,5642485
201507,09020000,其他,專業及技術服務類,357,1516224
201507,09020000,其他,其他,509,2333680
201508,09020000,其他,軍警人員一,87,372337
201508,09020000,其他,軍警人員二,23,120130
201508,09020000,其他,其他公共行政類,477,2028963
201508,09020000,其他,教育類,169,637564
201508,09020000,其他,工商及服務類,1190,5086227
201508,09020000,其他,專業及技術服務類,325,1377917
201508,09020000,其他,其他,510,2145935
201509,09020000,其他,軍警人員一,81,387238
201509,09020000,其他,軍警人員二,11,54521
201509,09020000,其他,其他公共行政類,415,1659315
201509,09020000,其他,教育類,182,735932
201509,09020000,其他,工商及服務類,1150,5057913
201509,09020000,其他,專業及技術服務類,330,1548124
201509,09020000,其他,其他,530,2480061
201510,09020000,其他,軍警人員一,102,785994
201510,09020000,其他,軍警人員二,16,53216
201510,09020000,其他,其他公共行政類,441,2255301
201510,09020000,其他,教育類,215,998668
201510,09020000,其他,工商及服務類,1316,6852137
201510,09020000,其他,專業及技術服務類,398,1865540
201510,09020000,其他,其他,603,2591967
201511,09020000,其他,軍警人員一,89,696259
201511,09020000,其他,軍警人員二,17,153087
201511,09020000,其他,其他公共行政類,421,2124845
201511,09020000,其他,教育類,188,755842
201511,09020000,其他,工商及服務類,1246,6454370
201511,09020000,其他,專業及技術服務類,385,1981985
201511,09020000,其他,其他,556,2743682
201512,09020000,其他,軍警人員一,96,437734
201512,09020000,其他,軍警人員二,19,75188
201512,09020000,其他,其他公共行政類,457,1752744
201512,09020000,其他,教育類,186,840903
201512,09020000,其他,工商及服務類,1272,6007981
201512,09020000,其他,專業及技術服務類,325,1438357
201512,09020000,其他,其他,557,2436349
201601,09020000,其他,軍警人員一,99,492486
201601,09020000,其他,軍警人員二,26,125386
201601,09020000,其他,其他公共行政類,477,2550743
201601,09020000,其他,教育類,219,1091498
201601,09020000,其他,工商及服務類,1347,7121408
201601,09020000,其他,專業及技術服務類,389,1934462
201601,09020000,其他,其他,596,3299596
201602,09020000,其他,軍警人員一,72,321811
201602,09020000,其他,軍警人員二,21,55550
201602,09020000,其他,其他公共行政類,484,2167564
201602,09020000,其他,教育類,171,638253
201602,09020000,其他,工商及服務類,1144,5185059
201602,09020000,其他,專業及技術服務類,352,1753063
201602,09020000,其他,其他,570,2781343
201603,09020000,其他,軍警人員一,81,328100
201603,09020000,其他,軍警人員二,26,150535
201603,09020000,其他,其他公共行政類,424,2063032
201603,09020000,其他,教育類,174,668862
201603,09020000,其他,工商及服務類,1073,4295163
201603,09020000,其他,專業及技術服務類,347,1254609
201603,09020000,其他,其他,586,2326745
201604,09020000,其他,軍警人員一,82,303617
201604,09020000,其他,軍警人員二,11,68227
201604,09020000,其他,其他公共行政類,370,1747402
201604,09020000,其他,教育類,187,884107
201604,09020000,其他,工商及服務類,910,4211413
201604,09020000,其他,專業及技術服務類,290,1196450
201604,09020000,其他,其他,519,2420318
201605,09020000,其他,軍警人員一,119,243460
201605,09020000,其他,軍警人員二,22,102989
201605,09020000,其他,其他公共行政類,445,1661276
201605,09020000,其他,教育類,267,959765
201605,09020000,其他,工商及服務類,1210,5266532
201605,09020000,其他,專業及技術服務類,419,1387619
201605,09020000,其他,其他,619,2271299
201606,09020000,其他,軍警人員一,197,481087
201606,09020000,其他,軍警人員二,28,148714
201606,09020000,其他,其他公共行政類,827,1949098
201606,09020000,其他,教育類,501,1231747
201606,09020000,其他,工商及服務類,2105,8044291
201606,09020000,其他,專業及技術服務類,927,3299188
201606,09020000,其他,其他,1061,3256365
201607,09020000,其他,軍警人員一,191,401743
201607,09020000,其他,軍警人員二,12,12649
201607,09020000,其他,其他公共行政類,806,2016172
201607,09020000,其他,教育類,462,917813
201607,09020000,其他,工商及服務類,1799,5152323
201607,09020000,其他,專業及技術服務類,828,1927910
201607,09020000,其他,其他,981,3006033
201608,09020000,其他,軍警人員一,186,370501
201608,09020000,其他,軍警人員二,25,85171
201608,09020000,其他,其他公共行政類,735,2122455
201608,09020000,其他,教育類,457,1422736
201608,09020000,其他,工商及服務類,1831,6848692
201608,09020000,其他,專業及技術服務類,797,2551692
201608,09020000,其他,其他,1059,3483968
201609,09020000,其他,軍警人員一,189,345661
201609,09020000,其他,軍警人員二,25,98475
201609,09020000,其他,其他公共行政類,728,2297431
201609,09020000,其他,教育類,444,1149131
201609,09020000,其他,工商及服務類,1678,6075857
201609,09020000,其他,專業及技術服務類,776,2051546
201609,09020000,其他,其他,1013,3210865
201610,09020000,其他,軍警人員一,209,667517
201610,09020000,其他,軍警人員二,31,70805
201610,09020000,其他,其他公共行政類,897,2478183
201610,09020000,其他,教育類,537,1408263
201610,09020000,其他,工商及服務類,2376,8488819
201610,09020000,其他,專業及技術服務類,973,4014498
201610,09020000,其他,其他,1221,4044543
201611,09020000,其他,軍警人員一,181,345397
201611,09020000,其他,軍警人員二,32,116503
201611,09020000,其他,其他公共行政類,886,2751222
201611,09020000,其他,教育類,497,1311708
201611,09020000,其他,工商及服務類,2245,7583676
201611,09020000,其他,專業及技術服務類,865,2918438
201611,09020000,其他,其他,1042,3522444
201612,09020000,其他,軍警人員一,192,731579
201612,09020000,其他,軍警人員二,40,182128
201612,09020000,其他,其他公共行政類,858,2400519
201612,09020000,其他,教育類,472,1137524
201612,09020000,其他,工商及服務類,2088,7010298
201612,09020000,其他,專業及技術服務類,892,2661235
201612,09020000,其他,其他,1038,2967864
201701,09020000,其他,軍警人員一,173,488044
201701,09020000,其他,軍警人員二,39,148025
201701,09020000,其他,其他公共行政類,835,2333319
201701,09020000,其他,教育類,524,1261606
201701,09020000,其他,工商及服務類,2160,7763945
201701,09020000,其他,專業及技術服務類,872,2999035
201701,09020000,其他,其他,1056,3612532
201702,09020000,其他,軍警人員一,144,324973
201702,09020000,其他,軍警人員二,39,234612
201702,09020000,其他,其他公共行政類,717,1493733
201702,09020000,其他,教育類,407,977626
201702,09020000,其他,工商及服務類,1800,7436843
201702,09020000,其他,專業及技術服務類,717,4923958
201702,09020000,其他,其他,785,3114002
201703,09020000,其他,軍警人員一,152,415722
201703,09020000,其他,軍警人員二,30,470199
