年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,百貨,軍警人員一,212,250663
201401,09007000,百貨,軍警人員二,34,37110
201401,09007000,百貨,其他公共行政類,380,442071
201401,09007000,百貨,教育類,99,124930
201401,09007000,百貨,工商及服務類,383,582129
201401,09007000,百貨,專業及技術服務類,124,176500
201401,09007000,百貨,其他,185,259809
201402,09007000,百貨,軍警人員一,118,142096
201402,09007000,百貨,軍警人員二,19,30668
201402,09007000,百貨,其他公共行政類,272,302246
201402,09007000,百貨,教育類,66,78482
201402,09007000,百貨,工商及服務類,357,505564
201402,09007000,百貨,專業及技術服務類,113,178669
201402,09007000,百貨,其他,134,206087
201403,09007000,百貨,軍警人員一,170,180166
201403,09007000,百貨,軍警人員二,22,22100
201403,09007000,百貨,其他公共行政類,296,318389
201403,09007000,百貨,教育類,72,88850
201403,09007000,百貨,工商及服務類,414,643467
201403,09007000,百貨,專業及技術服務類,148,189131
201403,09007000,百貨,其他,201,304312
201404,09007000,百貨,軍警人員一,128,154616
201404,09007000,百貨,軍警人員二,27,34488
201404,09007000,百貨,其他公共行政類,291,304957
201404,09007000,百貨,教育類,82,103475
201404,09007000,百貨,工商及服務類,519,798639
201404,09007000,百貨,專業及技術服務類,145,233977
201404,09007000,百貨,其他,204,303620
201405,09007000,百貨,軍警人員一,104,119805
201405,09007000,百貨,軍警人員二,19,30440
201405,09007000,百貨,其他公共行政類,218,246960
201405,09007000,百貨,教育類,65,107853
201405,09007000,百貨,工商及服務類,376,578985
201405,09007000,百貨,專業及技術服務類,158,270193
201405,09007000,百貨,其他,165,249232
201406,09007000,百貨,軍警人員一,134,165946
201406,09007000,百貨,軍警人員二,33,35956
201406,09007000,百貨,其他公共行政類,438,514632
201406,09007000,百貨,教育類,131,166494
201406,09007000,百貨,工商及服務類,724,1222444
201406,09007000,百貨,專業及技術服務類,198,327700
201406,09007000,百貨,其他,333,537411
201407,09007000,百貨,軍警人員一,174,210093
201407,09007000,百貨,軍警人員二,26,24835
201407,09007000,百貨,其他公共行政類,481,579417
201407,09007000,百貨,教育類,187,230013
201407,09007000,百貨,工商及服務類,833,1448754
201407,09007000,百貨,專業及技術服務類,277,485242
201407,09007000,百貨,其他,364,564531
201408,09007000,百貨,軍警人員一,173,189247
201408,09007000,百貨,軍警人員二,23,28690
201408,09007000,百貨,其他公共行政類,456,572717
201408,09007000,百貨,教育類,137,187999
201408,09007000,百貨,工商及服務類,632,1025655
201408,09007000,百貨,專業及技術服務類,242,407139
201408,09007000,百貨,其他,262,421734
201409,09007000,百貨,軍警人員一,110,107825
201409,09007000,百貨,軍警人員二,17,21250
201409,09007000,百貨,其他公共行政類,384,425649
201409,09007000,百貨,教育類,80,103927
201409,09007000,百貨,工商及服務類,676,1170288
201409,09007000,百貨,專業及技術服務類,194,286306
201409,09007000,百貨,其他,276,412914
201410,09007000,百貨,軍警人員一,177,198058
201410,09007000,百貨,軍警人員二,22,34310
201410,09007000,百貨,其他公共行政類,466,534244
201410,09007000,百貨,教育類,96,130702
201410,09007000,百貨,工商及服務類,645,1078300
201410,09007000,百貨,專業及技術服務類,218,321642
201410,09007000,百貨,其他,336,569081
201411,09007000,百貨,軍警人員一,152,174673
201411,09007000,百貨,軍警人員二,18,25120
201411,09007000,百貨,其他公共行政類,336,358701
201411,09007000,百貨,教育類,80,86925
201411,09007000,百貨,工商及服務類,399,663637
201411,09007000,百貨,專業及技術服務類,137,166608
201411,09007000,百貨,其他,169,271784
201412,09007000,百貨,軍警人員一,165,180056
201412,09007000,百貨,軍警人員二,18,26970
201412,09007000,百貨,其他公共行政類,356,373335
201412,09007000,百貨,教育類,85,101358
