年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,食,軍警人員一,14,39348
201401,09007000,食,軍警人員二,5,25176
201401,09007000,食,其他公共行政類,67,511403
201401,09007000,食,教育類,13,48716
201401,09007000,食,工商及服務類,70,335430
201401,09007000,食,專業及技術服務類,35,192957
201401,09007000,食,其他,35,262718
201402,09007000,食,軍警人員一,10,72599
201402,09007000,食,軍警人員二,6,3104
201402,09007000,食,其他公共行政類,65,253978
201402,09007000,食,教育類,9,11983
201402,09007000,食,工商及服務類,51,196304
201402,09007000,食,專業及技術服務類,12,26742
201402,09007000,食,其他,37,124736
201403,09007000,食,軍警人員一,33,107596
201403,09007000,食,軍警人員二,3,2038
201403,09007000,食,其他公共行政類,91,556041
201403,09007000,食,教育類,19,83375
201403,09007000,食,工商及服務類,104,503010
201403,09007000,食,專業及技術服務類,29,144015
201403,09007000,食,其他,77,255752
201404,09007000,食,軍警人員一,22,53513
201404,09007000,食,軍警人員二,4,20904
201404,09007000,食,其他公共行政類,100,576626
201404,09007000,食,教育類,17,41775
201404,09007000,食,工商及服務類,120,579269
201404,09007000,食,專業及技術服務類,36,141270
201404,09007000,食,其他,66,361713
201405,09007000,食,軍警人員一,18,45198
201405,09007000,食,軍警人員二,4,13110
201405,09007000,食,其他公共行政類,122,486578
201405,09007000,食,教育類,27,45100
201405,09007000,食,工商及服務類,167,516811
201405,09007000,食,專業及技術服務類,48,131116
201405,09007000,食,其他,99,344956
201406,09007000,食,軍警人員一,35,88555
201406,09007000,食,軍警人員二,11,38992
201406,09007000,食,其他公共行政類,173,592115
201406,09007000,食,教育類,47,178286
201406,09007000,食,工商及服務類,228,663868
201406,09007000,食,專業及技術服務類,63,176693
201406,09007000,食,其他,101,499096
201407,09007000,食,軍警人員一,15,50602
201407,09007000,食,軍警人員二,4,3819
201407,09007000,食,其他公共行政類,193,892498
201407,09007000,食,教育類,61,111690
201407,09007000,食,工商及服務類,189,571656
201407,09007000,食,專業及技術服務類,51,141205
201407,09007000,食,其他,84,279154
201408,09007000,食,軍警人員一,23,65156
201408,09007000,食,軍警人員二,4,24196
201408,09007000,食,其他公共行政類,175,729278
201408,09007000,食,教育類,47,86096
201408,09007000,食,工商及服務類,180,789206
201408,09007000,食,專業及技術服務類,54,204808
201408,09007000,食,其他,79,595908
201409,09007000,食,軍警人員一,18,60560
201409,09007000,食,軍警人員二,4,5710
201409,09007000,食,其他公共行政類,118,558133
201409,09007000,食,教育類,17,33243
201409,09007000,食,工商及服務類,162,650196
201409,09007000,食,專業及技術服務類,41,103790
201409,09007000,食,其他,83,327215
201410,09007000,食,軍警人員一,10,26009
201410,09007000,食,軍警人員二,2,3000
201410,09007000,食,其他公共行政類,130,894930
201410,09007000,食,教育類,18,63343
201410,09007000,食,工商及服務類,187,938443
201410,09007000,食,專業及技術服務類,55,212641
201410,09007000,食,其他,102,352006
201411,09007000,食,軍警人員一,11,46409
201411,09007000,食,軍警人員二,3,4880
201411,09007000,食,其他公共行政類,104,899016
201411,09007000,食,教育類,12,49281
201411,09007000,食,工商及服務類,72,313964
201411,09007000,食,專業及技術服務類,24,104230
201411,09007000,食,其他,62,237667
201412,09007000,食,軍警人員一,7,19127
201412,09007000,食,軍警人員二,1,5830
201412,09007000,食,其他公共行政類,85,799606
201412,09007000,食,教育類,14,79906
201412,09007000,食,工商及服務類,72,247243
201412,09007000,食,專業及技術服務類,24,61903
201412,09007000,食,其他,32,153449
201501,09007000,食,軍警人員一,13,104324
201501,09007000,食,軍警人員二,5,26337
201501,09007000,食,其他公共行政類,53,412957
201501,09007000,食,教育類,21,143697
201501,09007000,食,工商及服務類,73,439195
201501,09007000,食,專業及技術服務類,27,164857
201501,09007000,食,其他,39,182554
201502,09007000,食,軍警人員一,16,50144
201502,09007000,食,軍警人員二,1,903
201502,09007000,食,其他公共行政類,37,285846
201502,09007000,食,教育類,8,13873
201502,09007000,食,工商及服務類,39,207088
201502,09007000,食,專業及技術服務類,8,60368
201502,09007000,食,其他,31,155874
201503,09007000,食,軍警人員一,10,17332
201503,09007000,食,軍警人員二,1,685
201503,09007000,食,其他公共行政類,51,317286
201503,09007000,食,教育類,8,24162
201503,09007000,食,工商及服務類,59,222311
201503,09007000,食,專業及技術服務類,16,38221
201503,09007000,食,其他,27,139416
201504,09007000,食,軍警人員一,19,53623
201504,09007000,食,軍警人員二,3,3142
201504,09007000,食,其他公共行政類,102,598613
201504,09007000,食,教育類,31,41119
201504,09007000,食,工商及服務類,175,518316
201504,09007000,食,專業及技術服務類,59,154180
201504,09007000,食,其他,62,238911
201505,09007000,食,軍警人員一,20,31453
201505,09007000,食,軍警人員二,3,3240
201505,09007000,食,其他公共行政類,122,458964
201505,09007000,食,教育類,18,38511
201505,09007000,食,工商及服務類,199,518135
201505,09007000,食,專業及技術服務類,51,162907
201505,09007000,食,其他,88,235988
201506,09007000,食,軍警人員一,27,72659
201506,09007000,食,軍警人員二,2,830
201506,09007000,食,其他公共行政類,168,616573
201506,09007000,食,教育類,38,83183
201506,09007000,食,工商及服務類,221,759229
201506,09007000,食,專業及技術服務類,74,216054
201506,09007000,食,其他,87,329589
201507,09007000,食,軍警人員一,15,42117
201507,09007000,食,軍警人員二,4,3453
201507,09007000,食,其他公共行政類,140,634817
201507,09007000,食,教育類,65,149357
201507,09007000,食,工商及服務類,160,597608
201507,09007000,食,專業及技術服務類,61,152430
201507,09007000,食,其他,92,230437
201508,09007000,食,軍警人員一,26,67393
201508,09007000,食,軍警人員二,8,39548
201508,09007000,食,其他公共行政類,126,589895
201508,09007000,食,教育類,41,82992
201508,09007000,食,工商及服務類,173,599320
201508,09007000,食,專業及技術服務類,45,143355
201508,09007000,食,其他,63,208547
201509,09007000,食,軍警人員一,18,41160
201509,09007000,食,軍警人員二,3,37100
201509,09007000,食,其他公共行政類,132,663557
201509,09007000,食,教育類,26,50172
201509,09007000,食,工商及服務類,156,558091
201509,09007000,食,專業及技術服務類,59,159308
201509,09007000,食,其他,69,165879
201510,09007000,食,軍警人員一,17,29108
201510,09007000,食,軍警人員二,2,308
201510,09007000,食,其他公共行政類,125,616750
201510,09007000,食,教育類,21,54440
201510,09007000,食,工商及服務類,152,503365
201510,09007000,食,專業及技術服務類,63,196402
201510,09007000,食,其他,64,179668
201511,09007000,食,軍警人員一,21,51042
201511,09007000,食,軍警人員二,0,0
201511,09007000,食,其他公共行政類,110,921912
201511,09007000,食,教育類,27,47653
201511,09007000,食,工商及服務類,88,293010
201511,09007000,食,專業及技術服務類,31,96916
201511,09007000,食,其他,42,220998
201512,09007000,食,軍警人員一,17,34709
201512,09007000,食,軍警人員二,0,0
201512,09007000,食,其他公共行政類,93,705123
201512,09007000,食,教育類,7,9610
201512,09007000,食,工商及服務類,63,350531
201512,09007000,食,專業及技術服務類,18,74021
201512,09007000,食,其他,18,93657
201601,09007000,食,軍警人員一,15,63916
201601,09007000,食,軍警人員二,0,0
201601,09007000,食,其他公共行政類,47,289286
201601,09007000,食,教育類,22,40287
201601,09007000,食,工商及服務類,28,134266
201601,09007000,食,專業及技術服務類,10,40484
201601,09007000,食,其他,21,75269
201602,09007000,食,軍警人員一,9,36530
201602,09007000,食,軍警人員二,1,3790
201602,09007000,食,其他公共行政類,36,225439
201602,09007000,食,教育類,13,56185
201602,09007000,食,工商及服務類,38,143125
201602,09007000,食,專業及技術服務類,18,50240
201602,09007000,食,其他,19,80920
201603,09007000,食,軍警人員一,13,32087
201603,09007000,食,軍警人員二,0,0
201603,09007000,食,其他公共行政類,69,430490
201603,09007000,食,教育類,8,19320
201603,09007000,食,工商及服務類,63,232856
201603,09007000,食,專業及技術服務類,18,54275
201603,09007000,食,其他,23,72858
201604,09007000,食,軍警人員一,15,60222
201604,09007000,食,軍警人員二,2,4300
201604,09007000,食,其他公共行政類,109,361939
201604,09007000,食,教育類,28,56077
201604,09007000,食,工商及服務類,158,500967
201604,09007000,食,專業及技術服務類,51,145713
201604,09007000,食,其他,56,153090
201605,09007000,食,軍警人員一,10,43807
201605,09007000,食,軍警人員二,5,37210
201605,09007000,食,其他公共行政類,138,566834
201605,09007000,食,教育類,51,101368
201605,09007000,食,工商及服務類,278,952006
201605,09007000,食,專業及技術服務類,102,264486
201605,09007000,食,其他,85,271010
201606,09007000,食,軍警人員一,16,95986
201606,09007000,食,軍警人員二,6,11248
201606,09007000,食,其他公共行政類,182,661187
201606,09007000,食,教育類,36,98390
201606,09007000,食,工商及服務類,340,1188483
201606,09007000,食,專業及技術服務類,114,406405
201606,09007000,食,其他,106,358306
201607,09007000,食,軍警人員一,24,83313
201607,09007000,食,軍警人員二,2,26386
201607,09007000,食,其他公共行政類,165,739120
201607,09007000,食,教育類,55,98458
