年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,其他,軍警人員一,5,8565
201401,09007000,其他,軍警人員二,0,0
201401,09007000,其他,其他公共行政類,10,34804
201401,09007000,其他,教育類,2,16640
201401,09007000,其他,工商及服務類,5,43391
201401,09007000,其他,專業及技術服務類,2,2930
201401,09007000,其他,其他,13,25220
201402,09007000,其他,軍警人員一,4,22618
201402,09007000,其他,軍警人員二,0,0
201402,09007000,其他,其他公共行政類,8,55402
201402,09007000,其他,教育類,0,0
201402,09007000,其他,工商及服務類,8,9810
201402,09007000,其他,專業及技術服務類,3,12750
201402,09007000,其他,其他,6,16161
201403,09007000,其他,軍警人員一,3,4350
201403,09007000,其他,軍警人員二,1,1520
201403,09007000,其他,其他公共行政類,12,68816
201403,09007000,其他,教育類,0,0
201403,09007000,其他,工商及服務類,7,9052
201403,09007000,其他,專業及技術服務類,2,19500
201403,09007000,其他,其他,6,17135
201404,09007000,其他,軍警人員一,3,15690
201404,09007000,其他,軍警人員二,1,5210
201404,09007000,其他,其他公共行政類,12,65594
201404,09007000,其他,教育類,0,0
201404,09007000,其他,工商及服務類,9,19740
201404,09007000,其他,專業及技術服務類,2,3850
201404,09007000,其他,其他,12,33975
201405,09007000,其他,軍警人員一,4,17377
201405,09007000,其他,軍警人員二,0,0
201405,09007000,其他,其他公共行政類,18,120882
201405,09007000,其他,教育類,2,3536
201405,09007000,其他,工商及服務類,10,9317
201405,09007000,其他,專業及技術服務類,8,19457
201405,09007000,其他,其他,11,44310
201406,09007000,其他,軍警人員一,8,14785
201406,09007000,其他,軍警人員二,0,0
201406,09007000,其他,其他公共行政類,16,91860
201406,09007000,其他,教育類,0,0
201406,09007000,其他,工商及服務類,10,54949
201406,09007000,其他,專業及技術服務類,6,11950
201406,09007000,其他,其他,13,71854
201407,09007000,其他,軍警人員一,3,12050
201407,09007000,其他,軍警人員二,3,2385
201407,09007000,其他,其他公共行政類,19,159456
201407,09007000,其他,教育類,2,8970
201407,09007000,其他,工商及服務類,8,203197
201407,09007000,其他,專業及技術服務類,7,124570
201407,09007000,其他,其他,11,159348
201408,09007000,其他,軍警人員一,4,9827
201408,09007000,其他,軍警人員二,1,1050
201408,09007000,其他,其他公共行政類,12,62207
201408,09007000,其他,教育類,1,4400
201408,09007000,其他,工商及服務類,5,13415
201408,09007000,其他,專業及技術服務類,4,10610
201408,09007000,其他,其他,3,6335
201409,09007000,其他,軍警人員一,2,10373
201409,09007000,其他,軍警人員二,0,0
201409,09007000,其他,其他公共行政類,8,34261
201409,09007000,其他,教育類,0,0
201409,09007000,其他,工商及服務類,2,6650
201409,09007000,其他,專業及技術服務類,7,7149
201409,09007000,其他,其他,8,9676
201410,09007000,其他,軍警人員一,8,62280
201410,09007000,其他,軍警人員二,1,3990
201410,09007000,其他,其他公共行政類,13,58311
201410,09007000,其他,教育類,0,0
201410,09007000,其他,工商及服務類,4,9450
201410,09007000,其他,專業及技術服務類,4,10618
201410,09007000,其他,其他,6,15982
201411,09007000,其他,軍警人員一,7,28430
201411,09007000,其他,軍警人員二,0,0
201411,09007000,其他,其他公共行政類,11,83205
201411,09007000,其他,教育類,0,0
201411,09007000,其他,工商及服務類,5,19605
201411,09007000,其他,專業及技術服務類,3,2562
201411,09007000,其他,其他,3,7772
201412,09007000,其他,軍警人員一,4,15121
201412,09007000,其他,軍警人員二,0,0
201412,09007000,其他,其他公共行政類,10,27928
201412,09007000,其他,教育類,0,0
201412,09007000,其他,工商及服務類,4,-41365
201412,09007000,其他,專業及技術服務類,4,9188
201412,09007000,其他,其他,7,27220
201501,09007000,其他,軍警人員一,3,24380
201501,09007000,其他,軍警人員二,0,0
201501,09007000,其他,其他公共行政類,4,15356
201501,09007000,其他,教育類,0,0
201501,09007000,其他,工商及服務類,6,8054
201501,09007000,其他,專業及技術服務類,6,6719
201501,09007000,其他,其他,6,22225
201502,09007000,其他,軍警人員一,2,11550
201502,09007000,其他,軍警人員二,6,9228
201502,09007000,其他,其他公共行政類,7,31924
201502,09007000,其他,教育類,4,24958
201502,09007000,其他,工商及服務類,6,28606
201502,09007000,其他,專業及技術服務類,4,16840
201502,09007000,其他,其他,3,18670
201503,09007000,其他,軍警人員一,8,16871
201503,09007000,其他,軍警人員二,1,5007
201503,09007000,其他,其他公共行政類,7,38348
201503,09007000,其他,教育類,2,11750
201503,09007000,其他,工商及服務類,2,1811
201503,09007000,其他,專業及技術服務類,1,1473
201503,09007000,其他,其他,1,1915
201504,09007000,其他,軍警人員一,3,7080
201504,09007000,其他,軍警人員二,1,10824
201504,09007000,其他,其他公共行政類,8,30855
201504,09007000,其他,教育類,2,2740
201504,09007000,其他,工商及服務類,6,22036
201504,09007000,其他,專業及技術服務類,2,3979
201504,09007000,其他,其他,2,1839
201505,09007000,其他,軍警人員一,0,0
201505,09007000,其他,軍警人員二,1,8700
201505,09007000,其他,其他公共行政類,11,20421
201505,09007000,其他,教育類,0,0
201505,09007000,其他,工商及服務類,16,61859
201505,09007000,其他,專業及技術服務類,3,2084
201505,09007000,其他,其他,12,56666
201506,09007000,其他,軍警人員一,2,12540
201506,09007000,其他,軍警人員二,2,16414
201506,09007000,其他,其他公共行政類,16,94523
201506,09007000,其他,教育類,3,7490
201506,09007000,其他,工商及服務類,9,55620
201506,09007000,其他,專業及技術服務類,1,2900
201506,09007000,其他,其他,3,11550
201507,09007000,其他,軍警人員一,1,8600
201507,09007000,其他,軍警人員二,2,2481
201507,09007000,其他,其他公共行政類,12,94226
201507,09007000,其他,教育類,0,0
201507,09007000,其他,工商及服務類,6,15241
201507,09007000,其他,專業及技術服務類,4,9038
201507,09007000,其他,其他,7,47106
201508,09007000,其他,軍警人員一,1,2000
201508,09007000,其他,軍警人員二,5,20629
201508,09007000,其他,其他公共行政類,9,38033
201508,09007000,其他,教育類,0,0
201508,09007000,其他,工商及服務類,6,18083
201508,09007000,其他,專業及技術服務類,4,18672
201508,09007000,其他,其他,4,43488
201509,09007000,其他,軍警人員一,3,17200
201509,09007000,其他,軍警人員二,0,0
201509,09007000,其他,其他公共行政類,12,90597
201509,09007000,其他,教育類,2,1833
201509,09007000,其他,工商及服務類,5,22786
201509,09007000,其他,專業及技術服務類,4,1851
201509,09007000,其他,其他,4,6420
201510,09007000,其他,軍警人員一,5,21440
201510,09007000,其他,軍警人員二,4,10715
201510,09007000,其他,其他公共行政類,15,62561
201510,09007000,其他,教育類,1,2000
201510,09007000,其他,工商及服務類,5,22952
201510,09007000,其他,專業及技術服務類,2,2690
201510,09007000,其他,其他,6,20972
201511,09007000,其他,軍警人員一,4,23257
201511,09007000,其他,軍警人員二,0,0
201511,09007000,其他,其他公共行政類,21,85261
201511,09007000,其他,教育類,1,1690
201511,09007000,其他,工商及服務類,5,15349
201511,09007000,其他,專業及技術服務類,4,1515
201511,09007000,其他,其他,4,14391
201512,09007000,其他,軍警人員一,2,2820
201512,09007000,其他,軍警人員二,1,1050
201512,09007000,其他,其他公共行政類,11,114792
201512,09007000,其他,教育類,1,10450
201512,09007000,其他,工商及服務類,9,67166
201512,09007000,其他,專業及技術服務類,1,9572
201512,09007000,其他,其他,4,5858
201601,09007000,其他,軍警人員一,5,23371
201601,09007000,其他,軍警人員二,2,5105
201601,09007000,其他,其他公共行政類,17,89893
201601,09007000,其他,教育類,3,2609
201601,09007000,其他,工商及服務類,10,21213
201601,09007000,其他,專業及技術服務類,2,3407
201601,09007000,其他,其他,6,16781
201602,09007000,其他,軍警人員一,2,1775
201602,09007000,其他,軍警人員二,0,0
201602,09007000,其他,其他公共行政類,11,31063
201602,09007000,其他,教育類,5,33334
201602,09007000,其他,工商及服務類,6,24699
201602,09007000,其他,專業及技術服務類,0,0
201602,09007000,其他,其他,11,40958
201603,09007000,其他,軍警人員一,6,43684
201603,09007000,其他,軍警人員二,2,1880
201603,09007000,其他,其他公共行政類,11,90590
201603,09007000,其他,教育類,0,0
201603,09007000,其他,工商及服務類,11,53468
201603,09007000,其他,專業及技術服務類,6,57557
201603,09007000,其他,其他,7,33537
201604,09007000,其他,軍警人員一,4,47995
201604,09007000,其他,軍警人員二,0,0
201604,09007000,其他,其他公共行政類,19,107892
201604,09007000,其他,教育類,2,30637
201604,09007000,其他,工商及服務類,7,23924
201604,09007000,其他,專業及技術服務類,4,14517
201604,09007000,其他,其他,10,30728
201605,09007000,其他,軍警人員一,6,22016
201605,09007000,其他,軍警人員二,0,0
201605,09007000,其他,其他公共行政類,17,105878
201605,09007000,其他,教育類,7,16138
201605,09007000,其他,工商及服務類,12,58087
201605,09007000,其他,專業及技術服務類,2,9418
201605,09007000,其他,其他,9,29421
201606,09007000,其他,軍警人員一,4,9942
201606,09007000,其他,軍警人員二,1,2159
201606,09007000,其他,其他公共行政類,34,136995
201606,09007000,其他,教育類,6,20198
201606,09007000,其他,工商及服務類,6,77693
201606,09007000,其他,專業及技術服務類,4,9908
201606,09007000,其他,其他,12,58298
201607,09007000,其他,軍警人員一,1,3090
201607,09007000,其他,軍警人員二,2,2740
201607,09007000,其他,其他公共行政類,17,70650
201607,09007000,其他,教育類,4,18852
201607,09007000,其他,工商及服務類,9,39523
201607,09007000,其他,專業及技術服務類,1,1509
201607,09007000,其他,其他,12,44675
201608,09007000,其他,軍警人員一,4,19230
201608,09007000,其他,軍警人員二,2,2172
201608,09007000,其他,其他公共行政類,17,107853
201608,09007000,其他,教育類,7,37782
201608,09007000,其他,工商及服務類,12,74474
201608,09007000,其他,專業及技術服務類,5,32315
201608,09007000,其他,其他,6,18764
201609,09007000,其他,軍警人員一,3,31862
201609,09007000,其他,軍警人員二,3,11295
201609,09007000,其他,其他公共行政類,18,111838
201609,09007000,其他,教育類,6,13518
201609,09007000,其他,工商及服務類,3,10542
201609,09007000,其他,專業及技術服務類,3,3180
201609,09007000,其他,其他,6,13880
201610,09007000,其他,軍警人員一,7,42703
201610,09007000,其他,軍警人員二,0,0
201610,09007000,其他,其他公共行政類,12,84547
201610,09007000,其他,教育類,5,5824
201610,09007000,其他,工商及服務類,12,43582
201610,09007000,其他,專業及技術服務類,4,25944
201610,09007000,其他,其他,5,24593
201611,09007000,其他,軍警人員一,5,13246
201611,09007000,其他,軍警人員二,0,0
201611,09007000,其他,其他公共行政類,20,173111
