年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,衣,軍警人員一,250,806166
201401,10017000,衣,軍警人員二,61,181979
201401,10017000,衣,其他公共行政類,7548,23080926
201401,10017000,衣,教育類,1928,5438286
201401,10017000,衣,工商及服務類,15896,47084629
201401,10017000,衣,專業及技術服務類,5490,15448217
201401,10017000,衣,其他,7577,21489315
201401,10018000,衣,軍警人員一,132,418293
201401,10018000,衣,軍警人員二,14,31188
201401,10018000,衣,其他公共行政類,3310,11760078
201401,10018000,衣,教育類,1403,4078689
201401,10018000,衣,工商及服務類,10811,34946974
201401,10018000,衣,專業及技術服務類,3863,11844321
201401,10018000,衣,其他,5459,17665258
201401,10004000,衣,軍警人員一,55,287334
201401,10004000,衣,軍警人員二,14,32350
201401,10004000,衣,其他公共行政類,968,3655595
201401,10004000,衣,教育類,849,2854121
201401,10004000,衣,工商及服務類,6790,23378670
201401,10004000,衣,專業及技術服務類,2624,8617208
201401,10004000,衣,其他,3435,11667443
201401,10005000,衣,軍警人員一,167,417554
201401,10005000,衣,軍警人員二,48,138417
201401,10005000,衣,其他公共行政類,4226,13727921
201401,10005000,衣,教育類,2078,5735754
201401,10005000,衣,工商及服務類,15141,45259731
201401,10005000,衣,專業及技術服務類,4673,13837086
201401,10005000,衣,其他,6694,19549699
201401,10007000,衣,軍警人員一,1207,3331150
201401,10007000,衣,軍警人員二,395,1232355
201401,10007000,衣,其他公共行政類,21802,63169210
201401,10007000,衣,教育類,19969,54163639
201401,10007000,衣,工商及服務類,129666,388248437
201401,10007000,衣,專業及技術服務類,36533,104300947
201401,10007000,衣,其他,51503,151596901
201401,10008000,衣,軍警人員一,221,568764
201401,10008000,衣,軍警人員二,172,437718
201401,10008000,衣,其他公共行政類,5245,15278059
201401,10008000,衣,教育類,4185,11755366
201401,10008000,衣,工商及服務類,15144,43413807
201401,10008000,衣,專業及技術服務類,4295,11589275
201401,10008000,衣,其他,6743,18090519
201401,10009000,衣,軍警人員一,209,531969
201401,10009000,衣,軍警人員二,129,314268
201401,10009000,衣,其他公共行政類,4829,13605356
201401,10009000,衣,教育類,4456,12040318
201401,10009000,衣,工商及服務類,16344,44956097
201401,10009000,衣,專業及技術服務類,5546,14730391
201401,10009000,衣,其他,7203,19355218
