年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,百貨,軍警人員一,63,134081
201401,10017000,百貨,軍警人員二,6,9065
201401,10017000,百貨,其他公共行政類,824,2454021
201401,10017000,百貨,教育類,323,881585
201401,10017000,百貨,工商及服務類,2463,6662807
201401,10017000,百貨,專業及技術服務類,939,2573169
201401,10017000,百貨,其他,1329,4090758
201401,10018000,百貨,軍警人員一,2648,9962133
201401,10018000,百貨,軍警人員二,385,1142047
201401,10018000,百貨,其他公共行政類,11917,35840530
201401,10018000,百貨,教育類,20355,55484787
201401,10018000,百貨,工商及服務類,115803,377035752
201401,10018000,百貨,專業及技術服務類,41138,129013255
201401,10018000,百貨,其他,52795,162483676
201401,10004000,百貨,軍警人員一,31,77227
201401,10004000,百貨,軍警人員二,0,0
201401,10004000,百貨,其他公共行政類,474,714166
201401,10004000,百貨,教育類,39,267539
201401,10004000,百貨,工商及服務類,884,3898466
201401,10004000,百貨,專業及技術服務類,322,1268897
201401,10004000,百貨,其他,573,1475118
201401,10005000,百貨,軍警人員一,99,117054
201401,10005000,百貨,軍警人員二,33,21685
201401,10005000,百貨,其他公共行政類,977,1012520
201401,10005000,百貨,教育類,1488,1353580
201401,10005000,百貨,工商及服務類,6199,7351094
201401,10005000,百貨,專業及技術服務類,2533,2862158
201401,10005000,百貨,其他,2937,3550469
201401,10007000,百貨,軍警人員一,1895,3673605
201401,10007000,百貨,軍警人員二,581,1112489
201401,10007000,百貨,其他公共行政類,17089,30881084
201401,10007000,百貨,教育類,28384,47922198
201401,10007000,百貨,工商及服務類,176871,338989730
201401,10007000,百貨,專業及技術服務類,58011,105227023
201401,10007000,百貨,其他,75343,137469569
201401,10008000,百貨,軍警人員一,96,90636
201401,10008000,百貨,軍警人員二,35,24569
201401,10008000,百貨,其他公共行政類,1190,979252
201401,10008000,百貨,教育類,1172,807679
201401,10008000,百貨,工商及服務類,4887,3997305
201401,10008000,百貨,專業及技術服務類,1788,1511364
201401,10008000,百貨,其他,2535,2139414
201401,10009000,百貨,軍警人員一,85,135107
201401,10009000,百貨,軍警人員二,74,110537
201401,10009000,百貨,其他公共行政類,2076,2621081
201401,10009000,百貨,教育類,1158,1649554
201401,10009000,百貨,工商及服務類,8168,11624335
201401,10009000,百貨,專業及技術服務類,2553,3871872
201401,10009000,百貨,其他,4248,5789067
201401,10020000,百貨,軍警人員一,772,2343290
201401,10020000,百貨,軍警人員二,259,808084
201401,10020000,百貨,其他公共行政類,8367,24455168
201401,10020000,百貨,教育類,8131,21032603
201401,10020000,百貨,工商及服務類,32032,102317831
201401,10020000,百貨,專業及技術服務類,15250,46130178
201401,10020000,百貨,其他,15958,50616665
201401,10010000,百貨,軍警人員一,0,0
201401,10010000,百貨,軍警人員二,0,0
201401,10010000,百貨,其他公共行政類,4,7640
201401,10010000,百貨,教育類,2,9365
201401,10010000,百貨,工商及服務類,25,135155
201401,10010000,百貨,專業及技術服務類,7,42844
201401,10010000,百貨,其他,9,66850
201401,10013000,百貨,軍警人員一,1203,2837189
201401,10013000,百貨,軍警人員二,378,701696
201401,10013000,百貨,其他公共行政類,9305,17891667
201401,10013000,百貨,教育類,7508,15122364
201401,10013000,百貨,工商及服務類,32068,63634735
201401,10013000,百貨,專業及技術服務類,12157,24233903
201401,10013000,百貨,其他,24008,46152317
201401,10002000,百貨,軍警人員一,1218,2054208
201401,10002000,百貨,軍警人員二,198,288281
201401,10002000,百貨,其他公共行政類,10495,14923568
201401,10002000,百貨,教育類,6881,10486911
201401,10002000,百貨,工商及服務類,40713,65973837
201401,10002000,百貨,專業及技術服務類,15043,24594199
201401,10002000,百貨,其他,21044,31850846
201401,10015000,百貨,軍警人員一,457,1312960
201401,10015000,百貨,軍警人員二,150,457007
201401,10015000,百貨,其他公共行政類,3741,10623190
201401,10015000,百貨,教育類,2866,8862449
201401,10015000,百貨,工商及服務類,11245,37876995
201401,10015000,百貨,專業及技術服務類,4596,13613375
201401,10015000,百貨,其他,5462,15948978
201401,10014000,百貨,軍警人員一,64,78572
201401,10014000,百貨,軍警人員二,19,45216
201401,10014000,百貨,其他公共行政類,712,941071
201401,10014000,百貨,教育類,427,565701
201401,10014000,百貨,工商及服務類,1290,1823750
201401,10014000,百貨,專業及技術服務類,620,868766
201401,10014000,百貨,其他,858,1193137
201401,10016000,百貨,軍警人員一,854,1155189
201401,10016000,百貨,軍警人員二,227,353559
201401,10016000,百貨,其他公共行政類,1815,2761358
201401,10016000,百貨,教育類,931,1480225
201401,10016000,百貨,工商及服務類,3145,5875993
201401,10016000,百貨,專業及技術服務類,1099,1997588
201401,10016000,百貨,其他,1655,2914812
201401,09020000,百貨,軍警人員一,686,1291265
201401,09020000,百貨,軍警人員二,154,411956
201401,09020000,百貨,其他公共行政類,2061,4769743
201401,09020000,百貨,教育類,1365,4732006
201401,09020000,百貨,工商及服務類,13022,45908413
201401,09020000,百貨,專業及技術服務類,2942,9393753
201401,09020000,百貨,其他,4555,12513031
201401,09007000,百貨,軍警人員一,212,250663
201401,09007000,百貨,軍警人員二,34,37110
201401,09007000,百貨,其他公共行政類,380,442071
201401,09007000,百貨,教育類,99,124930
201401,09007000,百貨,工商及服務類,383,582129
201401,09007000,百貨,專業及技術服務類,124,176500
201401,09007000,百貨,其他,185,259809
201402,10017000,百貨,軍警人員一,37,55750
201402,10017000,百貨,軍警人員二,3,6045
201402,10017000,百貨,其他公共行政類,581,1245122
201402,10017000,百貨,教育類,222,459660
201402,10017000,百貨,工商及服務類,1799,4852489
201402,10017000,百貨,專業及技術服務類,622,1595666
201402,10017000,百貨,其他,841,1871696
201402,10018000,百貨,軍警人員一,2063,6650357
201402,10018000,百貨,軍警人員二,262,740058
201402,10018000,百貨,其他公共行政類,10185,28499371
201402,10018000,百貨,教育類,16450,41400907
201402,10018000,百貨,工商及服務類,93711,280453411
201402,10018000,百貨,專業及技術服務類,34230,98426803
201402,10018000,百貨,其他,44022,125254171
201402,10004000,百貨,軍警人員一,36,145438
201402,10004000,百貨,軍警人員二,0,0
201402,10004000,百貨,其他公共行政類,380,558488
201402,10004000,百貨,教育類,30,418834
201402,10004000,百貨,工商及服務類,692,2449538
201402,10004000,百貨,專業及技術服務類,217,1363186
201402,10004000,百貨,其他,450,1319021
201402,10005000,百貨,軍警人員一,70,67448
201402,10005000,百貨,軍警人員二,28,19356
201402,10005000,百貨,其他公共行政類,850,861612
201402,10005000,百貨,教育類,1243,990517
201402,10005000,百貨,工商及服務類,5300,5435095
201402,10005000,百貨,專業及技術服務類,2090,2204727
201402,10005000,百貨,其他,2447,2401296
201402,10007000,百貨,軍警人員一,1450,2755764
201402,10007000,百貨,軍警人員二,444,693652
201402,10007000,百貨,其他公共行政類,14319,23012688
201402,10007000,百貨,教育類,22617,36543983
201402,10007000,百貨,工商及服務類,141552,257527125
201402,10007000,百貨,專業及技術服務類,46396,79048752
201402,10007000,百貨,其他,59084,103613852
201402,10008000,百貨,軍警人員一,88,56933
201402,10008000,百貨,軍警人員二,25,12694
201402,10008000,百貨,其他公共行政類,937,725762
201402,10008000,百貨,教育類,933,630792
201402,10008000,百貨,工商及服務類,4086,3324668
201402,10008000,百貨,專業及技術服務類,1485,1124914
201402,10008000,百貨,其他,2062,1597960
201402,10009000,百貨,軍警人員一,63,127781
201402,10009000,百貨,軍警人員二,51,72367
201402,10009000,百貨,其他公共行政類,1449,1498389
201402,10009000,百貨,教育類,807,825197
201402,10009000,百貨,工商及服務類,5515,6803974
201402,10009000,百貨,專業及技術服務類,1694,2200759
201402,10009000,百貨,其他,2978,3168149
201402,10020000,百貨,軍警人員一,651,1812878
201402,10020000,百貨,軍警人員二,178,433104
201402,10020000,百貨,其他公共行政類,6387,16953125
201402,10020000,百貨,教育類,6428,15551271
201402,10020000,百貨,工商及服務類,24153,71099325
201402,10020000,百貨,專業及技術服務類,11550,31997372
201402,10020000,百貨,其他,12003,33824360
201402,10010000,百貨,軍警人員一,0,0
201402,10010000,百貨,軍警人員二,0,0
201402,10010000,百貨,其他公共行政類,7,53860
201402,10010000,百貨,教育類,1,7600
201402,10010000,百貨,工商及服務類,10,65591
201402,10010000,百貨,專業及技術服務類,3,12340
201402,10010000,百貨,其他,12,63670
201402,10013000,百貨,軍警人員一,882,1532065
201402,10013000,百貨,軍警人員二,260,384243
201402,10013000,百貨,其他公共行政類,7059,12714107
201402,10013000,百貨,教育類,5819,10900332
201402,10013000,百貨,工商及服務類,23887,44950398
201402,10013000,百貨,專業及技術服務類,9411,17842520
201402,10013000,百貨,其他,18078,34268790
201402,10002000,百貨,軍警人員一,879,1189973
201402,10002000,百貨,軍警人員二,151,210257
201402,10002000,百貨,其他公共行政類,7997,11597547
201402,10002000,百貨,教育類,5432,8239181
201402,10002000,百貨,工商及服務類,31042,50080308
201402,10002000,百貨,專業及技術服務類,11599,18812074
201402,10002000,百貨,其他,15361,22864396
201402,10015000,百貨,軍警人員一,308,883213
201402,10015000,百貨,軍警人員二,101,306999
201402,10015000,百貨,其他公共行政類,2677,7475214
201402,10015000,百貨,教育類,2051,5215675
201402,10015000,百貨,工商及服務類,8110,22662346
201402,10015000,百貨,專業及技術服務類,3221,9410563
201402,10015000,百貨,其他,3941,10490224
201402,10014000,百貨,軍警人員一,33,54094
201402,10014000,百貨,軍警人員二,9,30661
201402,10014000,百貨,其他公共行政類,507,672149
201402,10014000,百貨,教育類,295,388352
201402,10014000,百貨,工商及服務類,1155,1875144
201402,10014000,百貨,專業及技術服務類,479,699947
201402,10014000,百貨,其他,626,873293
201402,10016000,百貨,軍警人員一,874,1189889
201402,10016000,百貨,軍警人員二,227,329719
201402,10016000,百貨,其他公共行政類,1930,3141684
201402,10016000,百貨,教育類,984,1623677
201402,10016000,百貨,工商及服務類,4763,9715057
201402,10016000,百貨,專業及技術服務類,1555,3295141
201402,10016000,百貨,其他,2117,3933498
201402,09020000,百貨,軍警人員一,597,1411983
201402,09020000,百貨,軍警人員二,139,252604
201402,09020000,百貨,其他公共行政類,2102,4996744
201402,09020000,百貨,教育類,1090,2929484
201402,09020000,百貨,工商及服務類,12549,49246662
201402,09020000,百貨,專業及技術服務類,3030,10297072
201402,09020000,百貨,其他,4457,14997971
201402,09007000,百貨,軍警人員一,118,142096
201402,09007000,百貨,軍警人員二,19,30668
201402,09007000,百貨,其他公共行政類,272,302246
201402,09007000,百貨,教育類,66,78482
201402,09007000,百貨,工商及服務類,357,505564
201402,09007000,百貨,專業及技術服務類,113,178669
201402,09007000,百貨,其他,134,206087
201403,10017000,百貨,軍警人員一,43,105886
201403,10017000,百貨,軍警人員二,5,12984
201403,10017000,百貨,其他公共行政類,583,1299658
201403,10017000,百貨,教育類,247,525160
201403,10017000,百貨,工商及服務類,1655,4238234
201403,10017000,百貨,專業及技術服務類,675,1389808
201403,10017000,百貨,其他,904,2259496
201403,10018000,百貨,軍警人員一,2276,8550095
201403,10018000,百貨,軍警人員二,267,796440
201403,10018000,百貨,其他公共行政類,8457,22339141
201403,10018000,百貨,教育類,14948,36203347
201403,10018000,百貨,工商及服務類,88271,259638224
201403,10018000,百貨,專業及技術服務類,33679,94709236
201403,10018000,百貨,其他,41802,113733147
201403,10004000,百貨,軍警人員一,26,46137
201403,10004000,百貨,軍警人員二,0,0
201403,10004000,百貨,其他公共行政類,439,328357
201403,10004000,百貨,教育類,30,154259
201403,10004000,百貨,工商及服務類,720,1693130
201403,10004000,百貨,專業及技術服務類,239,644035
201403,10004000,百貨,其他,453,903107
201403,10005000,百貨,軍警人員一,73,58457
201403,10005000,百貨,軍警人員二,19,22075
201403,10005000,百貨,其他公共行政類,978,838470
201403,10005000,百貨,教育類,1343,1174826
201403,10005000,百貨,工商及服務類,5999,6364005
201403,10005000,百貨,專業及技術服務類,2356,2191957
201403,10005000,百貨,其他,2696,2703495
201403,10007000,百貨,軍警人員一,1460,2581057
201403,10007000,百貨,軍警人員二,487,858408
201403,10007000,百貨,其他公共行政類,15046,25222232
201403,10007000,百貨,教育類,24816,41220647
201403,10007000,百貨,工商及服務類,153699,286308075
201403,10007000,百貨,專業及技術服務類,51801,91276267
201403,10007000,百貨,其他,65442,116652053
201403,10008000,百貨,軍警人員一,75,55910
201403,10008000,百貨,軍警人員二,22,14931
201403,10008000,百貨,其他公共行政類,1000,705042
201403,10008000,百貨,教育類,928,614915
201403,10008000,百貨,工商及服務類,4220,3686382
201403,10008000,百貨,專業及技術服務類,1561,1196852
201403,10008000,百貨,其他,2242,1849544
201403,10009000,百貨,軍警人員一,64,92793
201403,10009000,百貨,軍警人員二,46,44466
201403,10009000,百貨,其他公共行政類,1582,1624474
201403,10009000,百貨,教育類,896,896019
201403,10009000,百貨,工商及服務類,5617,6498649
201403,10009000,百貨,專業及技術服務類,1875,1934104
201403,10009000,百貨,其他,3106,3214687
201403,10020000,百貨,軍警人員一,551,1692038
201403,10020000,百貨,軍警人員二,125,439495
201403,10020000,百貨,其他公共行政類,5946,20528835
201403,10020000,百貨,教育類,5506,14036768
201403,10020000,百貨,工商及服務類,22388,80655113
201403,10020000,百貨,專業及技術服務類,11140,38895952
201403,10020000,百貨,其他,11959,44997367
201403,10010000,百貨,軍警人員一,0,0
201403,10010000,百貨,軍警人員二,0,0
201403,10010000,百貨,其他公共行政類,2,16850
201403,10010000,百貨,教育類,3,26690
201403,10010000,百貨,工商及服務類,16,86825
201403,10010000,百貨,專業及技術服務類,2,18430
201403,10010000,百貨,其他,12,53260
201403,10013000,百貨,軍警人員一,805,1298481
201403,10013000,百貨,軍警人員二,252,386846
201403,10013000,百貨,其他公共行政類,6703,12772756
201403,10013000,百貨,教育類,5313,10279052
201403,10013000,百貨,工商及服務類,23465,46262053
201403,10013000,百貨,專業及技術服務類,8972,17718030
201403,10013000,百貨,其他,17657,37445719
201403,10002000,百貨,軍警人員一,978,1373770
201403,10002000,百貨,軍警人員二,157,164182
201403,10002000,百貨,其他公共行政類,7998,11749956
