年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,文教康樂,軍警人員一,122,284983
201401,10017000,文教康樂,軍警人員二,42,183054
201401,10017000,文教康樂,其他公共行政類,1755,5781997
201401,10017000,文教康樂,教育類,689,2074037
201401,10017000,文教康樂,工商及服務類,4628,16060358
201401,10017000,文教康樂,專業及技術服務類,2032,6409787
201401,10017000,文教康樂,其他,1968,6603160
201401,10018000,文教康樂,軍警人員一,433,2977092
201401,10018000,文教康樂,軍警人員二,63,229615
201401,10018000,文教康樂,其他公共行政類,3413,14917416
201401,10018000,文教康樂,教育類,2690,11175101
201401,10018000,文教康樂,工商及服務類,18845,93964585
201401,10018000,文教康樂,專業及技術服務類,6281,31418034
201401,10018000,文教康樂,其他,7783,43839529
201401,10004000,文教康樂,軍警人員一,312,1327784
201401,10004000,文教康樂,軍警人員二,38,118140
201401,10004000,文教康樂,其他公共行政類,1368,6584962
201401,10004000,文教康樂,教育類,1153,5804181
201401,10004000,文教康樂,工商及服務類,9263,49759548
201401,10004000,文教康樂,專業及技術服務類,3150,17388011
201401,10004000,文教康樂,其他,3257,19690669
201401,10005000,文教康樂,軍警人員一,192,1071553
201401,10005000,文教康樂,軍警人員二,85,298821
201401,10005000,文教康樂,其他公共行政類,3057,12845125
201401,10005000,文教康樂,教育類,1738,7187656
201401,10005000,文教康樂,工商及服務類,13651,58247101
201401,10005000,文教康樂,專業及技術服務類,3744,14890651
201401,10005000,文教康樂,其他,5073,20799036
201401,10007000,文教康樂,軍警人員一,3219,10478772
201401,10007000,文教康樂,軍警人員二,1104,2908128
201401,10007000,文教康樂,其他公共行政類,31720,130612616
201401,10007000,文教康樂,教育類,31093,119363108
201401,10007000,文教康樂,工商及服務類,211333,963887417
201401,10007000,文教康樂,專業及技術服務類,51531,259134781
201401,10007000,文教康樂,其他,66340,321959608
201401,10008000,文教康樂,軍警人員一,222,790298
201401,10008000,文教康樂,軍警人員二,131,524638
201401,10008000,文教康樂,其他公共行政類,3983,14505594
201401,10008000,文教康樂,教育類,2683,10835637
201401,10008000,文教康樂,工商及服務類,13499,60010517
201401,10008000,文教康樂,專業及技術服務類,3919,15741037
201401,10008000,文教康樂,其他,4802,21013476
201401,10009000,文教康樂,軍警人員一,253,648686
201401,10009000,文教康樂,軍警人員二,115,285790
201401,10009000,文教康樂,其他公共行政類,3837,11792683
201401,10009000,文教康樂,教育類,3358,10571340
201401,10009000,文教康樂,工商及服務類,12669,48299794
201401,10009000,文教康樂,專業及技術服務類,3781,14274592
201401,10009000,文教康樂,其他,4722,15102071
201401,10020000,文教康樂,軍警人員一,424,1536514
201401,10020000,文教康樂,軍警人員二,138,442760
201401,10020000,文教康樂,其他公共行政類,5210,24217927
201401,10020000,文教康樂,教育類,3793,17044290
201401,10020000,文教康樂,工商及服務類,13851,72403940
201401,10020000,文教康樂,專業及技術服務類,5230,27263206
201401,10020000,文教康樂,其他,6097,31681527
201401,10010000,文教康樂,軍警人員一,84,240783
201401,10010000,文教康樂,軍警人員二,21,49541
201401,10010000,文教康樂,其他公共行政類,407,1435963
201401,10010000,文教康樂,教育類,436,1272672
201401,10010000,文教康樂,工商及服務類,2565,10273476
201401,10010000,文教康樂,專業及技術服務類,990,4114013
201401,10010000,文教康樂,其他,937,3915371
201401,10013000,文教康樂,軍警人員一,728,2246770
201401,10013000,文教康樂,軍警人員二,205,525764
201401,10013000,文教康樂,其他公共行政類,5831,18679791
201401,10013000,文教康樂,教育類,3608,10645767
201401,10013000,文教康樂,工商及服務類,13894,46024123
201401,10013000,文教康樂,專業及技術服務類,4768,15239675
201401,10013000,文教康樂,其他,6616,23290723
201401,10002000,文教康樂,軍警人員一,319,1233720
201401,10002000,文教康樂,軍警人員二,59,131431
201401,10002000,文教康樂,其他公共行政類,3685,14341885
201401,10002000,文教康樂,教育類,1469,5644377
201401,10002000,文教康樂,工商及服務類,10180,41545361
201401,10002000,文教康樂,專業及技術服務類,3423,14058131
201401,10002000,文教康樂,其他,3949,16970811
201401,10015000,文教康樂,軍警人員一,582,2141615
201401,10015000,文教康樂,軍警人員二,161,558826
201401,10015000,文教康樂,其他公共行政類,4635,15042739
201401,10015000,文教康樂,教育類,2538,6725825
201401,10015000,文教康樂,工商及服務類,11837,33950453
201401,10015000,文教康樂,專業及技術服務類,4250,13876611
201401,10015000,文教康樂,其他,4718,15160984
201401,10014000,文教康樂,軍警人員一,408,877742
201401,10014000,文教康樂,軍警人員二,76,135351
201401,10014000,文教康樂,其他公共行政類,4381,9462225
201401,10014000,文教康樂,教育類,2780,6886710
201401,10014000,文教康樂,工商及服務類,8710,21605910
201401,10014000,文教康樂,專業及技術服務類,3209,8246060
201401,10014000,文教康樂,其他,3665,8263353
201401,10016000,文教康樂,軍警人員一,213,601449
201401,10016000,文教康樂,軍警人員二,79,303987
201401,10016000,文教康樂,其他公共行政類,2227,8223873
201401,10016000,文教康樂,教育類,710,2146827
201401,10016000,文教康樂,工商及服務類,3022,10673555
201401,10016000,文教康樂,專業及技術服務類,978,3240999
201401,10016000,文教康樂,其他,1415,4329608
201401,09020000,文教康樂,軍警人員一,33,136349
201401,09020000,文教康樂,軍警人員二,6,23690
201401,09020000,文教康樂,其他公共行政類,200,1359804
201401,09020000,文教康樂,教育類,62,266306
201401,09020000,文教康樂,工商及服務類,394,2383882
201401,09020000,文教康樂,專業及技術服務類,79,513915
201401,09020000,文教康樂,其他,160,1042860
201401,09007000,文教康樂,軍警人員一,2,9400
201401,09007000,文教康樂,軍警人員二,0,0
201401,09007000,文教康樂,其他公共行政類,9,55611
201401,09007000,文教康樂,教育類,0,0
201401,09007000,文教康樂,工商及服務類,4,17582
201401,09007000,文教康樂,專業及技術服務類,7,17791
201401,09007000,文教康樂,其他,3,4913
201402,10017000,文教康樂,軍警人員一,111,223679
201402,10017000,文教康樂,軍警人員二,30,130825
201402,10017000,文教康樂,其他公共行政類,1198,3592174
201402,10017000,文教康樂,教育類,546,1597141
201402,10017000,文教康樂,工商及服務類,4143,12229325
201402,10017000,文教康樂,專業及技術服務類,1889,4681148
201402,10017000,文教康樂,其他,1674,4652745
201402,10018000,文教康樂,軍警人員一,437,2840707
201402,10018000,文教康樂,軍警人員二,51,307197
201402,10018000,文教康樂,其他公共行政類,2462,9366920
201402,10018000,文教康樂,教育類,2286,7105049
201402,10018000,文教康樂,工商及服務類,16397,67683894
201402,10018000,文教康樂,專業及技術服務類,5526,22765255
201402,10018000,文教康樂,其他,6844,31122223
201402,10004000,文教康樂,軍警人員一,329,1131279
201402,10004000,文教康樂,軍警人員二,32,61157
201402,10004000,文教康樂,其他公共行政類,1177,4641792
201402,10004000,文教康樂,教育類,970,4744524
201402,10004000,文教康樂,工商及服務類,8312,38132412
201402,10004000,文教康樂,專業及技術服務類,2808,13387802
201402,10004000,文教康樂,其他,2836,15403504
201402,10005000,文教康樂,軍警人員一,170,640206
201402,10005000,文教康樂,軍警人員二,60,120684
201402,10005000,文教康樂,其他公共行政類,2221,8962782
201402,10005000,文教康樂,教育類,1311,4441422
201402,10005000,文教康樂,工商及服務類,11841,49310414
201402,10005000,文教康樂,專業及技術服務類,3264,14921514
201402,10005000,文教康樂,其他,4505,19458345
201402,10007000,文教康樂,軍警人員一,3528,10892183
201402,10007000,文教康樂,軍警人員二,1186,3690362
201402,10007000,文教康樂,其他公共行政類,29962,137100762
201402,10007000,文教康樂,教育類,31209,117751983
201402,10007000,文教康樂,工商及服務類,227023,1021568171
201402,10007000,文教康樂,專業及技術服務類,53090,273630596
201402,10007000,文教康樂,其他,67040,340687215
201402,10008000,文教康樂,軍警人員一,228,971908
