年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,行,軍警人員一,1099,1209507
201401,10017000,行,軍警人員二,1043,850112
201401,10017000,行,其他公共行政類,10844,9513509
201401,10017000,行,教育類,5109,4697856
201401,10017000,行,工商及服務類,57361,62358708
201401,10017000,行,專業及技術服務類,18403,18614190
201401,10017000,行,其他,21590,22097030
201401,10018000,行,軍警人員一,1506,1774497
201401,10018000,行,軍警人員二,319,325507
201401,10018000,行,其他公共行政類,5451,5771330
201401,10018000,行,教育類,5771,5847464
201401,10018000,行,工商及服務類,55779,61026648
201401,10018000,行,專業及技術服務類,18858,20977044
201401,10018000,行,其他,16333,18600872
201401,10004000,行,軍警人員一,1975,2284624
201401,10004000,行,軍警人員二,387,375495
201401,10004000,行,其他公共行政類,2315,2632490
201401,10004000,行,教育類,3847,4288087
201401,10004000,行,工商及服務類,48439,55457981
201401,10004000,行,專業及技術服務類,17320,21942537
201401,10004000,行,其他,9241,11689226
201401,10005000,行,軍警人員一,2961,3293203
201401,10005000,行,軍警人員二,1021,1124314
201401,10005000,行,其他公共行政類,25917,26413892
201401,10005000,行,教育類,16992,17185257
201401,10005000,行,工商及服務類,168076,216627355
201401,10005000,行,專業及技術服務類,42669,51648012
201401,10005000,行,其他,63399,78213850
201401,10007000,行,軍警人員一,17256,16785481
201401,10007000,行,軍警人員二,5899,5819086
201401,10007000,行,其他公共行政類,143650,144151933
201401,10007000,行,教育類,126285,119770640
201401,10007000,行,工商及服務類,1150829,1350307217
201401,10007000,行,專業及技術服務類,284577,313133464
201401,10007000,行,其他,394046,444075293
201401,10008000,行,軍警人員一,3102,3132290
201401,10008000,行,軍警人員二,2224,2318268
201401,10008000,行,其他公共行政類,23015,24095522
201401,10008000,行,教育類,17745,17804211
201401,10008000,行,工商及服務類,113483,146294541
201401,10008000,行,專業及技術服務類,33550,38191059
201401,10008000,行,其他,44197,52529376
201401,10009000,行,軍警人員一,2132,2167876
201401,10009000,行,軍警人員二,2060,2031971
201401,10009000,行,其他公共行政類,19364,19461115
201401,10009000,行,教育類,17172,17091838
201401,10009000,行,工商及服務類,136937,166655225
201401,10009000,行,專業及技術服務類,34701,40678203
201401,10009000,行,其他,40765,49746883
201401,10020000,行,軍警人員一,3490,3304156
201401,10020000,行,軍警人員二,1905,1933520
201401,10020000,行,其他公共行政類,26065,26897389
201401,10020000,行,教育類,20765,20459949
201401,10020000,行,工商及服務類,132610,163100660
201401,10020000,行,專業及技術服務類,39529,44030427
201401,10020000,行,其他,51702,58866774
201401,10010000,行,軍警人員一,920,972708
201401,10010000,行,軍警人員二,1011,927704
201401,10010000,行,其他公共行政類,3824,4115770
201401,10010000,行,教育類,4702,4838456
201401,10010000,行,工商及服務類,36328,43325669
201401,10010000,行,專業及技術服務類,13535,15645727
201401,10010000,行,其他,11416,13552406
201401,10013000,行,軍警人員一,5952,5228743
201401,10013000,行,軍警人員二,2630,2422030
201401,10013000,行,其他公共行政類,30373,28753918
201401,10013000,行,教育類,20622,18644773
201401,10013000,行,工商及服務類,122963,154501692
201401,10013000,行,專業及技術服務類,36235,41470603
201401,10013000,行,其他,60367,70529268
201401,10002000,行,軍警人員一,3322,3678547
201401,10002000,行,軍警人員二,675,679359
201401,10002000,行,其他公共行政類,22713,23986350
201401,10002000,行,教育類,11129,11160121
201401,10002000,行,工商及服務類,90830,118746452
201401,10002000,行,專業及技術服務類,30867,38107758
201401,10002000,行,其他,35155,44026818
201401,10015000,行,軍警人員一,3462,3283949
201401,10015000,行,軍警人員二,878,805833
201401,10015000,行,其他公共行政類,17328,17036900
201401,10015000,行,教育類,8874,8194732
201401,10015000,行,工商及服務類,39879,53792034
201401,10015000,行,專業及技術服務類,15576,19046292
201401,10015000,行,其他,19219,23021954
201401,10014000,行,軍警人員一,1754,1672483
201401,10014000,行,軍警人員二,405,399888
201401,10014000,行,其他公共行政類,11156,11186558
201401,10014000,行,教育類,7000,7069981
201401,10014000,行,工商及服務類,22802,29694709
201401,10014000,行,專業及技術服務類,7588,9131554
201401,10014000,行,其他,11052,13091218
201401,10016000,行,軍警人員一,1072,1017216
201401,10016000,行,軍警人員二,562,569173
201401,10016000,行,其他公共行政類,4696,5240695
201401,10016000,行,教育類,1630,1796116
201401,10016000,行,工商及服務類,7308,11503002
201401,10016000,行,專業及技術服務類,2331,3278037
201401,10016000,行,其他,4182,5029778
201401,09020000,行,軍警人員一,488,670092
201401,09020000,行,軍警人員二,133,176530
201401,09020000,行,其他公共行政類,1731,2298890
201401,09020000,行,教育類,726,930929
201401,09020000,行,工商及服務類,4888,7685973
201401,09020000,行,專業及技術服務類,1592,2360736
201401,09020000,行,其他,1797,2816217
201401,09007000,行,軍警人員一,54,108835
201401,09007000,行,軍警人員二,9,20326
201401,09007000,行,其他公共行政類,185,379813
201401,09007000,行,教育類,34,71820
201401,09007000,行,工商及服務類,182,404273
201401,09007000,行,專業及技術服務類,43,82382
201401,09007000,行,其他,84,165447
201402,10017000,行,軍警人員一,1018,1061655
201402,10017000,行,軍警人員二,920,764410
201402,10017000,行,其他公共行政類,9180,8478893
201402,10017000,行,教育類,4315,3959179
201402,10017000,行,工商及服務類,49811,55874523
201402,10017000,行,專業及技術服務類,15705,16145361
201402,10017000,行,其他,18654,19828583
201402,10018000,行,軍警人員一,1346,1504142
201402,10018000,行,軍警人員二,319,323000
201402,10018000,行,其他公共行政類,4803,5056271
201402,10018000,行,教育類,4999,5345934
201402,10018000,行,工商及服務類,49058,52502168
201402,10018000,行,專業及技術服務類,16437,18539936
201402,10018000,行,其他,14394,16803223
201402,10004000,行,軍警人員一,1705,2072873
201402,10004000,行,軍警人員二,345,376930
201402,10004000,行,其他公共行政類,2245,2616564
201402,10004000,行,教育類,3434,3610690
201402,10004000,行,工商及服務類,43698,49633663
201402,10004000,行,專業及技術服務類,15302,18935982
201402,10004000,行,其他,8520,10321529
201402,10005000,行,軍警人員一,2898,3180960
201402,10005000,行,軍警人員二,1013,1117001
201402,10005000,行,其他公共行政類,24558,25516170
201402,10005000,行,教育類,15743,15507720
201402,10005000,行,工商及服務類,157692,202920294
