年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,食,軍警人員一,65665,123129087
201401,63000000,食,軍警人員二,12441,13002214
201401,63000000,食,其他公共行政類,333864,422862846
201401,63000000,食,教育類,343053,358905473
201401,63000000,食,工商及服務類,2620732,4119921563
201401,63000000,食,專業及技術服務類,1175115,1516130852
201401,63000000,食,其他,1256507,1761144430
201401,65000000,食,軍警人員一,8702,13660129
201401,65000000,食,軍警人員二,2015,2185110
201401,65000000,食,其他公共行政類,94841,135489185
201401,65000000,食,教育類,52765,80224783
201401,65000000,食,工商及服務類,538464,898303870
201401,65000000,食,專業及技術服務類,210367,362313375
201401,65000000,食,其他,355780,561204034
201401,68000000,食,軍警人員一,9815,18008093
201401,68000000,食,軍警人員二,2055,3042772
201401,68000000,食,其他公共行政類,63780,106485040
201401,68000000,食,教育類,50794,78013053
201401,68000000,食,工商及服務類,463207,871821013
201401,68000000,食,專業及技術服務類,152081,276655388
201401,68000000,食,其他,247497,425269477
201401,66000000,食,軍警人員一,5473,17088194
201401,66000000,食,軍警人員二,1613,2758162
201401,66000000,食,其他公共行政類,59613,102524210
201401,66000000,食,教育類,58839,103375072
201401,66000000,食,工商及服務類,376479,948670935
201401,66000000,食,專業及技術服務類,143172,299385365
201401,66000000,食,其他,198909,421743148
201401,67000000,食,軍警人員一,5144,9090049
201401,67000000,食,軍警人員二,1651,2459134
201401,67000000,食,其他公共行政類,45390,79499499
201401,67000000,食,教育類,50850,79986815
201401,67000000,食,工商及服務類,287206,537131422
201401,67000000,食,專業及技術服務類,105994,188252434
201401,67000000,食,其他,150652,241899071
201401,64000000,食,軍警人員一,13701,25441147
201401,64000000,食,軍警人員二,3398,5291149
201401,64000000,食,其他公共行政類,92040,153015245
201401,64000000,食,教育類,90985,134986936
201401,64000000,食,工商及服務類,552205,1110019311
201401,64000000,食,專業及技術服務類,197585,362920781
201401,64000000,食,其他,349728,576164302
201402,63000000,食,軍警人員一,54990,88040769
201402,63000000,食,軍警人員二,10536,9705393
201402,63000000,食,其他公共行政類,276632,301192710
201402,63000000,食,教育類,290648,263625821
201402,63000000,食,工商及服務類,2173997,3002403644
201402,63000000,食,專業及技術服務類,999771,1108821678
201402,63000000,食,其他,1043300,1265353340
201402,65000000,食,軍警人員一,6831,9271972
201402,65000000,食,軍警人員二,1590,1609008
201402,65000000,食,其他公共行政類,73785,82260013
201402,65000000,食,教育類,41849,50969225
201402,65000000,食,工商及服務類,415907,542205708
201402,65000000,食,專業及技術服務類,163437,215833491
201402,65000000,食,其他,262863,318862949
201402,68000000,食,軍警人員一,7757,10704237
201402,68000000,食,軍警人員二,1575,2067820
201402,68000000,食,其他公共行政類,48627,63758029
201402,68000000,食,教育類,40439,51889459
201402,68000000,食,工商及服務類,353698,536429503
201402,68000000,食,專業及技術服務類,118662,173772243
201402,68000000,食,其他,185503,255713844
201402,66000000,食,軍警人員一,4982,9096792
201402,66000000,食,軍警人員二,1476,1821613
201402,66000000,食,其他公共行政類,45358,60179647
201402,66000000,食,教育類,47248,65241001
201402,66000000,食,工商及服務類,303820,526158737
201402,66000000,食,專業及技術服務類,118796,180124902
201402,66000000,食,其他,155917,236818990
201402,67000000,食,軍警人員一,3925,6343948
201402,67000000,食,軍警人員二,1278,1777422
201402,67000000,食,其他公共行政類,33368,46722586
201402,67000000,食,教育類,39263,52222444
201402,67000000,食,工商及服務類,218035,340002088
201402,67000000,食,專業及技術服務類,81471,119357954
201402,67000000,食,其他,111275,147887412
201402,64000000,食,軍警人員一,11196,17688976
201402,64000000,食,軍警人員二,2811,3598707
201402,64000000,食,其他公共行政類,72292,100343117
201402,64000000,食,教育類,72454,91863897
201402,64000000,食,工商及服務類,436806,741112852
201402,64000000,食,專業及技術服務類,157881,242980272
201402,64000000,食,其他,260492,361364030
201403,63000000,食,軍警人員一,62278,92908175
201403,63000000,食,軍警人員二,12357,10789327
201403,63000000,食,其他公共行政類,318568,316144420
201403,63000000,食,教育類,340333,285691282
201403,63000000,食,工商及服務類,2517642,3125411209
201403,63000000,食,專業及技術服務類,1192305,1209495963
201403,63000000,食,其他,1244700,1374987962
201403,65000000,食,軍警人員一,7846,9948054
201403,65000000,食,軍警人員二,1807,1741593
201403,65000000,食,其他公共行政類,84432,96226903
201403,65000000,食,教育類,49420,62071094
201403,65000000,食,工商及服務類,484850,621025404
201403,65000000,食,專業及技術服務類,194992,262178666
201403,65000000,食,其他,316742,394491068
201403,68000000,食,軍警人員一,8423,11626514
201403,68000000,食,軍警人員二,1818,1985047
201403,68000000,食,其他公共行政類,53699,66321967
201403,68000000,食,教育類,44575,55656212
201403,68000000,食,工商及服務類,402485,579161128
201403,68000000,食,專業及技術服務類,137730,197009652
201403,68000000,食,其他,215002,288188757
201403,66000000,食,軍警人員一,5098,9496750
201403,66000000,食,軍警人員二,1500,1912115
201403,66000000,食,其他公共行政類,49217,63031632
201403,66000000,食,教育類,51984,75032461
201403,66000000,食,工商及服務類,343193,575540977
201403,66000000,食,專業及技術服務類,136018,206382391
201403,66000000,食,其他,181023,291178373
201403,67000000,食,軍警人員一,4388,5533608
201403,67000000,食,軍警人員二,1387,1872652
201403,67000000,食,其他公共行政類,35622,44107473
201403,67000000,食,教育類,44365,55781666
201403,67000000,食,工商及服務類,249859,364416264
201403,67000000,食,專業及技術服務類,94917,131341262
201403,67000000,食,其他,132172,167134636
201403,64000000,食,軍警人員一,12202,17900391
201403,64000000,食,軍警人員二,3030,3639022
201403,64000000,食,其他公共行政類,77084,100923524
201403,64000000,食,教育類,78677,95129291
201403,64000000,食,工商及服務類,489582,760219959
201403,64000000,食,專業及技術服務類,179503,254867088
201403,64000000,食,其他,306207,404974930
201404,63000000,食,軍警人員一,60157,84935206
201404,63000000,食,軍警人員二,11717,9817522
201404,63000000,食,其他公共行政類,307632,295284693
201404,63000000,食,教育類,332778,274712759
201404,63000000,食,工商及服務類,2416406,2935969523
201404,63000000,食,專業及技術服務類,1172007,1138842748
201404,63000000,食,其他,1238929,1330472784
201404,65000000,食,軍警人員一,7549,8679780
201404,65000000,食,軍警人員二,1606,1530472
201404,65000000,食,其他公共行政類,82826,89371758
201404,65000000,食,教育類,47162,58265515
201404,65000000,食,工商及服務類,462885,580956480
201404,65000000,食,專業及技術服務類,187323,246072212
201404,65000000,食,其他,306134,372703022
201404,68000000,食,軍警人員一,8088,11710115
201404,68000000,食,軍警人員二,1744,2114071
201404,68000000,食,其他公共行政類,50566,62178203
201404,68000000,食,教育類,42647,54386468
201404,68000000,食,工商及服務類,380305,560207312
201404,68000000,食,專業及技術服務類,131690,190824379
201404,68000000,食,其他,207684,280622985
201404,66000000,食,軍警人員一,4863,8733711
201404,66000000,食,軍警人員二,1473,1587493
201404,66000000,食,其他公共行政類,47238,61421161
201404,66000000,食,教育類,49893,66904623
201404,66000000,食,工商及服務類,323509,553729277
201404,66000000,食,專業及技術服務類,129260,187354150
201404,66000000,食,其他,174050,269507325
201404,67000000,食,軍警人員一,4184,5221509
201404,67000000,食,軍警人員二,1369,1680085
201404,67000000,食,其他公共行政類,34456,42704948
201404,67000000,食,教育類,42597,52891881
201404,67000000,食,工商及服務類,239871,343272649
201404,67000000,食,專業及技術服務類,91760,126705983
201404,67000000,食,其他,127209,159623892
201404,64000000,食,軍警人員一,12183,18577695
201404,64000000,食,軍警人員二,3045,3573777
201404,64000000,食,其他公共行政類,75864,92939702
201404,64000000,食,教育類,79134,92431884
201404,64000000,食,工商及服務類,478300,737511967
201404,64000000,食,專業及技術服務類,179700,247279906
201404,64000000,食,其他,301260,395233352
201405,63000000,食,軍警人員一,64959,100080385
201405,63000000,食,軍警人員二,12837,11464903
201405,63000000,食,其他公共行政類,336502,352471092
201405,63000000,食,教育類,358940,317791682
201405,63000000,食,工商及服務類,2629100,3396371365
201405,63000000,食,專業及技術服務類,1270988,1324015580
201405,63000000,食,其他,1342635,1528474835
201405,65000000,食,軍警人員一,8313,10221974
201405,65000000,食,軍警人員二,1944,1929114
201405,65000000,食,其他公共行政類,90054,101736270
201405,65000000,食,教育類,51083,66926878
201405,65000000,食,工商及服務類,512184,680392087
201405,65000000,食,專業及技術服務類,205395,284720121
201405,65000000,食,其他,331935,423414774
201405,68000000,食,軍警人員一,9082,13701434
201405,68000000,食,軍警人員二,2028,2675831
201405,68000000,食,其他公共行政類,56903,78784261
201405,68000000,食,教育類,47278,65107808
201405,68000000,食,工商及服務類,426879,657613986
201405,68000000,食,專業及技術服務類,146766,225235745
201405,68000000,食,其他,229348,328060862
201405,66000000,食,軍警人員一,5522,10975167
201405,66000000,食,軍警人員二,1700,2283183
201405,66000000,食,其他公共行政類,51570,66498063
201405,66000000,食,教育類,55548,79385223
201405,66000000,食,工商及服務類,360655,654505337
201405,66000000,食,專業及技術服務類,143202,217087354
201405,66000000,食,其他,189898,300408028
201405,67000000,食,軍警人員一,4945,6877875
201405,67000000,食,軍警人員二,1510,2214138
201405,67000000,食,其他公共行政類,37328,49020885
201405,67000000,食,教育類,47103,61862020
201405,67000000,食,工商及服務類,265503,402339215
201405,67000000,食,專業及技術服務類,100819,144831807
201405,67000000,食,其他,137876,185308982
201405,64000000,食,軍警人員一,14063,22426257
201405,64000000,食,軍警人員二,3458,4437013
201405,64000000,食,其他公共行政類,83732,113755569
201405,64000000,食,教育類,88094,110137324
201405,64000000,食,工商及服務類,533054,860543913
201405,64000000,食,專業及技術服務類,200875,290507109
201405,64000000,食,其他,332296,454522504
201406,63000000,食,軍警人員一,66201,96082667
201406,63000000,食,軍警人員二,13119,11344063
201406,63000000,食,其他公共行政類,334157,322745468
201406,63000000,食,教育類,360028,307093162
201406,63000000,食,工商及服務類,2617814,3167080416
201406,63000000,食,專業及技術服務類,1286942,1255071395
201406,63000000,食,其他,1341082,1434884040
201406,65000000,食,軍警人員一,8375,10559650
201406,65000000,食,軍警人員二,1920,1831867
201406,65000000,食,其他公共行政類,88664,97240014
201406,65000000,食,教育類,49682,63517212
201406,65000000,食,工商及服務類,501210,641375280
201406,65000000,食,專業及技術服務類,203073,273487637
201406,65000000,食,其他,325326,398023784
201406,68000000,食,軍警人員一,9205,13287011
201406,68000000,食,軍警人員二,1874,2342417
201406,68000000,食,其他公共行政類,56607,71904674
201406,68000000,食,教育類,47874,62551528
201406,68000000,食,工商及服務類,422147,609858652
201406,68000000,食,專業及技術服務類,148042,211573143
201406,68000000,食,其他,228126,313423511
201406,66000000,食,軍警人員一,5616,11039044
201406,66000000,食,軍警人員二,1648,1914503
201406,66000000,食,其他公共行政類,50746,63976466
201406,66000000,食,教育類,54478,75348901
201406,66000000,食,工商及服務類,351640,610377642
201406,66000000,食,專業及技術服務類,141945,210028503
201406,66000000,食,其他,186190,286132986
201406,67000000,食,軍警人員一,4997,6629506
201406,67000000,食,軍警人員二,1492,2155755
201406,67000000,食,其他公共行政類,37302,47410465
201406,67000000,食,教育類,47192,61045800
201406,67000000,食,工商及服務類,266945,389887051
201406,67000000,食,專業及技術服務類,103238,143854557
201406,67000000,食,其他,139629,177809388
201406,64000000,食,軍警人員一,14426,20817385
201406,64000000,食,軍警人員二,3495,4497441
201406,64000000,食,其他公共行政類,82381,105461935
201406,64000000,食,教育類,86858,105924502
201406,64000000,食,工商及服務類,522210,806516825
201406,64000000,食,專業及技術服務類,197616,279305277
201406,64000000,食,其他,325723,429179636
201407,63000000,食,軍警人員一,72243,100274558
201407,63000000,食,軍警人員二,14538,12273285
201407,63000000,食,其他公共行政類,375619,361349808
201407,63000000,食,教育類,411161,338880591
201407,63000000,食,工商及服務類,2899433,3423249065
201407,63000000,食,專業及技術服務類,1436335,1393993415
201407,63000000,食,其他,1498647,1586542979
201407,65000000,食,軍警人員一,8979,12770101
201407,65000000,食,軍警人員二,2119,1966048
201407,65000000,食,其他公共行政類,99994,109156121
201407,65000000,食,教育類,55839,69052928
201407,65000000,食,工商及服務類,550668,693946067
201407,65000000,食,專業及技術服務類,225298,297783579
201407,65000000,食,其他,364602,452331273
201407,68000000,食,軍警人員一,9848,13719908
201407,68000000,食,軍警人員二,2163,2621937
201407,68000000,食,其他公共行政類,64137,79976406
201407,68000000,食,教育類,55165,69020107
201407,68000000,食,工商及服務類,463636,668200043
201407,68000000,食,專業及技術服務類,162920,228977669
201407,68000000,食,其他,255552,349966735
201407,66000000,食,軍警人員一,5813,11045783
201407,66000000,食,軍警人員二,1781,2107904
201407,66000000,食,其他公共行政類,57548,73278978
201407,66000000,食,教育類,61688,83617246
201407,66000000,食,工商及服務類,376447,660278488
201407,66000000,食,專業及技術服務類,154680,228078755
201407,66000000,食,其他,205910,324535659
201407,67000000,食,軍警人員一,5514,7648224
201407,67000000,食,軍警人員二,1643,2143804
201407,67000000,食,其他公共行政類,42070,53307755
201407,67000000,食,教育類,56021,70854738
201407,67000000,食,工商及服務類,296511,437385610
201407,67000000,食,專業及技術服務類,115069,160478687
201407,67000000,食,其他,157036,205542591
201407,64000000,食,軍警人員一,15903,22658344
201407,64000000,食,軍警人員二,3913,5026625
201407,64000000,食,其他公共行政類,94288,117814360
201407,64000000,食,教育類,104228,120546402
201407,64000000,食,工商及服務類,588596,893521053
201407,64000000,食,專業及技術服務類,223005,305849601
201407,64000000,食,其他,368153,482670467
201408,63000000,食,軍警人員一,75404,115787359
201408,63000000,食,軍警人員二,15230,13948456
201408,63000000,食,其他公共行政類,395113,403423972
201408,63000000,食,教育類,431269,380688822
201408,63000000,食,工商及服務類,3064120,3948904831
201408,63000000,食,專業及技術服務類,1508717,1597482306
201408,63000000,食,其他,1564649,1769610171
201408,65000000,食,軍警人員一,9497,12468563
201408,65000000,食,軍警人員二,2068,2175821
201408,65000000,食,其他公共行政類,102536,116079754
201408,65000000,食,教育類,57449,72731869
201408,65000000,食,工商及服務類,574753,774295458
201408,65000000,食,專業及技術服務類,232645,322089469
201408,65000000,食,其他,373333,482191024
201408,68000000,食,軍警人員一,10566,16605546
201408,68000000,食,軍警人員二,2202,2999152
201408,68000000,食,其他公共行政類,68531,90284620
201408,68000000,食,教育類,58345,75970362
201408,68000000,食,工商及服務類,500326,789242578
201408,68000000,食,專業及技術服務類,174910,265334601
201408,68000000,食,其他,270610,393878461
201408,66000000,食,軍警人員一,6294,13906221
201408,66000000,食,軍警人員二,1895,2190273
201408,66000000,食,其他公共行政類,62526,87582220
201408,66000000,食,教育類,66613,93601095
201408,66000000,食,工商及服務類,409855,746990660
201408,66000000,食,專業及技術服務類,164412,260609571
201408,66000000,食,其他,216847,369784604
201408,67000000,食,軍警人員一,5914,8703120
201408,67000000,食,軍警人員二,1756,2771568
201408,67000000,食,其他公共行政類,46737,66152256
201408,67000000,食,教育類,59903,80378204
201408,67000000,食,工商及服務類,321559,513525093
201408,67000000,食,專業及技術服務類,123105,183727287
201408,67000000,食,其他,166613,233536889
201408,64000000,食,軍警人員一,16527,24685093
201408,64000000,食,軍警人員二,4091,5384764
201408,64000000,食,其他公共行政類,98542,130367230
201408,64000000,食,教育類,106820,134330416
201408,64000000,食,工商及服務類,619063,1016221210
201408,64000000,食,專業及技術服務類,229453,341669298
201408,64000000,食,其他,382114,531243171
201409,63000000,食,軍警人員一,67437,96669317
201409,63000000,食,軍警人員二,13386,10880044
201409,63000000,食,其他公共行政類,344832,325983540
201409,63000000,食,教育類,371746,303451927
201409,63000000,食,工商及服務類,2721218,3235574756
201409,63000000,食,專業及技術服務類,1357084,1304812187
201409,63000000,食,其他,1415488,1490433760
201409,65000000,食,軍警人員一,8290,10641573
201409,65000000,食,軍警人員二,1927,1830532
201409,65000000,食,其他公共行政類,91988,98701093
201409,65000000,食,教育類,52849,66348604
201409,65000000,食,工商及服務類,525910,670893540
201409,65000000,食,專業及技術服務類,220501,293011083
201409,65000000,食,其他,348642,429330847
201409,68000000,食,軍警人員一,9187,11763917
201409,68000000,食,軍警人員二,1972,2299588
201409,68000000,食,其他公共行政類,58641,72238871
201409,68000000,食,教育類,48790,62557876
201409,68000000,食,工商及服務類,434543,621115590
201409,68000000,食,專業及技術服務類,158195,225472279
201409,68000000,食,其他,241391,326226708
201409,66000000,食,軍警人員一,5501,10947357
201409,66000000,食,軍警人員二,1655,1791833
201409,66000000,食,其他公共行政類,51210,65748198
201409,66000000,食,教育類,55325,73601953
201409,66000000,食,工商及服務類,362116,615588295
201409,66000000,食,專業及技術服務類,148431,216680756
201409,66000000,食,其他,194953,320766363
201409,67000000,食,軍警人員一,5255,7195618
201409,67000000,食,軍警人員二,1547,2103110
201409,67000000,食,其他公共行政類,38674,50504218
201409,67000000,食,教育類,48464,60526384
201409,67000000,食,工商及服務類,276676,409021764
201409,67000000,食,專業及技術服務類,108502,151779618
201409,67000000,食,其他,147282,191626235
201409,64000000,食,軍警人員一,13711,20878840
201409,64000000,食,軍警人員二,3551,4371255
201409,64000000,食,其他公共行政類,83407,110748999
201409,64000000,食,教育類,86956,104028486
201409,64000000,食,工商及服務類,535100,836103326
201409,64000000,食,專業及技術服務類,202291,286620787
201409,64000000,食,其他,338244,444607449
201410,63000000,食,軍警人員一,68075,99155891
201410,63000000,食,軍警人員二,13352,10738290
201410,63000000,食,其他公共行政類,349140,334045964
201410,63000000,食,教育類,374777,304000456
201410,63000000,食,工商及服務類,2742072,3245923575
201410,63000000,食,專業及技術服務類,1365916,1311760518
201410,63000000,食,其他,1415136,1481679795
201410,65000000,食,軍警人員一,8278,9960018
201410,65000000,食,軍警人員二,1922,1714454
201410,65000000,食,其他公共行政類,89609,97238816
201410,65000000,食,教育類,50869,63292859
201410,65000000,食,工商及服務類,507307,636502426
201410,65000000,食,專業及技術服務類,211430,276712778
201410,65000000,食,其他,335428,407519586
201410,68000000,食,軍警人員一,9104,11807325
201410,68000000,食,軍警人員二,2037,2600709
201410,68000000,食,其他公共行政類,57517,68969049
201410,68000000,食,教育類,48888,60711610
201410,68000000,食,工商及服務類,430742,599645181
201410,68000000,食,專業及技術服務類,154185,212335947
201410,68000000,食,其他,236556,316426427
201410,66000000,食,軍警人員一,5543,10300302
201410,66000000,食,軍警人員二,1627,1728845
201410,66000000,食,其他公共行政類,49805,63646662
201410,66000000,食,教育類,55429,72236609
201410,66000000,食,工商及服務類,354960,588511867
201410,66000000,食,專業及技術服務類,146837,210435805
201410,66000000,食,其他,191910,285200098
201410,67000000,食,軍警人員一,4950,6421874
201410,67000000,食,軍警人員二,1457,1794770
201410,67000000,食,其他公共行政類,37532,47333830
201410,67000000,食,教育類,47934,57685647
201410,67000000,食,工商及服務類,268867,385369541
201410,67000000,食,專業及技術服務類,104105,138934129
201410,67000000,食,其他,143848,179231220
201410,64000000,食,軍警人員一,13909,21452022
201410,64000000,食,軍警人員二,3543,3785555
201410,64000000,食,其他公共行政類,84274,101993165
201410,64000000,食,教育類,88941,104320436
201410,64000000,食,工商及服務類,534032,809633847
201410,64000000,食,專業及技術服務類,202794,277992447
201410,64000000,食,其他,338779,434880797
201411,63000000,食,軍警人員一,68001,96821858
201411,63000000,食,軍警人員二,13328,11175369
201411,63000000,食,其他公共行政類,349656,346506436
201411,63000000,食,教育類,379227,320333854
201411,63000000,食,工商及服務類,2763491,3333216435
201411,63000000,食,專業及技術服務類,1371551,1354986019
201411,63000000,食,其他,1403575,1527459085
201411,65000000,食,軍警人員一,7976,9657870
201411,65000000,食,軍警人員二,1920,1735434
201411,65000000,食,其他公共行政類,87922,102202524
201411,65000000,食,教育類,50853,67932245
201411,65000000,食,工商及服務類,503440,673102341
201411,65000000,食,專業及技術服務類,209894,302400393
201411,65000000,食,其他,327496,433815250
201411,68000000,食,軍警人員一,9355,14034946
201411,68000000,食,軍警人員二,1914,2329231
201411,68000000,食,其他公共行政類,57823,85844910
201411,68000000,食,教育類,49841,72074127
201411,68000000,食,工商及服務類,441502,722165218
201411,68000000,食,專業及技術服務類,158318,260619023
201411,68000000,食,其他,236033,363443176
201411,66000000,食,軍警人員一,5483,10034371
201411,66000000,食,軍警人員二,1568,1461426
201411,66000000,食,其他公共行政類,47899,63713800
201411,66000000,食,教育類,54156,78657951
201411,66000000,食,工商及服務類,346481,599216207
201411,66000000,食,專業及技術服務類,142576,219614688
201411,66000000,食,其他,183520,292771078
201411,67000000,食,軍警人員一,4930,6843155
201411,67000000,食,軍警人員二,1432,1876219
201411,67000000,食,其他公共行政類,36361,47173859
201411,67000000,食,教育類,46819,60899870
201411,67000000,食,工商及服務類,264084,393620350
201411,67000000,食,專業及技術服務類,102932,146180336
201411,67000000,食,其他,140012,185848091
201411,64000000,食,軍警人員一,14109,19697370
201411,64000000,食,軍警人員二,3399,4145874
201411,64000000,食,其他公共行政類,81863,108395081
201411,64000000,食,教育類,89381,106719195
201411,64000000,食,工商及服務類,532374,817147063
201411,64000000,食,專業及技術服務類,204314,290637122
201411,64000000,食,其他,333899,446630745
201412,63000000,食,軍警人員一,71669,113806778
201412,63000000,食,軍警人員二,14243,12389733
201412,63000000,食,其他公共行政類,365090,375827705
201412,63000000,食,教育類,402974,350748478
201412,63000000,食,工商及服務類,2939126,3729157329
201412,63000000,食,專業及技術服務類,1464557,1525753890
201412,63000000,食,其他,1500958,1689234398
201412,65000000,食,軍警人員一,8293,10441428
201412,65000000,食,軍警人員二,2215,1977781
201412,65000000,食,其他公共行政類,92291,110815370
201412,65000000,食,教育類,55410,76752861
201412,65000000,食,工商及服務類,536009,733570009
201412,65000000,食,專業及技術服務類,226089,331455293
201412,65000000,食,其他,354394,478694227
201412,68000000,食,軍警人員一,9868,13426403
201412,68000000,食,軍警人員二,2271,3088472
201412,68000000,食,其他公共行政類,60315,80066115
201412,68000000,食,教育類,52615,71998087
201412,68000000,食,工商及服務類,466573,698116396
201412,68000000,食,專業及技術服務類,168176,253413234
201412,68000000,食,其他,253745,362300566
201412,66000000,食,軍警人員一,5792,11839802
201412,66000000,食,軍警人員二,1806,2175260
201412,66000000,食,其他公共行政類,51293,73807716
201412,66000000,食,教育類,57777,85883544
201412,66000000,食,工商及服務類,373805,676871223
201412,66000000,食,專業及技術服務類,155733,247430870
201412,66000000,食,其他,200745,336660447
201412,67000000,食,軍警人員一,5231,7327177
201412,67000000,食,軍警人員二,1634,2785980
201412,67000000,食,其他公共行政類,39235,53201794
201412,67000000,食,教育類,50316,64554000
201412,67000000,食,工商及服務類,282570,433872944
201412,67000000,食,專業及技術服務類,112075,163946738
201412,67000000,食,其他,152166,208212112
201412,64000000,食,軍警人員一,15441,22416580
201412,64000000,食,軍警人員二,3869,4992672
201412,64000000,食,其他公共行政類,88259,118087744
201412,64000000,食,教育類,98235,119916876
201412,64000000,食,工商及服務類,576515,907408964
201412,64000000,食,專業及技術服務類,229882,326287042
201412,64000000,食,其他,363926,498372539
201501,63000000,食,軍警人員一,73624,117517654
201501,63000000,食,軍警人員二,14693,12668567
201501,63000000,食,其他公共行政類,372750,407149906
201501,63000000,食,教育類,409173,367764375
201501,63000000,食,工商及服務類,2955452,3863634508
201501,63000000,食,專業及技術服務類,1472593,1554897136
201501,63000000,食,其他,1510750,1752882825
201501,65000000,食,軍警人員一,8064,11067804
201501,65000000,食,軍警人員二,2117,2151569
201501,65000000,食,其他公共行政類,92876,121466257
201501,65000000,食,教育類,54015,77988081
201501,65000000,食,工商及服務類,529157,787102154
201501,65000000,食,專業及技術服務類,221499,344109593
201501,65000000,食,其他,346652,493390401
201501,68000000,食,軍警人員一,10085,15264308
201501,68000000,食,軍警人員二,2189,3205996
201501,68000000,食,其他公共行政類,63758,92316481
201501,68000000,食,教育類,53478,75678535
201501,68000000,食,工商及服務類,462956,753051154
201501,68000000,食,專業及技術服務類,167349,264715742
201501,68000000,食,其他,250864,378873817
201501,66000000,食,軍警人員一,5871,13120051
201501,66000000,食,軍警人員二,1764,1994280
201501,66000000,食,其他公共行政類,53420,85892112
201501,66000000,食,教育類,58079,89073228
201501,66000000,食,工商及服務類,368058,733784479
201501,66000000,食,專業及技術服務類,150999,254448150
201501,66000000,食,其他,195933,345309578
201501,67000000,食,軍警人員一,6272,11753060
201501,67000000,食,軍警人員二,1737,2878725
201501,67000000,食,其他公共行政類,45715,78226779
201501,67000000,食,教育類,58347,91407777
201501,67000000,食,工商及服務類,312458,569245147
201501,67000000,食,專業及技術服務類,125772,219508095
201501,67000000,食,其他,161600,256168956
201501,64000000,食,軍警人員一,15003,24466996
201501,64000000,食,軍警人員二,3626,4543295
201501,64000000,食,其他公共行政類,90310,135175146
201501,64000000,食,教育類,96948,130114072
201501,64000000,食,工商及服務類,564557,987154252
201501,64000000,食,專業及技術服務類,213881,336835258
201501,64000000,食,其他,353996,524694900
201502,63000000,食,軍警人員一,68957,118438710
201502,63000000,食,軍警人員二,13352,12427727
201502,63000000,食,其他公共行政類,346860,406671681
201502,63000000,食,教育類,381737,364455167
201502,63000000,食,工商及服務類,2781254,4119405546
201502,63000000,食,專業及技術服務類,1364069,1608009201
201502,63000000,食,其他,1416134,1834834802
201502,65000000,食,軍警人員一,7890,13877633
201502,65000000,食,軍警人員二,1931,2255947
201502,65000000,食,其他公共行政類,88855,124393519
201502,65000000,食,教育類,49517,74868025
201502,65000000,食,工商及服務類,513624,860407017
201502,65000000,食,專業及技術服務類,211940,360401888
201502,65000000,食,其他,331539,528168596
201502,68000000,食,軍警人員一,9557,15724750
201502,68000000,食,軍警人員二,1896,2776185
201502,68000000,食,其他公共行政類,62013,97115418
201502,68000000,食,教育類,50671,77415231
201502,68000000,食,工商及服務類,452846,840735329
201502,68000000,食,專業及技術服務類,163002,291946745
201502,68000000,食,其他,242227,420791763
201502,66000000,食,軍警人員一,5906,13062290
201502,66000000,食,軍警人員二,1708,2204072
201502,66000000,食,其他公共行政類,56227,93320027
201502,66000000,食,教育類,57788,96585221
201502,66000000,食,工商及服務類,369058,770069553
201502,66000000,食,專業及技術服務類,148679,275012935
201502,66000000,食,其他,192485,368169075
201502,67000000,食,軍警人員一,6185,9998409
201502,67000000,食,軍警人員二,1682,2295275
201502,67000000,食,其他公共行政類,47927,76194106
201502,67000000,食,教育類,60195,88643695
201502,67000000,食,工商及服務類,314151,569584945
201502,67000000,食,專業及技術服務類,123518,207462153
201502,67000000,食,其他,160489,257710841
201502,64000000,食,軍警人員一,15295,26541637
201502,64000000,食,軍警人員二,3589,5002202
201502,64000000,食,其他公共行政類,94444,151860869
201502,64000000,食,教育類,100438,146153355
201502,64000000,食,工商及服務類,573191,1119547504
201502,64000000,食,專業及技術服務類,214482,375611926
201502,64000000,食,其他,350396,578372708
201503,63000000,食,軍警人員一,70530,104584761
201503,63000000,食,軍警人員二,13654,10573064
201503,63000000,食,其他公共行政類,348758,345654798
201503,63000000,食,教育類,395963,321261884
201503,63000000,食,工商及服務類,2837303,3496891308
201503,63000000,食,專業及技術服務類,1448127,1421057789
