年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,住,軍警人員一,13067,97510761
201401,63000000,住,軍警人員二,1516,5447861
201401,63000000,住,其他公共行政類,60451,198606463
201401,63000000,住,教育類,40198,152655433
201401,63000000,住,工商及服務類,379599,2106290577
201401,63000000,住,專業及技術服務類,136847,759585661
201401,63000000,住,其他,163757,778582792
201401,65000000,住,軍警人員一,2919,17871837
201401,65000000,住,軍警人員二,478,2258018
201401,65000000,住,其他公共行政類,10373,54961915
201401,65000000,住,教育類,9251,41466992
201401,65000000,住,工商及服務類,87470,510215438
201401,65000000,住,專業及技術服務類,39182,196442352
201401,65000000,住,其他,31871,191498421
201401,68000000,住,軍警人員一,2592,12390427
201401,68000000,住,軍警人員二,421,1727577
201401,68000000,住,其他公共行政類,12289,41968391
201401,68000000,住,教育類,8326,32070427
201401,68000000,住,工商及服務類,87286,436369905
201401,68000000,住,專業及技術服務類,26547,144185503
201401,68000000,住,其他,34020,159632257
201401,66000000,住,軍警人員一,2460,14821951
201401,66000000,住,軍警人員二,289,1649820
201401,66000000,住,其他公共行政類,7291,41395911
201401,66000000,住,教育類,6929,35332061
201401,66000000,住,工商及服務類,57817,378626396
201401,66000000,住,專業及技術服務類,18753,114151675
201401,66000000,住,其他,21699,136678829
201401,67000000,住,軍警人員一,2096,9683333
201401,67000000,住,軍警人員二,412,1567033
201401,67000000,住,其他公共行政類,11918,45097739
201401,67000000,住,教育類,12195,46611832
201401,67000000,住,工商及服務類,69086,354675119
201401,67000000,住,專業及技術服務類,21466,107807778
201401,67000000,住,其他,25395,124830808
201401,64000000,住,軍警人員一,6240,26214336
201401,64000000,住,軍警人員二,1063,4115603
201401,64000000,住,其他公共行政類,23110,80514238
201401,64000000,住,教育類,22312,70177816
201401,64000000,住,工商及服務類,134380,670960975
201401,64000000,住,專業及技術服務類,47881,222549558
201401,64000000,住,其他,51863,237771647
201402,63000000,住,軍警人員一,10372,66068973
201402,63000000,住,軍警人員二,1099,3653730
201402,63000000,住,其他公共行政類,45926,130939852
201402,63000000,住,教育類,32050,105673306
201402,63000000,住,工商及服務類,288637,1383111675
201402,63000000,住,專業及技術服務類,105717,521861739
201402,63000000,住,其他,124390,516754268
201402,65000000,住,軍警人員一,2365,9134379
201402,65000000,住,軍警人員二,297,1010760
201402,65000000,住,其他公共行政類,8021,32946997
201402,65000000,住,教育類,7440,26723013
201402,65000000,住,工商及服務類,69078,321522798
201402,65000000,住,專業及技術服務類,31928,135339595
201402,65000000,住,其他,25192,114556422
201402,68000000,住,軍警人員一,1906,7195640
201402,68000000,住,軍警人員二,310,759602
201402,68000000,住,其他公共行政類,9024,27315925
201402,68000000,住,教育類,6352,20464359
201402,68000000,住,工商及服務類,64983,271875738
201402,68000000,住,專業及技術服務類,20387,97232789
201402,68000000,住,其他,24657,99386468
201402,66000000,住,軍警人員一,2183,10972236
201402,66000000,住,軍警人員二,213,752713
201402,66000000,住,其他公共行政類,5626,25726152
201402,66000000,住,教育類,5332,23413174
201402,66000000,住,工商及服務類,44331,241291519
201402,66000000,住,專業及技術服務類,15151,80016096
201402,66000000,住,其他,16086,86522003
201402,67000000,住,軍警人員一,1609,7102982
201402,67000000,住,軍警人員二,281,1004035
201402,67000000,住,其他公共行政類,8950,30259003
201402,67000000,住,教育類,9174,33189042
201402,67000000,住,工商及服務類,55719,245923039
201402,67000000,住,專業及技術服務類,16906,79595966
201402,67000000,住,其他,19706,86852514
201402,64000000,住,軍警人員一,4843,17105291
201402,64000000,住,軍警人員二,810,2773237
201402,64000000,住,其他公共行政類,18218,57814452
201402,64000000,住,教育類,18032,48299802
201402,64000000,住,工商及服務類,111767,487269649
201402,64000000,住,專業及技術服務類,40743,165844328
201402,64000000,住,其他,42030,172386006
201403,63000000,住,軍警人員一,10855,82259543
201403,63000000,住,軍警人員二,1059,3297246
201403,63000000,住,其他公共行政類,42580,138479855
201403,63000000,住,教育類,30619,104578383
201403,63000000,住,工商及服務類,305333,1560097524
201403,63000000,住,專業及技術服務類,112146,588362703
201403,63000000,住,其他,131399,573593416
201403,65000000,住,軍警人員一,2281,10199922
201403,65000000,住,軍警人員二,350,1553635
201403,65000000,住,其他公共行政類,7540,34888626
201403,65000000,住,教育類,6785,25864126
201403,65000000,住,工商及服務類,69478,350443732
201403,65000000,住,專業及技術服務類,31853,151026392
201403,65000000,住,其他,25444,125410112
201403,68000000,住,軍警人員一,2030,6966087
201403,68000000,住,軍警人員二,348,1062933
201403,68000000,住,其他公共行政類,8644,28741664
201403,68000000,住,教育類,6442,22780904
201403,68000000,住,工商及服務類,68813,302378483
201403,68000000,住,專業及技術服務類,22030,115058283
201403,68000000,住,其他,26202,109989865
201403,66000000,住,軍警人員一,2073,10311025
201403,66000000,住,軍警人員二,211,833286
201403,66000000,住,其他公共行政類,5137,25177271
201403,66000000,住,教育類,4781,22207391
201403,66000000,住,工商及服務類,44043,243001430
201403,66000000,住,專業及技術服務類,14971,88328672
201403,66000000,住,其他,16293,93100766
201403,67000000,住,軍警人員一,1566,6634697
201403,67000000,住,軍警人員二,323,1945565
201403,67000000,住,其他公共行政類,7633,27642695
201403,67000000,住,教育類,8023,27709556
201403,67000000,住,工商及服務類,54887,252708960
201403,67000000,住,專業及技術服務類,17071,81828967
201403,67000000,住,其他,19723,84850866
201403,64000000,住,軍警人員一,4917,16627774
201403,64000000,住,軍警人員二,730,1797481
201403,64000000,住,其他公共行政類,16315,55618728
201403,64000000,住,教育類,15668,45696340
201403,64000000,住,工商及服務類,111436,485609041
201403,64000000,住,專業及技術服務類,41450,180822955
201403,64000000,住,其他,41457,171773567
201404,63000000,住,軍警人員一,10332,68657019
201404,63000000,住,軍警人員二,1074,3863343
