年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,軍警人員一,134270,388507481
201401,63000000,其他,軍警人員二,33507,91972875
201401,63000000,其他,其他公共行政類,713371,1892750988
201401,63000000,其他,教育類,637174,1770574180
201401,63000000,其他,工商及服務類,6399899,20046681123
201401,63000000,其他,專業及技術服務類,2270835,6758913005
201401,63000000,其他,其他,2338327,7922019137
201401,65000000,其他,軍警人員一,5200,27122143
201401,65000000,其他,軍警人員二,1068,4276491
201401,65000000,其他,其他公共行政類,26753,114653301
201401,65000000,其他,教育類,26298,91233962
201401,65000000,其他,工商及服務類,239064,1062153568
201401,65000000,其他,專業及技術服務類,87883,361888325
201401,65000000,其他,其他,87611,390071267
201401,68000000,其他,軍警人員一,3694,20534901
201401,68000000,其他,軍警人員二,739,3421641
201401,68000000,其他,其他公共行政類,19977,97226657
201401,68000000,其他,教育類,18592,82084818
201401,68000000,其他,工商及服務類,184551,974486054
201401,68000000,其他,專業及技術服務類,55155,280493751
201401,68000000,其他,其他,87174,449779402
201401,66000000,其他,軍警人員一,3568,19744612
201401,66000000,其他,軍警人員二,908,3241311
201401,66000000,其他,其他公共行政類,25103,115588575
201401,66000000,其他,教育類,23906,96392520
201401,66000000,其他,工商及服務類,183778,913048909
201401,66000000,其他,專業及技術服務類,73134,289378920
201401,66000000,其他,其他,67874,336876126
201401,67000000,其他,軍警人員一,2600,13478930
201401,67000000,其他,軍警人員二,675,2871134
201401,67000000,其他,其他公共行政類,14062,76491598
201401,67000000,其他,教育類,19438,78379161
201401,67000000,其他,工商及服務類,122458,553375559
201401,67000000,其他,專業及技術服務類,40315,166039357
201401,67000000,其他,其他,47229,199944614
201401,64000000,其他,軍警人員一,8751,38789677
201401,64000000,其他,軍警人員二,1909,7189191
201401,64000000,其他,其他公共行政類,33107,141815794
201401,64000000,其他,教育類,40658,130302474
201401,64000000,其他,工商及服務類,251040,1073168258
201401,64000000,其他,專業及技術服務類,93725,329090278
201401,64000000,其他,其他,99622,414569698
201402,63000000,其他,軍警人員一,124408,339295957
201402,63000000,其他,軍警人員二,30865,81388557
201402,63000000,其他,其他公共行政類,649218,1685118316
201402,63000000,其他,教育類,584931,1539741308
201402,63000000,其他,工商及服務類,5875753,17042178114
201402,63000000,其他,專業及技術服務類,2067927,5758065018
201402,63000000,其他,其他,2144660,6949682282
201402,65000000,其他,軍警人員一,3772,18485786
201402,65000000,其他,軍警人員二,807,3266053
201402,65000000,其他,其他公共行政類,20979,83137316
201402,65000000,其他,教育類,21815,69475176
201402,65000000,其他,工商及服務類,191041,773293292
201402,65000000,其他,專業及技術服務類,71943,276392095
201402,65000000,其他,其他,69825,284439680
201402,68000000,其他,軍警人員一,2837,14362365
201402,68000000,其他,軍警人員二,468,3010379
201402,68000000,其他,其他公共行政類,15324,68781073
201402,68000000,其他,教育類,13956,51682403
201402,68000000,其他,工商及服務類,139956,696715480
201402,68000000,其他,專業及技術服務類,42422,201028004
201402,68000000,其他,其他,63552,295170334
201402,66000000,其他,軍警人員一,2961,14289971
201402,66000000,其他,軍警人員二,753,2343342
201402,66000000,其他,其他公共行政類,21245,78306409
201402,66000000,其他,教育類,20087,70737546
201402,66000000,其他,工商及服務類,151944,704894250
201402,66000000,其他,專業及技術服務類,63862,235879061
201402,66000000,其他,其他,55008,249757985
201402,67000000,其他,軍警人員一,1934,10315213
201402,67000000,其他,軍警人員二,490,2515545
201402,67000000,其他,其他公共行政類,10768,53122317
201402,67000000,其他,教育類,14801,53749092
201402,67000000,其他,工商及服務類,93840,414896043
201402,67000000,其他,專業及技術服務類,30721,125112635
201402,67000000,其他,其他,36279,147503625
201402,64000000,其他,軍警人員一,6956,27953634
201402,64000000,其他,軍警人員二,1532,6382920
201402,64000000,其他,其他公共行政類,27711,114707160
201402,64000000,其他,教育類,34913,96866859
201402,64000000,其他,工商及服務類,209652,859493979
201402,64000000,其他,專業及技術服務類,80694,267975138
201402,64000000,其他,其他,80695,331456937
201403,63000000,其他,軍警人員一,141296,378323611
