年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,行,軍警人員一,81276,107232590
201401,63000000,行,軍警人員二,17404,16881666
201401,63000000,行,其他公共行政類,295873,311501712
201401,63000000,行,教育類,270159,266769280
201401,63000000,行,工商及服務類,2365310,2655046517
201401,63000000,行,專業及技術服務類,1142477,1225622859
201401,63000000,行,其他,738721,841994991
201401,65000000,行,軍警人員一,8290,10268846
201401,65000000,行,軍警人員二,4003,3202271
201401,65000000,行,其他公共行政類,22819,20911278
201401,65000000,行,教育類,25976,23510729
201401,65000000,行,工商及服務類,327177,320048534
201401,65000000,行,專業及技術服務類,165001,165800956
201401,65000000,行,其他,81659,81990970
201401,68000000,行,軍警人員一,14684,19759072
201401,68000000,行,軍警人員二,4187,3995805
201401,68000000,行,其他公共行政類,60157,70349428
201401,68000000,行,教育類,47929,55486132
201401,68000000,行,工商及服務類,597526,814508225
201401,68000000,行,專業及技術服務類,169393,224438191
201401,68000000,行,其他,201592,276496519
201401,66000000,行,軍警人員一,6933,8597944
201401,66000000,行,軍警人員二,1642,1520336
201401,66000000,行,其他公共行政類,12293,14037385
201401,66000000,行,教育類,17027,18545410
201401,66000000,行,工商及服務類,170721,207257913
201401,66000000,行,專業及技術服務類,88961,104124340
201401,66000000,行,其他,46749,58290381
201401,67000000,行,軍警人員一,12175,12506340
201401,67000000,行,軍警人員二,4626,4338826
201401,67000000,行,其他公共行政類,51277,51679732
201401,67000000,行,教育類,62189,59491466
201401,67000000,行,工商及服務類,452112,520558875
201401,67000000,行,專業及技術服務類,135954,147139244
201401,67000000,行,其他,145874,163295364
201401,64000000,行,軍警人員一,25141,27098206
201401,64000000,行,軍警人員二,7866,6948168
201401,64000000,行,其他公共行政類,77683,79288990
201401,64000000,行,教育類,81999,75841170
201401,64000000,行,工商及服務類,590158,717805478
201401,64000000,行,專業及技術服務類,186208,213606843
201401,64000000,行,其他,211168,236678711
201402,63000000,行,軍警人員一,73320,93668726
201402,63000000,行,軍警人員二,15650,15882682
201402,63000000,行,其他公共行政類,262656,275177275
201402,63000000,行,教育類,238187,237389484
201402,63000000,行,工商及服務類,2083201,2339850281
201402,63000000,行,專業及技術服務類,1010342,1090341324
201402,63000000,行,其他,648809,739058754
201402,65000000,行,軍警人員一,6993,8496844
201402,65000000,行,軍警人員二,3481,2731046
201402,65000000,行,其他公共行政類,19255,17868031
201402,65000000,行,教育類,21880,20465225
201402,65000000,行,工商及服務類,274791,266989976
201402,65000000,行,專業及技術服務類,138962,138947775
201402,65000000,行,其他,68260,67789664
201402,68000000,行,軍警人員一,12683,17244262
201402,68000000,行,軍警人員二,3819,3797430
201402,68000000,行,其他公共行政類,53651,66155238
201402,68000000,行,教育類,41280,50128923
201402,68000000,行,工商及服務類,515381,736678689
201402,68000000,行,專業及技術服務類,146859,208673836
201402,68000000,行,其他,173842,253543441
201402,66000000,行,軍警人員一,6151,7657146
201402,66000000,行,軍警人員二,1507,1469304
