年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,百貨,軍警人員一,99,117054
201401,10005000,百貨,軍警人員二,33,21685
201401,10005000,百貨,其他公共行政類,977,1012520
201401,10005000,百貨,教育類,1488,1353580
201401,10005000,百貨,工商及服務類,6199,7351094
201401,10005000,百貨,專業及技術服務類,2533,2862158
201401,10005000,百貨,其他,2937,3550469
201402,10005000,百貨,軍警人員一,70,67448
201402,10005000,百貨,軍警人員二,28,19356
201402,10005000,百貨,其他公共行政類,850,861612
201402,10005000,百貨,教育類,1243,990517
201402,10005000,百貨,工商及服務類,5300,5435095
201402,10005000,百貨,專業及技術服務類,2090,2204727
201402,10005000,百貨,其他,2447,2401296
201403,10005000,百貨,軍警人員一,73,58457
201403,10005000,百貨,軍警人員二,19,22075
201403,10005000,百貨,其他公共行政類,978,838470
201403,10005000,百貨,教育類,1343,1174826
201403,10005000,百貨,工商及服務類,5999,6364005
201403,10005000,百貨,專業及技術服務類,2356,2191957
201403,10005000,百貨,其他,2696,2703495
201404,10005000,百貨,軍警人員一,60,40164
201404,10005000,百貨,軍警人員二,34,35326
201404,10005000,百貨,其他公共行政類,951,1044168
201404,10005000,百貨,教育類,1373,1352239
201404,10005000,百貨,工商及服務類,5881,7658923
201404,10005000,百貨,專業及技術服務類,2396,2722476
201404,10005000,百貨,其他,2670,3339963
201405,10005000,百貨,軍警人員一,70,66117
201405,10005000,百貨,軍警人員二,40,49737
201405,10005000,百貨,其他公共行政類,1225,1389183
201405,10005000,百貨,教育類,1550,1400138
201405,10005000,百貨,工商及服務類,6998,8563034
201405,10005000,百貨,專業及技術服務類,2843,3034362
201405,10005000,百貨,其他,3174,3491065
201406,10005000,百貨,軍警人員一,75,63910
201406,10005000,百貨,軍警人員二,31,25306
201406,10005000,百貨,其他公共行政類,1262,1306589
201406,10005000,百貨,教育類,1681,1460448
201406,10005000,百貨,工商及服務類,7099,8283724
201406,10005000,百貨,專業及技術服務類,2847,2822375
201406,10005000,百貨,其他,3345,3403017
201407,10005000,百貨,軍警人員一,85,71715
201407,10005000,百貨,軍警人員二,25,14916
201407,10005000,百貨,其他公共行政類,1269,1180078
201407,10005000,百貨,教育類,1791,1568115
201407,10005000,百貨,工商及服務類,7584,8566835
201407,10005000,百貨,專業及技術服務類,3095,3126767
201407,10005000,百貨,其他,3365,3414846
201408,10005000,百貨,軍警人員一,81,88255
201408,10005000,百貨,軍警人員二,25,13347
201408,10005000,百貨,其他公共行政類,1340,1286984
201408,10005000,百貨,教育類,1877,1649539
201408,10005000,百貨,工商及服務類,7514,8387601
201408,10005000,百貨,專業及技術服務類,3142,3023360
201408,10005000,百貨,其他,3492,3479554
201409,10005000,百貨,軍警人員一,79,52832
201409,10005000,百貨,軍警人員二,25,32649
