年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,行,軍警人員一,2961,3293203
201401,10005000,行,軍警人員二,1021,1124314
201401,10005000,行,其他公共行政類,25917,26413892
201401,10005000,行,教育類,16992,17185257
201401,10005000,行,工商及服務類,168076,216627355
201401,10005000,行,專業及技術服務類,42669,51648012
201401,10005000,行,其他,63399,78213850
201402,10005000,行,軍警人員一,2898,3180960
201402,10005000,行,軍警人員二,1013,1117001
201402,10005000,行,其他公共行政類,24558,25516170
201402,10005000,行,教育類,15743,15507720
201402,10005000,行,工商及服務類,157692,202920294
201402,10005000,行,專業及技術服務類,40646,48806174
201402,10005000,行,其他,59597,73459139
201403,10005000,行,軍警人員一,2884,3217735
201403,10005000,行,軍警人員二,1003,1045925
201403,10005000,行,其他公共行政類,25737,26273559
201403,10005000,行,教育類,16958,16779268
201403,10005000,行,工商及服務類,169444,224741446
201403,10005000,行,專業及技術服務類,42816,51516339
201403,10005000,行,其他,63941,79392971
201404,10005000,行,軍警人員一,2889,3138888
201404,10005000,行,軍警人員二,948,977631
201404,10005000,行,其他公共行政類,24860,24664957
201404,10005000,行,教育類,16170,15732576
201404,10005000,行,工商及服務類,161356,208582925
201404,10005000,行,專業及技術服務類,42014,50401725
201404,10005000,行,其他,61972,76693181
201405,10005000,行,軍警人員一,2973,3352661
201405,10005000,行,軍警人員二,970,1017942
201405,10005000,行,其他公共行政類,25877,26513366
201405,10005000,行,教育類,17040,16645871
201405,10005000,行,工商及服務類,165127,211968610
201405,10005000,行,專業及技術服務類,43388,51693315
201405,10005000,行,其他,63150,76675142
201406,10005000,行,軍警人員一,2781,3058273
201406,10005000,行,軍警人員二,977,3061039
201406,10005000,行,其他公共行政類,24389,24803078
201406,10005000,行,教育類,16270,15757945
201406,10005000,行,工商及服務類,155279,199602218
201406,10005000,行,專業及技術服務類,41017,48760720
201406,10005000,行,其他,59618,73320915
201407,10005000,行,軍警人員一,2902,3258331
201407,10005000,行,軍警人員二,985,1005489
201407,10005000,行,其他公共行政類,26620,26541537
201407,10005000,行,教育類,16985,16746996
201407,10005000,行,工商及服務類,160917,206615177
201407,10005000,行,專業及技術服務類,42494,50868787
201407,10005000,行,其他,61765,76333331
201408,10005000,行,軍警人員一,2998,3334623
201408,10005000,行,軍警人員二,1044,1063371
201408,10005000,行,其他公共行政類,27012,26694048
201408,10005000,行,教育類,17274,16357549
201408,10005000,行,工商及服務類,163893,205073308
201408,10005000,行,專業及技術服務類,43907,50642042
201408,10005000,行,其他,62780,74296564
201409,10005000,行,軍警人員一,2699,2957498
201409,10005000,行,軍警人員二,933,912749
201409,10005000,行,其他公共行政類,23792,23024933
201409,10005000,行,教育類,15740,14634137
201409,10005000,行,工商及服務類,154950,189607756
201409,10005000,行,專業及技術服務類,41611,47947213
201409,10005000,行,其他,59878,70172228
201410,10005000,行,軍警人員一,2799,2875820
201410,10005000,行,軍警人員二,995,907599
201410,10005000,行,其他公共行政類,25099,22579523
201410,10005000,行,教育類,16532,14685734
201410,10005000,行,工商及服務類,158715,186782460
201410,10005000,行,專業及技術服務類,42488,46377681
201410,10005000,行,其他,61938,69497081
201411,10005000,行,軍警人員一,2714,2749074
201411,10005000,行,軍警人員二,967,836192
201411,10005000,行,其他公共行政類,23918,21089078
201411,10005000,行,教育類,15870,13466261
201411,10005000,行,工商及服務類,153984,171548118
201411,10005000,行,專業及技術服務類,41164,42109512
201411,10005000,行,其他,60077,64291651
201412,10005000,行,軍警人員一,2745,2497291
201412,10005000,行,軍警人員二,1091,881303
201412,10005000,行,其他公共行政類,25309,21499332
201412,10005000,行,教育類,16950,13688442
201412,10005000,行,工商及服務類,159802,172579891
201412,10005000,行,專業及技術服務類,42360,40874270
201412,10005000,行,其他,62506,62936120
201501,10005000,行,軍警人員一,3004,2473515
201501,10005000,行,軍警人員二,1043,769247
201501,10005000,行,其他公共行政類,25646,19114428
201501,10005000,行,教育類,16749,12168185
201501,10005000,行,工商及服務類,162092,156676921
201501,10005000,行,專業及技術服務類,43567,37373946
201501,10005000,行,其他,62395,55231657
201502,10005000,行,軍警人員一,2930,2458540
201502,10005000,行,軍警人員二,1016,826508
201502,10005000,行,其他公共行政類,25533,19559266
201502,10005000,行,教育類,15995,11879002
201502,10005000,行,工商及服務類,152686,140181901
201502,10005000,行,專業及技術服務類,41591,35873022
201502,10005000,行,其他,58962,52407034
201503,10005000,行,軍警人員一,2872,2461862
201503,10005000,行,軍警人員二,951,745698
201503,10005000,行,其他公共行政類,25497,19633231
201503,10005000,行,教育類,16781,12256377
201503,10005000,行,工商及服務類,159107,163719360
201503,10005000,行,專業及技術服務類,42661,38878538
201503,10005000,行,其他,62212,57570876
201504,10005000,行,軍警人員一,2725,2385805
201504,10005000,行,軍警人員二,917,687637
201504,10005000,行,其他公共行政類,24581,18893792
201504,10005000,行,教育類,16642,12207576
201504,10005000,行,工商及服務類,154708,151123318
201504,10005000,行,專業及技術服務類,41816,38535828
201504,10005000,行,其他,59708,55763557
201505,10005000,行,軍警人員一,2881,2661641
201505,10005000,行,軍警人員二,944,775059
201505,10005000,行,其他公共行政類,25760,20798042
201505,10005000,行,教育類,17369,13261045
201505,10005000,行,工商及服務類,159761,166988258
201505,10005000,行,專業及技術服務類,42913,40492640
201505,10005000,行,其他,61078,58353466
201506,10005000,行,軍警人員一,3007,2720232
201506,10005000,行,軍警人員二,945,812880
201506,10005000,行,其他公共行政類,26041,21243943
201506,10005000,行,教育類,17456,13221871
201506,10005000,行,工商及服務類,162725,166937903
201506,10005000,行,專業及技術服務類,43613,41056946
201506,10005000,行,其他,62937,59524009
201507,10005000,行,軍警人員一,2835,2509086
201507,10005000,行,軍警人員二,1015,821983
201507,10005000,行,其他公共行政類,27388,22224119
201507,10005000,行,教育類,18016,14161807
201507,10005000,行,工商及服務類,165870,168479285
201507,10005000,行,專業及技術服務類,44893,41383596
201507,10005000,行,其他,63961,60804853
201508,10005000,行,軍警人員一,2762,2365812
201508,10005000,行,軍警人員二,979,734069
201508,10005000,行,其他公共行政類,26750,19557724
201508,10005000,行,教育類,17180,11993768
201508,10005000,行,工商及服務類,160246,147846285
201508,10005000,行,專業及技術服務類,43238,37051999
201508,10005000,行,其他,61730,53919502
201509,10005000,行,軍警人員一,2924,2490236
201509,10005000,行,軍警人員二,975,707508
201509,10005000,行,其他公共行政類,25684,18740961
201509,10005000,行,教育類,16701,11561443
201509,10005000,行,工商及服務類,160183,145876450
201509,10005000,行,專業及技術服務類,43137,36405587
201509,10005000,行,其他,61747,52731254
201510,10005000,行,軍警人員一,2865,2454650
201510,10005000,行,軍警人員二,1043,767052
201510,10005000,行,其他公共行政類,26256,18992462
201510,10005000,行,教育類,17306,11908027
201510,10005000,行,工商及服務類,166259,154709207
201510,10005000,行,專業及技術服務類,45174,38348201
201510,10005000,行,其他,63246,54518091
201511,10005000,行,軍警人員一,3003,2462281
201511,10005000,行,軍警人員二,949,678159
201511,10005000,行,其他公共行政類,26055,18715029
201511,10005000,行,教育類,17185,11512646
201511,10005000,行,工商及服務類,164596,150439577
201511,10005000,行,專業及技術服務類,45205,37592538
201511,10005000,行,其他,61912,51560445
201512,10005000,行,軍警人員一,2941,2429322
201512,10005000,行,軍警人員二,963,716535
201512,10005000,行,其他公共行政類,26205,18700965
201512,10005000,行,教育類,17331,11562942
201512,10005000,行,工商及服務類,165240,144843623
201512,10005000,行,專業及技術服務類,45989,37274133
201512,10005000,行,其他,61983,51036183
201601,10005000,行,軍警人員一,1825,1526917
201601,10005000,行,軍警人員二,447,315191
201601,10005000,行,其他公共行政類,10220,8293103
201601,10005000,行,教育類,7873,5546939
201601,10005000,行,工商及服務類,80836,66520961
201601,10005000,行,專業及技術服務類,25775,20777140
201601,10005000,行,其他,25635,21216295
201602,10005000,行,軍警人員一,1749,1441076
201602,10005000,行,軍警人員二,431,314455
201602,10005000,行,其他公共行政類,9754,7339685
201602,10005000,行,教育類,6997,4721871
201602,10005000,行,工商及服務類,74380,60572852
201602,10005000,行,專業及技術服務類,24608,19798879
201602,10005000,行,其他,23559,19500237
201603,10005000,行,軍警人員一,1486,1163033
201603,10005000,行,軍警人員二,485,399637
201603,10005000,行,其他公共行政類,9745,7586989
201603,10005000,行,教育類,7196,5537705
201603,10005000,行,工商及服務類,77834,68401081
201603,10005000,行,專業及技術服務類,25585,22255575
201603,10005000,行,其他,24080,21480710
201604,10005000,行,軍警人員一,1588,1247408
201604,10005000,行,軍警人員二,462,307972
201604,10005000,行,其他公共行政類,10085,8204788
201604,10005000,行,教育類,7666,5799691
201604,10005000,行,工商及服務類,79258,69790026
201604,10005000,行,專業及技術服務類,26398,23350705
201604,10005000,行,其他,24275,21248941
201605,10005000,行,軍警人員一,1731,1468638
201605,10005000,行,軍警人員二,465,328388
201605,10005000,行,其他公共行政類,10309,8487563
201605,10005000,行,教育類,8033,6166125
201605,10005000,行,工商及服務類,81404,74256791
201605,10005000,行,專業及技術服務類,27633,25455327
201605,10005000,行,其他,25344,22880230
201606,10005000,行,軍警人員一,2029,1769794
201606,10005000,行,軍警人員二,521,401080
201606,10005000,行,其他公共行政類,9995,8965865
201606,10005000,行,教育類,8111,6306344
201606,10005000,行,工商及服務類,84662,79941772
201606,10005000,行,專業及技術服務類,28008,26455851
201606,10005000,行,其他,26680,24971397
201607,10005000,行,軍警人員一,1910,1635235
201607,10005000,行,軍警人員二,453,374679
201607,10005000,行,其他公共行政類,10807,8907971
201607,10005000,行,教育類,8467,6503738
201607,10005000,行,工商及服務類,85113,77368092
201607,10005000,行,專業及技術服務類,28429,26975065
201607,10005000,行,其他,25800,23690150
201608,10005000,行,軍警人員一,1516,1243582
201608,10005000,行,軍警人員二,453,337718
201608,10005000,行,其他公共行政類,10748,8342688
201608,10005000,行,教育類,8052,6076635
201608,10005000,行,工商及服務類,82231,72076244
201608,10005000,行,專業及技術服務類,25971,22936520
201608,10005000,行,其他,28423,24645118
201609,10005000,行,軍警人員一,1359,1014532
201609,10005000,行,軍警人員二,388,282820
201609,10005000,行,其他公共行政類,9428,8051053
201609,10005000,行,教育類,6827,5211052
201609,10005000,行,工商及服務類,72285,65200634
201609,10005000,行,專業及技術服務類,21919,19304119
201609,10005000,行,其他,26557,23596571
201610,10005000,行,軍警人員一,1470,1138512
201610,10005000,行,軍警人員二,412,368263
201610,10005000,行,其他公共行政類,10669,8514877
201610,10005000,行,教育類,7563,5821076
201610,10005000,行,工商及服務類,79738,74319830
201610,10005000,行,專業及技術服務類,24021,22082861
201610,10005000,行,其他,29190,26546229
201611,10005000,行,軍警人員一,1877,1665889
201611,10005000,行,軍警人員二,476,416103
201611,10005000,行,其他公共行政類,10073,8304302
201611,10005000,行,教育類,7324,5461857
201611,10005000,行,工商及服務類,77819,72057748
201611,10005000,行,專業及技術服務類,24285,22128048
201611,10005000,行,其他,27834,25417753
201612,10005000,行,軍警人員一,1987,1737758
201612,10005000,行,軍警人員二,518,392841
201612,10005000,行,其他公共行政類,9987,8325296
201612,10005000,行,教育類,7584,6237450
201612,10005000,行,工商及服務類,80661,78861941
201612,10005000,行,專業及技術服務類,25119,24367739
201612,10005000,行,其他,28561,27515003
201701,10005000,行,軍警人員一,1677,1512187
201701,10005000,行,軍警人員二,438,375382
201701,10005000,行,其他公共行政類,9183,8730934
201701,10005000,行,教育類,6530,5621292
201701,10005000,行,工商及服務類,70617,70817020
201701,10005000,行,專業及技術服務類,20439,19439486
201701,10005000,行,其他,26466,25105429
201702,10005000,行,軍警人員一,1601,1372505
201702,10005000,行,軍警人員二,353,286836
201702,10005000,行,其他公共行政類,8342,7760432
201702,10005000,行,教育類,6180,5190912
201702,10005000,行,工商及服務類,64288,63838958
201702,10005000,行,專業及技術服務類,18780,17470456
201702,10005000,行,其他,23951,22923536
201703,10005000,行,軍警人員一,1638,1396055
201703,10005000,行,軍警人員二,400,305223
201703,10005000,行,其他公共行政類,8610,7643435
