年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,衣,軍警人員一,221,568764
201401,10008000,衣,軍警人員二,172,437718
201401,10008000,衣,其他公共行政類,5245,15278059
201401,10008000,衣,教育類,4185,11755366
201401,10008000,衣,工商及服務類,15144,43413807
201401,10008000,衣,專業及技術服務類,4295,11589275
201401,10008000,衣,其他,6743,18090519
201402,10008000,衣,軍警人員一,122,248701
201402,10008000,衣,軍警人員二,68,194336
201402,10008000,衣,其他公共行政類,2964,7999227
201402,10008000,衣,教育類,2327,5756092
201402,10008000,衣,工商及服務類,8340,21635121
201402,10008000,衣,專業及技術服務類,2594,6492815
201402,10008000,衣,其他,3788,9748679
201403,10008000,衣,軍警人員一,106,239589
201403,10008000,衣,軍警人員二,83,216506
201403,10008000,衣,其他公共行政類,2919,7356670
201403,10008000,衣,教育類,2482,6033430
201403,10008000,衣,工商及服務類,9397,23818474
201403,10008000,衣,專業及技術服務類,2803,6701067
201403,10008000,衣,其他,4506,10817370
201404,10008000,衣,軍警人員一,132,271121
201404,10008000,衣,軍警人員二,76,173829
201404,10008000,衣,其他公共行政類,2817,7195080
201404,10008000,衣,教育類,2361,5573538
201404,10008000,衣,工商及服務類,9079,22551693
201404,10008000,衣,專業及技術服務類,2758,6964274
201404,10008000,衣,其他,4238,10515324
201405,10008000,衣,軍警人員一,143,347272
201405,10008000,衣,軍警人員二,108,219137
201405,10008000,衣,其他公共行政類,3024,7715970
201405,10008000,衣,教育類,2446,5797996
201405,10008000,衣,工商及服務類,9497,23852934
201405,10008000,衣,專業及技術服務類,2921,7028297
201405,10008000,衣,其他,4449,10957181
201406,10008000,衣,軍警人員一,145,323959
201406,10008000,衣,軍警人員二,101,238942
201406,10008000,衣,其他公共行政類,2835,7031023
201406,10008000,衣,教育類,2431,5590740
201406,10008000,衣,工商及服務類,9558,22627021
201406,10008000,衣,專業及技術服務類,3020,7151432
201406,10008000,衣,其他,4489,10222755
201407,10008000,衣,軍警人員一,126,241085
201407,10008000,衣,軍警人員二,97,242693
201407,10008000,衣,其他公共行政類,3223,8060123
201407,10008000,衣,教育類,2988,6986535
201407,10008000,衣,工商及服務類,9630,22764570
201407,10008000,衣,專業及技術服務類,3029,6879169
