年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,食,軍警人員一,780,1231748
201401,10008000,食,軍警人員二,449,628257
201401,10008000,食,其他公共行政類,14891,33461792
201401,10008000,食,教育類,8587,12902254
201401,10008000,食,工商及服務類,41970,75804098
201401,10008000,食,專業及技術服務類,12061,20661481
201401,10008000,食,其他,22518,35297549
201402,10008000,食,軍警人員一,596,816673
201402,10008000,食,軍警人員二,292,411176
201402,10008000,食,其他公共行政類,10036,15781467
201402,10008000,食,教育類,6003,7324600
201402,10008000,食,工商及服務類,31761,49271384
201402,10008000,食,專業及技術服務類,9257,14273044
201402,10008000,食,其他,16650,21113637
201403,10008000,食,軍警人員一,562,718636
201403,10008000,食,軍警人員二,355,436371
201403,10008000,食,其他公共行政類,10106,14644196
201403,10008000,食,教育類,6085,6735756
201403,10008000,食,工商及服務類,32910,46165352
201403,10008000,食,專業及技術服務類,9500,14421678
201403,10008000,食,其他,17942,21046586
201404,10008000,食,軍警人員一,547,655782
201404,10008000,食,軍警人員二,370,454984
201404,10008000,食,其他公共行政類,9555,13706362
201404,10008000,食,教育類,6163,6812723
201404,10008000,食,工商及服務類,30573,44096905
201404,10008000,食,專業及技術服務類,9135,14752601
201404,10008000,食,其他,17194,21972769
201405,10008000,食,軍警人員一,658,856555
201405,10008000,食,軍警人員二,412,500409
201405,10008000,食,其他公共行政類,9925,14853865
201405,10008000,食,教育類,6543,7762970
201405,10008000,食,工商及服務類,32917,51067397
201405,10008000,食,專業及技術服務類,9591,15028544
201405,10008000,食,其他,18132,23806329
201406,10008000,食,軍警人員一,598,715570
201406,10008000,食,軍警人員二,370,481334
201406,10008000,食,其他公共行政類,10046,14628625
201406,10008000,食,教育類,6379,8634101
201406,10008000,食,工商及服務類,32675,49551389
201406,10008000,食,專業及技術服務類,10118,14881919
201406,10008000,食,其他,18174,23651692
201407,10008000,食,軍警人員一,664,896564
201407,10008000,食,軍警人員二,432,521897
201407,10008000,食,其他公共行政類,12626,16882243
201407,10008000,食,教育類,8199,9646341
201407,10008000,食,工商及服務類,36714,58928538
201407,10008000,食,專業及技術服務類,11049,16855623
201407,10008000,食,其他,20944,27247846
201408,10008000,食,軍警人員一,747,1116311
201408,10008000,食,軍警人員二,466,660364
201408,10008000,食,其他公共行政類,14186,22966222
201408,10008000,食,教育類,8794,11941339
201408,10008000,食,工商及服務類,41407,69915680
201408,10008000,食,專業及技術服務類,12726,20450812
201408,10008000,食,其他,22546,31851847
201409,10008000,食,軍警人員一,587,894813
201409,10008000,食,軍警人員二,357,441611
201409,10008000,食,其他公共行政類,10548,17276823
201409,10008000,食,教育類,6236,7023912
201409,10008000,食,工商及服務類,32647,47093701
201409,10008000,食,專業及技術服務類,9996,14787107
201409,10008000,食,其他,18124,22214802
201410,10008000,食,軍警人員一,578,749454
201410,10008000,食,軍警人員二,365,336992
201410,10008000,食,其他公共行政類,10144,13309879
201410,10008000,食,教育類,6267,6699977
201410,10008000,食,工商及服務類,32587,45856834
201410,10008000,食,專業及技術服務類,10019,14781313
201410,10008000,食,其他,18486,21624606
201411,10008000,食,軍警人員一,639,975281
201411,10008000,食,軍警人員二,332,436085
201411,10008000,食,其他公共行政類,9340,13031796
201411,10008000,食,教育類,6126,6791691
201411,10008000,食,工商及服務類,33526,52843493
201411,10008000,食,專業及技術服務類,10422,16628974
201411,10008000,食,其他,17796,23177841
201412,10008000,食,軍警人員一,728,1170020
201412,10008000,食,軍警人員二,398,621401
201412,10008000,食,其他公共行政類,10049,14898427
201412,10008000,食,教育類,6676,7883806
201412,10008000,食,工商及服務類,35778,59473317
201412,10008000,食,專業及技術服務類,11299,19356680
201412,10008000,食,其他,19631,26056175
201501,10008000,食,軍警人員一,726,1111706
201501,10008000,食,軍警人員二,396,537070
201501,10008000,食,其他公共行政類,12157,24740488
201501,10008000,食,教育類,7648,10391516
201501,10008000,食,工商及服務類,38067,70658626
201501,10008000,食,專業及技術服務類,11792,19150126
201501,10008000,食,其他,20304,31212348
201502,10008000,食,軍警人員一,907,1440461
201502,10008000,食,軍警人員二,381,638701
201502,10008000,食,其他公共行政類,14228,25584047
201502,10008000,食,教育類,8828,11906784
201502,10008000,食,工商及服務類,42023,86281145
201502,10008000,食,專業及技術服務類,13252,22785281
201502,10008000,食,其他,22750,37972540
201503,10008000,食,軍警人員一,548,658997
201503,10008000,食,軍警人員二,310,521329
201503,10008000,食,其他公共行政類,9262,14956758
201503,10008000,食,教育類,6101,6702701
201503,10008000,食,工商及服務類,29535,42223884
201503,10008000,食,專業及技術服務類,9473,12694807
201503,10008000,食,其他,17117,21048534
201504,10008000,食,軍警人員一,658,807274
201504,10008000,食,軍警人員二,330,350041
201504,10008000,食,其他公共行政類,9913,13175665
201504,10008000,食,教育類,6628,7243879
201504,10008000,食,工商及服務類,31764,43458883
201504,10008000,食,專業及技術服務類,10315,13134992
201504,10008000,食,其他,18147,21143767
201505,10008000,食,軍警人員一,689,836905
201505,10008000,食,軍警人員二,401,474845
201505,10008000,食,其他公共行政類,10395,13838783
201505,10008000,食,教育類,6880,7541995
201505,10008000,食,工商及服務類,34890,48163316
201505,10008000,食,專業及技術服務類,11118,14649543
201505,10008000,食,其他,19428,23940834
201506,10008000,食,軍警人員一,721,839436
201506,10008000,食,軍警人員二,451,511685
201506,10008000,食,其他公共行政類,11044,14472502
201506,10008000,食,教育類,7007,8019304
201506,10008000,食,工商及服務類,35751,46580978
201506,10008000,食,專業及技術服務類,11530,14953816
201506,10008000,食,其他,20951,24226111
201507,10008000,食,軍警人員一,770,854522
201507,10008000,食,軍警人員二,390,391594
201507,10008000,食,其他公共行政類,13475,17055099
201507,10008000,食,教育類,8923,9877593
201507,10008000,食,工商及服務類,38476,51661853
201507,10008000,食,專業及技術服務類,12386,15301302
201507,10008000,食,其他,21719,25088432
201508,10008000,食,軍警人員一,815,1211553
201508,10008000,食,軍警人員二,552,627492
201508,10008000,食,其他公共行政類,15041,21146857
201508,10008000,食,教育類,9335,10755671
201508,10008000,食,工商及服務類,45788,69503998
201508,10008000,食,專業及技術服務類,14120,20159968
201508,10008000,食,其他,26048,34323653
201509,10008000,食,軍警人員一,766,1022658
201509,10008000,食,軍警人員二,439,533175
201509,10008000,食,其他公共行政類,12296,17529754
201509,10008000,食,教育類,7455,8470431
201509,10008000,食,工商及服務類,38412,56705367
201509,10008000,食,專業及技術服務類,12200,16243156
201509,10008000,食,其他,21455,26341723
201510,10008000,食,軍警人員一,767,1073494
201510,10008000,食,軍警人員二,423,543506
201510,10008000,食,其他公共行政類,11281,14529330
201510,10008000,食,教育類,6932,7216825
201510,10008000,食,工商及服務類,36290,46680490
201510,10008000,食,專業及技術服務類,11586,14467443
201510,10008000,食,其他,20608,22706842
201511,10008000,食,軍警人員一,742,888754
201511,10008000,食,軍警人員二,369,443071
201511,10008000,食,其他公共行政類,10597,13745818
201511,10008000,食,教育類,6774,7174229
201511,10008000,食,工商及服務類,34987,44435038
201511,10008000,食,專業及技術服務類,11290,13690401
201511,10008000,食,其他,19400,21604025
201512,10008000,食,軍警人員一,802,967244
201512,10008000,食,軍警人員二,380,446014
201512,10008000,食,其他公共行政類,11121,17348884
201512,10008000,食,教育類,7029,7358020
201512,10008000,食,工商及服務類,36369,48498078
201512,10008000,食,專業及技術服務類,12059,15319417
201512,10008000,食,其他,20752,24318356
201601,10008000,食,軍警人員一,914,1460227
201601,10008000,食,軍警人員二,467,599806
201601,10008000,食,其他公共行政類,14158,26602320
201601,10008000,食,教育類,8418,11169872
201601,10008000,食,工商及服務類,39296,63087400
201601,10008000,食,專業及技術服務類,13035,18399336
201601,10008000,食,其他,22683,31157884
201602,10008000,食,軍警人員一,954,1364223
201602,10008000,食,軍警人員二,415,517976
201602,10008000,食,其他公共行政類,13362,19785103
201602,10008000,食,教育類,8056,9886101
201602,10008000,食,工商及服務類,40174,60150338
201602,10008000,食,專業及技術服務類,13330,17887924
201602,10008000,食,其他,22231,28881811
201603,10008000,食,軍警人員一,588,691991
201603,10008000,食,軍警人員二,374,375346
201603,10008000,食,其他公共行政類,10250,14367773
201603,10008000,食,教育類,6489,6654644
201603,10008000,食,工商及服務類,31528,42467338
201603,10008000,食,專業及技術服務類,10274,12438120
201603,10008000,食,其他,18949,20680467
201604,10008000,食,軍警人員一,691,839141
201604,10008000,食,軍警人員二,331,366136
201604,10008000,食,其他公共行政類,11220,14742951
201604,10008000,食,教育類,7118,7427796
201604,10008000,食,工商及服務類,34344,45244576
201604,10008000,食,專業及技術服務類,11141,13927801
201604,10008000,食,其他,20037,23649579
201605,10008000,食,軍警人員一,645,839712
201605,10008000,食,軍警人員二,309,325643
201605,10008000,食,其他公共行政類,11131,15509876
201605,10008000,食,教育類,7105,7753465
201605,10008000,食,工商及服務類,34335,45120743
201605,10008000,食,專業及技術服務類,11457,13581045
201605,10008000,食,其他,20524,23340145
201606,10008000,食,軍警人員一,855,1162709
201606,10008000,食,軍警人員二,378,425440
201606,10008000,食,其他公共行政類,11821,15470131
201606,10008000,食,教育類,7502,8189807
201606,10008000,食,工商及服務類,37302,49077857
201606,10008000,食,專業及技術服務類,12648,15371505
201606,10008000,食,其他,21592,24534825
201607,10008000,食,軍警人員一,753,821652
201607,10008000,食,軍警人員二,404,473171
201607,10008000,食,其他公共行政類,14379,17280221
201607,10008000,食,教育類,9091,10084266
201607,10008000,食,工商及服務類,41450,51839688
201607,10008000,食,專業及技術服務類,13812,16071899
201607,10008000,食,其他,24546,26598975
201608,10008000,食,軍警人員一,716,1049931
201608,10008000,食,軍警人員二,401,516035
201608,10008000,食,其他公共行政類,14043,18494841
201608,10008000,食,教育類,9018,10235004
201608,10008000,食,工商及服務類,41777,59580023
201608,10008000,食,專業及技術服務類,13786,17796436
201608,10008000,食,其他,24887,31420653
201609,10008000,食,軍警人員一,736,911591
201609,10008000,食,軍警人員二,325,458291
201609,10008000,食,其他公共行政類,11707,17314107
201609,10008000,食,教育類,6979,7480556
201609,10008000,食,工商及服務類,36243,49650610
201609,10008000,食,專業及技術服務類,11811,14560130
201609,10008000,食,其他,20966,23951518
201610,10008000,食,軍警人員一,662,777144
201610,10008000,食,軍警人員二,333,375982
201610,10008000,食,其他公共行政類,11690,14636530
201610,10008000,食,教育類,7190,7109001
201610,10008000,食,工商及服務類,37626,47364215
201610,10008000,食,專業及技術服務類,12403,14161783
201610,10008000,食,其他,21764,22993172
201611,10008000,食,軍警人員一,681,784813
201611,10008000,食,軍警人員二,339,402699
201611,10008000,食,其他公共行政類,10322,13377652
201611,10008000,食,教育類,6738,6785611
201611,10008000,食,工商及服務類,33239,40919081
201611,10008000,食,專業及技術服務類,11457,12921064
201611,10008000,食,其他,19751,20617715
201612,10008000,食,軍警人員一,740,902593
201612,10008000,食,軍警人員二,352,400624
201612,10008000,食,其他公共行政類,11081,16731100
201612,10008000,食,教育類,7040,7386982
201612,10008000,食,工商及服務類,35828,48713459
201612,10008000,食,專業及技術服務類,12347,14641301
201612,10008000,食,其他,21034,22718159
201701,10008000,食,軍警人員一,879,1210760
201701,10008000,食,軍警人員二,369,551045
201701,10008000,食,其他公共行政類,14461,26838362
201701,10008000,食,教育類,8442,10971154
201701,10008000,食,工商及服務類,44308,74430607
201701,10008000,食,專業及技術服務類,14751,22221435
201701,10008000,食,其他,25925,37653793
201702,10008000,食,軍警人員一,758,896736
201702,10008000,食,軍警人員二,329,367363
201702,10008000,食,其他公共行政類,10285,13669348
201702,10008000,食,教育類,7026,7130181
201702,10008000,食,工商及服務類,34220,44723350
201702,10008000,食,專業及技術服務類,11637,14187754
201702,10008000,食,其他,20232,22072513
