年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,住,軍警人員一,570,6388364
201401,10008000,住,軍警人員二,171,698337
201401,10008000,住,其他公共行政類,5327,21507344
201401,10008000,住,教育類,3472,14315492
201401,10008000,住,工商及服務類,16261,125625852
201401,10008000,住,專業及技術服務類,5280,42826979
201401,10008000,住,其他,6550,43257460
201402,10008000,住,軍警人員一,529,4273727
201402,10008000,住,軍警人員二,132,469630
201402,10008000,住,其他公共行政類,4350,17947925
201402,10008000,住,教育類,2697,10726673
201402,10008000,住,工商及服務類,15339,109669600
201402,10008000,住,專業及技術服務類,5109,38542465
201402,10008000,住,其他,6038,37028075
201403,10008000,住,軍警人員一,449,3741338
201403,10008000,住,軍警人員二,129,634918
201403,10008000,住,其他公共行政類,3556,13962283
201403,10008000,住,教育類,2113,10092836
201403,10008000,住,工商及服務類,13563,113928693
201403,10008000,住,專業及技術服務類,4635,43334331
201403,10008000,住,其他,5530,33513376
201404,10008000,住,軍警人員一,389,3552135
201404,10008000,住,軍警人員二,126,642322
201404,10008000,住,其他公共行政類,4060,20345489
201404,10008000,住,教育類,2523,12981411
201404,10008000,住,工商及服務類,15485,140372632
201404,10008000,住,專業及技術服務類,5257,56259380
201404,10008000,住,其他,6210,46663372
201405,10008000,住,軍警人員一,495,4994012
201405,10008000,住,軍警人員二,132,1044917
201405,10008000,住,其他公共行政類,3959,21035874
201405,10008000,住,教育類,2491,12742814
201405,10008000,住,工商及服務類,15583,146470366
201405,10008000,住,專業及技術服務類,5045,49621725
201405,10008000,住,其他,5947,45687068
201406,10008000,住,軍警人員一,470,5032909
201406,10008000,住,軍警人員二,167,917609
201406,10008000,住,其他公共行政類,4018,19223226
201406,10008000,住,教育類,2401,12654124
201406,10008000,住,工商及服務類,15169,140950831
201406,10008000,住,專業及技術服務類,5110,48989260
201406,10008000,住,其他,5982,45187447
201407,10008000,住,軍警人員一,587,5683969
201407,10008000,住,軍警人員二,186,971133
201407,10008000,住,其他公共行政類,7069,33971176
201407,10008000,住,教育類,4383,20468898
201407,10008000,住,工商及服務類,19369,166544022
201407,10008000,住,專業及技術服務類,6476,60034250
201407,10008000,住,其他,7911,57361639
201408,10008000,住,軍警人員一,666,6543116
201408,10008000,住,軍警人員二,199,934741
201408,10008000,住,其他公共行政類,7027,30771772
201408,10008000,住,教育類,4375,19412784
201408,10008000,住,工商及服務類,20786,164904540
201408,10008000,住,專業及技術服務類,7127,61493791
201408,10008000,住,其他,8255,59944449
201409,10008000,住,軍警人員一,481,4903489
201409,10008000,住,軍警人員二,123,454356
201409,10008000,住,其他公共行政類,3857,16458818
201409,10008000,住,教育類,2234,9734784
201409,10008000,住,工商及服務類,15717,133752512
201409,10008000,住,專業及技術服務類,5176,47831128
201409,10008000,住,其他,6091,43648730
201410,10008000,住,軍警人員一,565,4527428
201410,10008000,住,軍警人員二,118,576909
201410,10008000,住,其他公共行政類,4286,17995323
201410,10008000,住,教育類,2453,12193521
201410,10008000,住,工商及服務類,17070,150293356
201410,10008000,住,專業及技術服務類,5849,52796170
201410,10008000,住,其他,6526,45677782
201411,10008000,住,軍警人員一,578,5458664
201411,10008000,住,軍警人員二,129,599377
201411,10008000,住,其他公共行政類,4649,23642947
201411,10008000,住,教育類,2750,15263033
201411,10008000,住,工商及服務類,19465,177313425
201411,10008000,住,專業及技術服務類,6527,60297428
201411,10008000,住,其他,7642,60885508
201412,10008000,住,軍警人員一,550,3797876
201412,10008000,住,軍警人員二,159,565065
201412,10008000,住,其他公共行政類,3268,15392267
201412,10008000,住,教育類,2137,10314125
201412,10008000,住,工商及服務類,16124,149315588
201412,10008000,住,專業及技術服務類,5495,51452378
201412,10008000,住,其他,6361,44882208
201501,10008000,住,軍警人員一,612,5723618
201501,10008000,住,軍警人員二,158,895062
201501,10008000,住,其他公共行政類,4437,18350259
201501,10008000,住,教育類,3066,13932289
201501,10008000,住,工商及服務類,17298,139559990
201501,10008000,住,專業及技術服務類,5816,48623703
201501,10008000,住,其他,6828,44672247
201502,10008000,住,軍警人員一,692,6978274
201502,10008000,住,軍警人員二,140,665624
201502,10008000,住,其他公共行政類,6306,27874585
201502,10008000,住,教育類,4246,19768709
201502,10008000,住,工商及服務類,19483,156093023
201502,10008000,住,專業及技術服務類,6564,52606522
201502,10008000,住,其他,7821,55291784
201503,10008000,住,軍警人員一,454,4444302
201503,10008000,住,軍警人員二,107,547982
201503,10008000,住,其他公共行政類,3511,15439014
201503,10008000,住,教育類,2045,8599935
201503,10008000,住,工商及服務類,13401,114260162
201503,10008000,住,專業及技術服務類,4656,41597289
201503,10008000,住,其他,5332,36526433
201504,10008000,住,軍警人員一,468,4677400
201504,10008000,住,軍警人員二,145,1052608
201504,10008000,住,其他公共行政類,4139,19380853
201504,10008000,住,教育類,2596,13554213
201504,10008000,住,工商及服務類,15555,138932463
201504,10008000,住,專業及技術服務類,5411,48836795
201504,10008000,住,其他,6237,46768943
201505,10008000,住,軍警人員一,462,4736996
201505,10008000,住,軍警人員二,102,450087
201505,10008000,住,其他公共行政類,3725,20727832
201505,10008000,住,教育類,2311,12780294
201505,10008000,住,工商及服務類,15564,137718972
201505,10008000,住,專業及技術服務類,5316,51720307
201505,10008000,住,其他,6022,50052355
201506,10008000,住,軍警人員一,503,4502085
201506,10008000,住,軍警人員二,121,895345
