年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,住,軍警人員一,2919,17871837
201401,65000000,住,軍警人員二,478,2258018
201401,65000000,住,其他公共行政類,10373,54961915
201401,65000000,住,教育類,9251,41466992
201401,65000000,住,工商及服務類,87470,510215438
201401,65000000,住,專業及技術服務類,39182,196442352
201401,65000000,住,其他,31871,191498421
201402,65000000,住,軍警人員一,2365,9134379
201402,65000000,住,軍警人員二,297,1010760
201402,65000000,住,其他公共行政類,8021,32946997
201402,65000000,住,教育類,7440,26723013
201402,65000000,住,工商及服務類,69078,321522798
201402,65000000,住,專業及技術服務類,31928,135339595
201402,65000000,住,其他,25192,114556422
201403,65000000,住,軍警人員一,2281,10199922
201403,65000000,住,軍警人員二,350,1553635
201403,65000000,住,其他公共行政類,7540,34888626
201403,65000000,住,教育類,6785,25864126
201403,65000000,住,工商及服務類,69478,350443732
201403,65000000,住,專業及技術服務類,31853,151026392
201403,65000000,住,其他,25444,125410112
201404,65000000,住,軍警人員一,2362,11916557
201404,65000000,住,軍警人員二,348,1560485
201404,65000000,住,其他公共行政類,8095,44844765
201404,65000000,住,教育類,7703,34430700
201404,65000000,住,工商及服務類,74353,433877801
201404,65000000,住,專業及技術服務類,34731,183667863
201404,65000000,住,其他,27431,157290401
201405,65000000,住,軍警人員一,2487,13130924
201405,65000000,住,軍警人員二,311,1606305
201405,65000000,住,其他公共行政類,7819,38121095
201405,65000000,住,教育類,7639,31581907
201405,65000000,住,工商及服務類,74963,398362234
201405,65000000,住,專業及技術服務類,34676,167324954
201405,65000000,住,其他,27592,151417066
201406,65000000,住,軍警人員一,2536,11526338
201406,65000000,住,軍警人員二,350,1726152
201406,65000000,住,其他公共行政類,8421,42825153
201406,65000000,住,教育類,8010,33250310
201406,65000000,住,工商及服務類,79516,433829931
201406,65000000,住,專業及技術服務類,38946,186018783
201406,65000000,住,其他,29211,164435822
201407,65000000,住,軍警人員一,3243,15273317
201407,65000000,住,軍警人員二,363,1827397
201407,65000000,住,其他公共行政類,10512,55743047
201407,65000000,住,教育類,11076,46252393
201407,65000000,住,工商及服務類,90337,511279903
201407,65000000,住,專業及技術服務類,43163,218941394
201407,65000000,住,其他,33279,192664710
201408,65000000,住,軍警人員一,2906,14367350
201408,65000000,住,軍警人員二,425,1594662
201408,65000000,住,其他公共行政類,9558,47115149
201408,65000000,住,教育類,10780,44314984
201408,65000000,住,工商及服務類,82624,423839227
201408,65000000,住,專業及技術服務類,39831,178590827
201408,65000000,住,其他,31954,170645474
201409,65000000,住,軍警人員一,2498,12484915
201409,65000000,住,軍警人員二,313,1188875
201409,65000000,住,其他公共行政類,7750,38364193
201409,65000000,住,教育類,7519,28982555
201409,65000000,住,工商及服務類,73256,376418338
201409,65000000,住,專業及技術服務類,34563,158712557
201409,65000000,住,其他,28545,148006618
201410,65000000,住,軍警人員一,2462,11847271
201410,65000000,住,軍警人員二,345,1312902
201410,65000000,住,其他公共行政類,8387,37484137
201410,65000000,住,教育類,7745,29865807
201410,65000000,住,工商及服務類,73662,368067441
201410,65000000,住,專業及技術服務類,34189,152249106
201410,65000000,住,其他,28752,147694009
201411,65000000,住,軍警人員一,2587,11970594
