年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,百貨,軍警人員一,854,1155189
201401,10016000,百貨,軍警人員二,227,353559
201401,10016000,百貨,其他公共行政類,1815,2761358
201401,10016000,百貨,教育類,931,1480225
201401,10016000,百貨,工商及服務類,3145,5875993
201401,10016000,百貨,專業及技術服務類,1099,1997588
201401,10016000,百貨,其他,1655,2914812
201402,10016000,百貨,軍警人員一,874,1189889
201402,10016000,百貨,軍警人員二,227,329719
201402,10016000,百貨,其他公共行政類,1930,3141684
201402,10016000,百貨,教育類,984,1623677
201402,10016000,百貨,工商及服務類,4763,9715057
201402,10016000,百貨,專業及技術服務類,1555,3295141
201402,10016000,百貨,其他,2117,3933498
201403,10016000,百貨,軍警人員一,855,1112680
201403,10016000,百貨,軍警人員二,213,290683
201403,10016000,百貨,其他公共行政類,1932,3021357
201403,10016000,百貨,教育類,893,1345008
201403,10016000,百貨,工商及服務類,4645,9199156
201403,10016000,百貨,專業及技術服務類,1496,2816170
201403,10016000,百貨,其他,2198,4332096
201404,10016000,百貨,軍警人員一,969,1318095
201404,10016000,百貨,軍警人員二,268,448015
201404,10016000,百貨,其他公共行政類,2414,3930015
201404,10016000,百貨,教育類,1212,2088528
201404,10016000,百貨,工商及服務類,8041,17680787
201404,10016000,百貨,專業及技術服務類,2646,6053875
201404,10016000,百貨,其他,3367,7093252
201405,10016000,百貨,軍警人員一,1181,1716856
201405,10016000,百貨,軍警人員二,277,404863
201405,10016000,百貨,其他公共行政類,2834,4836360
201405,10016000,百貨,教育類,1610,2976450
201405,10016000,百貨,工商及服務類,13155,30786100
201405,10016000,百貨,專業及技術服務類,4011,9261727
201405,10016000,百貨,其他,4879,11232234
201406,10016000,百貨,軍警人員一,985,1574181
201406,10016000,百貨,軍警人員二,306,554258
201406,10016000,百貨,其他公共行政類,2437,4344350
201406,10016000,百貨,教育類,1578,2972424
201406,10016000,百貨,工商及服務類,12414,28424973
201406,10016000,百貨,專業及技術服務類,4187,9350826
201406,10016000,百貨,其他,4930,11265862
201407,10016000,百貨,軍警人員一,969,1505898
201407,10016000,百貨,軍警人員二,315,511100
201407,10016000,百貨,其他公共行政類,2614,5014110
201407,10016000,百貨,教育類,1838,4035691
201407,10016000,百貨,工商及服務類,11373,27849522
201407,10016000,百貨,專業及技術服務類,3881,9363414
201407,10016000,百貨,其他,4726,11090384
201408,10016000,百貨,軍警人員一,907,1330079
201408,10016000,百貨,軍警人員二,275,420891
201408,10016000,百貨,其他公共行政類,2092,3480328
201408,10016000,百貨,教育類,1382,2796994
201408,10016000,百貨,工商及服務類,8213,18997128
201408,10016000,百貨,專業及技術服務類,2740,6445325
201408,10016000,百貨,其他,3271,7124435
201409,10016000,百貨,軍警人員一,749,1022778
201409,10016000,百貨,軍警人員二,210,299055
201409,10016000,百貨,其他公共行政類,1813,2950647
201409,10016000,百貨,教育類,1012,1915790
201409,10016000,百貨,工商及服務類,6550,14644116
201409,10016000,百貨,專業及技術服務類,2185,4850529
201409,10016000,百貨,其他,2806,5814780
201410,10016000,百貨,軍警人員一,875,1239917
201410,10016000,百貨,軍警人員二,205,284936
201410,10016000,百貨,其他公共行政類,2274,3311469
201410,10016000,百貨,教育類,1004,1637707
201410,10016000,百貨,工商及服務類,5185,9800780
201410,10016000,百貨,專業及技術服務類,1769,3488292
201410,10016000,百貨,其他,2634,4701720
201411,10016000,百貨,軍警人員一,733,862543
201411,10016000,百貨,軍警人員二,167,186439
201411,10016000,百貨,其他公共行政類,2180,2758544
201411,10016000,百貨,教育類,912,1262200
201411,10016000,百貨,工商及服務類,4268,7033925
201411,10016000,百貨,專業及技術服務類,1498,2433262
201411,10016000,百貨,其他,2122,3406665
201412,10016000,百貨,軍警人員一,912,1094345
201412,10016000,百貨,軍警人員二,224,370478
201412,10016000,百貨,其他公共行政類,2282,3002383
201412,10016000,百貨,教育類,1118,1384841
201412,10016000,百貨,工商及服務類,4465,7445152
201412,10016000,百貨,專業及技術服務類,1652,2693796
201412,10016000,百貨,其他,2367,3813312
201501,10016000,百貨,軍警人員一,916,1117053
201501,10016000,百貨,軍警人員二,264,353607
201501,10016000,百貨,其他公共行政類,2290,3470903
201501,10016000,百貨,教育類,969,1183434
201501,10016000,百貨,工商及服務類,4135,7360175
201501,10016000,百貨,專業及技術服務類,1523,2375855
201501,10016000,百貨,其他,2148,3257261
201502,10016000,百貨,軍警人員一,1097,1903360
201502,10016000,百貨,軍警人員二,215,329541
201502,10016000,百貨,其他公共行政類,2334,3571701
201502,10016000,百貨,教育類,1161,1938991
201502,10016000,百貨,工商及服務類,4864,9491700
201502,10016000,百貨,專業及技術服務類,1777,3586752
201502,10016000,百貨,其他,2399,4143006
201503,10016000,百貨,軍警人員一,850,1182711
201503,10016000,百貨,軍警人員二,189,269881
201503,10016000,百貨,其他公共行政類,2277,3128975
201503,10016000,百貨,教育類,916,1363085
201503,10016000,百貨,工商及服務類,4710,8635559
201503,10016000,百貨,專業及技術服務類,1585,2928021
201503,10016000,百貨,其他,2234,3773310
201504,10016000,百貨,軍警人員一,967,1489280
201504,10016000,百貨,軍警人員二,181,292556
201504,10016000,百貨,其他公共行政類,2701,4152593
201504,10016000,百貨,教育類,1328,2118893
201504,10016000,百貨,工商及服務類,7588,15929753
201504,10016000,百貨,專業及技術服務類,2748,6070823
201504,10016000,百貨,其他,3500,7151240
201505,10016000,百貨,軍警人員一,1026,1595418
201505,10016000,百貨,軍警人員二,225,346635
201505,10016000,百貨,其他公共行政類,2882,4493912
201505,10016000,百貨,教育類,1600,2823934
201505,10016000,百貨,工商及服務類,11610,25976557
201505,10016000,百貨,專業及技術服務類,3889,8623402
201505,10016000,百貨,其他,4677,10568134
201506,10016000,百貨,軍警人員一,1055,1603410
201506,10016000,百貨,軍警人員二,206,329377
201506,10016000,百貨,其他公共行政類,2679,4217037
201506,10016000,百貨,教育類,1560,2830113
201506,10016000,百貨,工商及服務類,10534,23287250
201506,10016000,百貨,專業及技術服務類,3785,8871322
201506,10016000,百貨,其他,4404,9326022
201507,10016000,百貨,軍警人員一,923,1334332
201507,10016000,百貨,軍警人員二,207,320819
201507,10016000,百貨,其他公共行政類,2743,4486656
201507,10016000,百貨,教育類,1548,2755014
201507,10016000,百貨,工商及服務類,9048,19765509
201507,10016000,百貨,專業及技術服務類,3209,6805164
201507,10016000,百貨,其他,4163,8371305
201508,10016000,百貨,軍警人員一,860,1284125
201508,10016000,百貨,軍警人員二,169,293321
201508,10016000,百貨,其他公共行政類,2293,3457544
201508,10016000,百貨,教育類,1416,2457406
201508,10016000,百貨,工商及服務類,7902,17592282
201508,10016000,百貨,專業及技術服務類,2895,6093157
201508,10016000,百貨,其他,3558,7438491
201509,10016000,百貨,軍警人員一,893,1137917
201509,10016000,百貨,軍警人員二,149,249751
201509,10016000,百貨,其他公共行政類,2505,3475938
201509,10016000,百貨,教育類,1288,1990727
201509,10016000,百貨,工商及服務類,7716,16257311
201509,10016000,百貨,專業及技術服務類,2749,5570330
201509,10016000,百貨,其他,3395,6549775
201510,10016000,百貨,軍警人員一,850,1062398
201510,10016000,百貨,軍警人員二,162,225503
201510,10016000,百貨,其他公共行政類,2311,3190317
201510,10016000,百貨,教育類,985,1251187
201510,10016000,百貨,工商及服務類,5700,11006256
201510,10016000,百貨,專業及技術服務類,2014,3514811
201510,10016000,百貨,其他,2690,4730946
201511,10016000,百貨,軍警人員一,812,961309
201511,10016000,百貨,軍警人員二,148,321120
201511,10016000,百貨,其他公共行政類,2147,2794903
201511,10016000,百貨,教育類,849,1130065
201511,10016000,百貨,工商及服務類,4096,7031190
201511,10016000,百貨,專業及技術服務類,1516,2600140
201511,10016000,百貨,其他,1994,3088977
201512,10016000,百貨,軍警人員一,964,1203902
201512,10016000,百貨,軍警人員二,163,242092
201512,10016000,百貨,其他公共行政類,2325,2934236
201512,10016000,百貨,教育類,1041,1461244
201512,10016000,百貨,工商及服務類,4338,7457039
201512,10016000,百貨,專業及技術服務類,1622,2786650
201512,10016000,百貨,其他,2230,3370987
201601,10016000,百貨,軍警人員一,1061,1511142
201601,10016000,百貨,軍警人員二,162,251797
201601,10016000,百貨,其他公共行政類,2261,2995103
201601,10016000,百貨,教育類,1036,1418888
201601,10016000,百貨,工商及服務類,4125,7153863
201601,10016000,百貨,專業及技術服務類,1529,2693960
201601,10016000,百貨,其他,2096,3368140
201602,10016000,百貨,軍警人員一,940,1524977
201602,10016000,百貨,軍警人員二,171,254423
201602,10016000,百貨,其他公共行政類,2311,3675192
201602,10016000,百貨,教育類,1173,1877786
201602,10016000,百貨,工商及服務類,5285,10338009
201602,10016000,百貨,專業及技術服務類,1992,3973525
201602,10016000,百貨,其他,2476,4530893
201603,10016000,百貨,軍警人員一,860,1045691
201603,10016000,百貨,軍警人員二,151,192399
201603,10016000,百貨,其他公共行政類,2128,2916770
201603,10016000,百貨,教育類,950,1280648
201603,10016000,百貨,工商及服務類,4656,8702608
201603,10016000,百貨,專業及技術服務類,1733,3096297
201603,10016000,百貨,其他,2322,4063313
201604,10016000,百貨,軍警人員一,882,1140969
201604,10016000,百貨,軍警人員二,191,333833
201604,10016000,百貨,其他公共行政類,2665,4062288
201604,10016000,百貨,教育類,1334,2239045
201604,10016000,百貨,工商及服務類,8245,18106066
201604,10016000,百貨,專業及技術服務類,3023,6646211
201604,10016000,百貨,其他,3745,7907947
201605,10016000,百貨,軍警人員一,933,1354874
201605,10016000,百貨,軍警人員二,171,262646
201605,10016000,百貨,其他公共行政類,2808,4674326
201605,10016000,百貨,教育類,1662,3044128
201605,10016000,百貨,工商及服務類,11770,26929100
201605,10016000,百貨,專業及技術服務類,4236,9353142
201605,10016000,百貨,其他,4925,11033893
201606,10016000,百貨,軍警人員一,1134,1659794
201606,10016000,百貨,軍警人員二,221,396018
201606,10016000,百貨,其他公共行政類,3033,4693605
201606,10016000,百貨,教育類,1783,2925131
201606,10016000,百貨,工商及服務類,12606,28282318
201606,10016000,百貨,專業及技術服務類,4659,10017418
201606,10016000,百貨,其他,5239,11256791
201607,10016000,百貨,軍警人員一,926,1364606
201607,10016000,百貨,軍警人員二,151,255689
201607,10016000,百貨,其他公共行政類,2878,4599501
201607,10016000,百貨,教育類,1748,3033393
201607,10016000,百貨,工商及服務類,10480,23593051
201607,10016000,百貨,專業及技術服務類,3852,8571169
201607,10016000,百貨,其他,4776,10152470
201608,10016000,百貨,軍警人員一,786,1090831
201608,10016000,百貨,軍警人員二,140,216052
201608,10016000,百貨,其他公共行政類,2253,3305426
201608,10016000,百貨,教育類,1347,2315440
201608,10016000,百貨,工商及服務類,8356,18200008
201608,10016000,百貨,專業及技術服務類,3203,7100173
201608,10016000,百貨,其他,3604,7386677
201609,10016000,百貨,軍警人員一,690,1049467
201609,10016000,百貨,軍警人員二,98,122022
201609,10016000,百貨,其他公共行政類,2088,3226034
201609,10016000,百貨,教育類,1102,1749244
201609,10016000,百貨,工商及服務類,7477,15613436
201609,10016000,百貨,專業及技術服務類,2736,5739795
201609,10016000,百貨,其他,3168,6246869
201610,10016000,百貨,軍警人員一,761,900864
201610,10016000,百貨,軍警人員二,134,189568
201610,10016000,百貨,其他公共行政類,2342,3175723
201610,10016000,百貨,教育類,1091,1403625
201610,10016000,百貨,工商及服務類,5741,10556896
201610,10016000,百貨,專業及技術服務類,2064,3794112
201610,10016000,百貨,其他,2609,4576400
201611,10016000,百貨,軍警人員一,808,1034847
201611,10016000,百貨,軍警人員二,146,189671
201611,10016000,百貨,其他公共行政類,2095,2825087
201611,10016000,百貨,教育類,923,1355759
201611,10016000,百貨,工商及服務類,4542,8177483
201611,10016000,百貨,專業及技術服務類,1752,2906900
201611,10016000,百貨,其他,2370,4108523
201612,10016000,百貨,軍警人員一,855,1091986
201612,10016000,百貨,軍警人員二,174,246225
201612,10016000,百貨,其他公共行政類,2274,2946320
201612,10016000,百貨,教育類,943,1306050
201612,10016000,百貨,工商及服務類,4193,7250552
201612,10016000,百貨,專業及技術服務類,1636,2632341
201612,10016000,百貨,其他,2174,3203837
201701,10016000,百貨,軍警人員一,987,1585957
201701,10016000,百貨,軍警人員二,189,305396
201701,10016000,百貨,其他公共行政類,2329,3393171
201701,10016000,百貨,教育類,1079,1834486
201701,10016000,百貨,工商及服務類,4416,8368703
201701,10016000,百貨,專業及技術服務類,1789,3356175
201701,10016000,百貨,其他,2194,3764213
201702,10016000,百貨,軍警人員一,823,1115279
201702,10016000,百貨,軍警人員二,153,213352
201702,10016000,百貨,其他公共行政類,2002,2929446
201702,10016000,百貨,教育類,940,1500271
201702,10016000,百貨,工商及服務類,4699,9286919
201702,10016000,百貨,專業及技術服務類,1662,2825884
201702,10016000,百貨,其他,2348,4167263
201703,10016000,百貨,軍警人員一,875,1060897
201703,10016000,百貨,軍警人員二,178,259692
201703,10016000,百貨,其他公共行政類,2273,2887148
201703,10016000,百貨,教育類,959,1273981
201703,10016000,百貨,工商及服務類,5121,9640680
201703,10016000,百貨,專業及技術服務類,2001,3493410
201703,10016000,百貨,其他,2752,4836967
201704,10016000,百貨,軍警人員一,946,1468429
201704,10016000,百貨,軍警人員二,168,297245
201704,10016000,百貨,其他公共行政類,2562,4178566
201704,10016000,百貨,教育類,1374,2381594
201704,10016000,百貨,工商及服務類,9070,20451145
201704,10016000,百貨,專業及技術服務類,3247,6798490
201704,10016000,百貨,其他,4160,8773294
201705,10016000,百貨,軍警人員一,1154,1711456
201705,10016000,百貨,軍警人員二,191,325292
201705,10016000,百貨,其他公共行政類,3040,5168997
201705,10016000,百貨,教育類,1798,3453481
201705,10016000,百貨,工商及服務類,13578,31772639
201705,10016000,百貨,專業及技術服務類,4778,10780867
201705,10016000,百貨,其他,5889,13209175
201706,10016000,百貨,軍警人員一,1037,1534692
201706,10016000,百貨,軍警人員二,222,391667
201706,10016000,百貨,其他公共行政類,2941,4899547
201706,10016000,百貨,教育類,1844,3237797
201706,10016000,百貨,工商及服務類,11754,26041601
201706,10016000,百貨,專業及技術服務類,4346,9431899
201706,10016000,百貨,其他,5296,11302563
201707,10016000,百貨,軍警人員一,922,1308057
201707,10016000,百貨,軍警人員二,207,339470
201707,10016000,百貨,其他公共行政類,2877,4603700
201707,10016000,百貨,教育類,1817,3327049
201707,10016000,百貨,工商及服務類,11213,24725400
201707,10016000,百貨,專業及技術服務類,4111,8640530
201707,10016000,百貨,其他,4915,10647846
201708,10016000,百貨,軍警人員一,903,1291834
201708,10016000,百貨,軍警人員二,185,350240
201708,10016000,百貨,其他公共行政類,2598,4131619
201708,10016000,百貨,教育類,1892,3366364
201708,10016000,百貨,工商及服務類,10184,22855758
201708,10016000,百貨,專業及技術服務類,3794,8194379
201708,10016000,百貨,其他,4595,9530152
