年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,文教康樂,軍警人員一,213,601449
201401,10016000,文教康樂,軍警人員二,79,303987
201401,10016000,文教康樂,其他公共行政類,2227,8223873
201401,10016000,文教康樂,教育類,710,2146827
201401,10016000,文教康樂,工商及服務類,3022,10673555
201401,10016000,文教康樂,專業及技術服務類,978,3240999
201401,10016000,文教康樂,其他,1415,4329608
201402,10016000,文教康樂,軍警人員一,253,632421
201402,10016000,文教康樂,軍警人員二,108,315484
201402,10016000,文教康樂,其他公共行政類,2008,6866455
201402,10016000,文教康樂,教育類,719,1856025
201402,10016000,文教康樂,工商及服務類,2961,10240749
201402,10016000,文教康樂,專業及技術服務類,943,3666737
201402,10016000,文教康樂,其他,1457,4460115
201403,10016000,文教康樂,軍警人員一,349,1052037
201403,10016000,文教康樂,軍警人員二,124,373271
201403,10016000,文教康樂,其他公共行政類,2365,8731834
201403,10016000,文教康樂,教育類,879,2797727
201403,10016000,文教康樂,工商及服務類,3692,15622601
201403,10016000,文教康樂,專業及技術服務類,1221,4890902
201403,10016000,文教康樂,其他,1800,7224191
201404,10016000,文教康樂,軍警人員一,348,1116287
201404,10016000,文教康樂,軍警人員二,145,582664
201404,10016000,文教康樂,其他公共行政類,2300,9312244
201404,10016000,文教康樂,教育類,792,2812848
201404,10016000,文教康樂,工商及服務類,3749,17722188
201404,10016000,文教康樂,專業及技術服務類,1229,5621076
201404,10016000,文教康樂,其他,1810,7045204
201405,10016000,文教康樂,軍警人員一,343,1119640
201405,10016000,文教康樂,軍警人員二,162,642798
201405,10016000,文教康樂,其他公共行政類,2611,11283344
201405,10016000,文教康樂,教育類,890,3432442
201405,10016000,文教康樂,工商及服務類,4065,19985001
201405,10016000,文教康樂,專業及技術服務類,1355,6148109
201405,10016000,文教康樂,其他,1893,8370855
201406,10016000,文教康樂,軍警人員一,309,1193979
201406,10016000,文教康樂,軍警人員二,132,469352
201406,10016000,文教康樂,其他公共行政類,2385,11128918
201406,10016000,文教康樂,教育類,810,3358012
201406,10016000,文教康樂,工商及服務類,3788,21566794
201406,10016000,文教康樂,專業及技術服務類,1245,6761574
201406,10016000,文教康樂,其他,1888,8959061
201407,10016000,文教康樂,軍警人員一,304,865183
201407,10016000,文教康樂,軍警人員二,132,479872
201407,10016000,文教康樂,其他公共行政類,2585,12001725
201407,10016000,文教康樂,教育類,937,4487667
201407,10016000,文教康樂,工商及服務類,3786,22655108
201407,10016000,文教康樂,專業及技術服務類,1199,6768969
201407,10016000,文教康樂,其他,1868,9623809
201408,10016000,文教康樂,軍警人員一,313,846110
201408,10016000,文教康樂,軍警人員二,137,441092
201408,10016000,文教康樂,其他公共行政類,2355,9163419
201408,10016000,文教康樂,教育類,809,3204348
201408,10016000,文教康樂,工商及服務類,3220,13961610
201408,10016000,文教康樂,專業及技術服務類,1060,4466723
201408,10016000,文教康樂,其他,1652,6339293
201409,10016000,文教康樂,軍警人員一,280,833146
201409,10016000,文教康樂,軍警人員二,133,442091
201409,10016000,文教康樂,其他公共行政類,1934,7041762
201409,10016000,文教康樂,教育類,603,2226102
201409,10016000,文教康樂,工商及服務類,2963,11253286
201409,10016000,文教康樂,專業及技術服務類,989,3649954
201409,10016000,文教康樂,其他,1587,5215650
201410,10016000,文教康樂,軍警人員一,328,927579
201410,10016000,文教康樂,軍警人員二,145,408832
201410,10016000,文教康樂,其他公共行政類,2208,7157685
201410,10016000,文教康樂,教育類,631,2147503
201410,10016000,文教康樂,工商及服務類,3206,12467348
201410,10016000,文教康樂,專業及技術服務類,1065,4332513
201410,10016000,文教康樂,其他,1674,7736946
201411,10016000,文教康樂,軍警人員一,315,854837
201411,10016000,文教康樂,軍警人員二,118,396610
201411,10016000,文教康樂,其他公共行政類,2039,6758802
201411,10016000,文教康樂,教育類,712,2337645
201411,10016000,文教康樂,工商及服務類,2877,11378241
201411,10016000,文教康樂,專業及技術服務類,1007,3815497
201411,10016000,文教康樂,其他,1578,5694785
201412,10016000,文教康樂,軍警人員一,449,1455760
201412,10016000,文教康樂,軍警人員二,165,501910
201412,10016000,文教康樂,其他公共行政類,2187,7636174
201412,10016000,文教康樂,教育類,766,2694368
201412,10016000,文教康樂,工商及服務類,3563,13039609
201412,10016000,文教康樂,專業及技術服務類,1199,4863748
201412,10016000,文教康樂,其他,1884,7300698
201501,10016000,文教康樂,軍警人員一,381,1099518
201501,10016000,文教康樂,軍警人員二,118,382917
201501,10016000,文教康樂,其他公共行政類,2307,9287002
201501,10016000,文教康樂,教育類,629,2475904
201501,10016000,文教康樂,工商及服務類,3048,11751128
201501,10016000,文教康樂,專業及技術服務類,1143,4388157
201501,10016000,文教康樂,其他,1660,7276869
201502,10016000,文教康樂,軍警人員一,263,788000
201502,10016000,文教康樂,軍警人員二,92,255168
201502,10016000,文教康樂,其他公共行政類,2080,7263705
201502,10016000,文教康樂,教育類,652,2116009
201502,10016000,文教康樂,工商及服務類,3034,9990357
201502,10016000,文教康樂,專業及技術服務類,1039,3585760
201502,10016000,文教康樂,其他,1454,4804257
201503,10016000,文教康樂,軍警人員一,319,1046591
201503,10016000,文教康樂,軍警人員二,107,282654
201503,10016000,文教康樂,其他公共行政類,2639,9927470
201503,10016000,文教康樂,教育類,734,2708258
201503,10016000,文教康樂,工商及服務類,3657,15348743
201503,10016000,文教康樂,專業及技術服務類,1254,6086797
201503,10016000,文教康樂,其他,1819,6879591
201504,10016000,文教康樂,軍警人員一,320,988482
201504,10016000,文教康樂,軍警人員二,95,245504
201504,10016000,文教康樂,其他公共行政類,2451,8379489
201504,10016000,文教康樂,教育類,756,2936773
201504,10016000,文教康樂,工商及服務類,3711,17273152
