年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,行,軍警人員一,1072,1017216
201401,10016000,行,軍警人員二,562,569173
201401,10016000,行,其他公共行政類,4696,5240695
201401,10016000,行,教育類,1630,1796116
201401,10016000,行,工商及服務類,7308,11503002
201401,10016000,行,專業及技術服務類,2331,3278037
201401,10016000,行,其他,4182,5029778
201402,10016000,行,軍警人員一,1031,969341
201402,10016000,行,軍警人員二,540,714682
201402,10016000,行,其他公共行政類,4360,4638717
201402,10016000,行,教育類,1519,1627577
201402,10016000,行,工商及服務類,7004,11090590
201402,10016000,行,專業及技術服務類,2254,3356680
201402,10016000,行,其他,3905,5102409
201403,10016000,行,軍警人員一,1239,1275067
201403,10016000,行,軍警人員二,601,586594
201403,10016000,行,其他公共行政類,4688,5047685
201403,10016000,行,教育類,1769,1964267
201403,10016000,行,工商及服務類,7747,12227873
201403,10016000,行,專業及技術服務類,2560,3466753
201403,10016000,行,其他,4249,5525701
201404,10016000,行,軍警人員一,1261,1245632
201404,10016000,行,軍警人員二,591,566725
201404,10016000,行,其他公共行政類,4886,4938327
201404,10016000,行,教育類,1873,2056746
201404,10016000,行,工商及服務類,8062,12335062
201404,10016000,行,專業及技術服務類,2552,3740490
201404,10016000,行,其他,4411,5405277
201405,10016000,行,軍警人員一,1371,1337654
201405,10016000,行,軍警人員二,646,640171
201405,10016000,行,其他公共行政類,5366,5692195
201405,10016000,行,教育類,2007,2427227
201405,10016000,行,工商及服務類,8900,14354810
201405,10016000,行,專業及技術服務類,2978,4207493
201405,10016000,行,其他,4693,5894347
201406,10016000,行,軍警人員一,1361,1398643
201406,10016000,行,軍警人員二,638,618575
201406,10016000,行,其他公共行政類,5239,5633593
201406,10016000,行,教育類,1957,2222284
201406,10016000,行,工商及服務類,8908,14169201
201406,10016000,行,專業及技術服務類,3078,4087994
201406,10016000,行,其他,4699,6050103
201407,10016000,行,軍警人員一,1299,1327401
201407,10016000,行,軍警人員二,711,719255
201407,10016000,行,其他公共行政類,5198,6093910
201407,10016000,行,教育類,2053,2467879
201407,10016000,行,工商及服務類,9347,15332144
201407,10016000,行,專業及技術服務類,3295,4935669
201407,10016000,行,其他,4868,6621307
201408,10016000,行,軍警人員一,1394,1390052
201408,10016000,行,軍警人員二,615,625895
201408,10016000,行,其他公共行政類,5124,5754176
201408,10016000,行,教育類,2038,2738145
201408,10016000,行,工商及服務類,8595,14441298
201408,10016000,行,專業及技術服務類,3023,4248285
201408,10016000,行,其他,4686,5968679
201409,10016000,行,軍警人員一,1208,1177341
201409,10016000,行,軍警人員二,610,571864
201409,10016000,行,其他公共行政類,4567,4992970
201409,10016000,行,教育類,1726,1910985
201409,10016000,行,工商及服務類,8077,13722737
201409,10016000,行,專業及技術服務類,2645,3634925
201409,10016000,行,其他,4237,5594477
201410,10016000,行,軍警人員一,1341,1332776
201410,10016000,行,軍警人員二,632,636262
201410,10016000,行,其他公共行政類,4609,4777355
201410,10016000,行,教育類,1879,1888771
201410,10016000,行,工商及服務類,7663,12316374
201410,10016000,行,專業及技術服務類,2672,3815342
201410,10016000,行,其他,4185,5365739
201411,10016000,行,軍警人員一,1122,1022208
201411,10016000,行,軍警人員二,539,485658
201411,10016000,行,其他公共行政類,4436,4096449
201411,10016000,行,教育類,1754,1669829
201411,10016000,行,工商及服務類,7048,9849029
201411,10016000,行,專業及技術服務類,2444,2970738
201411,10016000,行,其他,4052,4957877
201412,10016000,行,軍警人員一,1370,1351935
201412,10016000,行,軍警人員二,638,573839
201412,10016000,行,其他公共行政類,4769,4729134
201412,10016000,行,教育類,1813,1615264
201412,10016000,行,工商及服務類,7470,10291249
201412,10016000,行,專業及技術服務類,2538,3142047
201412,10016000,行,其他,4270,4712637
201501,10016000,行,軍警人員一,1173,1016072
201501,10016000,行,軍警人員二,595,526370
201501,10016000,行,其他公共行政類,4302,3708608
201501,10016000,行,教育類,1664,1542062
201501,10016000,行,工商及服務類,6774,7658324
201501,10016000,行,專業及技術服務類,2304,2393861
201501,10016000,行,其他,3901,3952106
201502,10016000,行,軍警人員一,888,676740
201502,10016000,行,軍警人員二,463,335827
201502,10016000,行,其他公共行政類,3977,3246149
201502,10016000,行,教育類,1324,985305
201502,10016000,行,工商及服務類,6159,6352921
201502,10016000,行,專業及技術服務類,2020,1805114
201502,10016000,行,其他,3414,3498562
201503,10016000,行,軍警人員一,1127,944482
201503,10016000,行,軍警人員二,466,375181
201503,10016000,行,其他公共行政類,4711,4117850
201503,10016000,行,教育類,1665,1281104
201503,10016000,行,工商及服務類,7451,8228568
201503,10016000,行,專業及技術服務類,2511,2491050
201503,10016000,行,其他,3831,3631112
201504,10016000,行,軍警人員一,1147,983657
201504,10016000,行,軍警人員二,417,312850
201504,10016000,行,其他公共行政類,4393,3700329
201504,10016000,行,教育類,1644,1418487
201504,10016000,行,工商及服務類,7557,8414631
201504,10016000,行,專業及技術服務類,2581,2928682
201504,10016000,行,其他,3759,3484050
201505,10016000,行,軍警人員一,1243,1087311
201505,10016000,行,軍警人員二,452,339744
201505,10016000,行,其他公共行政類,4686,4003542
201505,10016000,行,教育類,1711,1320283
201505,10016000,行,工商及服務類,8121,10165879
201505,10016000,行,專業及技術服務類,2832,3230299
201505,10016000,行,其他,4020,4129910
201506,10016000,行,軍警人員一,1316,1022289
201506,10016000,行,軍警人員二,387,313992
201506,10016000,行,其他公共行政類,4809,4234436
201506,10016000,行,教育類,1824,1535527
201506,10016000,行,工商及服務類,8446,9585644
201506,10016000,行,專業及技術服務類,2860,2989667
201506,10016000,行,其他,4206,4209485
201507,10016000,行,軍警人員一,1306,1174714
201507,10016000,行,軍警人員二,410,317975
201507,10016000,行,其他公共行政類,4996,4355551
201507,10016000,行,教育類,1870,1592091
201507,10016000,行,工商及服務類,8521,10450246
201507,10016000,行,專業及技術服務類,2884,3294383
201507,10016000,行,其他,4247,4583877
201508,10016000,行,軍警人員一,1322,1095615
201508,10016000,行,軍警人員二,421,318168
201508,10016000,行,其他公共行政類,4743,4003475
201508,10016000,行,教育類,1700,1426530
201508,10016000,行,工商及服務類,8144,9388984
201508,10016000,行,專業及技術服務類,2736,2765293
201508,10016000,行,其他,3999,4133639
201509,10016000,行,軍警人員一,1253,1040119
201509,10016000,行,軍警人員二,412,345873
201509,10016000,行,其他公共行政類,4890,4373450
201509,10016000,行,教育類,1796,1589870
