年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,百貨,軍警人員一,5176,24813803
201401,66000000,百貨,軍警人員二,1247,4431595
201401,66000000,百貨,其他公共行政類,38270,120176655
201401,66000000,百貨,教育類,47572,149188040
201401,66000000,百貨,工商及服務類,284087,1169597276
201401,66000000,百貨,專業及技術服務類,107766,410947173
201401,66000000,百貨,其他,129751,510562746
201402,66000000,百貨,軍警人員一,3780,21398077
201402,66000000,百貨,軍警人員二,916,2764080
201402,66000000,百貨,其他公共行政類,29683,87925067
201402,66000000,百貨,教育類,37371,104648679
201402,66000000,百貨,工商及服務類,215508,842845999
201402,66000000,百貨,專業及技術服務類,82378,296101831
201402,66000000,百貨,其他,97548,352369015
201403,66000000,百貨,軍警人員一,3898,24175154
201403,66000000,百貨,軍警人員二,778,2732664
201403,66000000,百貨,其他公共行政類,31289,110671786
201403,66000000,百貨,教育類,34903,119835933
201403,66000000,百貨,工商及服務類,218899,1054253178
201403,66000000,百貨,專業及技術服務類,86219,382850428
201403,66000000,百貨,其他,105170,491057631
201404,66000000,百貨,軍警人員一,4104,20139694
201404,66000000,百貨,軍警人員二,1025,3592702
201404,66000000,百貨,其他公共行政類,34498,112894465
201404,66000000,百貨,教育類,40342,125334898
201404,66000000,百貨,工商及服務類,245318,1029613693
201404,66000000,百貨,專業及技術服務類,100383,385863000
201404,66000000,百貨,其他,116778,464469572
201405,66000000,百貨,軍警人員一,4159,21534888
201405,66000000,百貨,軍警人員二,879,2547703
201405,66000000,百貨,其他公共行政類,29750,87924681
201405,66000000,百貨,教育類,37505,102656216
201405,66000000,百貨,工商及服務類,221664,810327010
201405,66000000,百貨,專業及技術服務類,90971,312121616
201405,66000000,百貨,其他,104668,367471225
201406,66000000,百貨,軍警人員一,4203,17328189
201406,66000000,百貨,軍警人員二,935,2444149
201406,66000000,百貨,其他公共行政類,29291,80980054
201406,66000000,百貨,教育類,38045,105146539
