年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,住,軍警人員一,2460,14821951
201401,66000000,住,軍警人員二,289,1649820
201401,66000000,住,其他公共行政類,7291,41395911
201401,66000000,住,教育類,6929,35332061
201401,66000000,住,工商及服務類,57817,378626396
201401,66000000,住,專業及技術服務類,18753,114151675
201401,66000000,住,其他,21699,136678829
201402,66000000,住,軍警人員一,2183,10972236
201402,66000000,住,軍警人員二,213,752713
201402,66000000,住,其他公共行政類,5626,25726152
201402,66000000,住,教育類,5332,23413174
201402,66000000,住,工商及服務類,44331,241291519
201402,66000000,住,專業及技術服務類,15151,80016096
201402,66000000,住,其他,16086,86522003
201403,66000000,住,軍警人員一,2073,10311025
201403,66000000,住,軍警人員二,211,833286
201403,66000000,住,其他公共行政類,5137,25177271
201403,66000000,住,教育類,4781,22207391
201403,66000000,住,工商及服務類,44043,243001430
201403,66000000,住,專業及技術服務類,14971,88328672
201403,66000000,住,其他,16293,93100766
201404,66000000,住,軍警人員一,2011,11944445
201404,66000000,住,軍警人員二,229,1237909
201404,66000000,住,其他公共行政類,5510,30520438
201404,66000000,住,教育類,5325,27150890
201404,66000000,住,工商及服務類,46779,299552141
201404,66000000,住,專業及技術服務類,16389,103291493
201404,66000000,住,其他,17088,110118111
201405,66000000,住,軍警人員一,2030,10754047
201405,66000000,住,軍警人員二,210,901114
201405,66000000,住,其他公共行政類,5034,27571338
201405,66000000,住,教育類,5039,24765182
201405,66000000,住,工商及服務類,45027,270950635
201405,66000000,住,專業及技術服務類,15716,90837799
201405,66000000,住,其他,16790,99270188
201406,66000000,住,軍警人員一,2169,11295896
201406,66000000,住,軍警人員二,220,1211663
201406,66000000,住,其他公共行政類,5144,29182333
201406,66000000,住,教育類,5110,27910404
201406,66000000,住,工商及服務類,45812,291347950
201406,66000000,住,專業及技術服務類,16603,96946058
201406,66000000,住,其他,16972,110248188
201407,66000000,住,軍警人員一,2427,13127348
201407,66000000,住,軍警人員二,245,1255312
201407,66000000,住,其他公共行政類,6997,39950076
201407,66000000,住,教育類,6923,39318171
201407,66000000,住,工商及服務類,52125,355230446
201407,66000000,住,專業及技術服務類,18347,111525147
201407,66000000,住,其他,20168,137140135
201408,66000000,住,軍警人員一,2732,13014860
201408,66000000,住,軍警人員二,202,977646
201408,66000000,住,其他公共行政類,6588,33950554
201408,66000000,住,教育類,6709,31868756
201408,66000000,住,工商及服務類,49341,288381987
201408,66000000,住,專業及技術服務類,17333,93322616
201408,66000000,住,其他,19001,110563438
201409,66000000,住,軍警人員一,2081,12320760
201409,66000000,住,軍警人員二,233,988936
201409,66000000,住,其他公共行政類,5120,25836970
201409,66000000,住,教育類,4949,23485790
201409,66000000,住,工商及服務類,44099,259864066
201409,66000000,住,專業及技術服務類,15543,85718987
201409,66000000,住,其他,17273,98983404
201410,66000000,住,軍警人員一,2374,13091281
201410,66000000,住,軍警人員二,215,912332
201410,66000000,住,其他公共行政類,5320,25280648
201410,66000000,住,教育類,5131,25790906
201410,66000000,住,工商及服務類,45218,252048225
201410,66000000,住,專業及技術服務類,15525,84382715
201410,66000000,住,其他,17330,98212954
201411,66000000,住,軍警人員一,2363,13191235
201411,66000000,住,軍警人員二,227,931469
201411,66000000,住,其他公共行政類,6454,34765932
201411,66000000,住,教育類,6189,31289481
201411,66000000,住,工商及服務類,51694,299006106
201411,66000000,住,專業及技術服務類,17900,102397419
201411,66000000,住,其他,19799,116174401
201412,66000000,住,軍警人員一,2327,12826487
201412,66000000,住,軍警人員二,246,1149321
201412,66000000,住,其他公共行政類,5353,28645203
201412,66000000,住,教育類,5372,25887031
201412,66000000,住,工商及服務類,48925,289127903
201412,66000000,住,專業及技術服務類,17421,99868111
201412,66000000,住,其他,19030,110230064
201501,66000000,住,軍警人員一,2443,13960711
201501,66000000,住,軍警人員二,253,1937787
201501,66000000,住,其他公共行政類,6004,30788336
201501,66000000,住,教育類,6010,32523111
201501,66000000,住,工商及服務類,51280,340100326
201501,66000000,住,專業及技術服務類,17602,104369717
201501,66000000,住,其他,19078,128552876
201502,66000000,住,軍警人員一,2363,16272848
201502,66000000,住,軍警人員二,256,1493260
201502,66000000,住,其他公共行政類,6215,29585355
201502,66000000,住,教育類,6206,30580202
201502,66000000,住,工商及服務類,45796,277718255
201502,66000000,住,專業及技術服務類,16542,90178391
201502,66000000,住,其他,17915,112408396
201503,66000000,住,軍警人員一,2265,12375676
201503,66000000,住,軍警人員二,213,864985
201503,66000000,住,其他公共行政類,4891,22480781
201503,66000000,住,教育類,4428,21803661
201503,66000000,住,工商及服務類,40576,230366247
201503,66000000,住,專業及技術服務類,14799,84505295
201503,66000000,住,其他,16048,92749998
201504,66000000,住,軍警人員一,2276,12025848
201504,66000000,住,軍警人員二,246,1186192
201504,66000000,住,其他公共行政類,5984,32530012
201504,66000000,住,教育類,5273,32183820
201504,66000000,住,工商及服務類,45534,300654836
201504,66000000,住,專業及技術服務類,16599,98751382
201504,66000000,住,其他,17556,124990234
201505,66000000,住,軍警人員一,2232,13858731
201505,66000000,住,軍警人員二,202,799622
201505,66000000,住,其他公共行政類,5325,27131358
201505,66000000,住,教育類,5041,26212140
201505,66000000,住,工商及服務類,43416,261429772
201505,66000000,住,專業及技術服務類,15637,88423405
201505,66000000,住,其他,16793,103618879
201506,66000000,住,軍警人員一,2388,11672185
201506,66000000,住,軍警人員二,227,1446371
201506,66000000,住,其他公共行政類,5610,32135101
201506,66000000,住,教育類,5507,32553161
201506,66000000,住,工商及服務類,46139,303383442
201506,66000000,住,專業及技術服務類,17026,102774728
201506,66000000,住,其他,18201,124035060
201507,66000000,住,軍警人員一,2638,14650769
201507,66000000,住,軍警人員二,255,966946
201507,66000000,住,其他公共行政類,7027,35344126
201507,66000000,住,教育類,6880,34537439
201507,66000000,住,工商及服務類,49200,306202242
201507,66000000,住,專業及技術服務類,18375,105738138
201507,66000000,住,其他,19909,125480356
201508,66000000,住,軍警人員一,2767,15016889
201508,66000000,住,軍警人員二,262,1353808
