年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,其他,軍警人員一,3568,19744612
201401,66000000,其他,軍警人員二,908,3241311
201401,66000000,其他,其他公共行政類,25103,115588575
201401,66000000,其他,教育類,23906,96392520
201401,66000000,其他,工商及服務類,183778,913048909
201401,66000000,其他,專業及技術服務類,73134,289378920
201401,66000000,其他,其他,67874,336876126
201402,66000000,其他,軍警人員一,2961,14289971
201402,66000000,其他,軍警人員二,753,2343342
201402,66000000,其他,其他公共行政類,21245,78306409
201402,66000000,其他,教育類,20087,70737546
201402,66000000,其他,工商及服務類,151944,704894250
201402,66000000,其他,專業及技術服務類,63862,235879061
201402,66000000,其他,其他,55008,249757985
201403,66000000,其他,軍警人員一,3249,14838536
201403,66000000,其他,軍警人員二,824,2990623
201403,66000000,其他,其他公共行政類,23029,95806456
201403,66000000,其他,教育類,21965,79669922
201403,66000000,其他,工商及服務類,168870,838246686
201403,66000000,其他,專業及技術服務類,70142,277320384
201403,66000000,其他,其他,61621,304508485
201404,66000000,其他,軍警人員一,3137,15518003
201404,66000000,其他,軍警人員二,754,2899610
201404,66000000,其他,其他公共行政類,22164,90784308
201404,66000000,其他,教育類,21324,81452549
201404,66000000,其他,工商及服務類,163495,765046829
201404,66000000,其他,專業及技術服務類,67386,258543054
201404,66000000,其他,其他,61071,296485180
201405,66000000,其他,軍警人員一,3395,17571340
201405,66000000,其他,軍警人員二,808,3032163
201405,66000000,其他,其他公共行政類,23507,97130794
201405,66000000,其他,教育類,22510,87552133
201405,66000000,其他,工商及服務類,171763,811311303
201405,66000000,其他,專業及技術服務類,72101,275447434
201405,66000000,其他,其他,63903,308256893
201406,66000000,其他,軍警人員一,3459,19003056
201406,66000000,其他,軍警人員二,819,3292476
201406,66000000,其他,其他公共行政類,23354,92097270
201406,66000000,其他,教育類,22569,81195123
201406,66000000,其他,工商及服務類,170677,776757825
201406,66000000,其他,專業及技術服務類,72024,268733517
201406,66000000,其他,其他,63196,292965872
201407,66000000,其他,軍警人員一,3581,21786069
201407,66000000,其他,軍警人員二,994,3328630
201407,66000000,其他,其他公共行政類,29766,113985264
201407,66000000,其他,教育類,26637,100279412
201407,66000000,其他,工商及服務類,197594,875926578
201407,66000000,其他,專業及技術服務類,79639,295946299
201407,66000000,其他,其他,76101,349064455
201408,66000000,其他,軍警人員一,3306,15919832
201408,66000000,其他,軍警人員二,893,3711978
201408,66000000,其他,其他公共行政類,24262,96674887
201408,66000000,其他,教育類,23906,88936146
201408,66000000,其他,工商及服務類,172374,796190426
201408,66000000,其他,專業及技術服務類,71093,273198613
201408,66000000,其他,其他,64089,303370110
201409,66000000,其他,軍警人員一,3414,16394880
201409,66000000,其他,軍警人員二,851,3413496
201409,66000000,其他,其他公共行政類,23782,91661671
201409,66000000,其他,教育類,22518,83423608
201409,66000000,其他,工商及服務類,172152,826997240
201409,66000000,其他,專業及技術服務類,74300,289702388
201409,66000000,其他,其他,62943,302400355
201410,66000000,其他,軍警人員一,3526,16901953
201410,66000000,其他,軍警人員二,920,3336935
201410,66000000,其他,其他公共行政類,24046,97365894
201410,66000000,其他,教育類,22975,85869862
201410,66000000,其他,工商及服務類,180111,882929947
201410,66000000,其他,專業及技術服務類,75096,301669850
201410,66000000,其他,其他,65308,326803820
201411,66000000,其他,軍警人員一,3383,16113787
201411,66000000,其他,軍警人員二,893,3242439
201411,66000000,其他,其他公共行政類,24285,96555226
201411,66000000,其他,教育類,22017,89060651
201411,66000000,其他,工商及服務類,173446,882875126
201411,66000000,其他,專業及技術服務類,72133,298279625
201411,66000000,其他,其他,63001,319609383
201412,66000000,其他,軍警人員一,3713,21433543
201412,66000000,其他,軍警人員二,979,3239479
201412,66000000,其他,其他公共行政類,25836,115385379
201412,66000000,其他,教育類,24404,104827735
201412,66000000,其他,工商及服務類,190606,1012107924
201412,66000000,其他,專業及技術服務類,80419,345149409
201412,66000000,其他,其他,70177,374452269
201501,66000000,其他,軍警人員一,3750,20468423
201501,66000000,其他,軍警人員二,915,3830320
201501,66000000,其他,其他公共行政類,25642,103056630
201501,66000000,其他,教育類,23664,88932819
201501,66000000,其他,工商及服務類,181329,903962565
201501,66000000,其他,專業及技術服務類,76095,308263184
201501,66000000,其他,其他,66574,326451633
201502,66000000,其他,軍警人員一,3020,16110960
201502,66000000,其他,軍警人員二,661,2627422
201502,66000000,其他,其他公共行政類,21036,83994008
201502,66000000,其他,教育類,19356,82031916
201502,66000000,其他,工商及服務類,150698,746233258
201502,66000000,其他,專業及技術服務類,58305,254473175
201502,66000000,其他,其他,57788,277354300
201503,66000000,其他,軍警人員一,3777,14327573
201503,66000000,其他,軍警人員二,1056,3432144
201503,66000000,其他,其他公共行政類,26066,92243698
201503,66000000,其他,教育類,25704,83059670
201503,66000000,其他,工商及服務類,188389,868242200
201503,66000000,其他,專業及技術服務類,85766,302787463
201503,66000000,其他,其他,67000,323611274
201504,66000000,其他,軍警人員一,3275,15235928
201504,66000000,其他,軍警人員二,901,3051058
201504,66000000,其他,其他公共行政類,23886,93207619
201504,66000000,其他,教育類,22771,76343629
201504,66000000,其他,工商及服務類,173691,808252800
201504,66000000,其他,專業及技術服務類,75496,279802052
201504,66000000,其他,其他,63297,294067738
201505,66000000,其他,軍警人員一,3369,16928413
201505,66000000,其他,軍警人員二,806,2846682
201505,66000000,其他,其他公共行政類,24225,90391596
201505,66000000,其他,教育類,22409,80652241
201505,66000000,其他,工商及服務類,174712,835873293
201505,66000000,其他,專業及技術服務類,75636,291550049
201505,66000000,其他,其他,65239,316717387
201506,66000000,其他,軍警人員一,3528,17257592
201506,66000000,其他,軍警人員二,887,2758838
201506,66000000,其他,其他公共行政類,24965,95902352
201506,66000000,其他,教育類,23778,82594320
201506,66000000,其他,工商及服務類,183018,851678619
201506,66000000,其他,專業及技術服務類,80030,298944287
