年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,衣,軍警人員一,930,2509703
201401,67000000,衣,軍警人員二,307,849370
201401,67000000,衣,其他公共行政類,9463,27233354
201401,67000000,衣,教育類,14233,40736255
201401,67000000,衣,工商及服務類,59006,171306239
201401,67000000,衣,專業及技術服務類,21252,61685918
201401,67000000,衣,其他,24990,70156416
201402,67000000,衣,軍警人員一,571,1371543
201402,67000000,衣,軍警人員二,196,454025
201402,67000000,衣,其他公共行政類,6257,16770897
201402,67000000,衣,教育類,9374,24124143
201402,67000000,衣,工商及服務類,38412,105353106
201402,67000000,衣,專業及技術服務類,13699,36295497
201402,67000000,衣,其他,16504,42855918
201403,67000000,衣,軍警人員一,626,1648175
201403,67000000,衣,軍警人員二,213,499694
201403,67000000,衣,其他公共行政類,6379,16708608
201403,67000000,衣,教育類,10158,26293029
201403,67000000,衣,工商及服務類,43824,117963039
201403,67000000,衣,專業及技術服務類,16140,43777954
201403,67000000,衣,其他,18649,50369482
201404,67000000,衣,軍警人員一,661,1702838
201404,67000000,衣,軍警人員二,209,553652
201404,67000000,衣,其他公共行政類,6027,15541803
201404,67000000,衣,教育類,9592,23560884
201404,67000000,衣,工商及服務類,42656,112713979
201404,67000000,衣,專業及技術服務類,15614,40398934
201404,67000000,衣,其他,18077,46794334
201405,67000000,衣,軍警人員一,785,1871970
201405,67000000,衣,軍警人員二,220,530840
201405,67000000,衣,其他公共行政類,6569,17665309
201405,67000000,衣,教育類,10440,25841554
201405,67000000,衣,工商及服務類,47102,124675754
201405,67000000,衣,專業及技術服務類,17099,44411163
201405,67000000,衣,其他,19901,51860556
201406,67000000,衣,軍警人員一,735,1576598
201406,67000000,衣,軍警人員二,216,516144
201406,67000000,衣,其他公共行政類,6084,15193252
201406,67000000,衣,教育類,9727,24214374
201406,67000000,衣,工商及服務類,44147,111549876
201406,67000000,衣,專業及技術服務類,16240,39887622
201406,67000000,衣,其他,19112,46980637
201407,67000000,衣,軍警人員一,797,1848448
201407,67000000,衣,軍警人員二,200,478170
201407,67000000,衣,其他公共行政類,6815,17294698
201407,67000000,衣,教育類,11197,27812324
201407,67000000,衣,工商及服務類,45389,113704126
201407,67000000,衣,專業及技術服務類,16485,40175720
201407,67000000,衣,其他,19358,46727740
201408,67000000,衣,軍警人員一,815,1683863
201408,67000000,衣,軍警人員二,229,575692
201408,67000000,衣,其他公共行政類,7118,16900565
201408,67000000,衣,教育類,11284,25914401
201408,67000000,衣,工商及服務類,47104,113013353
201408,67000000,衣,專業及技術服務類,17245,40683121
201408,67000000,衣,其他,20296,47574946
201409,67000000,衣,軍警人員一,696,1777974
201409,67000000,衣,軍警人員二,210,599130
201409,67000000,衣,其他公共行政類,5991,15340113
201409,67000000,衣,教育類,9279,23211348
201409,67000000,衣,工商及服務類,43143,113159210
201409,67000000,衣,專業及技術服務類,15963,41186529
201409,67000000,衣,其他,18710,48620192
201410,67000000,衣,軍警人員一,771,1731473
201410,67000000,衣,軍警人員二,190,473626
201410,67000000,衣,其他公共行政類,6450,17724283
201410,67000000,衣,教育類,9971,25046363
201410,67000000,衣,工商及服務類,45889,125552933
201410,67000000,衣,專業及技術服務類,16758,45467662
201410,67000000,衣,其他,19576,52220885
201411,67000000,衣,軍警人員一,781,1876848
201411,67000000,衣,軍警人員二,199,543945
201411,67000000,衣,其他公共行政類,6111,17348696
201411,67000000,衣,教育類,9796,25989460
201411,67000000,衣,工商及服務類,44639,126688219
201411,67000000,衣,專業及技術服務類,16644,47063154
201411,67000000,衣,其他,18849,52226752
201412,67000000,衣,軍警人員一,912,2397835
201412,67000000,衣,軍警人員二,257,811103
201412,67000000,衣,其他公共行政類,6692,18519607
201412,67000000,衣,教育類,11160,29648401
201412,67000000,衣,工商及服務類,54104,155907505
201412,67000000,衣,專業及技術服務類,20554,56834336
201412,67000000,衣,其他,23380,66146637
201501,67000000,衣,軍警人員一,868,2285279
201501,67000000,衣,軍警人員二,270,798625
201501,67000000,衣,其他公共行政類,7434,21733779
201501,67000000,衣,教育類,11872,33417186
201501,67000000,衣,工商及服務類,49283,144712591
201501,67000000,衣,專業及技術服務類,18626,52775757
201501,67000000,衣,其他,21085,60527435
201502,67000000,衣,軍警人員一,1047,2599051
201502,67000000,衣,軍警人員二,285,722768
201502,67000000,衣,其他公共行政類,8882,23938486
201502,67000000,衣,教育類,13588,35121458
201502,67000000,衣,工商及服務類,55271,150225304
201502,67000000,衣,專業及技術服務類,20662,54313905
201502,67000000,衣,其他,24035,62264291
201503,67000000,衣,軍警人員一,791,1953692
201503,67000000,衣,軍警人員二,212,592133
201503,67000000,衣,其他公共行政類,6424,16648129
201503,67000000,衣,教育類,10319,25980747
201503,67000000,衣,工商及服務類,46299,121792034
201503,67000000,衣,專業及技術服務類,17754,46943581
201503,67000000,衣,其他,20239,52836828
201504,67000000,衣,軍警人員一,722,1621678
201504,67000000,衣,軍警人員二,233,554606
201504,67000000,衣,其他公共行政類,6441,16522143
201504,67000000,衣,教育類,10099,23974429
201504,67000000,衣,工商及服務類,45037,118665065
201504,67000000,衣,專業及技術服務類,17287,44565421
201504,67000000,衣,其他,19297,49596319
201505,67000000,衣,軍警人員一,992,2324483
201505,67000000,衣,軍警人員二,268,637467
201505,67000000,衣,其他公共行政類,7478,18873165
201505,67000000,衣,教育類,12369,29398702
201505,67000000,衣,工商及服務類,56446,144786978
201505,67000000,衣,專業及技術服務類,22359,55344068
201505,67000000,衣,其他,23793,59143648
201506,67000000,衣,軍警人員一,881,1921965
201506,67000000,衣,軍警人員二,225,572646
201506,67000000,衣,其他公共行政類,6793,16927205
201506,67000000,衣,教育類,11442,26849302
201506,67000000,衣,工商及服務類,51301,125650584
201506,67000000,衣,專業及技術服務類,20432,49873306
201506,67000000,衣,其他,22304,54801938
201507,67000000,衣,軍警人員一,887,1911571
201507,67000000,衣,軍警人員二,255,582378
201507,67000000,衣,其他公共行政類,7588,18132736
201507,67000000,衣,教育類,12857,30224565
201507,67000000,衣,工商及服務類,51654,124218184
201507,67000000,衣,專業及技術服務類,20653,49119831
201507,67000000,衣,其他,22383,53270404
201508,67000000,衣,軍警人員一,888,2060077
201508,67000000,衣,軍警人員二,214,510263
