年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,軍警人員一,6970,41902100
201401,63000000,衣,軍警人員二,1037,3052158
201401,63000000,衣,其他公共行政類,69155,198065443
201401,63000000,衣,教育類,53058,142035818
201401,63000000,衣,工商及服務類,415967,1351184929
201401,63000000,衣,專業及技術服務類,149277,469782015
201401,63000000,衣,其他,183098,638438226
201402,63000000,衣,軍警人員一,4848,37971179
201402,63000000,衣,軍警人員二,621,1630945
201402,63000000,衣,其他公共行政類,45939,124083954
201402,63000000,衣,教育類,37699,95516404
201402,63000000,衣,工商及服務類,288551,898950366
201402,63000000,衣,專業及技術服務類,105153,323451521
201402,63000000,衣,其他,129081,432070228
201403,63000000,衣,軍警人員一,5574,42783681
201403,63000000,衣,軍警人員二,763,1972784
201403,63000000,衣,其他公共行政類,49556,131136067
201403,63000000,衣,教育類,44157,109988952
201403,63000000,衣,工商及服務類,333263,1041015768
201403,63000000,衣,專業及技術服務類,123405,376070845
201403,63000000,衣,其他,150725,515665406
201404,63000000,衣,軍警人員一,5365,40692872
201404,63000000,衣,軍警人員二,793,1803284
201404,63000000,衣,其他公共行政類,47019,122026310
201404,63000000,衣,教育類,42311,99848791
201404,63000000,衣,工商及服務類,319814,966472560
201404,63000000,衣,專業及技術服務類,121592,359567061
201404,63000000,衣,其他,146206,484024044
201405,63000000,衣,軍警人員一,5747,37674208
201405,63000000,衣,軍警人員二,863,1964560
201405,63000000,衣,其他公共行政類,51129,132537284
201405,63000000,衣,教育類,47850,110475025
201405,63000000,衣,工商及服務類,344648,1019502617
201405,63000000,衣,專業及技術服務類,132564,383451529
201405,63000000,衣,其他,156822,506119538
201406,63000000,衣,軍警人員一,6353,34963534
201406,63000000,衣,軍警人員二,868,2094575
201406,63000000,衣,其他公共行政類,53355,131795727
201406,63000000,衣,教育類,49519,111306372
201406,63000000,衣,工商及服務類,364451,1024250929
201406,63000000,衣,專業及技術服務類,141729,386286985
201406,63000000,衣,其他,167455,503278945
201407,63000000,衣,軍警人員一,6371,38919783
201407,63000000,衣,軍警人員二,860,1956603
