年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,文教康樂,軍警人員一,21012,203332825
201401,63000000,文教康樂,軍警人員二,3739,16788605
201401,63000000,文教康樂,其他公共行政類,143482,775376882
201401,63000000,文教康樂,教育類,139343,649571892
201401,63000000,文教康樂,工商及服務類,977545,6154350029
201401,63000000,文教康樂,專業及技術服務類,369341,2237748918
201401,63000000,文教康樂,其他,362651,2512803546
201402,63000000,文教康樂,軍警人員一,22309,179092271
201402,63000000,文教康樂,軍警人員二,4611,30310960
201402,63000000,文教康樂,其他公共行政類,153176,970155895
201402,63000000,文教康樂,教育類,151397,784818389
201402,63000000,文教康樂,工商及服務類,1075327,7129918955
201402,63000000,文教康樂,專業及技術服務類,405162,2507517464
201402,63000000,文教康樂,其他,392132,2773672170
201403,63000000,文教康樂,軍警人員一,22375,183509630
201403,63000000,文教康樂,軍警人員二,4037,14989583
201403,63000000,文教康樂,其他公共行政類,140253,704273421
201403,63000000,文教康樂,教育類,138020,545432273
201403,63000000,文教康樂,工商及服務類,1044353,5913180688
201403,63000000,文教康樂,專業及技術服務類,389188,2085242344
201403,63000000,文教康樂,其他,385277,2537857830
201404,63000000,文教康樂,軍警人員一,21202,195988468
201404,63000000,文教康樂,軍警人員二,3682,14642648
201404,63000000,文教康樂,其他公共行政類,130226,699504818
201404,63000000,文教康樂,教育類,127227,537622709
201404,63000000,文教康樂,工商及服務類,967421,5889713113
201404,63000000,文教康樂,專業及技術服務類,361856,2055270896
201404,63000000,文教康樂,其他,367308,2675519816
201405,63000000,文教康樂,軍警人員一,22512,218714846
201405,63000000,文教康樂,軍警人員二,4088,16712041
201405,63000000,文教康樂,其他公共行政類,136792,827224074
201405,63000000,文教康樂,教育類,136849,650190190
201405,63000000,文教康樂,工商及服務類,1024610,6657497847
201405,63000000,文教康樂,專業及技術服務類,384581,2334997804
201405,63000000,文教康樂,其他,390178,3097710043
201406,63000000,文教康樂,軍警人員一,26151,229621192
201406,63000000,文教康樂,軍警人員二,5092,17628387
201406,63000000,文教康樂,其他公共行政類,147609,878934422
201406,63000000,文教康樂,教育類,160833,813058018
201406,63000000,文教康樂,工商及服務類,1138444,6594373801
201406,63000000,文教康樂,專業及技術服務類,414815,2381260394
201406,63000000,文教康樂,其他,407672,3018483098
