年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,住,軍警人員一,13067,97510761
201401,63000000,住,軍警人員二,1516,5447861
201401,63000000,住,其他公共行政類,60451,198606463
201401,63000000,住,教育類,40198,152655433
201401,63000000,住,工商及服務類,379599,2106290577
201401,63000000,住,專業及技術服務類,136847,759585661
201401,63000000,住,其他,163757,778582792
201402,63000000,住,軍警人員一,10372,66068973
201402,63000000,住,軍警人員二,1099,3653730
201402,63000000,住,其他公共行政類,45926,130939852
201402,63000000,住,教育類,32050,105673306
201402,63000000,住,工商及服務類,288637,1383111675
201402,63000000,住,專業及技術服務類,105717,521861739
201402,63000000,住,其他,124390,516754268
201403,63000000,住,軍警人員一,10855,82259543
201403,63000000,住,軍警人員二,1059,3297246
201403,63000000,住,其他公共行政類,42580,138479855
201403,63000000,住,教育類,30619,104578383
201403,63000000,住,工商及服務類,305333,1560097524
201403,63000000,住,專業及技術服務類,112146,588362703
201403,63000000,住,其他,131399,573593416
201404,63000000,住,軍警人員一,10332,68657019
201404,63000000,住,軍警人員二,1074,3863343
201404,63000000,住,其他公共行政類,39658,135926228
201404,63000000,住,教育類,28288,103017730
201404,63000000,住,工商及服務類,280767,1478282851
201404,63000000,住,專業及技術服務類,104519,547344364
201404,63000000,住,其他,122892,563162611
201405,63000000,住,軍警人員一,11470,76516709
201405,63000000,住,軍警人員二,1190,4304619
201405,63000000,住,其他公共行政類,44927,148110090
201405,63000000,住,教育類,32508,118467685
201405,63000000,住,工商及服務類,315823,1604430527
201405,63000000,住,專業及技術服務類,118086,580984938
201405,63000000,住,其他,139339,648724082
201406,63000000,住,軍警人員一,11771,78941324
201406,63000000,住,軍警人員二,1285,4422546
201406,63000000,住,其他公共行政類,43730,154675317
201406,63000000,住,教育類,34179,120926435
201406,63000000,住,工商及服務類,319974,1586078941
201406,63000000,住,專業及技術服務類,121453,581301515
201406,63000000,住,其他,142241,656101823
201407,63000000,住,軍警人員一,12438,79746413
201407,63000000,住,軍警人員二,1421,4196251
201407,63000000,住,其他公共行政類,50023,175541316
201407,63000000,住,教育類,42075,143787507
201407,63000000,住,工商及服務類,341552,1646677756
201407,63000000,住,專業及技術服務類,131204,624017280
201407,63000000,住,其他,154715,670097930
201408,63000000,住,軍警人員一,13396,84893489
201408,63000000,住,軍警人員二,1505,5285796
201408,63000000,住,其他公共行政類,51384,167859364
201408,63000000,住,教育類,44200,146792681
201408,63000000,住,工商及服務類,350574,1688417705
201408,63000000,住,專業及技術服務類,135157,618067093
201408,63000000,住,其他,158513,692712637
201409,63000000,住,軍警人員一,11735,83044906
201409,63000000,住,軍警人員二,1251,4503860
201409,63000000,住,其他公共行政類,42861,147008989
201409,63000000,住,教育類,34297,122411801
201409,63000000,住,工商及服務類,315514,1602864198
201409,63000000,住,專業及技術服務類,122218,597773575
201409,63000000,住,其他,142711,638691327
201410,63000000,住,軍警人員一,12278,82273720
201410,63000000,住,軍警人員二,1438,4460511
201410,63000000,住,其他公共行政類,48056,153057157
201410,63000000,住,教育類,35874,119257388
201410,63000000,住,工商及服務類,333365,1702268282
201410,63000000,住,專業及技術服務類,128442,615013618
201410,63000000,住,其他,149674,660575350
201411,63000000,住,軍警人員一,13273,97403851
201411,63000000,住,軍警人員二,1589,6024308
201411,63000000,住,其他公共行政類,51829,197624321
201411,63000000,住,教育類,39011,142011576
201411,63000000,住,工商及服務類,365321,1966291963
201411,63000000,住,專業及技術服務類,139749,722754218
201411,63000000,住,其他,160156,782075289
201412,63000000,住,軍警人員一,13680,102181232
201412,63000000,住,軍警人員二,1829,5951137
201412,63000000,住,其他公共行政類,50451,177537909
201412,63000000,住,教育類,40584,136258637
201412,63000000,住,工商及服務類,387842,2007682643
201412,63000000,住,專業及技術服務類,150137,752839111
201412,63000000,住,其他,167393,763964992
201501,63000000,住,軍警人員一,14337,102357082
201501,63000000,住,軍警人員二,1986,5507001
201501,63000000,住,其他公共行政類,57028,189827957
201501,63000000,住,教育類,43361,141878958
201501,63000000,住,工商及服務類,395982,1963079938
201501,63000000,住,專業及技術服務類,151960,723863889
201501,63000000,住,其他,173902,768635817
201502,63000000,住,軍警人員一,13588,89702118
201502,63000000,住,軍警人員二,1681,4995021
201502,63000000,住,其他公共行政類,63982,177317481
201502,63000000,住,教育類,44400,140589808
201502,63000000,住,工商及服務類,382634,1821068642
201502,63000000,住,專業及技術服務類,146736,664244031
201502,63000000,住,其他,165584,718072363
201503,63000000,住,軍警人員一,13023,94130920
201503,63000000,住,軍警人員二,1537,4417979
201503,63000000,住,其他公共行政類,48269,149195802
201503,63000000,住,教育類,38044,115850851
201503,63000000,住,工商及服務類,353284,1651190199
201503,63000000,住,專業及技術服務類,137029,618353051
201503,63000000,住,其他,156293,657686000
201504,63000000,住,軍警人員一,12520,68946838
201504,63000000,住,軍警人員二,1488,4324129
201504,63000000,住,其他公共行政類,48016,151257555
201504,63000000,住,教育類,35823,116803251
201504,63000000,住,工商及服務類,331142,1546379840
201504,63000000,住,專業及技術服務類,129122,585987627
201504,63000000,住,其他,146043,635333156
201505,63000000,住,軍警人員一,13427,82067446
201505,63000000,住,軍警人員二,1414,4709526
201505,63000000,住,其他公共行政類,48390,168352316
201505,63000000,住,教育類,36931,127413770
201505,63000000,住,工商及服務類,350854,1705936002
201505,63000000,住,專業及技術服務類,136899,635669712
201505,63000000,住,其他,155239,697613953
201506,63000000,住,軍警人員一,12923,83769522
201506,63000000,住,軍警人員二,1376,5305163
201506,63000000,住,其他公共行政類,45436,151500663
201506,63000000,住,教育類,36535,126383587
201506,63000000,住,工商及服務類,335037,1607072996
201506,63000000,住,專業及技術服務類,132356,617359919
201506,63000000,住,其他,150849,659130888
