年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,行,軍警人員一,81276,107232590
201401,63000000,行,軍警人員二,17404,16881666
201401,63000000,行,其他公共行政類,295873,311501712
201401,63000000,行,教育類,270159,266769280
201401,63000000,行,工商及服務類,2365310,2655046517
201401,63000000,行,專業及技術服務類,1142477,1225622859
201401,63000000,行,其他,738721,841994991
201402,63000000,行,軍警人員一,73320,93668726
201402,63000000,行,軍警人員二,15650,15882682
201402,63000000,行,其他公共行政類,262656,275177275
201402,63000000,行,教育類,238187,237389484
201402,63000000,行,工商及服務類,2083201,2339850281
201402,63000000,行,專業及技術服務類,1010342,1090341324
201402,63000000,行,其他,648809,739058754
201403,63000000,行,軍警人員一,83834,128529487
201403,63000000,行,軍警人員二,17487,17025826
201403,63000000,行,其他公共行政類,309778,318897791
201403,63000000,行,教育類,285653,283816603
201403,63000000,行,工商及服務類,2427090,2720782708
201403,63000000,行,專業及技術服務類,1177106,1262080209
201403,63000000,行,其他,772596,876526407
201404,63000000,行,軍警人員一,80493,104955107
201404,63000000,行,軍警人員二,16708,16280370
201404,63000000,行,其他公共行政類,298479,299978102
201404,63000000,行,教育類,271800,264258366
201404,63000000,行,工商及服務類,2331014,2550960418
201404,63000000,行,專業及技術服務類,1150720,1207355430
201404,63000000,行,其他,753660,831945188
201405,63000000,行,軍警人員一,85880,109826270
201405,63000000,行,軍警人員二,17800,17907382
201405,63000000,行,其他公共行政類,318262,329960912
201405,63000000,行,教育類,295319,292476591
201405,63000000,行,工商及服務類,2468589,2744823286
201405,63000000,行,專業及技術服務類,1222657,1305305472
201405,63000000,行,其他,797641,897794031
201406,63000000,行,軍警人員一,86073,111373981
201406,63000000,行,軍警人員二,17482,17811875
201406,63000000,行,其他公共行政類,309973,325009701
201406,63000000,行,教育類,286753,289692044
201406,63000000,行,工商及服務類,2434079,2728320680
201406,63000000,行,專業及技術服務類,1217806,1306424637
201406,63000000,行,其他,790206,890669836
201407,63000000,行,軍警人員一,89519,128587883
201407,63000000,行,軍警人員二,18212,18431168
201407,63000000,行,其他公共行政類,329641,341168971
201407,63000000,行,教育類,304073,303957844
201407,63000000,行,工商及服務類,2576678,2866382145
201407,63000000,行,專業及技術服務類,1291504,1373420559
201407,63000000,行,其他,836390,940915977
201408,63000000,行,軍警人員一,92847,115138398
201408,63000000,行,軍警人員二,18764,18225393
201408,63000000,行,其他公共行政類,335997,333829468
201408,63000000,行,教育類,310561,297930703
201408,63000000,行,工商及服務類,2622159,2833044508
201408,63000000,行,專業及技術服務類,1317894,1367778826
201408,63000000,行,其他,854449,932829973
201409,63000000,行,軍警人員一,84177,113784640
201409,63000000,行,軍警人員二,17341,16499589
201409,63000000,行,其他公共行政類,313791,304994950
201409,63000000,行,教育類,284171,262410110
201409,63000000,行,工商及服務類,2504023,2648281505
201409,63000000,行,專業及技術服務類,1260863,1275845673
201409,63000000,行,其他,819803,868654303
201410,63000000,行,軍警人員一,89995,112316823
