年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,文教康樂,軍警人員一,408,877742
201401,10014000,文教康樂,軍警人員二,76,135351
201401,10014000,文教康樂,其他公共行政類,4381,9462225
201401,10014000,文教康樂,教育類,2780,6886710
201401,10014000,文教康樂,工商及服務類,8710,21605910
201401,10014000,文教康樂,專業及技術服務類,3209,8246060
201401,10014000,文教康樂,其他,3665,8263353
201402,10014000,文教康樂,軍警人員一,402,1040948
201402,10014000,文教康樂,軍警人員二,92,131670
201402,10014000,文教康樂,其他公共行政類,4148,7437961
201402,10014000,文教康樂,教育類,2300,4394024
201402,10014000,文教康樂,工商及服務類,9340,20178671
201402,10014000,文教康樂,專業及技術服務類,3458,8354724
201402,10014000,文教康樂,其他,3973,7615212
201403,10014000,文教康樂,軍警人員一,383,603964
201403,10014000,文教康樂,軍警人員二,76,189838
201403,10014000,文教康樂,其他公共行政類,3769,6777944
201403,10014000,文教康樂,教育類,2225,4667430
201403,10014000,文教康樂,工商及服務類,8760,22591252
201403,10014000,文教康樂,專業及技術服務類,3288,9636717
201403,10014000,文教康樂,其他,3752,8862036
201404,10014000,文教康樂,軍警人員一,328,607938
201404,10014000,文教康樂,軍警人員二,76,140593
201404,10014000,文教康樂,其他公共行政類,3707,7734610
201404,10014000,文教康樂,教育類,2057,4570962
201404,10014000,文教康樂,工商及服務類,8459,22751890
201404,10014000,文教康樂,專業及技術服務類,3270,10403194
201404,10014000,文教康樂,其他,3723,8452962
201405,10014000,文教康樂,軍警人員一,401,575618
201405,10014000,文教康樂,軍警人員二,74,156826
201405,10014000,文教康樂,其他公共行政類,3952,8172774
201405,10014000,文教康樂,教育類,2296,5495688
201405,10014000,文教康樂,工商及服務類,9100,23162405
201405,10014000,文教康樂,專業及技術服務類,3615,10104277
201405,10014000,文教康樂,其他,4025,9719284
201406,10014000,文教康樂,軍警人員一,437,626352
201406,10014000,文教康樂,軍警人員二,70,106761
201406,10014000,文教康樂,其他公共行政類,4242,7561700
201406,10014000,文教康樂,教育類,2398,5249972
201406,10014000,文教康樂,工商及服務類,9423,20444189
201406,10014000,文教康樂,專業及技術服務類,3739,8189705
201406,10014000,文教康樂,其他,4180,8679485
201407,10014000,文教康樂,軍警人員一,464,684475
201407,10014000,文教康樂,軍警人員二,102,268163
201407,10014000,文教康樂,其他公共行政類,5465,9976015
201407,10014000,文教康樂,教育類,3291,7627758
201407,10014000,文教康樂,工商及服務類,10660,24572877
201407,10014000,文教康樂,專業及技術服務類,4115,9490056
201407,10014000,文教康樂,其他,4853,9862445
201408,10014000,文教康樂,軍警人員一,601,921803
201408,10014000,文教康樂,軍警人員二,100,95960
201408,10014000,文教康樂,其他公共行政類,5785,9467468
201408,10014000,文教康樂,教育類,3367,6185482
201408,10014000,文教康樂,工商及服務類,11364,24408177
201408,10014000,文教康樂,專業及技術服務類,4514,10203655
201408,10014000,文教康樂,其他,5529,9996179
201409,10014000,文教康樂,軍警人員一,444,1771501
201409,10014000,文教康樂,軍警人員二,83,192887
201409,10014000,文教康樂,其他公共行政類,3937,8110808
201409,10014000,文教康樂,教育類,2193,4238697
201409,10014000,文教康樂,工商及服務類,9313,22070653
201409,10014000,文教康樂,專業及技術服務類,3627,8830838
201409,10014000,文教康樂,其他,4153,8153290
201410,10014000,文教康樂,軍警人員一,430,620872
201410,10014000,文教康樂,軍警人員二,83,122263
201410,10014000,文教康樂,其他公共行政類,4164,6639586
201410,10014000,文教康樂,教育類,2333,4482011
201410,10014000,文教康樂,工商及服務類,9540,20622043
201410,10014000,文教康樂,專業及技術服務類,3687,7928035
201410,10014000,文教康樂,其他,4303,7848432
201411,10014000,文教康樂,軍警人員一,464,956147
201411,10014000,文教康樂,軍警人員二,81,91906
201411,10014000,文教康樂,其他公共行政類,3835,6746293
201411,10014000,文教康樂,教育類,2215,4433618
201411,10014000,文教康樂,工商及服務類,9208,21685513
201411,10014000,文教康樂,專業及技術服務類,3544,8964787
201411,10014000,文教康樂,其他,4077,9084871
201412,10014000,文教康樂,軍警人員一,451,1461393
201412,10014000,文教康樂,軍警人員二,84,138797
201412,10014000,文教康樂,其他公共行政類,3828,7036613
201412,10014000,文教康樂,教育類,2180,5185937
201412,10014000,文教康樂,工商及服務類,9182,26426625
201412,10014000,文教康樂,專業及技術服務類,3636,9332167
201412,10014000,文教康樂,其他,4136,9579397
201501,10014000,文教康樂,軍警人員一,507,801852
