年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,食,軍警人員一,967,1514702
201401,10014000,食,軍警人員二,283,411539
201401,10014000,食,其他公共行政類,10431,15890856
201401,10014000,食,教育類,5655,8472503
201401,10014000,食,工商及服務類,16383,29416117
201401,10014000,食,專業及技術服務類,6971,11266932
201401,10014000,食,其他,11918,18796845
201402,10014000,食,軍警人員一,682,939434
201402,10014000,食,軍警人員二,191,251919
201402,10014000,食,其他公共行政類,7708,8917871
201402,10014000,食,教育類,4487,5621353
201402,10014000,食,工商及服務類,13263,18773184
201402,10014000,食,專業及技術服務類,5765,7871692
201402,10014000,食,其他,9211,11350367
201403,10014000,食,軍警人員一,750,851030
201403,10014000,食,軍警人員二,242,304799
201403,10014000,食,其他公共行政類,8415,8814559
201403,10014000,食,教育類,4788,5313439
201403,10014000,食,工商及服務類,13305,17519975
201403,10014000,食,專業及技術服務類,6389,7985615
201403,10014000,食,其他,9770,11518428
201404,10014000,食,軍警人員一,774,1032120
201404,10014000,食,軍警人員二,194,208448
201404,10014000,食,其他公共行政類,7819,8356210
201404,10014000,食,教育類,4433,5340392
201404,10014000,食,工商及服務類,13282,18067112
201404,10014000,食,專業及技術服務類,5851,7314473
201404,10014000,食,其他,9581,11369452
201405,10014000,食,軍警人員一,814,1026975
201405,10014000,食,軍警人員二,238,300752
201405,10014000,食,其他公共行政類,8469,10023210
201405,10014000,食,教育類,4934,5819179
201405,10014000,食,工商及服務類,14079,20695443
201405,10014000,食,專業及技術服務類,6505,8737151
201405,10014000,食,其他,10224,12680935
201406,10014000,食,軍警人員一,870,1336759
201406,10014000,食,軍警人員二,232,285264
201406,10014000,食,其他公共行政類,8527,9575610
201406,10014000,食,教育類,5211,6394385
201406,10014000,食,工商及服務類,14272,20164855
201406,10014000,食,專業及技術服務類,6754,8769807
201406,10014000,食,其他,10189,12877823
201407,10014000,食,軍警人員一,1012,1354111
201407,10014000,食,軍警人員二,306,458407
201407,10014000,食,其他公共行政類,10377,12133537
201407,10014000,食,教育類,6760,8411963
201407,10014000,食,工商及服務類,17429,26474453
201407,10014000,食,專業及技術服務類,7825,10802547
201407,10014000,食,其他,12213,15973461
201408,10014000,食,軍警人員一,1034,1292662
201408,10014000,食,軍警人員二,298,480520
201408,10014000,食,其他公共行政類,11022,13925686
201408,10014000,食,教育類,6870,8475562
201408,10014000,食,工商及服務類,18299,28654173
201408,10014000,食,專業及技術服務類,8221,11760214
201408,10014000,食,其他,12650,16977067
201409,10014000,食,軍警人員一,919,1094234
201409,10014000,食,軍警人員二,229,354453
201409,10014000,食,其他公共行政類,8342,9733264
201409,10014000,食,教育類,5161,5885900
201409,10014000,食,工商及服務類,14613,20356298
201409,10014000,食,專業及技術服務類,6967,8820965
201409,10014000,食,其他,10782,12996258
201410,10014000,食,軍警人員一,876,1173001
201410,10014000,食,軍警人員二,204,212284
201410,10014000,食,其他公共行政類,8528,9363878
201410,10014000,食,教育類,5184,5964776
201410,10014000,食,工商及服務類,14702,19795015
201410,10014000,食,專業及技術服務類,6853,8761872
201410,10014000,食,其他,10652,12436218
201411,10014000,食,軍警人員一,890,994070
201411,10014000,食,軍警人員二,183,191375
201411,10014000,食,其他公共行政類,7771,8379884
201411,10014000,食,教育類,4812,5503280
201411,10014000,食,工商及服務類,13857,18395588
201411,10014000,食,專業及技術服務類,6385,7988455
201411,10014000,食,其他,9727,11428370
201412,10014000,食,軍警人員一,1066,1277777
201412,10014000,食,軍警人員二,229,278059
201412,10014000,食,其他公共行政類,8635,10170457
201412,10014000,食,教育類,5342,6084530
201412,10014000,食,工商及服務類,14940,20366631
201412,10014000,食,專業及技術服務類,6996,9119645
201412,10014000,食,其他,10938,13262126
201501,10014000,食,軍警人員一,1039,1573623
201501,10014000,食,軍警人員二,229,348782
201501,10014000,食,其他公共行政類,9637,14076241
201501,10014000,食,教育類,5789,7461092
201501,10014000,食,工商及服務類,16200,25042611
201501,10014000,食,專業及技術服務類,7179,10375216
201501,10014000,食,其他,11052,14907326
201502,10014000,食,軍警人員一,953,1633113
201502,10014000,食,軍警人員二,234,387528
201502,10014000,食,其他公共行政類,9708,14589183
201502,10014000,食,教育類,6397,8912572
201502,10014000,食,工商及服務類,17813,31121180
201502,10014000,食,專業及技術服務類,7722,13067163
201502,10014000,食,其他,12053,18756197
201503,10014000,食,軍警人員一,893,1079000
201503,10014000,食,軍警人員二,196,250615
201503,10014000,食,其他公共行政類,7466,8104157
201503,10014000,食,教育類,5096,5769329
201503,10014000,食,工商及服務類,13721,18559924
201503,10014000,食,專業及技術服務類,6619,8604724
201503,10014000,食,其他,10001,11581163
201504,10014000,食,軍警人員一,905,1130727
201504,10014000,食,軍警人員二,184,214317
201504,10014000,食,其他公共行政類,8006,8666599
201504,10014000,食,教育類,5064,5812642
201504,10014000,食,工商及服務類,14626,19869967
201504,10014000,食,專業及技術服務類,6684,8524976
201504,10014000,食,其他,10231,12345701
201505,10014000,食,軍警人員一,952,1186332
201505,10014000,食,軍警人員二,164,204641
201505,10014000,食,其他公共行政類,8592,9970229
201505,10014000,食,教育類,5503,6308992
201505,10014000,食,工商及服務類,15603,21623670
201505,10014000,食,專業及技術服務類,7127,9480216
201505,10014000,食,其他,10834,12880018
201506,10014000,食,軍警人員一,913,1278368
201506,10014000,食,軍警人員二,215,325148
201506,10014000,食,其他公共行政類,8769,9329875
201506,10014000,食,教育類,5533,6172990
201506,10014000,食,工商及服務類,16140,20594004
201506,10014000,食,專業及技術服務類,7453,9425993
201506,10014000,食,其他,11256,13047279
201507,10014000,食,軍警人員一,1001,1389837
201507,10014000,食,軍警人員二,235,322506
201507,10014000,食,其他公共行政類,10425,11976902
201507,10014000,食,教育類,6886,8012451
201507,10014000,食,工商及服務類,18721,24951544
201507,10014000,食,專業及技術服務類,8178,10495283
201507,10014000,食,其他,12797,15235760
201508,10014000,食,軍警人員一,1110,1527718
201508,10014000,食,軍警人員二,291,569914
201508,10014000,食,其他公共行政類,11432,14196148
201508,10014000,食,教育類,7189,8442270
201508,10014000,食,工商及服務類,19878,30152682
201508,10014000,食,專業及技術服務類,9017,12388647
201508,10014000,食,其他,13940,18443915
201509,10014000,食,軍警人員一,976,1230202
201509,10014000,食,軍警人員二,247,375357
201509,10014000,食,其他公共行政類,9145,11401255
201509,10014000,食,教育類,5687,6452222
201509,10014000,食,工商及服務類,16420,21821349
201509,10014000,食,專業及技術服務類,7291,9731397
201509,10014000,食,其他,11559,13956900
201510,10014000,食,軍警人員一,1033,1335939
201510,10014000,食,軍警人員二,239,259409
201510,10014000,食,其他公共行政類,8759,9356265
201510,10014000,食,教育類,5781,6450572
201510,10014000,食,工商及服務類,16556,21555608
201510,10014000,食,專業及技術服務類,7688,9278238
201510,10014000,食,其他,11554,13110923
201511,10014000,食,軍警人員一,987,1108955
201511,10014000,食,軍警人員二,251,293892
201511,10014000,食,其他公共行政類,8029,8356645
201511,10014000,食,教育類,5372,5937886
201511,10014000,食,工商及服務類,15127,18897763
201511,10014000,食,專業及技術服務類,7050,8761563
201511,10014000,食,其他,10890,12300672
201512,10014000,食,軍警人員一,995,1327328
201512,10014000,食,軍警人員二,211,230452
201512,10014000,食,其他公共行政類,8377,10441617
201512,10014000,食,教育類,5573,6561066
201512,10014000,食,工商及服務類,15458,20626922
201512,10014000,食,專業及技術服務類,7294,9548108
201512,10014000,食,其他,11309,14120482
201601,10014000,食,軍警人員一,1136,1831419
201601,10014000,食,軍警人員二,241,409103
201601,10014000,食,其他公共行政類,10136,14653516
201601,10014000,食,教育類,6702,9094994
201601,10014000,食,工商及服務類,17221,30192758
201601,10014000,食,專業及技術服務類,8369,12657806
201601,10014000,食,其他,12470,18689581
201602,10014000,食,軍警人員一,1094,1587514
201602,10014000,食,軍警人員二,243,380444
201602,10014000,食,其他公共行政類,9308,12801623
201602,10014000,食,教育類,6237,8437321
201602,10014000,食,工商及服務類,18471,30587287
201602,10014000,食,專業及技術服務類,8716,12921485
201602,10014000,食,其他,12473,17338041
201603,10014000,食,軍警人員一,763,908109
201603,10014000,食,軍警人員二,222,227364
201603,10014000,食,其他公共行政類,7401,7806162
201603,10014000,食,教育類,4908,5563700
201603,10014000,食,工商及服務類,13439,16965795
201603,10014000,食,專業及技術服務類,6431,8008270
201603,10014000,食,其他,10053,11480264
201604,10014000,食,軍警人員一,910,1098819
201604,10014000,食,軍警人員二,223,281438
201604,10014000,食,其他公共行政類,8232,9457544
201604,10014000,食,教育類,5259,6385794
