年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,住,軍警人員一,396,3000626
201401,10014000,住,軍警人員二,57,434928
201401,10014000,住,其他公共行政類,3407,14800007
201401,10014000,住,教育類,2276,10491882
201401,10014000,住,工商及服務類,7690,74051646
201401,10014000,住,專業及技術服務類,3000,36183590
201401,10014000,住,其他,3033,21969897
201402,10014000,住,軍警人員一,295,2108220
201402,10014000,住,軍警人員二,58,218430
201402,10014000,住,其他公共行政類,2777,11302488
201402,10014000,住,教育類,1519,6098357
201402,10014000,住,工商及服務類,7690,71743422
201402,10014000,住,專業及技術服務類,2921,34615869
201402,10014000,住,其他,2923,20387402
201403,10014000,住,軍警人員一,292,1591058
201403,10014000,住,軍警人員二,49,387439
201403,10014000,住,其他公共行政類,2231,9431848
201403,10014000,住,教育類,1207,6056148
201403,10014000,住,工商及服務類,6980,84018641
201403,10014000,住,專業及技術服務類,2867,41963926
201403,10014000,住,其他,2408,17791277
201404,10014000,住,軍警人員一,313,2393424
201404,10014000,住,軍警人員二,47,218723
201404,10014000,住,其他公共行政類,2492,11981815
201404,10014000,住,教育類,1261,7393910
201404,10014000,住,工商及服務類,7046,86326667
201404,10014000,住,專業及技術服務類,2673,39524867
201404,10014000,住,其他,2600,21266676
201405,10014000,住,軍警人員一,341,2027726
201405,10014000,住,軍警人員二,55,323890
201405,10014000,住,其他公共行政類,2719,12696310
201405,10014000,住,教育類,1505,8632214
201405,10014000,住,工商及服務類,8427,86197688
201405,10014000,住,專業及技術服務類,3189,41143099
201405,10014000,住,其他,3069,24938567
201406,10014000,住,軍警人員一,365,2112500
201406,10014000,住,軍警人員二,66,360418
201406,10014000,住,其他公共行政類,3040,12682222
201406,10014000,住,教育類,1652,7227448
201406,10014000,住,工商及服務類,8160,78983768
201406,10014000,住,專業及技術服務類,3237,37729131
201406,10014000,住,其他,3108,22637593
201407,10014000,住,軍警人員一,482,3061464
201407,10014000,住,軍警人員二,106,590855
201407,10014000,住,其他公共行政類,4763,22182058
201407,10014000,住,教育類,2973,13965988
201407,10014000,住,工商及服務類,10882,104395767
201407,10014000,住,專業及技術服務類,4066,43735960
201407,10014000,住,其他,4230,31193492
201408,10014000,住,軍警人員一,555,3428719
201408,10014000,住,軍警人員二,104,504907
201408,10014000,住,其他公共行政類,4532,18874868
201408,10014000,住,教育類,2795,12453955
201408,10014000,住,工商及服務類,10894,98812386
201408,10014000,住,專業及技術服務類,4162,39163947
201408,10014000,住,其他,4227,28587779
201409,10014000,住,軍警人員一,346,2304273
201409,10014000,住,軍警人員二,53,316212
201409,10014000,住,其他公共行政類,2685,10726174
201409,10014000,住,教育類,1262,4738289
201409,10014000,住,工商及服務類,7503,68712728
201409,10014000,住,專業及技術服務類,3035,33606312
201409,10014000,住,其他,2918,20986371
201410,10014000,住,軍警人員一,426,2152752
201410,10014000,住,軍警人員二,51,202931
201410,10014000,住,其他公共行政類,2601,9397131
201410,10014000,住,教育類,1339,6206824
201410,10014000,住,工商及服務類,8115,79176377
201410,10014000,住,專業及技術服務類,3141,37091712
201410,10014000,住,其他,3027,25418597
201411,10014000,住,軍警人員一,369,2476935
201411,10014000,住,軍警人員二,62,573178
201411,10014000,住,其他公共行政類,2577,12130475
201411,10014000,住,教育類,1362,6951698
201411,10014000,住,工商及服務類,8794,93454687
201411,10014000,住,專業及技術服務類,3383,41830510
201411,10014000,住,其他,3394,30661578
201412,10014000,住,軍警人員一,436,3112197
201412,10014000,住,軍警人員二,75,315382
201412,10014000,住,其他公共行政類,2378,9870025
201412,10014000,住,教育類,1330,7102134
201412,10014000,住,工商及服務類,8504,94037977
201412,10014000,住,專業及技術服務類,3313,43038342
201412,10014000,住,其他,3116,26109329
201501,10014000,住,軍警人員一,432,2962889
201501,10014000,住,軍警人員二,78,352271
201501,10014000,住,其他公共行政類,3205,12690400
201501,10014000,住,教育類,2054,8398103
201501,10014000,住,工商及服務類,9284,85761848
201501,10014000,住,專業及技術服務類,3401,37813585
201501,10014000,住,其他,3325,27241102
201502,10014000,住,軍警人員一,419,2896704
201502,10014000,住,軍警人員二,87,325974
201502,10014000,住,其他公共行政類,4044,17759192
201502,10014000,住,教育類,3010,13444276
201502,10014000,住,工商及服務類,10370,91726542
201502,10014000,住,專業及技術服務類,3867,41381661
201502,10014000,住,其他,4120,31333801
201503,10014000,住,軍警人員一,357,2577778
201503,10014000,住,軍警人員二,59,467182
201503,10014000,住,其他公共行政類,2756,9763971
201503,10014000,住,教育類,1360,5509467
201503,10014000,住,工商及服務類,7145,67009870
201503,10014000,住,專業及技術服務類,2867,31880724
201503,10014000,住,其他,2745,19035097
201504,10014000,住,軍警人員一,467,2942045
201504,10014000,住,軍警人員二,80,364350
201504,10014000,住,其他公共行政類,2906,12795147
201504,10014000,住,教育類,1610,7732608
201504,10014000,住,工商及服務類,8418,87505015
201504,10014000,住,專業及技術服務類,3189,39913406
201504,10014000,住,其他,3083,25402726
201505,10014000,住,軍警人員一,390,3078431
201505,10014000,住,軍警人員二,61,274086
201505,10014000,住,其他公共行政類,2887,14247605
201505,10014000,住,教育類,1690,7830558
201505,10014000,住,工商及服務類,9091,98797800
201505,10014000,住,專業及技術服務類,3526,40851354
201505,10014000,住,其他,3381,28433088
201506,10014000,住,軍警人員一,460,2501397
201506,10014000,住,軍警人員二,74,511944
201506,10014000,住,其他公共行政類,3158,12918748
201506,10014000,住,教育類,1629,7807526
201506,10014000,住,工商及服務類,8593,83562026
201506,10014000,住,專業及技術服務類,3443,38182578
201506,10014000,住,其他,3131,25753360
