年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,其他,軍警人員一,241,1006101
201401,10014000,其他,軍警人員二,59,330668
201401,10014000,其他,其他公共行政類,2317,11713044
201401,10014000,其他,教育類,1519,6673602
201401,10014000,其他,工商及服務類,3795,18080596
201401,10014000,其他,專業及技術服務類,1329,5601625
201401,10014000,其他,其他,2092,9158459
201402,10014000,其他,軍警人員一,166,753277
201402,10014000,其他,軍警人員二,41,153649
201402,10014000,其他,其他公共行政類,1662,7421715
201402,10014000,其他,教育類,1144,4556671
201402,10014000,其他,工商及服務類,3125,13397392
201402,10014000,其他,專業及技術服務類,1107,4116971
201402,10014000,其他,其他,1735,6972907
201403,10014000,其他,軍警人員一,213,1011823
201403,10014000,其他,軍警人員二,64,357561
201403,10014000,其他,其他公共行政類,1837,8279960
201403,10014000,其他,教育類,1230,4560646
201403,10014000,其他,工商及服務類,3262,14188540
201403,10014000,其他,專業及技術服務類,1173,5317297
201403,10014000,其他,其他,1821,7047510
201404,10014000,其他,軍警人員一,185,937007
201404,10014000,其他,軍警人員二,46,169493
201404,10014000,其他,其他公共行政類,1788,9322912
201404,10014000,其他,教育類,1201,4783167
201404,10014000,其他,工商及服務類,3048,13308023
201404,10014000,其他,專業及技術服務類,1210,5677477
201404,10014000,其他,其他,1778,7842873
201405,10014000,其他,軍警人員一,194,883867
201405,10014000,其他,軍警人員二,64,288860
201405,10014000,其他,其他公共行政類,2007,9972792
201405,10014000,其他,教育類,1373,6079550
201405,10014000,其他,工商及服務類,3452,15518547
201405,10014000,其他,專業及技術服務類,1390,6463063
201405,10014000,其他,其他,1939,8525232
201406,10014000,其他,軍警人員一,211,972760
201406,10014000,其他,軍警人員二,66,287371
201406,10014000,其他,其他公共行政類,1868,8265003
201406,10014000,其他,教育類,1278,4832814
201406,10014000,其他,工商及服務類,3193,13768514
201406,10014000,其他,專業及技術服務類,1185,4965238
201406,10014000,其他,其他,1870,7091081
201407,10014000,其他,軍警人員一,219,903529
201407,10014000,其他,軍警人員二,45,161336
201407,10014000,其他,其他公共行政類,2015,10249791
201407,10014000,其他,教育類,1520,5851300
201407,10014000,其他,工商及服務類,3469,15789243
201407,10014000,其他,專業及技術服務類,1347,5342246
201407,10014000,其他,其他,1942,8133324
201408,10014000,其他,軍警人員一,205,718014
201408,10014000,其他,軍警人員二,60,207921
201408,10014000,其他,其他公共行政類,2015,8204800
201408,10014000,其他,教育類,1583,6073946
201408,10014000,其他,工商及服務類,3641,14901988
201408,10014000,其他,專業及技術服務類,1295,4849250
201408,10014000,其他,其他,2018,7665540
201409,10014000,其他,軍警人員一,201,740847
201409,10014000,其他,軍警人員二,42,218856
201409,10014000,其他,其他公共行政類,1803,7579256
201409,10014000,其他,教育類,1282,4446275
201409,10014000,其他,工商及服務類,3376,14759864
201409,10014000,其他,專業及技術服務類,1307,5576535
201409,10014000,其他,其他,1861,7524396
201410,10014000,其他,軍警人員一,232,1274078
201410,10014000,其他,軍警人員二,46,391076
201410,10014000,其他,其他公共行政類,2009,9203041
201410,10014000,其他,教育類,1381,5051284
201410,10014000,其他,工商及服務類,3725,18236254
201410,10014000,其他,專業及技術服務類,1352,5904027
201410,10014000,其他,其他,1997,8557605
201411,10014000,其他,軍警人員一,210,1294553
201411,10014000,其他,軍警人員二,41,217713
201411,10014000,其他,其他公共行政類,1760,7666571
201411,10014000,其他,教育類,1260,4513953
201411,10014000,其他,工商及服務類,3266,15142543
201411,10014000,其他,專業及技術服務類,1272,6701073
201411,10014000,其他,其他,1820,7241391
201412,10014000,其他,軍警人員一,231,1048789
201412,10014000,其他,軍警人員二,50,242561
201412,10014000,其他,其他公共行政類,1862,8600241
201412,10014000,其他,教育類,1401,5419570
201412,10014000,其他,工商及服務類,3593,18824619
201412,10014000,其他,專業及技術服務類,1364,6598315
201412,10014000,其他,其他,2002,8316027
201501,10014000,其他,軍警人員一,257,1466638
201501,10014000,其他,軍警人員二,53,219780
201501,10014000,其他,其他公共行政類,2117,10632339
201501,10014000,其他,教育類,1464,5994633
201501,10014000,其他,工商及服務類,3662,18860062
201501,10014000,其他,專業及技術服務類,1280,5771642
201501,10014000,其他,其他,1927,8271400
201502,10014000,其他,軍警人員一,205,1038051
201502,10014000,其他,軍警人員二,62,291930
201502,10014000,其他,其他公共行政類,1862,9127508
201502,10014000,其他,教育類,1448,6739137
201502,10014000,其他,工商及服務類,3581,18556401
201502,10014000,其他,專業及技術服務類,1360,6856775
201502,10014000,其他,其他,1936,8397281
201503,10014000,其他,軍警人員一,239,1186443
201503,10014000,其他,軍警人員二,43,295383
201503,10014000,其他,其他公共行政類,1702,8176290
