年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,衣,軍警人員一,1352,3665170
201401,68000000,衣,軍警人員二,274,649907
201401,68000000,衣,其他公共行政類,15558,41641824
201401,68000000,衣,教育類,11847,27521914
201401,68000000,衣,工商及服務類,96587,251700147
201401,68000000,衣,專業及技術服務類,31645,79588142
201401,68000000,衣,其他,41361,110216221
201402,68000000,衣,軍警人員一,753,1876261
201402,68000000,衣,軍警人員二,128,285362
201402,68000000,衣,其他公共行政類,8809,22321875
201402,68000000,衣,教育類,6612,14545253
201402,68000000,衣,工商及服務類,51601,126766803
201402,68000000,衣,專業及技術服務類,16924,40909441
201402,68000000,衣,其他,22920,56704097
201403,68000000,衣,軍警人員一,827,1939199
201403,68000000,衣,軍警人員二,155,333837
201403,68000000,衣,其他公共行政類,8938,21832683
201403,68000000,衣,教育類,7568,17486866
201403,68000000,衣,工商及服務類,58319,146284197
201403,68000000,衣,專業及技術服務類,19453,48913075
201403,68000000,衣,其他,26179,65966818
201404,68000000,衣,軍警人員一,945,2151003
201404,68000000,衣,軍警人員二,160,321326
201404,68000000,衣,其他公共行政類,9467,23525582
201404,68000000,衣,教育類,8919,20621105
201404,68000000,衣,工商及服務類,68166,173544283
201404,68000000,衣,專業及技術服務類,23385,57893054
201404,68000000,衣,其他,29162,74915230
201405,68000000,衣,軍警人員一,1115,2448756
201405,68000000,衣,軍警人員二,231,433144
201405,68000000,衣,其他公共行政類,11251,26925995
201405,68000000,衣,教育類,10074,22134038
201405,68000000,衣,工商及服務類,81130,196179845
201405,68000000,衣,專業及技術服務類,27788,65812902
201405,68000000,衣,其他,33790,82210935
201406,68000000,衣,軍警人員一,1095,2571880
201406,68000000,衣,軍警人員二,200,427291
201406,68000000,衣,其他公共行政類,10674,25330527
201406,68000000,衣,教育類,9501,20307119
201406,68000000,衣,工商及服務類,76573,177173260
201406,68000000,衣,專業及技術服務類,26342,59866955
201406,68000000,衣,其他,31675,74580022
201407,68000000,衣,軍警人員一,1007,2072544
201407,68000000,衣,軍警人員二,198,408972
201407,68000000,衣,其他公共行政類,11614,27028038
201407,68000000,衣,教育類,8934,17986316
201407,68000000,衣,工商及服務類,69145,154504555
201407,68000000,衣,專業及技術服務類,25089,54206755
201407,68000000,衣,其他,31053,68541827
201408,68000000,衣,軍警人員一,1077,2184731
201408,68000000,衣,軍警人員二,206,334213
201408,68000000,衣,其他公共行政類,12087,26364809
201408,68000000,衣,教育類,10101,19445298
201408,68000000,衣,工商及服務類,76508,159518693
