年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,百貨,軍警人員一,9460,38677751
201401,68000000,百貨,軍警人員二,940,2772927
201401,68000000,百貨,其他公共行政類,28254,85978492
201401,68000000,百貨,教育類,41329,114864932
201401,68000000,百貨,工商及服務類,346630,1163409010
201401,68000000,百貨,專業及技術服務類,118167,394117462
201401,68000000,百貨,其他,144873,478728437
201402,68000000,百貨,軍警人員一,7672,27829115
201402,68000000,百貨,軍警人員二,816,2535895
201402,68000000,百貨,其他公共行政類,23607,65687432
201402,68000000,百貨,教育類,30769,79914549
201402,68000000,百貨,工商及服務類,292029,957144606
201402,68000000,百貨,專業及技術服務類,97847,312077351
201402,68000000,百貨,其他,120202,387510450
201403,68000000,百貨,軍警人員一,8207,32390220
201403,68000000,百貨,軍警人員二,792,2651620
201403,68000000,百貨,其他公共行政類,22419,62368112
201403,68000000,百貨,教育類,27103,65818889
201403,68000000,百貨,工商及服務類,297560,924938123
201403,68000000,百貨,專業及技術服務類,99193,307961711
201403,68000000,百貨,其他,117136,364413056
201404,68000000,百貨,軍警人員一,8538,36963851
201404,68000000,百貨,軍警人員二,864,3124660
201404,68000000,百貨,其他公共行政類,24744,75602873
201404,68000000,百貨,教育類,30636,85383657
201404,68000000,百貨,工商及服務類,321222,1073918468
201404,68000000,百貨,專業及技術服務類,108791,364051636
201404,68000000,百貨,其他,133645,468474059
201405,68000000,百貨,軍警人員一,9321,34099322
201405,68000000,百貨,軍警人員二,935,3347817
201405,68000000,百貨,其他公共行政類,25850,75204637
201405,68000000,百貨,教育類,31560,83816894
201405,68000000,百貨,工商及服務類,336630,1085168317
201405,68000000,百貨,專業及技術服務類,112311,358679348
201405,68000000,百貨,其他,138556,447161732
201406,68000000,百貨,軍警人員一,9202,36475049
201406,68000000,百貨,軍警人員二,1023,3141693
201406,68000000,百貨,其他公共行政類,28035,77680132
201406,68000000,百貨,教育類,35840,89508745
201406,68000000,百貨,工商及服務類,341215,1049491596
201406,68000000,百貨,專業及技術服務類,120280,366214232
201406,68000000,百貨,其他,143815,448120124
201407,68000000,百貨,軍警人員一,9193,33719518
201407,68000000,百貨,軍警人員二,930,3031214
201407,68000000,百貨,其他公共行政類,29747,78844109
201407,68000000,百貨,教育類,43046,111975986
201407,68000000,百貨,工商及服務類,317825,957876575
201407,68000000,百貨,專業及技術服務類,111042,332198664
201407,68000000,百貨,其他,139969,427825447
201408,68000000,百貨,軍警人員一,8995,34068522
201408,68000000,百貨,軍警人員二,901,3644577
201408,68000000,百貨,其他公共行政類,28368,74625197
201408,68000000,百貨,教育類,40889,101890947
201408,68000000,百貨,工商及服務類,315280,952283705
201408,68000000,百貨,專業及技術服務類,110480,326904618
201408,68000000,百貨,其他,138112,413288616
201409,68000000,百貨,軍警人員一,8404,36639238
201409,68000000,百貨,軍警人員二,761,2721469
201409,68000000,百貨,其他公共行政類,22502,65531914
201409,68000000,百貨,教育類,27151,69401708
201409,68000000,百貨,工商及服務類,293321,952172896
201409,68000000,百貨,專業及技術服務類,101108,331901635
201409,68000000,百貨,其他,123626,420502340
201410,68000000,百貨,軍警人員一,9972,40367050
201410,68000000,百貨,軍警人員二,1239,4795611
201410,68000000,百貨,其他公共行政類,34494,116173832
201410,68000000,百貨,教育類,41189,126510433
201410,68000000,百貨,工商及服務類,394696,1425438245
201410,68000000,百貨,專業及技術服務類,140858,502764925
201410,68000000,百貨,其他,167479,633396358
201411,68000000,百貨,軍警人員一,9839,41072822
201411,68000000,百貨,軍警人員二,1025,3924750
201411,68000000,百貨,其他公共行政類,33869,114452418
201411,68000000,百貨,教育類,41667,133530568
201411,68000000,百貨,工商及服務類,387057,1396634245
201411,68000000,百貨,專業及技術服務類,141180,505271635
201411,68000000,百貨,其他,180013,676664582
201412,68000000,百貨,軍警人員一,9725,37663695
201412,68000000,百貨,軍警人員二,1075,3255505
201412,68000000,百貨,其他公共行政類,26858,77025608
201412,68000000,百貨,教育類,33826,88164726
201412,68000000,百貨,工商及服務類,336609,1081620240
201412,68000000,百貨,專業及技術服務類,121067,380870772
201412,68000000,百貨,其他,143573,472296776
201501,68000000,百貨,軍警人員一,9391,39462401
201501,68000000,百貨,軍警人員二,907,2770931
201501,68000000,百貨,其他公共行政類,25433,74442561
201501,68000000,百貨,教育類,33504,91482384
201501,68000000,百貨,工商及服務類,305395,1011356261
201501,68000000,百貨,專業及技術服務類,109149,353132544
201501,68000000,百貨,其他,130543,439591942
201502,68000000,百貨,軍警人員一,9548,41699875
201502,68000000,百貨,軍警人員二,933,3134673
201502,68000000,百貨,其他公共行政類,29638,90721263
201502,68000000,百貨,教育類,40915,114800005
201502,68000000,百貨,工商及服務類,340231,1177771549
201502,68000000,百貨,專業及技術服務類,121060,407284870
201502,68000000,百貨,其他,146995,507586992
201503,68000000,百貨,軍警人員一,8774,36193237
201503,68000000,百貨,軍警人員二,892,2907218
201503,68000000,百貨,其他公共行政類,22563,65034008
201503,68000000,百貨,教育類,27223,70132369
201503,68000000,百貨,工商及服務類,299693,964215097
201503,68000000,百貨,專業及技術服務類,106208,334147877
201503,68000000,百貨,其他,123805,400646523
201504,68000000,百貨,軍警人員一,8908,36567396
201504,68000000,百貨,軍警人員二,1049,3474204
201504,68000000,百貨,其他公共行政類,25994,82374832
201504,68000000,百貨,教育類,31762,92376281
201504,68000000,百貨,工商及服務類,338121,1164863843
201504,68000000,百貨,專業及技術服務類,119607,404983328
201504,68000000,百貨,其他,141755,515315869
201505,68000000,百貨,軍警人員一,9288,38761582
201505,68000000,百貨,軍警人員二,967,2716555
201505,68000000,百貨,其他公共行政類,26560,77702067
201505,68000000,百貨,教育類,32206,87167705
201505,68000000,百貨,工商及服務類,344997,1117585703
201505,68000000,百貨,專業及技術服務類,118970,374157524
201505,68000000,百貨,其他,143844,472892181
201506,68000000,百貨,軍警人員一,9321,38249857
201506,68000000,百貨,軍警人員二,1003,2767737
201506,68000000,百貨,其他公共行政類,27270,78134354
201506,68000000,百貨,教育類,34316,88616410
201506,68000000,百貨,工商及服務類,332637,1057345047
201506,68000000,百貨,專業及技術服務類,121419,374287411
201506,68000000,百貨,其他,143053,464239927
201507,68000000,百貨,軍警人員一,9403,37523119
201507,68000000,百貨,軍警人員二,914,2667221
201507,68000000,百貨,其他公共行政類,28755,77620599
201507,68000000,百貨,教育類,41562,107143572
201507,68000000,百貨,工商及服務類,306429,923133998
201507,68000000,百貨,專業及技術服務類,112216,334755418
201507,68000000,百貨,其他,138249,430060974
201508,68000000,百貨,軍警人員一,9239,37649216
201508,68000000,百貨,軍警人員二,916,2663065
201508,68000000,百貨,其他公共行政類,28383,73888231
201508,68000000,百貨,教育類,40008,99827476
201508,68000000,百貨,工商及服務類,316119,958655212
201508,68000000,百貨,專業及技術服務類,114757,338441280
201508,68000000,百貨,其他,139710,424017902
201509,68000000,百貨,軍警人員一,8663,39148654
201509,68000000,百貨,軍警人員二,874,2785278
201509,68000000,百貨,其他公共行政類,23538,70111793
201509,68000000,百貨,教育類,30049,78936300
201509,68000000,百貨,工商及服務類,305286,982633038
201509,68000000,百貨,專業及技術服務類,110242,360587263
201509,68000000,百貨,其他,128567,432694805
201510,68000000,百貨,軍警人員一,9601,42972796
201510,68000000,百貨,軍警人員二,1147,4232671
201510,68000000,百貨,其他公共行政類,30917,102933316
201510,68000000,百貨,教育類,37263,114503025
201510,68000000,百貨,工商及服務類,372618,1336701524
201510,68000000,百貨,專業及技術服務類,135788,487654990
201510,68000000,百貨,其他,159098,588432044
201511,68000000,百貨,軍警人員一,9376,40897555
201511,68000000,百貨,軍警人員二,1131,3610482
201511,68000000,百貨,其他公共行政類,31718,107113702
201511,68000000,百貨,教育類,41983,137408022
201511,68000000,百貨,工商及服務類,380295,1447938223
201511,68000000,百貨,專業及技術服務類,143426,528474853
201511,68000000,百貨,其他,177551,699431945
201512,68000000,百貨,軍警人員一,10257,46103167
201512,68000000,百貨,軍警人員二,1145,3166068
201512,68000000,百貨,其他公共行政類,29334,83816234
201512,68000000,百貨,教育類,37513,97220870
201512,68000000,百貨,工商及服務類,364704,1195173632
201512,68000000,百貨,專業及技術服務類,136639,443705321
201512,68000000,百貨,其他,154528,513588348
201601,68000000,百貨,軍警人員一,10752,48846227
201601,68000000,百貨,軍警人員二,1104,3219046
201601,68000000,百貨,其他公共行政類,31772,93100108
201601,68000000,百貨,教育類,45100,122947616
201601,68000000,百貨,工商及服務類,361819,1207243696
201601,68000000,百貨,專業及技術服務類,135536,439597913
201601,68000000,百貨,其他,156431,533325652
201602,68000000,百貨,軍警人員一,9554,43999820
201602,68000000,百貨,軍警人員二,942,3080660
201602,68000000,百貨,其他公共行政類,29946,90061896
201602,68000000,百貨,教育類,39140,109975922
201602,68000000,百貨,工商及服務類,352273,1232714642
201602,68000000,百貨,專業及技術服務類,128223,434059372
201602,68000000,百貨,其他,146915,518261551
201603,68000000,百貨,軍警人員一,3094,8406065
201603,68000000,百貨,軍警人員二,841,2702169
201603,68000000,百貨,其他公共行政類,22174,63538866
201603,68000000,百貨,教育類,25931,68178961
201603,68000000,百貨,工商及服務類,281752,910347987
201603,68000000,百貨,專業及技術服務類,100243,319839320
201603,68000000,百貨,其他,113887,375007419
201604,68000000,百貨,軍警人員一,3777,10727149
201604,68000000,百貨,軍警人員二,1002,3533128
201604,68000000,百貨,其他公共行政類,28754,86619199
201604,68000000,百貨,教育類,33949,96214275
201604,68000000,百貨,工商及服務類,342158,1169321664
201604,68000000,百貨,專業及技術服務類,122778,415215034
201604,68000000,百貨,其他,140068,494129466
201605,68000000,百貨,軍警人員一,3812,11148979
201605,68000000,百貨,軍警人員二,993,2812980
201605,68000000,百貨,其他公共行政類,26345,74720794
201605,68000000,百貨,教育類,31972,81898365
201605,68000000,百貨,工商及服務類,339257,1086202956
201605,68000000,百貨,專業及技術服務類,120113,378033112
201605,68000000,百貨,其他,136599,438133022
201606,68000000,百貨,軍警人員一,9060,39365268
201606,68000000,百貨,軍警人員二,1029,2642875
201606,68000000,百貨,其他公共行政類,29300,80229913
201606,68000000,百貨,教育類,37590,94233931
201606,68000000,百貨,工商及服務類,355910,1125912951
201606,68000000,百貨,專業及技術服務類,133478,415972828
201606,68000000,百貨,其他,151552,478453984
201607,68000000,百貨,軍警人員一,3800,9491522
201607,68000000,百貨,軍警人員二,1017,3085957
201607,68000000,百貨,其他公共行政類,31949,85482444
201607,68000000,百貨,教育類,44372,114111010
201607,68000000,百貨,工商及服務類,325051,979017024
201607,68000000,百貨,專業及技術服務類,119744,355296281
201607,68000000,百貨,其他,138084,412846734
201608,68000000,百貨,軍警人員一,3627,10135067
201608,68000000,百貨,軍警人員二,981,4492059
201608,68000000,百貨,其他公共行政類,28071,73426135
201608,68000000,百貨,教育類,38610,96957335
201608,68000000,百貨,工商及服務類,306194,926253973
201608,68000000,百貨,專業及技術服務類,111921,334532531
201608,68000000,百貨,其他,132718,394449107
201609,68000000,百貨,軍警人員一,3548,9590129
201609,68000000,百貨,軍警人員二,871,2533813
201609,68000000,百貨,其他公共行政類,25787,72775504
201609,68000000,百貨,教育類,30750,81121904
201609,68000000,百貨,工商及服務類,319379,1029900935
201609,68000000,百貨,專業及技術服務類,115315,358973615
201609,68000000,百貨,其他,129152,422873235
201610,68000000,百貨,軍警人員一,4346,13535871
201610,68000000,百貨,軍警人員二,1267,5182418
201610,68000000,百貨,其他公共行政類,32703,109954641
201610,68000000,百貨,教育類,37062,115605486
201610,68000000,百貨,工商及服務類,384992,1386419353
201610,68000000,百貨,專業及技術服務類,139341,495613475
201610,68000000,百貨,其他,159559,614307923
201611,68000000,百貨,軍警人員一,8964,42532274
201611,68000000,百貨,軍警人員二,1277,4479922
201611,68000000,百貨,其他公共行政類,33460,111984477
201611,68000000,百貨,教育類,42226,138418646
201611,68000000,百貨,工商及服務類,393291,1490753396
201611,68000000,百貨,專業及技術服務類,148949,548003868
201611,68000000,百貨,其他,183679,722723566
201612,68000000,百貨,軍警人員一,9837,46084461
201612,68000000,百貨,軍警人員二,1167,3703052
201612,68000000,百貨,其他公共行政類,31235,86044613
201612,68000000,百貨,教育類,37706,94346846
201612,68000000,百貨,工商及服務類,368204,1172388664
201612,68000000,百貨,專業及技術服務類,136387,425311885
201612,68000000,百貨,其他,157364,514698591
201701,68000000,百貨,軍警人員一,10045,48688459
201701,68000000,百貨,軍警人員二,1068,2996952
201701,68000000,百貨,其他公共行政類,34196,98652656
201701,68000000,百貨,教育類,44801,122262791
201701,68000000,百貨,工商及服務類,389694,1307282376
201701,68000000,百貨,專業及技術服務類,143600,462535375
201701,68000000,百貨,其他,171404,584615934
201702,68000000,百貨,軍警人員一,8304,37880728
201702,68000000,百貨,軍警人員二,965,2769412
201702,68000000,百貨,其他公共行政類,27594,74743692
201702,68000000,百貨,教育類,37395,97699890
201702,68000000,百貨,工商及服務類,328250,1066661057
201702,68000000,百貨,專業及技術服務類,118098,363309575
201702,68000000,百貨,其他,138280,453624889
201703,68000000,百貨,軍警人員一,8085,37551371
201703,68000000,百貨,軍警人員二,989,2936897
201703,68000000,百貨,其他公共行政類,23774,63452097
201703,68000000,百貨,教育類,28420,73159204
201703,68000000,百貨,工商及服務類,317203,991349378
201703,68000000,百貨,專業及技術服務類,114838,350527568
201703,68000000,百貨,其他,131651,426022391
201704,68000000,百貨,軍警人員一,8516,35648526
201704,68000000,百貨,軍警人員二,1228,3933506
201704,68000000,百貨,其他公共行政類,28201,82299118
201704,68000000,百貨,教育類,35828,98153238
201704,68000000,百貨,工商及服務類,360818,1195710616
201704,68000000,百貨,專業及技術服務類,132148,431349713
201704,68000000,百貨,其他,150494,511138611
201705,68000000,百貨,軍警人員一,8283,37343004
201705,68000000,百貨,軍警人員二,1079,3168291
201705,68000000,百貨,其他公共行政類,29564,84699385
201705,68000000,百貨,教育類,36439,95175925
201705,68000000,百貨,工商及服務類,377629,1215755098
201705,68000000,百貨,專業及技術服務類,135088,426267553
