年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,文教康樂,軍警人員一,3366,13909867
201401,68000000,文教康樂,軍警人員二,482,1583284
201401,68000000,文教康樂,其他公共行政類,15153,65160517
201401,68000000,文教康樂,教育類,10829,49825504
201401,68000000,文教康樂,工商及服務類,107938,531446455
201401,68000000,文教康樂,專業及技術服務類,33509,160036358
201401,68000000,文教康樂,其他,40170,196982365
201402,68000000,文教康樂,軍警人員一,3074,12037576
201402,68000000,文教康樂,軍警人員二,392,1695641
201402,68000000,文教康樂,其他公共行政類,13213,70526433
201402,68000000,文教康樂,教育類,10223,45924269
201402,68000000,文教康樂,工商及服務類,102947,536499732
201402,68000000,文教康樂,專業及技術服務類,32533,158817001
201402,68000000,文教康樂,其他,37938,200213241
201403,68000000,文教康樂,軍警人員一,3398,12176572
201403,68000000,文教康樂,軍警人員二,441,1564583
201403,68000000,文教康樂,其他公共行政類,13296,58404896
201403,68000000,文教康樂,教育類,10623,41367327
201403,68000000,文教康樂,工商及服務類,110879,514230911
201403,68000000,文教康樂,專業及技術服務類,35226,157504945
201403,68000000,文教康樂,其他,41246,203761276
201404,68000000,文教康樂,軍警人員一,3384,12925080
201404,68000000,文教康樂,軍警人員二,442,1695935
201404,68000000,文教康樂,其他公共行政類,12815,57999587
201404,68000000,文教康樂,教育類,10400,40535905
201404,68000000,文教康樂,工商及服務類,108358,524634619
201404,68000000,文教康樂,專業及技術服務類,35147,169843413
201404,68000000,文教康樂,其他,41211,221065365
201405,68000000,文教康樂,軍警人員一,3298,14261749
201405,68000000,文教康樂,軍警人員二,451,1477956
201405,68000000,文教康樂,其他公共行政類,12804,64978481
201405,68000000,文教康樂,教育類,10863,52345464
201405,68000000,文教康樂,工商及服務類,109856,581505801
201405,68000000,文教康樂,專業及技術服務類,35712,182155565
201405,68000000,文教康樂,其他,41525,240205298
201406,68000000,文教康樂,軍警人員一,3580,15178804
201406,68000000,文教康樂,軍警人員二,456,1230360
201406,68000000,文教康樂,其他公共行政類,13445,72811758
201406,68000000,文教康樂,教育類,11712,62287258
201406,68000000,文教康樂,工商及服務類,114832,574502427
201406,68000000,文教康樂,專業及技術服務類,37872,189058695
201406,68000000,文教康樂,其他,43725,240998147
201407,68000000,文教康樂,軍警人員一,3724,16854448
201407,68000000,文教康樂,軍警人員二,513,1737763
201407,68000000,文教康樂,其他公共行政類,16325,80092179
201407,68000000,文教康樂,教育類,12703,63319314
201407,68000000,文教康樂,工商及服務類,119474,572493453
201407,68000000,文教康樂,專業及技術服務類,39513,181401302
201407,68000000,文教康樂,其他,45784,234975085
201408,68000000,文教康樂,軍警人員一,4102,16880575
201408,68000000,文教康樂,軍警人員二,592,2380098
201408,68000000,文教康樂,其他公共行政類,16525,79908756
201408,68000000,文教康樂,教育類,13788,58303480
201408,68000000,文教康樂,工商及服務類,129821,613918175
201408,68000000,文教康樂,專業及技術服務類,43380,195047659
201408,68000000,文教康樂,其他,48967,248668077
201409,68000000,文教康樂,軍警人員一,3579,14711989
201409,68000000,文教康樂,軍警人員二,488,2104772
201409,68000000,文教康樂,其他公共行政類,13380,68983597
201409,68000000,文教康樂,教育類,10929,44344185
201409,68000000,文教康樂,工商及服務類,114377,610708621
201409,68000000,文教康樂,專業及技術服務類,38547,197009223
201409,68000000,文教康樂,其他,44601,251297441
201410,68000000,文教康樂,軍警人員一,3752,14985920
201410,68000000,文教康樂,軍警人員二,467,1419857
201410,68000000,文教康樂,其他公共行政類,14029,61158593
201410,68000000,文教康樂,教育類,11052,41579006
201410,68000000,文教康樂,工商及服務類,117743,576772032
201410,68000000,文教康樂,專業及技術服務類,39274,179360376
201410,68000000,文教康樂,其他,44952,227464227
201411,68000000,文教康樂,軍警人員一,3593,15141310
