年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,食,軍警人員一,9815,18008093
201401,68000000,食,軍警人員二,2055,3042772
201401,68000000,食,其他公共行政類,63780,106485040
201401,68000000,食,教育類,50794,78013053
201401,68000000,食,工商及服務類,463207,871821013
201401,68000000,食,專業及技術服務類,152081,276655388
201401,68000000,食,其他,247497,425269477
201402,68000000,食,軍警人員一,7757,10704237
201402,68000000,食,軍警人員二,1575,2067820
201402,68000000,食,其他公共行政類,48627,63758029
201402,68000000,食,教育類,40439,51889459
201402,68000000,食,工商及服務類,353698,536429503
201402,68000000,食,專業及技術服務類,118662,173772243
201402,68000000,食,其他,185503,255713844
201403,68000000,食,軍警人員一,8423,11626514
201403,68000000,食,軍警人員二,1818,1985047
201403,68000000,食,其他公共行政類,53699,66321967
201403,68000000,食,教育類,44575,55656212
201403,68000000,食,工商及服務類,402485,579161128
201403,68000000,食,專業及技術服務類,137730,197009652
201403,68000000,食,其他,215002,288188757
201404,68000000,食,軍警人員一,8088,11710115
201404,68000000,食,軍警人員二,1744,2114071
201404,68000000,食,其他公共行政類,50566,62178203
201404,68000000,食,教育類,42647,54386468
201404,68000000,食,工商及服務類,380305,560207312
201404,68000000,食,專業及技術服務類,131690,190824379
201404,68000000,食,其他,207684,280622985
201405,68000000,食,軍警人員一,9082,13701434
201405,68000000,食,軍警人員二,2028,2675831
201405,68000000,食,其他公共行政類,56903,78784261
201405,68000000,食,教育類,47278,65107808
201405,68000000,食,工商及服務類,426879,657613986
201405,68000000,食,專業及技術服務類,146766,225235745
201405,68000000,食,其他,229348,328060862
201406,68000000,食,軍警人員一,9205,13287011
201406,68000000,食,軍警人員二,1874,2342417
201406,68000000,食,其他公共行政類,56607,71904674
201406,68000000,食,教育類,47874,62551528
201406,68000000,食,工商及服務類,422147,609858652
201406,68000000,食,專業及技術服務類,148042,211573143
201406,68000000,食,其他,228126,313423511
201407,68000000,食,軍警人員一,9848,13719908
201407,68000000,食,軍警人員二,2163,2621937
201407,68000000,食,其他公共行政類,64137,79976406
201407,68000000,食,教育類,55165,69020107
201407,68000000,食,工商及服務類,463636,668200043
201407,68000000,食,專業及技術服務類,162920,228977669
201407,68000000,食,其他,255552,349966735
201408,68000000,食,軍警人員一,10566,16605546
201408,68000000,食,軍警人員二,2202,2999152
201408,68000000,食,其他公共行政類,68531,90284620
201408,68000000,食,教育類,58345,75970362
201408,68000000,食,工商及服務類,500326,789242578
201408,68000000,食,專業及技術服務類,174910,265334601
201408,68000000,食,其他,270610,393878461
201409,68000000,食,軍警人員一,9187,11763917
201409,68000000,食,軍警人員二,1972,2299588
201409,68000000,食,其他公共行政類,58641,72238871
201409,68000000,食,教育類,48790,62557876
201409,68000000,食,工商及服務類,434543,621115590
201409,68000000,食,專業及技術服務類,158195,225472279
201409,68000000,食,其他,241391,326226708
201410,68000000,食,軍警人員一,9104,11807325
201410,68000000,食,軍警人員二,2037,2600709
201410,68000000,食,其他公共行政類,57517,68969049
201410,68000000,食,教育類,48888,60711610
201410,68000000,食,工商及服務類,430742,599645181
201410,68000000,食,專業及技術服務類,154185,212335947
201410,68000000,食,其他,236556,316426427
201411,68000000,食,軍警人員一,9355,14034946
201411,68000000,食,軍警人員二,1914,2329231
201411,68000000,食,其他公共行政類,57823,85844910
201411,68000000,食,教育類,49841,72074127
201411,68000000,食,工商及服務類,441502,722165218
201411,68000000,食,專業及技術服務類,158318,260619023
201411,68000000,食,其他,236033,363443176
201412,68000000,食,軍警人員一,9868,13426403
201412,68000000,食,軍警人員二,2271,3088472
201412,68000000,食,其他公共行政類,60315,80066115
201412,68000000,食,教育類,52615,71998087
201412,68000000,食,工商及服務類,466573,698116396
201412,68000000,食,專業及技術服務類,168176,253413234
201412,68000000,食,其他,253745,362300566
201501,68000000,食,軍警人員一,10085,15264308
201501,68000000,食,軍警人員二,2189,3205996
201501,68000000,食,其他公共行政類,63758,92316481
201501,68000000,食,教育類,53478,75678535
201501,68000000,食,工商及服務類,462956,753051154
201501,68000000,食,專業及技術服務類,167349,264715742
201501,68000000,食,其他,250864,378873817
201502,68000000,食,軍警人員一,9557,15724750
201502,68000000,食,軍警人員二,1896,2776185
201502,68000000,食,其他公共行政類,62013,97115418
201502,68000000,食,教育類,50671,77415231
201502,68000000,食,工商及服務類,452846,840735329
201502,68000000,食,專業及技術服務類,163002,291946745
201502,68000000,食,其他,242227,420791763
201503,68000000,食,軍警人員一,8805,12328833
201503,68000000,食,軍警人員二,1894,2445230
201503,68000000,食,其他公共行政類,55606,70663615
201503,68000000,食,教育類,47506,62459591
201503,68000000,食,工商及服務類,414374,621257908
201503,68000000,食,專業及技術服務類,152005,227848130
201503,68000000,食,其他,225197,315658907
201504,68000000,食,軍警人員一,8966,11579896
201504,68000000,食,軍警人員二,1855,2297597
201504,68000000,食,其他公共行政類,55374,68354877
201504,68000000,食,教育類,47962,61357495
201504,68000000,食,工商及服務類,421564,620465472
201504,68000000,食,專業及技術服務類,153760,221198393
201504,68000000,食,其他,226916,311770366
201505,68000000,食,軍警人員一,10186,14354461
201505,68000000,食,軍警人員二,2084,2714234
201505,68000000,食,其他公共行政類,63879,93094316
201505,68000000,食,教育類,54157,76340750
201505,68000000,食,工商及服務類,482834,756883356
201505,68000000,食,專業及技術服務類,174759,273244956
201505,68000000,食,其他,256010,383004970
201506,68000000,食,軍警人員一,9812,12997249
201506,68000000,食,軍警人員二,1938,2299039
201506,68000000,食,其他公共行政類,61926,76316848
201506,68000000,食,教育類,52129,65677439
201506,68000000,食,工商及服務類,461220,660506235
201506,68000000,食,專業及技術服務類,168291,237458721
201506,68000000,食,其他,251170,338890016
201507,68000000,食,軍警人員一,10412,13755524
201507,68000000,食,軍警人員二,2112,2421094
201507,68000000,食,其他公共行政類,69135,83518574
201507,68000000,食,教育類,59707,75494034
201507,68000000,食,工商及服務類,492951,696405979
201507,68000000,食,專業及技術服務類,180063,252523372
201507,68000000,食,其他,271016,362050920
201508,68000000,食,軍警人員一,12022,17722574
201508,68000000,食,軍警人員二,2529,3539474
201508,68000000,食,其他公共行政類,78375,101767718
201508,68000000,食,教育類,66972,88668955
201508,68000000,食,工商及服務類,580441,909623770
201508,68000000,食,專業及技術服務類,211411,325524021
201508,68000000,食,其他,311677,459551446
201509,68000000,食,軍警人員一,10560,15835242
201509,68000000,食,軍警人員二,2080,2594940
201509,68000000,食,其他公共行政類,67942,92570843
201509,68000000,食,教育類,59096,80932059
201509,68000000,食,工商及服務類,510261,790755676
201509,68000000,食,專業及技術服務類,192221,300849324
201509,68000000,食,其他,277722,402829655
201510,68000000,食,軍警人員一,10718,16019181
201510,68000000,食,軍警人員二,2187,2576306
201510,68000000,食,其他公共行政類,66872,83852952
201510,68000000,食,教育類,56946,75497567
201510,68000000,食,工商及服務類,499807,741191535
201510,68000000,食,專業及技術服務類,185916,275811908
201510,68000000,食,其他,270690,380117497
201511,68000000,食,軍警人員一,10363,15730527
201511,68000000,食,軍警人員二,1923,2513091
201511,68000000,食,其他公共行政類,63586,93887649
201511,68000000,食,教育類,54514,79924628
201511,68000000,食,工商及服務類,481683,748608316
201511,68000000,食,專業及技術服務類,182334,287341940
201511,68000000,食,其他,261295,397465134
201512,68000000,食,軍警人員一,11112,16704226
201512,68000000,食,軍警人員二,2274,2986966
201512,68000000,食,其他公共行政類,67258,89576662
